,X1,pros_page1,pros_page_rating_value,
21,5,"I've been at FactSet 10+ years and have always been challenged.  If you are a motivated person and can make a strong business case for a project, you are encouraged to go for it.  That empowerment, plus the great benefits, keep me a committed employee.",3,#N/A
22,5,Great place to sart out.,3,#N/A
23,5,"The people at FactSet and the overall atmosphere is very fostering to making you excited to come to work everyday.  Additionally the pay for the most part goes up every year and with hard work and developing good relationships with the people here, you have the opportunity to advance very far within the company and set up a very good resume regardless of whether you plan to stay here for 2 years, 5 years or your... entire career.  We also get an 8 dollar credit toward lunch Monday through Thursday.  Finally, benefits, vacation days, and our insurance coverage are exceptionalhere.",4,#VALUE!
24,5,"Great benefits, including free lunch.  Opportunity to move up and make more money if you do well here.  Job security.",4,#N/A
25,5,"a good work life balace and laid back atmosphere.  benefits package is good.  there are also a number of other perks, including paid lunch and education assistance.  some of these perks are being scaled back, however, as the company gets larger and given the current economic conditions.",4,#VALUE!
26,5,Growing company with a tremendous amount of opportunity for employees.  Hard work is recognized and rewarded.,4,#N/A
27,5,Great work environment and great benefits,4,#N/A
28,5,"The best thing about FactSet is the abundance of talented people who don't hesitate to help.  FactSet considers it's employees it's most valuable asset and the employees invest their time in one another.  If you're just starting a career you can't go wrong with FactSet.

Aside from that the other ""pros"" are numerous, including a great culture, good work life balance, competitive compensation and generous benefits.",4,#VALUE!
29,5,"FactSet is a hard-working, humble and performance-driven culture. My colleagues are great. I get to travel all over the country and work with leaders in the investment management industry. Benefits are tremendous. Office facilities are top-notch. Work is constantly challenging and rewarding. Our culture is our strongest asset that competitors simply cannot replicate. It starts at the top.",2,#VALUE!
30,5,FactSet excels at fostering a collective atmosphere driven to achieve group goals and has an extreme focus on carefully and supportively managing it's many and varied constituents.,4,#N/A
31,6,"Great way to learn about the financial industry without being in banking. Growing company with great people. Everyone receives a laptop so any if not most employees are able to work from home. In terms of when you take vacation and time off (as well as doctors appointments, leaving work early, etc.) if you respect FactSet, FactSet will respect you. If management trusts that you're not cutting corners, they are very... reasonable and flexible with your needs and schedule.",3,#VALUE!
32,6,Overall the people are pretty nice and definitely a very smart crew,3,#N/A
33,6,"Great work environment, awesome people",4,#N/A
34,6,Work and life balance is strong considering vacation. CFA expenses paid and passage bonuses given. Friendly team members and coworkers.,4,#N/A
35,6,"The benefits are exceptional. Health, emdical, vision and free lunch.",4,#N/A
36,6,Good opportunties to work on various projects.,4,#N/A
37,6,Factset has a Great work/life balance.,4,#N/A
38,6,"Great benefits: Particularly for the CFA, FactSet pays for your prep and the exam as well as gives you a bonus if you pass. The free lunch is also a plus as well as all the fringe benefits. The company is smaller but growing which always you a lot of opportunity if you want it.",4,#VALUE!
39,6,"The environment is laid back compared to other software companies.
I personally like my manager.",2,#N/A
40,6,"FactSet is made up of mostly very intelligent, hardworking, motivated employees.  These people are also very helpful and thoughtful individuals for the most part and not ""cut-throat"" like others that work in the financial services or engineering/software industuries.  FactSet has great benifits for its employees such as paid lunches, great health,dental, eye etc. insurance as well as educational assistance... (reembursement).   One of the best reasons to work for FactSet is to exposure you get to many different investment professionals and firms whether buy or sell side.",4,#VALUE!
41,7,Oportunities for professional growth and incredible industry exposure.,3,#N/A
42,7,"FactSet is not really a small company but it maintains a small company culture in which the goal is more important than appearance.  You get the opportunity to participate in product development quite early, meaning that you can find your work reflected in the application within months of joining.  At the same time colleagues and management are very willing to share knowledge, which makes it a straight forward task... to do a good job.",3,#VALUE!
43,7,"Benefits, Work Life Balance, and ability to work remotely when taking care of personal issues.  The free lunches (mon - thurs), open stocked kitchen is quite an incentive and the ability to charge meals is a good way to keep up morale and improve productivity at a relatively low cost.  Above average health care compensation also is strong reason to stay with the firm.  FactSet has consistently taken a conservative... approach to finance management placing them in a strong position in a tight economy.  The sector also helps ensure job security since data and analytics become ever more important during times of extreme market volatility.",4,#VALUE!
44,7,"Benefits, free lunches, intelligent team members, and strong company.",4,#N/A
45,7,"Working for a small, but quickly growing company has a great feeling to it.  The culture is amazing, there's every sort of person around you and everyone is very helpful, communicative, and easy to get along with outside of work.  The environment is laid back but professional so; I always feel like I need to work to the best of the ability, not because I'm told to, but because everyone around me is so ridiculously... intelligent and good at what they do.  It's really motivating to work around so many intelligent people.  Working from home is very flexible and not frowned upon at all, but you still want to make it to work everyday just to be around your peers.  I really love that engineering managers are expected to continuously perform and not just sink into management roles.",4,#VALUE!
46,7,"If you're willing to work hard the rewards are there. Unfortunately we don't make it easy for our new hires in Consulting and Software Engineering to see that personal and professional growth are rewarded in due course. I consider most of those I work with to be more than just coworkers, and I couldn't think of a better group of people to spend most of my waking hours with. Of course there are exceptions, but that... is true everywhere.",4,#VALUE!
47,7,"Intelligent and talented coworkers, flexible and creative, rewards hard work. From my expirience I would say this is one of the most rewarding and interesting jobs I have ever had. Great place to launch a career as it can open many doors down the road.",4,#N/A
48,7,Great place to start a career and learn about the industry and landscape. The environment is very flat so there isn't any great barrier between yourself and management and even senior management. There are a lot of opportunities as we are still growing to find what you like to do. Just need to be proactive as you create your own path.,4,#VALUE!
49,7,"- Excellent work life balance
- Relaxed company culture
- Generally nice people
- Lots of exposure to many different clients",2,#N/A
50,7,"Pay: FactSet employs many recent college grads, so the starting pay is very competitive with any other entry level job. they promote from within and are generous with bonuses (2x year). I do think the starting salaries could be higher.

Respect: Pretty good, you dont want to step on anybodys toes - you won't be held in high regard. if you work hard and bring good ideas to the table, you'll earn your spot here.... there are some people who have been here too long and think they run the place, when they really aren't very senior at all.

Benefts: Great. I pay nothing for medical. We get free lunch too. Always a whole kichen full of snacks, drinks, fruit, coffee, etc.

Job Security: Good. Company is growing very rapidly and has been for the last umpteen years.

Work/Life: I've never had a problem. You do have to work hard and put in hours if you want to get promoted, but I've never had an issue if i need to leave for an appointment.

Career growth: promote from within, most people are promoted w/in 2 years",4,#VALUE!
51,8,"Free soda (though the selection has slimmed down) and $8 a day at the deli (though the food gets old after a while).

However the free lunch basically means instead of a lunch break you sell yourself for $8. Assuming you make 50k+, $8 a day for 4 days isn't worth it.",3,#VALUE!
52,8,Good people and fee soda (non-caffeine),3,#N/A
53,8,"Free lunch, free soda, CFA support, some very good people, and a great education on the whole industry, on a great platform.",4,#N/A
54,8,"Its a great work environment, very relaxed. Good benefits! free food! 
It has very young crowd which likes to hangout together.",4,#N/A
55,8,"One of the best things about the company is a general openness and helpfulness from colleagues. You can cut the red tape whenever you want without drawing much criticism. The benefits package is hard to beat with every new employee starting off w/ 3 weeks vacation +5 personal/sick days (+1 vacation day for every year worked). Free lunch, snacks, and drinks keeps the warm community atmosphere. We also have... community-involvement events to ward off the corporate juggernaut stereotype. Senior management is mostly organically grown, so they usually make good decisions. In the marketplace, this company is definitely nimble about M&A and taking advantage of opportunities, so I would say it has strong business potential. The Norwalk, CT headquarters is set in naturscape to help de-stress when you need it.",4,#VALUE!
56,8,"FactSet has a great work environment.  The people you work with are young, intelligent and fun.  There is a lot going for the company, so it feels great to be a part of the company's growth.",4,#N/A
57,8,"There's a five-year probation period.  You have a really long time to prove yourself, so, take advantage of it.  Plus, they give you a lot of independence early on (enough to hang yourself with--I've seen it).",4,#N/A
58,8,The best reason to work at FactSet is the people.  They are really great and there is a real feeling of community,4,#N/A
59,8,"Great people, good long term growth prospects, relative stability. Although we all would like to mak more money, I could not be happier with my decision to join FactSet right out of college.",2,#N/A
60,8,"Flexible environment
Long-term employees are valued - Company is loyal to longterm staff.",4,#N/A
61,9,"Friendly people not dependent on how senior they are.
Hours can be as little as 8 hours/day.
very flexible for time off
good free lunch",3,#N/A
62,9,Free lunch. Comfortable work environment. Attractive office space. Free snacks and drinks. Company is healthy and growing. Computer hardware is great.,3,#N/A
63,9,"- Good benefits
- Interesting work if you look for it
- Generally good culture that works together
- Growing and competitive industry",4,#N/A
64,9,"Free Soda though it's mostly with caffeine so you work harder.
Free Lunch though it's done for you to work during lunch. You work during your 1 hr lunch break for $8/hr.",4,#N/A
65,9,"Friendly people, growing profitable company. Perks such as free lunch & sodas & snacks. CFA sponsorship. Management is getting better with communicating with entire company.",4,#N/A
66,9,"free lunch and sodas
offers a lot of flexibility and the option to work from home which many people take advantage of",4,#N/A
67,9,"decent salary, nice benefits, free soda/coffee",4,#N/A
68,9,"FactSet takes good care of their employees. There are free lunches, sodas, snacks, and really nice vacation and benefits packages.",4,#N/A
69,9,"I like the people quite a bit, and free lunch 4 days a week is also exciting. As far as productivity, the dual monitors make working much better",2,#N/A
70,9,"Flexible work schedule
Good benefits
Diversity of projects
Good social atmosphere
Strategic, long-term oriented upper management",4,#N/A
71,10,"The benefits and job security are quite good.  Moving up through the ranks is clearly laid out, and management seems to really want to provide a positive work environment for employees.",3,#N/A
72,10,"No Red Tape, Small but Big, Stock Ownership Plan",3,#N/A
73,10,People are great and offers opportunities to learn multiple aspects of the financial industry.,4,#N/A
74,10,"People are great
You learn a lot about the financial industry
Good work - life balance
You are given the opportunity to work with influential finance professionals",4,#N/A
75,10,"1. Helpful and great people to work with.
2. Manage time and day schedule independently.
3. Project management autonomy and independence.",4,#N/A
76,10,"The whole package, the benefits/perks with lunches and snacks/the flexible work hrs.",4,#N/A
77,10,"Good learning opportunity
Smart people
Product is widely used and well regarded
Nice balance of work and life, good benefits",4,#N/A
78,10,"This use to be a great office to work in about eighteen months ago.  Since then management has changed and I would recommend working at CapIQ, ThompsonReuters, or Bloomberg.",4,#N/A
79,10,"Free lunch, exposure to clients",2,#N/A
80,10,"-Young, fun employees
-Decent pay, especially out of college
-Oppotunity for promotion",4,#N/A
81,11,"Good, intelligent people with aspirations that are all working towards the same goal
Down to earth company with a small company feel
Flexibility and good overall compensation packages
Friendly place to work with good atmosphere",3,#N/A
82,11,"Good starting salary, good introduction to financial industry, remnants of a solid engineering culture.  Growth opportunity when someone above you leaves but generally not otherwise.",3,#N/A
83,11,"good benefits, free lunch, nice office environment",4,#N/A
84,11,"Get to work with smart, energetic people who are also friendly, helpful and want to succeed as a team.  Top notch office space, great benefits.",4,#N/A
85,11,"Decent benefits and free lunch and soft drinks. If you are in Norwalk you get snacks.
Most employees get a notebook which they can bring home/use as their own",4,#N/A
86,11,"Free Lunch
Being exposed to over 200 different products redistributed through FactSet
Learning what engineering can do",4,#N/A
87,11,"Great benefits, young work environment, good life/work ratio.",4,#N/A
88,11,"> Benefits are unmatched.  Healthcare benefits, 401K match, and stock program make life less stressful
> Very few places can offer so much responsibility and compensation right out of college for individuals who didn't go to top universities (ivy league, etc).",4,#VALUE!
89,11,"Like the previous poster said benefits are unmatched. Healthcare benefits, 401K match, and stock program make life less stressful. However the benefits are used as a reason for lower raises/bonuses throughout the years.",2,#N/A
90,11,"Good benefits
Decent pay
Colleagues are both friendly and capable",4,#N/A
91,13,"* good people, generally
* relatively fewer office politics
* free lunches 4/5 days of the week
* professional, but comfortable atmosphere
* diverse set of products within the platform allows for exploration in other engineering interests",3,#N/A
92,13,"FactSet has a lot of great people, interesting projects to work on, and good salary and benefits.  The intelligence and ability of your coworkers is really impressive.",3,#N/A
93,13,FactSet employs a large number of highly intelligent individuals each seeking to make FactSet the best provider of information and analytic services to its client base.,4,#N/A
94,13,"-Great benefits
-free lunch
-young colleagues
-get to travel depending on region
-network with high level investment professionals
-learn great multi tasking skills
-great software",4,#N/A
95,13,"- Decent benefits package.
- Plenty of opportunities to demonstrate your abilities early on.
- Friendly atmosphere.

If you are a recent college graduate looking for a responsibility early on, this is a great place to start.",4,#N/A
96,13,"Free snacks and  lunch program
Tons of opportunity to learn about finance
Encouragement to take the CFA exam
Creative individuals are rewarded
Senior Management is open to new ideas
Good insurance",4,#N/A
97,13,"This place has work life balance, interesting work, many technologies in use, and is an open and friendly place to work.  Factset really values their employees.",4,#N/A
98,13,A good start at the begining of your career as FactSet is a good name to carry in the investment arena. Good access and learning how to use FactSet products. Free lunch.,4,#N/A
99,13,"nice people to work with, the company is very flexible and accommodating. Still has a small company feeling even though we have grown a lot in the last few years",2,#N/A
100,13,"Good benefits package and free lunches, flexible working hours, relaxed atmosphere and not very bureaucratic (but getting more corporate by the minute).",4,#N/A
101,14,"FactSet is a great place to start your career. With a relatively flat structure, your opportunities make an impact are high. The benefits package is also all-around a large perk and something that will lull you into staying for a long time.",3,#N/A
102,14,"* Very good benefits
* Free lunch
* Many nice people",3,#N/A
103,14,Good work life balance. Veyr nice offices. Great perks such as free lunch and snacks and drinks in office,4,#N/A
104,14,"Great work environment
Great benefits
Nice people
For the hours your work, starting salary is competitive, however, since your clients are all in finance, you feel as if you are underpaid",4,#N/A
105,14,"quality of life, generally you have a good balance working at FactSet
free lunch for people is a positive
health insurance is very good and cost effective",4,#N/A
106,14,"FactSet is a great company to work for, but the Consultant position is not for everyone.  If you are interested in Finance and technology, both, than this role may be perfect for you. However, the technical aspect can be overwhelming for someone who did not expect it.",4,#VALUE!
107,14,FactSet is a good place to start a career,4,#N/A
108,14,"The best reasons to work at FactSet are:
1. work/life balance - engineers here are not overworked, and I think they are more productive because of this
2. hands-off management - you get a lot of freedom when developing your projects, and there is little micromanagement
3. atmosphere - it is a very collegial environment, with people doing serious work but able to have fun at the same time",4,#VALUE!
109,14,"It's a good place for if you're not very ambitious, and I think they make an effort to find those types of people anyway.",2,#N/A
110,14,"- Great initial training program
- Opportunities to work hard and progress through the ranks at pace.
- Technical freedom for projects (little micro-management)",4,#N/A
111,15,"Very Lax work environment
Great Pay and Benefits
Very Flexible hours
Lots of free food and snacks
Lots of room for growth",3,#N/A
112,15,"-Company values employees
-Emphasis on hiring great people both technical and social
-Get to work with a wide range of technology",3,#N/A
113,15,"inviting and exciting culture, great people, lots of opportunities for learning",4,#N/A
114,15,"good benefits
free lunch
interesting technologies in few areas",4,#N/A
115,15,Personalized cube to have private working space. Work from home when it is necessary is convenient for you. Free lunch.,4,#N/A
116,15,Great Work/Life Balance and friendly atmosphere,4,#N/A
117,15,"Great corporate culture, which explains why they are on Fortune's Best Places to Work For List",4,#N/A
118,15,"It's a good, medium sized company to work at.  Not so big that you don't have the chance to know everyone in your department (Engineering, Sales, Systems, etc), and not so small that everyone knows everything about everyone else.
Managers work their way up through engineering, so you can talk to someone 4 levels above you about detailed technical problems if you want.
If you work hard, you can get a good name and... respect for yourself.",4,#VALUE!
119,15,"Exposed to top-level decision makers on both the buy and sell side on a regular basis.
Young, vibrant culture.
Rapid advancement",2,#N/A
120,15,"great co-workers
steep learning curve (out-of-college)
flexible hours",4,#N/A
121,16,"Free lunch, great life / work balance, talented engineers, tech freedom, great benefits, good office location, good amount of leave",3,#N/A
122,16,"* Great health insurance, dental, 401k
* Free lunch from Mon - Thu
* Free drinks and snacks
* Very healthy environment
* Rapid growth
* Pay for CFA",3,#N/A
123,16,"Its a relaxed place to work, considering they are in financial services, and people are very relaxed. The environment is positive and everyone is very nice. You get a free lunch, and a number of benefits, such as a laptop etc. The work is interesting.",4,#N/A
124,16,"- Die Arbeitszeiten werden besser, je höher man sich in der Hierarchie befindet
- Kostenloses Essen & Getränke
- Das Bürogebäude weiß zu gefallen
- Ein wachsendes Unternehmen",4,#N/A
125,16,FactSet is a fantastic place to work with phenomenal benefits. Its the benefits that keep most people at FactSet inspite of the compensation not being too competitive.,4,#N/A
126,16,"Free lunch. Flexibility. If you put your time in and meet your goals, you can work independently.   Team environment.  Positive young company.",4,#N/A
127,16,"- Relaxed environment
- Working from home
- Free lunch",4,#N/A
128,16,"-excellent exposure to all aspects of the business (being proactive helps a lot)
-company cares for its employees with good perks, 401k matching, and plenty of open communication from HR
-excellent communication lines across different groups
-very l",4,#N/A
129,16,"Great place to launch a career. The atmosphere is challenging and energetic, and the FactSetters are always helpful.",2,#N/A
130,16,"As a consultant you'll receive experience you can't find in most entry level positions fresh out of college, including:

-Directly affecting the company's bottom line
-Freedom to control your own work/travel schedule
-Exposure to literally every aspect of finance and the knowledge to perform most entry level finance jobs in half the time our users can
-Conducting meetings with C level execs and presenting... ideas/training investment professionals in all areas of finance
-Experience in sales, project management, developing relationships, financial modeling, technical support, etc. etc.",4,#VALUE!
131,17,"-Good company benefits
-Good relationship and communication with management
-Work environment
-Not much pressure on work
-Company cares about employees
-Interaction among departments
-Good team environment",3,#N/A
132,17,"Great work environment, they do a great job of hiring talented individuals.  Non-aggressive environment that encourages personal growth as a young person.  Diverse products that give you exposure to many different areas in the financials markets.",3,#N/A
133,17,"1 responsibility straight away
vibrant community
free lunches (and snacks, brilliant!)
growing company
managers are nice
I can see myself here for at least 5 years",4,#N/A
134,17,a lot of smart and very knowledgeable engineers that are willing to share information and ideas.  as an engineer it is very easy to work on different projects or experiment/learn with new languages.,4,#N/A
135,17,Relaxed atmosphere and interesting people,4,#N/A
136,17,You get a chance to work with intelligent and friendly people.  You have a real impact on the software that the clients use.,4,#N/A
137,17,employers have good comm with management,4,#N/A
138,17,"friendly atmosphere, free lunch, good product",4,#N/A
139,17,"Great people, great product, great clients",2,#N/A
140,17,Free Lunch; Flexible working schedule,4,#N/A
141,18,"has good perks and benefits, there is a high percentage to be part of growing company",3,#N/A
142,18,"- Challenging in terms of the training which is good
- There is sharing of knowledge
- People are smart and nice so you get to bounce ideas and feedback from them
- The clients they cater to allow for inside view of the financial services and how it",3,#N/A
143,18,"FactSet is an incredibly fun and rewarding place to work. There is a lot of opportunity in terms of career development, and employees are given a huge amount of responsibility from the very beginning. The benefits are next to none, the pension plan is great, the free lunch is a nice perk, and you get free dinner on those nights where you are stuck working late. 

The actual work is quite fun as well, you get to be... social and go visit clients frequently. Depending on which team you are you can travel frequently. 

I have never once gone to bed on a Sunday night feeling sad or annoyed about having to in to work the next day. That is the first time I can say that about any job..",4,#VALUE!
144,18,"Free Lunch Program
Fantastic Health Benefits
Tuition Reimbursement
Good Bonuses
Intelligent Co-Workers
Very Flexible with Schedules
Room for career growth",4,#N/A
145,18,"- Casual and friendly atmosphere
- Clean and professional work space
- Some projects are interesting
- Pockets of real talent do exist",4,#N/A
146,18,"- Great culture and environment to work in
- You get to work with a very diverse set of clients and gain exposure to the finance industry.
- You get a lot of independence and responsibility very early on in your career",4,#N/A
147,18,"- Great Vision and products
- Great benefits
- Less pressure
- Friendly co-workers and management
- Competent Engineers and others",4,#N/A
148,18,"Work with really cool people, who are of comparable age.  Employees here are very nice and fun to work with.",4,#N/A
149,18,"On-site exposure to investment management professionals, opportunity to build network of relationships in buyside space, access to resources to learn about finance and financial markets, great training for new employees, benefits are exceptional",2,#N/A
150,18,"Good Salary, Freedom and Flexibility in work",4,#N/A
151,19,The only thing you can feel good about FactSet is the name. You can say you are working in MNC.,3,#N/A
152,19,"Opportunity, you have a great chance at advancing quickly if you work hard.",3,#N/A
153,19,"- Many opportunities to build close and friendly relationships with other members of the company. If there's a hobby you have, chances are you'll have no problem finding a buddy with the same hobby in the company and developing a long-lasting friendship.",4,#N/A
154,19,"Friendly, helpful colleagues
Free lunch
Flexible working hours as long as you get the work done
Relative job security (offset by poor pay in cons below)",4,#N/A
155,19,"Great benefits
Flexible hours
Very smart and friendly co-workers
Opportunities for advancement in software engineering exist, if you are willing to speak up for yourself and make management aware of your desires",4,#N/A
156,19,"FactSet has provided me with opportunities to meet new people, learn new technologies and provided space to develop ideas into fully fledged products. The team ethic at FactSet is second to none and selfless way in which team members help others achieve goals for the benefit of all leads to great rewards. Senior execs are happy to speak with new recruits in the hallways and no question is off limit. It really helps... cement the feeling that my opinions are taking and considered seriously and courteously.",4,#VALUE!
157,19,"Financial rewards are very good indeed when compared with other software companies in London and the rest of the UK, particularly the starting salary. Other benefits are also great, there is a good pension scheme and free lunch, snacks, fruit and drinks are provided every day.

There are lots of opportunities for growth in both technical knowledge and career (such as management roles) for those who perform well (I... was able to achieve a senior role and management position within a few years thanks to high performance). Employees are encouraged to take on projects outside of their immediate responsibilities in order to help them grow, which also brings some interesting variation to the job.

The environment is definitely engineering focussed and very relaxed, senior managers chat and have lunch with new recruits. There are regular social events that are fully paid for by the company, things like go-karting, bowling, etc, which are great fun and many people regularly socialise together after work too. This kind of environment has been very hard to find in software enginering jobs in London in my past experience.",4,#VALUE!
158,19,"Laid back atmosphere , and a low stress enviornment",4,#N/A
159,19,"The benefits are above average, and the work life balance is extremely gracious, especially for a job in the financial sector.  Compensation is fair, given what is asked of the engineers, and the culture is extremely favorable.",2,#N/A
160,19,"work life balance, free lunch, free snacks and drinks, surrounded by very intelligent and friendly coworkers, good health coverage, stock purchase program, low stress work environment",4,#N/A
161,20,"good work-life balance
stress free Job
free lunch Monday-Thursday
full health benefits 
401-K match and stock plan
lot's of responsibility only months into the job
excellent exposure to clients",3,#N/A
162,20,"Strong organizational culture. Results-oriented leadership. Strong direction. Great benefits, including generous vacation policy, health, dental, and eye coverage and free lunch!",3,#N/A
163,20,"- Relaxed atmosphere. Get your work done and no one will ask questions.
- Good place to learn from intelligent, friendly people. The technical library is very handy.
- Some teams offer quick advancement opportunities.",4,#N/A
164,20,"Encourages independence, creativity, and ownership",4,#N/A
165,20,"Good salary
Transport Program
Good work life balance
Good HR",4,#N/A
166,20,Overall FactSet has nice people who work very hard. Many of my closest friends are people I met at FactSet and I think most people stay at the company a lot longer than they would somewhere else because of the close ties that they forge with their training class.There is a young culture mainly because the company recruits consultants right out of college. There are also great health benefits and a 401k match program.,4,#VALUE!
167,20,the salary and benefits at FactSet are most likely the key factors of making it one of the best places to work at.,4,#N/A
168,20,The atmosphere is unbeatable and you truly feel like part of the team.  You work one-on-one with professionals in the investment field and can get first hand experience with all aspects of the finance field.  Everyone has to a positive outlook and seems to generally enjoy what they do.,4,#VALUE!
169,20,"Compensation is fair for most teams, bonus program is good.
Time off for personal exigencies
Escalations are not the way of life and heavens do not fall if you miss a deadline",2,#N/A
170,20,"Benefits, work/life balance, work from home privileges (note: not all teams have this), very strong engineering culture, smart engineers and capable managers, relatively fair review system, tries to be client driven, strong onboarding plan (new hire training, mentors), innovation encouraged, company will support you resource-wise in ""getting things done"", relatively little bureaucracy due to PD / engineering... division of labor, patience with new hires, excellent in-house managerial training, decent social atmosphere (you have to be here for a while to appreciate it).",4,#VALUE!
171,21,"Culture, benefits, people are awesome.  You work with your friends.",3,#N/A
172,21,BALANCE with work and life.,3,#N/A
173,21,"Liberté, flexibilité et des chances raisonnables de gravir les échelons et de vous créer un CV solide dans le secteur.",4,#N/A
174,21,"- Great entry point in to software and financial industries
- Intelligent and ambitious colleagues
- Wide array of technologies to work on
- Technically competent management
- Career growth opportunities
- Good training programs for mid-career e",4,#N/A
175,21,"> A good place to start career as fresher.
> Talent and effort are well recognized and rewarded by management.
> Transportation, health benefits, free food are on high reasons.",4,#N/A
176,21,"Good Work Culture, Enjoying while working at factset.",4,#N/A
177,21,"-laid back
-low salary compared to competitor (depends on the department. some departments are paid ok, but some departments are not)",4,#N/A
178,21,"freedom, high level of responsibility",4,#N/A
179,21,"Good Infrastructure and snacks, refreshments.",2,#N/A
180,21,"There is good communication at FactSet - everyone is friendly, there are free lunches and a lot of company/community events.  In addition, their training is very thorough and there is a sense of pride at the company.  Good work is congratulated",4,#N/A
181,22,"Build excel models
train clients
Work-Life Balance",3,#N/A
182,22,Good place where it will exploit the talents and skills of the employees and overall good work environment with co workers.,3,#N/A
183,22,"Will build strong basics in F&A
For Top Performers - Has fast-track growth opportunities until they move up till a Team Lead
Personal Life - Best place for working mothers, Factset lacks work pressure.",4,#N/A
184,22,Working with smart and nice people.,4,#N/A
185,22,"-Easy to get hired (simple interview process, recruit at both strong and mediocre schools
-Strong ability to network with professionals in financial services
-Social environment may be desirable to those who still want to be in college",4,#N/A
186,22,Work life balance is the best in the industry,4,#N/A
187,22,best work life balance. free food.,4,#N/A
188,22,"- very laid back... as long as you complete your projects and are offering value management is hands off.
- covers almost all of financial products so there is always an area to learn and excel in..
- good salary growth and benefits..
- a lot of gen",4,#N/A
189,22,It's a best Place to start your career but not to stay,2,#N/A
190,22,"FactSet is a great place to work because of the people, young and fun environment. Free lunches are great too.",4,#N/A
191,23,"Good Benefits Package
3 weeks vacation when you start
Office Events/Gifts",3,#N/A
192,23,"I was fortunate enough to have a manager who was very hands off and trustful of the work I did.  I was also given a decent amount of autonomy of the enhancements I released.  Management trusted my knowledge of the product and also my ability to work with the engineers. Because of that, I was able to put out many successful products.  When managers throughout the office have a little faith in your abilities, it can... actually take you a long way.  The environment is very conducive for you to learn as much as possible.  The skills you learn there can be applied in many other companies.",3,#VALUE!
