"","cons_page1"
"19","You have to work pretty hard; long hours and work/life balance is not the easiest to pull off.  But, if you like what you do, it is actually not bad."
"20","Senior management has actually weathered the financial crisis with great vision, and I am very impressed with the c-level officers/presidents of our company.  We are growing, despite being in a treacherous market for our customer base.  That is amazing."
"21","If you are a college grad there are a lot of managers your own age and experience level.  Office politics are significant.  While not stereotyping everyone, there is a definite sense that folks are there for their own good and team work is typically a barter of political capital rather than an immerse, fun experience"
"22","Listen to all employees.  Be involved with daily life, employees had little to no interaction with senior management, even at social gatherings when their ""favorites"" would just hover around them.  This isn't grade school - getting a gold star from teacher isn't going to help us beat Bloomberg and others."
"23","Political and promotions based more on popularity than work achieved."
"24","Promotions to management positions are given due to longevity at company as opposed to competency."
"25","After a year of hard work I got a very nice bonus, but no salary increase. I was told it's the economy. If they really valued me, give me some salary increase and some bonus. It would work out to the same this year. In 2010 when the economy is better is the only time they would see this increase. It tells me they only care about me for the short term."
"26","Meet with regular employees in NY, not in Norwalk. Get to know them.."
"27","Very long hours, nasty salespeople that never say thank you for the hard work you put in, but are happy to take credit for said work in front of management and clients.  Lots of inter-office politics (although it is a corporate environment so that's not surprising) and managers who shouldn't be managers.  There is also this attitude held by many senior Consultants that they shouldn't have to help you (being the new... guy) because no one helped them back in the day.  It leaves a very bad taste in your mouth.  They also coach young employees who have never worked at another company that there is no life after"
"28","Stop being so close-minded to change."
"29","Probably varies by group as well, but my group had silly ""salary caps""; bonuses are rolled into the annual increase (i.e. it takes 2 years to fully collect on busting your butt year 1)."
"30","Make sales listen to engineers -- not push ""this is how I sell the product, now support it"".  Make engineers learn how the products are used -- have to be better ways to support sales."
"31","Would rather have a better office in California."
"32","Can't think of any."
"33","Hours can be long. Compensation could be higher. I havent been around long enough yet to know how the compensation scale works as one advances within the company. Factset also does not have a ton of its own content."
"34","Need better Q&A for content. Content on the fixed income side needs to be ramped up so that we can compete with Bloomberg for the huge fixed income community."
"35","Bad employees are rarely dealt with, this can result in lower morale for the good employees."
"36","Deal with problem employees quicker.  Newer employees are more worried about their current money problems than long term, so while stock options are great for more senior people who aren't dealing with college debt, trying to buy a house, ect, newer employees are more interested in up front cash to help them through these issues."
"37","The salary is decent, especially when you start out working. But, you can probably get more elsewhere as time goes on and you become more experienced. Then again, you will have to work in a more stressful environment to get that higher salary, so it is up to you to decide what you want more. The annual feedback review process is annoying. You have to fill out a long for for yourself and a bunch of people you have... worked with during the year. The form is way too long with too many duplicate questions that you have to answer."
"38","Keep up the good work in terms of running the company, but watch out for smaller competitors. Be careful as you transition from being a small company to being a medium sized company. The friendly environment and culture is a big selling point of the company and it would be a shame if the company lost that as it grew and became bigger. Do something about the review process, it is annoying and takes up too much... valuable time that can be better spent elsewhere."
"39","Pay is not that great. Too many men. I feel like the starting pay should be a lot higher than it is. For a consultant it is 50,000. They could stand to pay at least 55,000. I am new so i am not sure what the bonus or pay schedule is. they obviously make a point of concealing that upon employment but it would certainly be some information worth reporting to make up for the lousy pay!"
"40","Spend more time with the people who are helping out the company... BETTER PAY!"
"41","Pas le lieu idéal pour une calme journée de travail de 8 heures"
"42","communiquez plus et soyez plus direct dans vos décisions. Devoir constamment attendre un consensus est épuisant."
"43","Weather can be harsh for those who didn't grow up in the area.  Cost of living is fairly high."
"44","Not application at this level."
"45","I don't really know of any."
"46","Keep up the good work!"
"47","hr is terrible at communicating things.  they screwed everyone over with the education assistance policy as well."
"48","bring back education assistance."
"49","Because of the rapid growth of the company and the exploding demand for many of our products, nearly every group is overworked and/or understaffed.  This sets a great stage for those interested in opportunities to step up and be noticed, but will severely unsettle those who are accustomed to ""quiet"" weeks."
"50","Keep up the good work."
"51","The biggest problem about working for FDS is that they're a financial company masquerading as a software company. Things move very slowly, even in the heart of silicon valley, and FDS's big banking clients are not receptive to any huge changes, which makes for slow, even outdated technological development. Beyond that, the company seems to value its salespeople more than its engineers, which makes for some... frustrating experiences as an engineer when dealing with upper management on even trivial issues. This issue is made worse by the San Mateo office location, which is a remote office and has to go back to headquarters for any significant decisions as well as higher promotional opportunities."
"52","Try to grow the San Mateo office; the silicon valley and UC Berkeley + Stanford is too good of a resource to ignore."
"53","somewhat large number of ""floaters"" - people who are not deliberative or who show poor leadership skills"
"54","more often, reward calculated risk-taking and honest reviews of performance (leadership skills are paramount) with pay increases"
"55","It's a do-it-yourself kind of atmosphere - there's no handholding.  This is a very positive thing, but it also means that if you don't take initiative, you won't move up the ranks.  Daily work can be difficult when you have no idea what the client is asking for.  Nobody here will just give you the answer, everyone works hard to try and figure things out on their own before asking for help. Don't get me wrong, plenty... of help is always available if you need it."
"56","Try to keep the company culture as laid back as possible.  The more we trend toward a staunchy corporate environment, the more your employees will act up and the less respect they'll have for you."
"57","FactSet does not seem to believe in formal education and if that is a big issue for you it is not a good place to be. Employees tend to progress on their own. Opportunities at FactSet usually means putting in the time career wise, so industry hires can sometimes be overlooked even though they may have great experience to bring to the table."
"58","Investing in the development of the company's biggest asset - people - should be a primary focus to take the company to the next level. As a technology company, not staying up to date with latest techniques, not just technologies, will allow smaller companies to catch up."
"59","big company, new york has a lot of tourists"
"60","Great Job!"
"61","Some departments are perceived as more valuable than others, which makes career advancement difficult in some roles."
"62","Continue to build the communications channel between management and employees; look beyond just Sales & Engineering for leaders."
"63","Need to have a better job description for consultants starting out, so they know what they are getting into."
"64","Keep up the good work"
"65","Some of the work particularly on the support side that you receive in Consulting can be boring or tedious at times.  Additionally, most of your pay does not come in the form of bonuses but rather in the form of straight salary.  There are random bonus' for different things such as completion of each CFA level but not in general unless you are in sales or some area of product development.  Additionally, it seems to... be hard to distinguish yourself as an employee in the short-run and often this is reflected in consultants under two years of tenure having very similar employee reviews."
"66","Having consultants get some sort of holiday bonus or fiscal year end bonus in addition to a raise."
"67","Some client facing positions require a fair amount of travel and extra work hours."
"68","Improve employee morale at the consultant level by rewarding those that work hard and actually firing/disciplining those that are not up to par.  It's hard to stay motivated when others around you do nothing and still get by."
"69","compensation could be better and the level of employee competence is somewhat variable.  the company mostly hires people right out of college, leading to a single-track mentality and a sort of cultish attitude.  that being said, if people leave the company, they are often welcomed back and management respects the new perspective that outside experience brings."
"70","management is somewhat conservative and single-minded in their approach, as most have spent the great majority , if not all, of their professional lives at the company."
"71","The Norwalk, CT location poses a challenge when hiring and retaining the best candidates."
"72","Continue communicating with the organization as often and as openly as you currently are, particularly in these more uncertain economic times."
"73","Once you're in sales you're stuck there"
"74","Keep on doing what you do"
"75","The location of the Headquarters is the biggest drawback.  Norwalk is unremarkable, traffic in that part of Connecticut is horrendous and the public transportation is challenging at best.

Sometimes the necessary formalism is overshadowed by learning, participation and getting things done.  This is great most of the time but frustrating when official career advancement becomes nebulous."
"76","I am in awe of your performance in this tumultuous market."
"77","Consistently long hours. I would like to be paid more. I don't have many negatives to say. Negative reviews would only come from poor performers who don't work hard or disgruntled employees of a company FactSet acquired."
"78","FactSet's senior management has all my confidence. They all carry themselves with humility, confidence and integrity. My advice would be to continue what they've been doing the past 5 years."
"79","FactSet suffers only from some similar problems to larger corporations, the occasional inability to look 5 steps in the future etc."
"80","Be proactive rather than reactive.  Reactive is our secure place, but we will need to drive further ahead to beat our already established competition"
"81","A bit difficult to make it here and be able to move around if you don't start as a consultant."
"82","I don't have a lot of access to senior management"
"83","Some departments are better than others.  Software Engineering is very highly thought of.  There is a lot of turnover in their Consulting (support) and Systems Engineering (IT) departments for various reasons.  Consultants are quickly promoted, IT seems to be a poorly run department from talking to folks within the department.  Consultants normally go on to become either sales or product development.  The product... development department, in particular, has excellent leadership and has done an excellent job attracting top talent from outside the company."
"84","Hiring outside the company for senior roles has worked out excellently for product development, they should consider doing the same for departments which may be performing poorly or could use some fresh ideas."
"85","It is a data driven company... somewhat boring at times"
"86","keep doing what you're doing"
"87","Compensation is unclear and only in first year, and some employees have low morale because job responsibilities did not meet expectations. Strong work and life balance but lack of motivational compensation like bonus etc. for hard work so far."
"88","Can't think of any advice."
"89","The salary is below par for people below managerial status. Compared to other companies Factset is severly lacking."
"90","better salary"
"91","Can't think of any right now."
"92","Keep up the good work."
"93","Everyone is young - and right out of college."
"94","You're doing a great job."
"95","The location of the headquarters, Norwalk, Ct isn't the best. There isn't a ton to do, however it is close enough to New York and not too far away from Boston."
"96","Nothing"
"97","The worst thing is that it is far from cities.
For some people who like suburban area it could be a good thing, but personally, as a young engineer, I would prefer more urban areas to live in."
"98","Share more information with the employees even if they are not good news."
"99","Working the helpdesk at the beginning of your career.  Compensation is just okay.  Also in terms of career advancement it is pretty much sales or a product specialist.  There are some advancement opportunities in management but that is limited."
"100","Senior Management does an excellcent job of running the firm and keeping its shareholders and employees happy."
"101","No performance-based compensation for consultants.  Others have fantastic compensation."
"102","Give Consultants a piece of the pie.  They do a lot of the dirty work in client managment and Sales reps reap all of the benefits."
"103","Beginning salaries are generally low and the office environment can be somewhat noisy making it difficult to concentrate at times."
"104","Offer training classes for more concrete skills.  At the moment, you can learn how to give presentations, write better email but what we would really need to do an effective job are technical skills such as scripting, database operations or using the development system more effectively.  On the other hand, perhaps such sessions could be arranged by us bypassing the training department."
"105","Jobs that are client facing can be tough since some of the people that you might work with are under high pressure and pass that pressure on to you.  This might result in working long hours but FactSet provides all the tools to help the clients out while minimizing the burden on you.  Management roadmaps aren't always clear and concise or when they are they don't always have status updates communicated downward. ... Working with older technology or hardware can also be quite frustrating however management seems to understand and are working to eliminate unreliable or outdated technology as budgets and end of life agreements allow."
"106","Remain open, communicate clear and concise plans, regularly update employees of plans, and communicate clearly to all managers expected response and involvement in achieving the high level plans while defining quantitative measures of success."
"107","No year end bonuses based on performance."
"108","Be more understanding to employees. Give them credit."
"109","Only thing that ever bothers me is the location, but that's hardly a problem in a relative sense, it's just a busy area."
"110","Keep it up, and make sure to stay just as level headed as the company gets bigger.  Continue asking managers to perform instead of just manage."
"111","If you want to be successful you pretty much need to give up everything outside of work (Other than socializing with coworkers at 11pm after work), even though there are few apparent rewards for doing so."
"112","FactSet is easily considered secretive, stuffy, and slow acting compared to the ""Glamor"" companies out there.

That is a pity as that is not how it was when you or even I started here. With the now thousands of people working for you, most with less than 5 years experience, please don't grow distant by surrounding yourselves with people who only tell you what you want to hear. 

Just because someone is low on... the totem pole doesn't mean that their opinion shouldn't be heard. 

Our culture of honesty and openess is easily eroded and could be destroyed if not continually tended to. 

A perception of high handed and out of touch management is still poor management despite the best of intentions, and it is a trap that can and should be avoided. 

I don't think that we're over the cliff by a long shot, although, some might say we already are, but there is growing dissent in the junior ranks who are only experiencing the ""diet"" or ""lite"" version of what makes us FactSet. 

By engaging them fully and openly we can prevent dilution of the core values and determination that got us to where we are today. Without it we lose the magic that makes us FactSet instead of being just like the monsterous, faceless, uncaring and intellectually bankrupt other companies that play in our space.

 The above focuses on the negatives, but it's easy to overlook the positives of your management that have got us to where we are now. It's not often you hear this, but thank you for doing a great job so far, and if you keep getting it right we can only continue to succeed."
"113","Disjointed organization, communication between department needs work. 

Issues with the competitive landscape of the industry. While being at a smaller company has many advantages in certain arenas it is difficult to compete with the resources and manpower of some of its top competitors. It is a case where the company needs to carefully pick their battles moving forward to avoid getting stepped on by the two... headed giant."
"114","Flatter structure. Our advantage is being the smaller and more flexible player in our field."
"115","Pay can be a lot lower at the start but no indication of how much potential there is. No one helps you so much with career progression, there isn't any advice given, but more a chance for you to create opportunities for yourself."
"116","good job."
"117","- Skills too thinly spread out
- Career advancement in ONLY Product Development, Sales or Engineering
- Management do not have the proper skills to become adequate managers
- No serious formal training for factors outside of the application"
"118","Please stop pretending that we can be buddies with our competitors. You need to realize that we are entering into a space of being a data provider, not just data delivery. If you think you can keep on eating Thomson Reuters Free lunches, then you are in for a huge surprise once you become the only data vendor with only one set of incomplete data to deliver. Also please recognize that we are a software company. We... need to invest heavily in our R&D and engineers to stay on top. We should not rely on requests from our clients as our R&D. If they have to request for something, then it's too late because chances are, someone already has that functionality. Our technology is dated & we need a revamp to stay competitive with other vendors."
"119","takes a while to progess through the ranks"
"120","provide better incentives to consulants"
"121","The real life at FactSet: Once hired out of college you are a ""consultant"". However for the first 6 months-a year you are on a help desk taking phone calls (till they decide to move this function to India). The next year you are actually a consultant. However you then have a choice. 

If you don't get poached by a client you career path could be ""specialist"". You then get a small bump in pay, still do help... desk/consulting work for a particular product but then have the additional goal of doing sales. They will also stick you with existing accounts. If you are new you are likely to get some account that are about to have canceled. These numbers will count against you raise/bonus time your first year. You will then be told, oh well, we had that too, just sell more to prevent it. However you will need to depend on the sales generalist to sell. If you have a complex product  you are then basically doing the sales job as well. Make a sale and the generalist will take credit. Don't make it, and it was your fault.

Your other career path is ""Account Executive"". Here you are a Jr Sales person working on existing companies rather than new business for a Sales Generalist. Again you will be given accounts in bad shape. Eventually you move to Sales Generalist where you just become another sales person till you have a bad year or two and then slowly pushed out.

The people who get treated decent are the Engineers and Development. The only issue in these roles is that your promotion is a little extra money and a nicer title. Real promotions take a long time and before you realize it you will be middle-aged and replacable by a 20-something year old. After-all for the first few years, you could be more senior, but you will have the same title as them.

The people telling you need to stay 5 years or so to get promoted want you to work cheaply and not move up for the next 5 years. At FactSet the rule is you can apply for a promotion after a year. However each time my particular manager would tell me how my position wasn't short-term and needed to be a long term 5-7 year position. They would tell me how they can't evaluate a potential promotion schedule until I'm in the position for 2 year. After 2 years of course, the promotion is in title, not really anything else.

The 3 weeks vacation is decent, but you end up working lots of additional hours. You really should get comp time for those hours.

There are other companies out there that treat their employees better."
"122","Many product groups have managers which is unfortunately made up of sales people with little experience with the product. They get put there because they sold general FactSet. This is the wrong structure. 

Our competitors have experienced people in the management of the group. How can a manager who knows little about the product supervise a specialist who knows more than him/her? Worst they managers drive the... enhancement/development agenda without knowing what's going on for the first year or two. Hire outside-experienced people to be manager of groups OR promote experienced specialists, not just the top-performing sales person of the year. Selling and Managing have little in common."
"123","2 years ago FactSet was a great place to work. The problem with a young workforce is they never saw a recession. Now everyone is scared for their jobs and their is backstabbing left and right.

With the Economy going bad, costs are being cut. People are disappearing left and right, but slowly, maybe one person a week. The problem seems to be some of these people were hard working, but made too much. A decent... company gives people a severance package layoff. But by avoiding a "" layoff"" and doing something gradual, these people are not being given anything. 

Benefits are also being cut. I noticed managers of 10 yrs having their blackberry being taken away. The blackberry increases productivity. Home internet (since many people work from home after leaving) is also no longer reimbursed. Cutting costs is a good thing, but not when you are cutting productivity with it.

Consulting and sales are being hit hard. Engineering and development are being spared.

Another problem is the FactSet way is to promote internally (which is good in moderation). The problem is this does not hold for all positions which require education and skills. I have noticed people one year out of college being promoted to very analytical positions to replace people who made too much. In the past, a client used to ask the consultants/specialist (who were experienced) questions. Now it seems the consultants/specialist are so new they are the ones asking the questions. What's scary is after a few years these people will probably be replaced themselves.

As the previous poster said, there's little of a career path. You may get a higher title and a little bit more money, but that's it. You are told to put in your time and be patient. But that's just to keep you there. When you are in your 30s and 40s and unemployed you better have done something during your time at FactSet (CFA, MBA?). Otherwise you will be wondering why you didn't take the job at Ernst & Young or Goldman Sachs like your friend out of college."
"124","Realize you need experienced people working at the company. Hiring college grads on the cheap is going to blow up when they can't probably troubleshoot issues with the analytic."
"125","And some not-very-good people. While once a great all-around company to work for, FactSet has entered the recession with the opinion that morale and experience are expendable. An up-or-out mentality has taken hold, and paycheck is the gauge. Experienced hard working individuals are pushed aside because, as a previous poster notes, they are perceived as costing too much. So complaints go up and quality goes down....
FactSet's layoff plan is truly a few at a time, as quiet as possible. Contra previous postings, development and engineering are affected, as are internal people. It's hard not to notice your colleagues suddenly missing and no one talks of them anymore.
Finally, while the CFA support is great, the actual advancement opportunities are minimal. There's a lot of titles, but the not much power in them. To work at FactSet is to find yourself running faster and faster, simply to stay in place. Better to put in 2-5 years and take your skills somewhere else."
"126","Stop hiring, stop firing (oops we mean ""laying off""), and remember that experience cannot be taught."
"127","I think the compensation from FACTSET is much less compared to its competitor. It doesn't have any bonus plans. Its located in a very expensive to live area."
"128","Leadership is generally good."
"129","Just like most other places, you have to know how to develop transferable skills by working on a mostly non-transferable knowledge-base. It is, after all, unique software built on proprietary technology where knowing all the little details gives you a decision-making advantage, but serves little purpose elsewhere."
"130","A little praise goes a long way for the underlings that are still learning to self-evaluate. It would be great if we could have more team-building events. Challenging SMART goals with pre-defined incentive are always welcome."
"131","Sometimes have to deal with impatient, and somewhat unreasonable clients.  But that can happen just about anywhere."
"132","No advice"
"133","Feedback from management is practically nil.  They're only recently decided to *start* adopting some industry-standard technologies (a bit late in the game, in my opinion).  A lot of the skills you learn there aren't really transferrable to other jobs as a result."
"134","Transparency, transparency, transparency.  There's too much cloak-and-dagger action going on and it takes employees by surprise often, sometimes to their chagrin."
"135","The worst part about FactSet is the management.  It's dominated by conservative white males who have no idea how to relate to most of the people in the company."
"136","Stop acting like this is high school and maintain this weird clique that you have.  Hadley and DiChristina are great but everyone else are kind of jerks."
"137","Some of the small company luster and feel has been lost. Management for eps under the veil of putting that money back to work through increased employee compensation. If your only interest is money, go elsewhere. If you're interested in community and life balance, may be a good fit."
"138","Management should embrace new technologies rather than relying on Outdated internal systems. Pitch to clients is buy vs build. Take your own advice."
"139","If you are not an engineer, professional growth opportunities and team-building workshops and industry conferences are non-existent.

Experienced workers with higher paying salaries need not apply. 

Company does not value intellectual property sharing. Uncollaborative stagnant environment."
"140","Although its admirable that the firm values long-term employees, I would recommend hiring in a consultant(s) to build team moral for managing employees through change and growth. Team workshops a must."
"141","Pay could be higher
hard to get promoted above someone who has been there longer even though you have worked for it.  Plus not a large opportunity to work very hard.
Hiring very fast and for above reasons everyone is replacable."
"142","Need to hire externally as most managers do not have experience of a manager role.  Need to pay more attention to the individuals and be proactive in asking what they are working on.  Managers are very friendly and approachable, but you are never certain of the truthfulness of their advice.  Generally very good!"
"143","The company lacks leaders in the engineering organization. It lacks them at every level of the organization. Nobody is in charge, nobody has a plan, nobody knows what they're doing beyond their own little fiefdom."
"144","The company needs strong leaders who will lead. There are too many people who have no idea what is going on, and no idea how they fit in with the company."
"145","- Possibility of getting pigeon-holed into certain specialties
- Compensation is average versus competitors
- Not hard enough with performance reviews meaning that people stick around longer than they should"
"146","More transparency, but overall a good job. Shake things up at the top more often."
"147","**Phil Hadley is clueless about a number of products. He only knows what he told by others. Most of the upper-mgmt just tell him what he wants to hear, hoping to keep on working till their screw ups get discovered. If he actually visited with the consultants and specialists, he would actually see what needs to be done to grow FactSet.

**It's all about selling. They will hire/promote you as a consultant or... specialist and tell you your job is account management. If you work on a hard product, you will then become the de-facto sales person. The sales generalist won't want to understand your product, so you will be doing cold calls rather than just building and strengthening existing clients/doing demos/trainings/support.. what you were hired for. Say you do get a lead by a cold call. Then you need to bring the generalist who has done very little. If it goes good, they get the credit. If it goes bad, you get the blame. 

**The company isn't good for a resume. If you put JP Morgan or Bloomberg on your resume it's gold. Putting FactSet on your resume doesn't do much.

**Not many promotion opportunities. In consulting you either become a mid-level consulting mgr or a sales person and eventually a sales mgr. Only engineering really has a career path but that is mostly by nicer titles. 

**They will now nickle and dime you. Blackberries are being taken away. Reimbursement for internet when you need to work from home is no longer done. 
To get your graduate class paid for, you need to pass the CFA (3 yr + test). To take the CFA, you need to work there 2 years. So 5 yrs of working there just to get a class paid for."
"148","Have Phil actually visit the consultants and specialists for every product. Something simple like one product a week. Go on a client visit or two to see current needs vs needs when he did it back in the 90s."
"149","Management is comprised chiefly of frat-boy Boy's Club. ""Quiet"" layoffs (er, positions eliminated) are somewhat un-nerving when one day someone just isn't at work anymore. Most of the hiring these days seems to be in third-world countries."
"150","I think they're basically doing a good job and keeping the company profitable in a challenging time. It's easy to pick things apart and criticize, but I don't feel I have the expertise to offer advice to management at this time."
"151","most positions can be type cast or pigeon holed as company and product specific skills are required
the pay is lower than comparable firms in the industry but they make up for it by offering little perks like free food and flexibility to work from home"
"152","there are many employees there who are just collecting pay checks and not doing enough work"
"153","define more concrete career paths and make a conscious effort to include more women/minorites in upper level positions"
"154","Is there a reason I look around my office and every single senior level employee is white/male/30-50?  There has been a recent uptick in female hiring, but def. a case of too little too late."
"155","Management is inexperienced and not creative. Everyone here has always been here and there is a desperate need for NEW IDEAS. People are extremely resistant to any changes and ""outside"" ideas. They say they want them but then are EXTREMELY slow to even consider them let alone implement them.

FactSet preaches about their culture but their culture is a bunch of really smart people that have minimal social skills... and experience. The culture is suffocating! If you aren't an engineer, consultant, or salesperson nobody cares about you. Doors to offices are always closed and its almost like a library in the cube areas. The silence is deafening. 

Breaking through the stubborn stuffy finance culture is a tough task!"
"156","FactSet needs more management training! They also need to open up the doors and loosen up! Make sure there is transparency throughout the organization and that people are collaborating cross departments. It would also be nice to hire from OUTSIDE the company to get some new fresh ideas and people that are willing to take chances on them!"
"157","The cubical culture makes it quite difficult to focus for long periods of time. Whenever you begin to get productive, someone drops by and starts talking."
"158","In general I think that management does a pretty good job. They listen to the employees and everyone has their voice heard before a decision is made."
"159","Lower than average compensation
Middle and lower management is not always competent
Certain projects and groups are ""boring"""
"160","Increase the salary pool for lower level engineering employees or risk having persistent high turnover"
"161","Not enough visibility on earnings potential and not big enough to provide a huge choice of careers to everyone, but will always look after the top performers"
"162","Communicate more clearly changes and aspirations behind making these changes
Ensure that the direction and company goals are clearly communicated down the chain and visible to all employees"
"163","Management does not know how to recognize and reward intelligent work.  Most engineers looking to grow have not, and will not find long term employment here.  As a previous poster states, you really need to be under the wing of an influential person in order to grow.  Also as previously stated, raises in the last few pay periods have been minimal.  Employees are being treated as a cost of the company rather than an... asset."
"164","Invest and reinvest in all your knowledge workers, not just some.  They are your most important asset.  When an employee is not given a fair raise for work that produced additional sales, it weighs heavily on the mind.  The cost of that loss of focus on work is much greater than conferring the deserved bonus."
"165","If you start in consulting and are told you can ""go anywhere"" in the company after a year or 18 months, don't buy it.  Even if another department wants you, consulting doesn't let people out easily."
"166","Be honest when hiring about what kinds of career paths there are."
"167","Becoming somewhat bureaucratic as the company grows.  Takes a really long time to graduate out of a cubicle and into an office.  Deal with a lot of legacy technology."
"168","Communicate priorities clearly - don't try to bite off too much and spread ourselves too thin.  Aggressively pursue new technologies across the entire product suite."
"169","No promotion potential. If you work hard your best bet is to work harder sending your resumes to other companies

Raises and bonuses are much smaller the last few years even when the company was doing good

Getting time off for family or sickness just doesn't happen like it used to.


Senior management is in the midst of turn-over. New senior management hasn't done much except promote people they are close... with (not necessarily the best performers/hardest workers)."
"170","Change the culture so the hardest workers/best performers can move up not just get a new title."
"171","Majority of managers have no prior industry experience, a requirement of the FactSet 360 review

Managers have outdated skill set and do not possess the skills that are now required to manage new restructured positions and new positions they are hiring for"
"172","Stop accepting new hire slots haphazardly when there is no real career path intended for the role. Discontinue the backtracking and covering up of management mistakes by hiring new people to obtain theknowledge that you could easily discover yourself..it's not only wasteful but it's the reason you earn bonuses and have progressed so well at the firm in the first place

Put in more time, most higher managers work... 9-5 or come in early and leave at 5pm

Just because the company has done well and just because you have been there since it's pre-IPO days, does not give you the license to not work hard today.

Stop looking down at staff who haven't been there from inception or who have not been recruited from select schools. Continue to work hard in these down economic times....and give bonuses and compensation carefully, not just to those people who do the majority of the 360 reviews = oftentimes it's political."
"173","The corporate structure needs to be overhauled to provide more opportunities for consultants to progress within the company.  As it stands now, consultants are pigeon holed with current accounts and receive promotions by being in the right place at the right time.  There is very little communication from management about future opportunities or professional coaching to retain top performing employees."
"174","Increase communication about management changes and potential career paths."
"175",">Having a great opportunity like this out of school can make it hard to really appreciate how good you have it relative to other companies- I think this can lead to misguided discontent"
"176","I think communication with consultants is probably something that comes up more than other issues.  I never had any issues with this but I know others have-- I think it says more about consultants approach than management but still something they can work on."
"177","People disappearing everywhere.. In December some sales people who would always give advice and would work their asses off, were let go. They were FactSetters for life so I am sure being let go was a shock to them.

Now a bunch of people aredisappearing from the third floor in NYC. I heard they are being offer 1 month per year of service (including medical) with a 6 month max. That's pretty substandard as a few... years ago anyone let go (even people there a few months) was given a 6 month package."
"178","Keep the employees who worked their way up. Young people won't want to work for peanuts for several years to finally be given that great job, if they realize it will be a short term deal. Now that the loyal hard workers at FactSet are being let go because of what they make(not how they do), what incentive is their to stay?"
"179","General lack of leadership
Limited opportunity for mid-career engineers"
"180","Foster innovation and look to industry for people with fresh ideas and enthusiasm"
"181","no promotions based on your performance, no team building, no interaction between differnet teama/department"
"182","give people opportunity to grow within comapny in order to retain good people."
"183","-Company starting to operate for the benefit of the shareholders, not for the employees. As a stockholder this is great but I left b/c I felt the switch in the mentality of management."
"184","Stop building manager upon manager upon manager. Management system is getting ridiculously structured."
