"","x"
"117","- Politics
- Senior management is not very open"
"118","Bad management especially to the technical support team"
"119","Work gets stagnant in the long run if you don't get promoted and vertical growth is limited"
"120","Top level Management
Management strategies
Managerial politricks
Less compensation"
"121","The management should establish a good training foundation for leaders, as their role is critical.
The management should listen to new ideas and understand the new ways of working. Some are really open to changes that can benefit the organization.
The way they evaluate people can be improved as this is only based on numbers and results the behaviour must be incorporated here as well, yes there is a subjectivity... part but I think there are items that can be added like if the employee has projects, initiatives, if they joined company activities, etc. The goals that they have must be aligned with the goals of the managers as well- What's the rationale? While the team members are achieving their targets the leaders are achieving theirs too at the same time.
They should look at the extended breaks happening in different teams, this unproductive time can be used by helping out other teams, or doing projects. The team leaders I think some of them are just letting this slide but if you compute it thousands are being lost in the process. 
I hate to say this but this is a group of undisciplined individuals who can just easily get away with things violating the code of conduct which they have created within."
"122","Pay is below market rate
The tech stack is arcane and hence not too many options to learn new things 
Upper management is out of touch with tech and the products offered
Lots of cost cutting, no career progression and nothing cutting edge is happening here"
"123","no place to advance. popularity contest. poor management."
"124","stressful clients, time of work"
"125","Lower than industry standard wages
In systems administration teams there's sickening high level of bootlicking, favoritism, bias against non-white-male types.
Management is blind to those who bring it up, those people eventually get fired
This department bleeds talent out until people can't take it and they opt to move out"
"126","Many actually
1. Immigration process too worse compared to any other company - They wont start literally anything without you pushing on them. Also even if they started there is no way to track progress other than contacting the people involved. Forget about starting green card process. If you have someone on H4 then it will be a night mare to stay here. One of the reason its worse it there is only one person who... does all the things right from start till the end.
2. Management does not care too much about you if you have any immigration issues because they themselves don't know whats happening and what to do. Even if you tell them they wont care much.
3. Compensation is pretty low compared to other companies

Advice - Start with FactSet, stay for a year or so and then join a better one if you are an immigrant."
"127","Had been working there for around 1 year in 2015-2016 as a ""financial analyst"".
Absolutely the worst job I have ever had and the worst company I've ever seen. Absolute majority of the management is unqualified, the company is extremely cheap, paying low wages to empoyees, while trying to pretend to be nice by giving employees insultingly cheap ""gifts"" like small packs of the cheapest you can find juice or unhealthy... and pretty much uneatable by normal people food.
But the most important part and the reason why I want to leave the review, is the office. The company doesn't care about it's employees health. It's a typical closed office space with a lot of aircons. The aircons are not maintained right, no one cleans them ever (to cut cost, which seems like an obvious reason). This effects employees who get sick very often due to the constantly weakened immunity system. This is a well-known problem not just among the Factset employees, but also among employees of other corporations (I'm guessing they are also cheap and treating employees as an expandable material) occupying other floors of the building. It is very easy to see how a job in Factset ruins people's health, relatively slowly but steadily.
Advicing everyone NOT to consider a job in this company.
P.S.: oh yeah, forgot to mention - Factset promotes itself as a reputable American company. Do not be fooled. The Manila subdivisiin is managed primarily by Facset's Indian subsidiary. So expect indian ""high standards"" in everything."
"128","1.  Appraisal system is very opaque. Goals setting are optional and ratings depends on whims and fancies of manager.
2. Hike percentages have been slowing down off late
3. Cafeteria food is insipid and tasteless most of the days
4. There is unwritten policy of firing few people every appraisal cycle to keep everyone on their toes."
"129","Not Applicable, all over company is good"
"130","Don’t provide night shift allowance"
"131","Night shift which having the Time of Midnight 1 am to 9 am."
"132","Everything is good no. Cons"
"133","Lots of legacy... So much legacy"
"134","Some of the managers are running this company like a Government Organization 
Pathetic management and Senior Managers"
"135","As part of package wise it's less. There some policies which followed by Factset which will effect employee relations."
"136","Workweek and workshift changes every month"
"137","Never felt anything in my experience"
"138","After the new CEO started a few years ago, the company started to focus less on engineering, but more on business.  Engineering resource is lacking in most teams."
"139","Slow career progression and low pay"
"140","Management Team
Compensation
Culture
Low energy level
Cling to the past, as Bloomberg reaches $10B in revenue  vs FactSet $1.3B....Bloomberg was founded 3 years after FactSet"
"141","Very low salary and constant cost cutting of management in terms of bonus and salary increase and some of the operations is moved to hyderabad india due to constant cost cutting"
"142","I haven't seen much cons."
"143","Every day challenge and interest work here"
"144","Salary progression is every 6 months, but percentage increases even for high achievers is low, and below market rate."
"145","It is a tool for backstabbing and political movement."
"146","I do not see any negatives"
"147","Monotonous job after a while
Expect partial behavior from few team leads towards certain employees"
"148","if you don't like change, you won't thrive here."
"149","Not much to complaint. Free lunch in Japan"
"150","Most senior people have been there for a long time and limit upward potential for most."
"151","There are no condom.  The company is very Gud."
"152","- below industrial average pay
- legacy code; even though it's moving to new technology but the pace is slow
- insurance and all sorts of benefits are getting cut"
"153","Work is monotonous, People are scared to be outspoken or raise issues"
"154","Slow Career Growth, tasks gets routinary"
"155","Old outdated tech - it's getting better over the years, but slow to improve.

Not much opportunity for growth, low pay raises, slow promotions. Understandable given the size and age of the company."
"156","No growth for employees, strict sick leave policies"
"157","The organization is playing a bit of catch up on core corporate functions as it evolves from a small to a larger company."
"158","Difficult to control career advancement & salary increases since there are protocols in place to determine how many people can be in each job title + salaries are dictated based on department budgets on a yearly basis."
"159","politics , unable to enlight the effort and work"
"160","No growth, less salary, egoistic managers"
"161","Working for the same process for longer period."
"162","Stress with negative competition, Increased targets"
"163","-unpaid OT
- limited growth opportunity"
"164","Pay is not that competitive"
"165","Too few growth opportunities in a regional office."
"166","-Non corporate working environment
-Limited career progression
-As a consultant there is no bonus for maintaining clients and bringing sales leads 
-Autocratic management style and lack of respect for employees lead to Dubai office having 12+ resignations in one year"
"167","Offshoring operations to Philippines and India all the while importing bodies from ‘western’ countries to offset lack of internal candidates in the States (lowers EMEA/AsiaPac talent pools as well as domestic morale and wages).

Compensation
* $60K ($70K in SF) domestically to start (college new hire)
* Rated 1-5 every 6M; 1=~$5k, 2=~$3k, 3=~$1.5k, 4=$0, 5=Fired
* Above is rough 3 year averages for raises 

*... Ratings are on a weighted curve; eg: 10% of employees can be rated a “1” and they are trying their best to move to an annual compensation review (already done in the SBUs).

* Can earn near $100k after 5 years at top rating (again only 10% clip due to distribution and no one is rated 1-2 in first year); problem is every coastal start-up, large client, or reputable tech company pays that in 1-2 years for similar Customer Success or Analyst roles.

* Realistically not eligible for bonus until in Sales or as a ‘Senior’ Manager (still <=~$10k); have to crush goal or be fairly senior (10+ years) for anything meaningful. Stock options exist, but in 5+ years of being 1-2 rated I’ve yet to receive any, but your mileage may vary.

Much more not listed, but suffice it to say the cons greatly outweigh the benefits in the 2018/19 economy. Best thing that could happen to FactSet would be another recession."
"168","Factset had great talents but cannot keep them
Hard to archive resources needed for projects. Communication latencies between us team and oversea team is usually 24-48 hours. You have to have 6am/11pm meetings to have a remote face to face conversation with them. And they may or may not get back with what you asked for.
Not a great place for foreign workers who need visa sponsorship because of the internal... immigration team"
"169","More transparency"
"170","There are nothing cons about"
"171","None too impactful to mention"
"172","Nothing I didn't get anything on that"
"173","Dependance on different time zones"
"174","Dwindling benefits and increased focus on growth over employee satisfaction and retention, periodic shifts in organizational structure, minimal opportunity for growth"
"175","Hard to clear the training. 
Go through with bail Curve
Rotational Shifts"
"176","1. All the products are already developed, so you need to fix bug and maintain them.
2. Main work is on frontend only."
"177","Growth rate of employees is very less"
"178","Some teams may require you to do on-call duties which affects work-life balance"
"179","Operation locally rely on  other countries' decision which some countries are less flexible than others. It is a blocker for the company as a whole.

Management are old fashioned and too much talking.

Not so much advancement opportunity meanwhile undergoing through not so interesting responsibility daily. 

All those are based on the observation and experience in a specific location of this company. Other... places could have been different."
"180","Slow pace environment 
Have to learn internal coding languages"
"181","Dirty politics and recommendations ."
"182","Using some in-house tools for development"
"183","management, shift, working overtime, too many drama in work"
"184","Salary differs varies hugely according to the position you're hired in."
"185","Salaries are not very competitive"
"186","Low pay and advancement opportunities"
"187","Cons are very minor to consider."
"188","Daily standups had a tendency to run on far too long, have to deal with an enormous amount of legacy code, and basically nothing is documented well"
"189","After the new management changes that occurred in FY'16 sales have become the companies main focus rather than  the product which is leading to low compensation and limited internal growth."
"190","-salary (55k with ~3-5% raises every 6 months depending on how company does and your personal performance)"
"191","They need to hire beter"
"192","Complicated SOP's but can be learnt as time passes."
"193","Management is very inefficient in one of the most important SBU's QA team. Team leaders are put in place just to work as mediators for the upper management. Even for leaves, there are people at VP level that take decision and they keep grudge on people who speak up for their leaves. This grudge is being taken out in their performance and promotions. There is so much of scam going on in upper management and the HR... teams. There are heads who support these things and they are least bothered about good people leaving the company. People at VP levels have zero technical knowledge and make unnecessary changes to the process and workflows. If any one questions those workflows, upper management takes out the grudge during their performance review and they are being rated very bad for silly reasons.People at  VP level keep track of break timings as well and take strict actions against employee as well as respective team leader. QA process in the main SBU is a total crap. Upper management can't tolerate if people at associate level go and directly talk to development team. That's the reason they forcibly created some coordinators in middle so people don't directly talk to offshore engineers. Anything they have to say, they need to talk through coordinator. People hired at coordinator level do not even understand the process and workflows in spite of having good experience and they are also just mediators and work like labors for the people at upper level. If anyone speaks up about any challenges or concerns, that's it; they will be out of company. 

Recently Test Driven Development is being implemented in the QA teams. Not sure how effective this change would be but for sure, the unfit people at high levels will have no control and company may grow."
"194","Weight of multiple acquisitions has taken its toll.  Business needs better alignment with strategy and formerly flat structure has been suctioned to a pyramid. In pursuing Thomson Reuters' size they have unwittingly adopted their bureaucracy."
"195","Not at all good for freshers"
"196","A little bit toxic for me"
"197","Not much feedback from managers throughout the summer."
"198","You will get Better knowledge over financial data"
"199","It's firing people. Be ware.

1.Low salary comparing with the market. 

2.Annual salary increase is getting lower and lower. e.g. This year 1.6% increase. 

3.Poor management"
"200","food and other perks are less"
"201","Slow career growth, review process"
"202","I haven't faced any cons during the tenure"
"203","Low Pay and platforms to showcase skills are less"
"204","Passive Aggressive, Laid Back, Many New Senior Managers are Useless"
"205","not much to say any"
"206","work is less some times but you can use it for learning new things."
"207","Raises are very small for a vast majority of employees (2-3%)
Salaries are well below industry standard (10-15%)
High turn over, most people you start with leave within the first year or two."
"208","Less challenging, slow growth, less opportunity"
"209","Takes some time to get things to forefront"
"210","I can't think of any cons really."
"211","Not a lot of growth opportunities."
"212","Heavy Work for some time, Shifts"
"213","Frequent changes in management and new policies are affecting the work culture and bonding of the team.
The open work culture that I have seen when I joined is no longer there.
Not much decision making power is vested with the team leaders. Managers should be consulted for just about everything.
No transition from QA roles to developer roles."
"214","I wish I had more colleagues in London where I was working"
"215","Salary hikes is the area of improvement"
"216","Only con I found here is the compensation which could be improved."
"217","- relatively slow growth
- periods of slow work days (due to lack of projects)
- very relaxed environment (might be a pro for others)
- barriers to breaking into managerial positions may exist"
"218","Salary can be more according to company standards and type of engineers they hire."
"219","poor compensation and hire upper management from the outside instead of promotion within"
"220","Salary growth has stagnated over the past few years, new initiatives from the CTO have created a lot of red tape on the development side,  not many company outings."
"221","Nothing to write here really"
"222","No cons noticed till date"
"223","Sometimes work is very very less"
"224","Salary is lower than the many other companies"
"225","Management needs focus and improve"
"226","1. Factset biggest losing asset is its Management and Leadership. They have very little to no vision on overall well being of the company. 
2. No Brand value or Negative Brand Value. People sometimes think you work for FAX company. 
3. The culture at Factset is pathetic and best not be discussed. You will crave to find one person who speaks good english leave alone looking for intellectual souls. 
4. Absolutely... zero benefits. No perks whatsoever. 
5. The most boring company i worked for. Everyone is sad, depressed or lost.  Believe me, it affects your well being too.  At a place like this on rough days, Feeling motivated or inspired seems like a distant dream.

Overall, i feel factset is company where you have absolutely nothing to look forward to (in most cases) for few lucky people the work can be driving force but the question is for how long - when that drive dies, everything ends."
"227","Salary should be more.some Managers are dumb."
"228","Rating system litlle bit not good"
"229","- Pay pay pay pay pay. Everyone complains about pay, salaries are low compared to the market average, and bonuses are non-existent for consultants and shrinking for Sales. Management decided to take away commission based schemes for Sales people, so no transparency and rewards not at all commensurate with performance.

- Factset is actually quite a political organisation despite being a nice place to work.... Promotions tend to go to people who know the right people, but unlike other companies its not outward or obvious (i.e. people arent constantly front stabbing each other but behind the scenes there is a lot of political manoeuvring).

- Company is constantly expanding, with some big acquisitions but then has no clue what to do with what it has bought hampering the ability for the company to take out the competition.
- CEO has been at the company a long time but struggles with a vision that excites people."
"230","Salary need adjust with market"
"231","Very different culture across multiple acquisitions and at this time it feels like chaos"
"232","Increase the base pay to match industry standards"
"233","Company needs a clean up or a reboot"
"234","-Compensation relative to other teams internally as well as the industry
-Work distribution and picking up slack from other teams internally
-Limited training and collaboration with prior Analytics Consultants (typically they have already moved to a new role and there is no transition time to get new people up to speed)
-High turnover means more work with each sale for less people
-Limited recognition for... complicated work
-Meeting goals is irrelevant, difference in comp is negligible"
"235","Perforce version control, vms, openfloor plans for new office 2019"
"236","Ratings
Ranks
promotions
Irrelevant work
They change the rules whenever they want."
"237","Nothing major to report here"
"238","Too much oncall duties, even during holidays and weekends."
"239","Employee turnover seems somewhat high due to heavy recruiting of consultants from other companies"
"240","Too much management and no focus for sales"
"241","The salary revision and promotion structures are a bit lengthy and time consuming."
"242","Change your management, they don't have leadership skills"
"243","Can't think of any as of the moment. Current position is great and is continue to make way for more learning and opportunities."
"244","1.Nothing much to learn
2.Food sucks"
"245","Pay is less as compared to Industry Average"
"246","If anyone who is from city or from any other metro city then one would easily find out what they are into"
"247","food is bit average
and not so benifits when it comes to food"
"248","Bell curve, uncompetetive salary and weird bonus computation (mid and end of the year)"
"249","the air in the office is SUPER dry, humidity is lower than requirement and the management doesn't bother to fix it ,slow-path, no learning curve, few to no career progression, high tax in Latvia around 30%"
"250","Compensation package is below market standards"
"251","As with any remote office there's a certain amount of being out of the decision making process."
"252","good place to start a carrer for fresher"
"253","Tout le monde fait un peu de support mais ça permet de bien connaître les produits."
"254","Salary is not competitive as compared to top notch company"
"255","Upward progression can be difficult depending on team - some larger, more important teams can see people move up the ranks faster than those in other, smaller teams with similar experience.
Employee events and treats have gone down a bit in recent years"
"256","limited career/opportunites growth in this company."
"257","too much love will kill you.. coz i love this company!"
"258","Required overtime even on weekends and holidays"
"259","Some politics in the promotion"
"260","Everytime have to meet their expectations"
"261","- There are a lot of scare stories which almost every international worker has possibly faced at factset's US office.

- Immigration folks are in house and they screw up applications every now and then.

- Recently, they filed for my PERM with an ""EXPIRED JOB"". After 5 months I get a denial and the immigration team projected it as if it was my fault that I didn't sign the application in time. 

- Everybody in... the company feels like a person has a monopoly on the immigration applications and nobody stands up to that person because nobody wants to lose their job"
"262","Personal growth is relatively slow"
"263","Outside of the parking lot, I can't think of anything. There has been a lot of reorg lately, but nothing that doesn't make sense with the overall company alignment - which I am in total agreement with."
"264","You will not get vast learning experience."
"265","Pay is at the low end of competitive
System is very complex -- although it's a priority to make it easier to use."
"266","Like any other company in this industry - there are rotational shifts."
"267","Politics takes a crucial role in deciding the growth."
"268","Not so good mid level management"
"269","Absence of bonuses for engineering.
Lower pay rises early on in your career."
"270","High Turnover
Very corporate, internal politics"
"271","There is almost permanently a lack of resources, with headcount being gradually reduced rather than increased, making it tricky to always deliver the highest quality of service."
"272","Work is a bit slow here."
"273","Mgmt could be better in handling requirements"
"274","I don't have any to say at the moment."
"275","No notification if there are changes in compensation increase"
"276","-Very behind in terms of tech.
-Legacy code base that can be a pain to deal with
-Organization is too top heavy
-If you're not into finance, you will find it very hard to enjoy yourself.
-Problems to solve for engineering are not very challenging/fulfilling. If you're looking to challenge yourself and grow, this isn't the place."
"277","I was hired from industry as automation engineer to be part of the QA of the main product of factset.
My journey so far has been full of surprises and disbeliefs about the things that happen in this team
Automation they have implemented is a disaster. Joke is a very small word to use in order to describe it.

Technically incapable and incompetent people are put in place as automation leads. They do not let... people from industry do anything to improve automation, nor they have the capability to do it on their own. They are more worried about job security hence do not let new people with outside experience change things to improve and overshadow them.

About people management aspect, there is absolutely no process or professional approach. There are certain individuals who are at team leader level in QA Analyst teams. They do not have minimum communication skills, product knowledge, QA knowledge and management skills. They have established strong ties with associate directors and senior directors/SVPs from US office in this QA team and influence them. They consistently do not follow of process and professionalism.

People in local QA manager position in this team are hired from outside, and come with strong testing and automation background. But the team leaders bypass the managers to go to Associate Directors and Senior Directors/SVPs in US office, for all matters. The Associate Directors and Senior Director/SVPs are intentionally entertaining these team leaders.

Senior director level people in my SBU QA team are very good as people, but are underskilleed. They spent a decade in the company to build good relations with top management and grown to senior director/SVP level. They do not have QA skills, management skills, and lack automation and computer science background. Because of the lack of skillset, they are being regularly fooled by few individuals in the team"
"278","Poor compensation, no incentives / motivation to go above and beyond goal"
"279","A bit delay in getting promotions"
"280","Limited growth opportunities hinders growth"
"281","Do not get support when required"
"282","Salary compared to the work"
"283","Train managers. They do not own their direct reports but all work for same firm."
"284","Most of the processes are into night shifts"
"285","Technology is very niche, so after moving to another SaaS company, found my skills weren’t totally transferable/relevant.  Pay growth is slow.  A bit behind the times when it comes to attitudes around WFH."
"286","Salary is not so good"
"287","Good starting salary, but salary growth slow after that. No bonus on the consulting side although it is often the consultants that have to go the extra mile to deliver solutions to clients"
"288","None that I can think of. I am just so blessed to be inside this growing company."
"289","Not much to learn. No design rules followed"
"290","None at this point of time"
"291","proprietary tools or application. nothing much"
"292","Leadership/Decision making positions are disproportionately concentrated in the US"
"293","Less salary, poor management, insecurity in job"
"294","Progress can be slow."
"295","the present time shift, though considerate for some employees of advanced age (40 and up) is still not good enough for the well-being of said employee(s)"
"296","the gap between salaries are quite huge depending on which language you represent."
"297","In new few processes Night shift will impact more employee's health"
"298","In a yet to develop suburban area but still pretty close to the City."
"299","Overwhelming at times when you get your own accounts"
"300","Hikes , leave Management, work presure"
"301","Salaries could be better, under industry average"
"302","No cons to specify.
I have enjoyed my working period."
"303","At Factset the food quality is very bad. And in fundamentals a bit of pressure is there for quality and production."
"304","Legacy code, proprietary technology, innovation lags"
"305","- Some aspects of the internship program felt repetitive at times."
"306","No cons to mention as such"
"307","It is global company and people from over 35 countries but Almost team leaders are Latvian women and not always they are suitable at team lead."
"308","pays need to be revised"
"309","No reputed process or cross training is given for finance roles city outskirts are not provided with cab facilities that’s all about cons rest are really good"
"310","Honesty, the compensation for software engineer is way below than market average.  And software engineer need use pretty old tech stacks."
"311","Not many. FactSet has been very good to me. If I had to say anything it would be this: 

As a company that brands itself as (innovative) Financial Technology, they aren't keeping up with the market trends necessary to remain a ""best place to work"". It is still a great place to work (I would recommend it to anyone), and they have done a lot in the area of social equality, but they haven't made any other tangible... changes to remain on this list."
"312","Less opportunity to increase position"
"313","None to name at the moment"
"314","Cafeteria food wasn't good enough. Not enough social activities or outings."
"315","Wages are not competitive enough with other companies
There is no opportunity for growth"
"316","No cons so far."
"317","lacks in long term growth"
