Employer.s.Name,Review.Link,Job.Title,Review.Date,Review.City.Town.Name,Review.State.Name,Review.Country.Name,Current.Job,Length.of.Employment,Employment.Status,Overall.Satisfaction,Career.Opportunities,Compensation...Benefits,Senior.Leadership,Work.Life.Balance,Culture...Values,Business.Outlook,Recommend.to.Friend,CEO.Approval,Pros,Cons,Advice.to.Sr..Management,Headline,Employer.Response
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW5553452.htm,Summer Intern,12/17/2014,New York,New York State,US,No, , ,4,3,4,4,5,4,Staying the Same,Yes,No Rating,McGraw Hill Financial has a great internship program with weekly events informing interns about the many different subsidiary companies. CEOs speak to the interns and there are fun activities including community service. S&PDJI was full of friendly people willing to share their knowledge. It was a great first internship.,"Most of the employees have been in the company for awhile, but there seems to be a shift to younger people recently!", ,"Great company, great summer internship!",NA
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24822502.htm,Business Analyst Intern,2/21/2019,Charlottesville,Virginia,US,No,Less than a year,Intern,4,0,0,0,0,0, , ,No Rating,"Good coworkers
Reasonable hours
Deadlines can be high pressure, but the atmosphere is still usually relaxed and people are usually very reasonable","Company sometimes thinks and acts like a tech company, but sometimes remains slow and bureaucratic. It's a very big company so this is natural.", ,Good Experience, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24813530.htm,Not Disclosed,2/21/2019,Charlottesville,Virginia,US,Yes,More than 3 years,Full-time,3,3,3,2,3,3,Staying the Same,No,No Opinion,Excellent benefits and casual culture,"Company is cheap and does not pay market competitive salaries
Poor planning for new projects/initiatives, every thing is last minute and then they want immediate results", ,They talk a good game but need to put their money where their mouth is..., 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24551094.htm,Data Researcher,2/5/2019,New York,New York State,US,Yes,More than 3 years,Full-time,4,0,0,0,0,0, , ,No Rating,"Lots of vacation time, good work life balance, lots of perks, many different paths to take and free courses to learn new information",You can only jump one pay level at a time when changing jobs internally, ,Great work life Balance, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24123952.htm, ,1/9/2019,New York,New York State,US,Yes,Less than a year,Full-time,4,0,0,0,0,0, , ,No Rating,No one can force you to do overtime,I think salary for the freshers can be increased, ,NA, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23775059.htm,Analyst,12/10/2018,Charlottesville,Virginia,US,Yes,More than a year,Full-time,3,2,4,3,4,4,Staying the Same,Yes,Approve,"Work-life balance, environment, culture are all great. Occasional meals and happy hours relatively often in comparison to other companies. Great Benefits package.",Opportunity of advancement can be limited depending on role. Advancement opportunities seem to be more available for ADP Program hires leaving you stuck. Base Compensation is less than other companies in the area, ,Good place to work but there are drawbacks, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22894672.htm,Director,10/10/2018,New York,New York State,US,No,More than 5 years,Full-time,2,3,5,2,3,4,Staying the Same,No,No Opinion,"Excellent salary and benefits, good time off",Company management was taken over by a much smaller company and they have sold off profitable sectors of the business they felt was not their core business.  This resulted in many layoffs and poor morale.  They lost a lot of good talent over the past 3 years.,Promote high achievers and grow the business so no more layoffs are needed,Poor management and layoffs, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22630945.htm,Relationship Manager,9/24/2018,New York,New York State,US,Yes,More than a year,Full-time,4,3,2,4,4,5,Staying the Same,Yes,Approve,The work environment is great and work/life balance too.,Compensation and benefits compared to the market peers could be better., ,Pros/Cons, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22598744.htm,Reporter,9/21/2018,Charlottesville,Virginia,US,No,More than a year,Full-time,2,2,2,2,4,2, , ,No Rating,"The time off and paternity leave are decent.  S&amp;P Global  has hired some experienced and well-regarded editors and reporters, who have worked at notable publications.  If I knew what I knew now, I would have angled to work on a desk with reporters and editors who had come from those better regarded news organizations.","The company is the epitome of woke  coca-cola capitalism. Although, the newsroom wasn't very diverse.  For the most part, you're not going to do any hard hitting journalism at S&amp;P Global.  But there were a couple of reporters who managed to do some interesting  work. This is an organization that lobbied for the Trump Tax cut all over social media.  It does not want to anger its mostly investment banking readers, who pay a lot of money to see their names in rewritten press releases.  Coming from a newspaper,  the newsroom culture was the most depressing thing I'd ever seen. It was morgue-like. I interacted with some reporters, mostly on the younger side, who scoffed at the notion of ""shoe leather reporting"" and came off as boot-lickers when questioning sources. 
I was paid pretty poorly, but I was surprised by how much some of my colleagues earned.",Get rid of the $50 award given to readers to spot mistakes. This gimmick results in scared reporting and weak writing.,Barely Journalism, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22505637.htm,Senior Manager,9/16/2018,New York,New York State,US,No,More than 8 years,Full-time,2,2,3,3,4,1,Getting Worse, ,No Opinion,"1.  Ability to learn.  There are a lot of data sets and if you are motivated, you can be put in a good position to learn.  I think this applies primarily to junior staff.  Cannot recommend for any other professional grades.
2.  Reasonably good working conditions and work from home policies.","1.  Tremendous staff turnover and painful integration.  Befuddled management culture has developed as senior management are trying to reduce costs.  Staff (typically middle management) across company has no trust in short or long term vision as everyone feels like they are at the company for the short term.  Not healthy work environment.
2.  No innovation for years after endless changes. Company focuses on platform standardization -very difficult and disruptive. This may change, however I found that the corporate culture to be overbearing and simplistic, which I personally did not like and do not respect.","Try to finish layoffs and turn the corner on expanding the business.  At this point, there is no reason for any ambitious or talented person to attempt to build a long-term career at the company as there is no loyalty (due to the integration) and lack of long term vision (not sure about the Kensho acquisition.)",Painful Transition, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22496607.htm, ,9/15/2018,New York,New York State,US,Yes,More than 3 years,Full-time,3,1,3,2,4,2,Staying the Same,Yes,No Opinion,"good benefits, and great people to work with.",not much career advance opportunities., ,comfortable but not very interesting, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22346692.htm,Business Analyst,9/6/2018,New York,New York State,US,Yes,More than 5 years,Full-time,3,2,3,3,5,5,Staying the Same,Yes,No Opinion,"Work-life balance
Culture
Opportunities to contribute to various area's","Room to grow is limited 
Opportunities abroad as next to none
internal mobility is looked down upon ( although marketed as a option of career growth)", ,Comfort of a Big company ...slow to innovate, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22318162.htm, ,9/5/2018,New York,New York State,US,Yes,Less than a year,Full-time,1,1,4,1,2,1,Getting Worse,No,Disapprove,Work From Home Policy is Good,Management here is terrible and the company needs to take a look into this.,Please look into what the management has been doing with their employees and train them on performance reviews,Lead, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22093566.htm, ,8/22/2018,New York,New York State,US,No,Less than a year,Full-time,5,5,5,2,5,3,Getting Better,Yes,Approve,"Good pay, interesting job, nice colleagues","Bad management, terrible HR,office politics", ,Relationship manager, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22063845.htm, ,8/20/2018,New York,New York State,US,Yes,More than 8 years,Full-time,1,2,3,2,3,1,Getting Better,No,Disapprove,Not many pros at the moment,They do not value tenured employees, ,Senior Director, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW21949205.htm,Data,8/13/2018,New York,New York State,US,No,More than 10 years,Full-time,2,2,2,1,3,2,Getting Better,No,Disapprove,"Wealth of talent and smart co-workers. NYC office is a nice building and location if you like to work downtown. If you’re a newbie out of school, go for it. You’ll learn a lot.","Pay, bonus and benefits are below par against competitors. Culture went straight down hill after SNL takeover.  The rocket scientists on SPGI board decided to spend 9.5 of annual earnings for SNL - $2.2 BILLION for a company that generates less than $300 million a year.  The justification was that SP Global was buying management.  So in order to justify their millions in gains from the buyout - and yes, all Senior SNL folks pocketed millions from the buyout, out came the axe.  I know for certain that these folks have been sued for unlawful termination. I still talk to old timers that haven’t gotten pushed out that the culture is now one of fear and paranoia. Who’s going to get escorted out of the building next?  Who’s going to be put on a performance improvement plan next?  With unreachable goals after having sterling reviews for years?  Just so you can be let go and not get paid severance?  If you’re a newbie, go for it.  No positions are getting posted in NYC anymore. Only in Charlottesville where you have to be like everyone else and wear plaid shirts and drink Makers Mark at company events.  Nothing like millennials taking over!  If your role can be done in India or Pakistan, eventually your role is moving to one.",SNL folks you were small time before and you’re still small time with much bigger boots. Eventually you’re going to drown.,If your not on the Index or Ratings side......RUN !, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW21716960.htm,"Vice President, Sales and Relationship Management",7/30/2018,Evergreen,Colorado,US,Yes,More than 10 years,Full-time,5,4,4,5,3,3,Getting Better,Yes,Approve,"Good people, good pay. Collaborative culture. Great products.","Commercial reorganization is causing some bumps in the road, but the vision is clearly set.",Make decisions with conviction. Take into account how to manage org structure put in place.,"Vice President, Sales and Relationship Management", 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW21528892.htm, ,7/17/2018,New York,New York State,US,Yes,More than 3 years,Full-time,5,4,4,4,4,4, , ,No Rating,Good Corporate Environment and Work Culture,Routine Work in S and P Global, ,Analyst, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW21371938.htm, ,7/7/2018,New York,New York State,US,No,More than a year,Full-time,5,4,4,4,5,5,Getting Better,Yes,Approve,"For younger employees, the skies the limit. Communicate your interest to management and get involved in lateral projects that are outside your daily tasks, and that will enrich your experience, while bringing you together with folks across the company. Don't wait for directives to present themselves, but pursue new opportunities that may receive initial pushback and you will be rewarded. 

Overall, fantastic company to round out the end of your junior-level career status, as long as you figure out how to use the resources available to your own enrichment and to that of others around you, even if they don't immediately recognize it.","Some bad decisions on enterprise software over the years. Maybe some legacy enterprise platforms are cheaper, but it's 2018. Better work flow applications exist, better communications systems exist. Time to go implement them.","Establish working groups with junior employees, give them ownership of certain IT/marketing/operations/strategy problems, set a deadline, and give them a chance to use a different part of their brain beyond their day-to-day function.",Word to the wise: it is what you make of it, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW20854772.htm, ,6/1/2018,New York,New York State,US,Yes,Less than a year,Full-time,2,2,3,1,4,1, , ,No Rating,"good work life balance, flexible shifts","Unprofessional work environment, less employee friendly, unfair assessment criteria.",Work pressure is everywhere but paying attention to the concerns and issues of the employees is the need of the hour. Quick actions should be taken to regain the trust of employees. There is too much negative competition and colleagues are mostly non helping because they have also faced the same issue when they joined.,Mixed Experience, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW20830106.htm,Mid-Level Manager,5/31/2018,Charlottesville,Virginia,US,No,More than 8 years,Full-time,2,2,2,1,2,1,Staying the Same,No,Disapprove,"S&amp;P for many, many years was a great employer with a multitude of reasons to work there. The work was engaging. The benefits were generous. And there was real quality of life at the company. Once the leadership from SNL was put in charge, all of that came crashing down.","Diminishing benefits, Verbal Abuse, Age discrimination, Out-sourcing all jobs.

SNL has turned this company into the lowest level of a work environment. Employee perks disappeared quickly. It's a bring your own office supplies environment, which I find unconscionable. I was in a hiring manager presentation that told us to ask whatever we want to identify the highest performers, but make sure to shred anything written so the Mike Chinn doesn't get sued.

I also witnessed and tried to stop male employees getting grossly larger raises and bonuses than more talented female colleagues. It's a bro atmosphere on every level. In fact, if you check the states, there are very few women in real positions of influence at the company. This was acknowledged and bandied about in multiple meetings.

S&amp;P is now SNL in disguise and has adopted their well-known persona of acting like a sweat shop. You can't imagine what a fall it's been from being a quality employer to one that forces out long-term employees to hire younger cheaper ones. Their claim of pay-for-performance is code for mandated bad reviews, unwarranted performance improvement plans, and an all-around demeaning of the people that work there. It's both sad and.... criminal.",I've got about nothing here. Management isn't listening. Good people are losing their careers. The products are secretly failing with the transition to all out-sourced IT teams. Nothing good.,S&amp;P is no longer S&amp;P, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW20704394.htm, ,5/22/2018,New York,New York State,US,Yes, ,Full-time,4,4,3,4,5,3,Staying the Same, ,No Opinion,Dynamic company investing a lot in technology and the future.,"Employees are numbers to management.
Management trying to implement micro-management techniques and will end up losing the best sales people in favor of robots and/or people who are just process oriented.", ,Relationship Manager, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW20540200.htm,Sales Associate,5/11/2018,New York,New York State,US,Yes,More than 3 years,Full-time,4,4,4,4,4,4,Getting Better,Yes,Approve,"S&amp;P is a great place to work when you want the security of a well respected brand, reasonable pay, career growth opportunities, work/life balance and a good group of coworkers.",Systems and processes and be difficult at times but you can't win them all, ,A Great Company, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW20484045.htm,Paralegal,5/8/2018,New York,New York State,US,No,More than 8 years,Full-time,3,2,5,3,3,3,Staying the Same,No,No Opinion,"Great compensation, amazing benefits package, the fact that the main company has been around for over 75 years.  The people are extremely caring.  They also are very involved in volunteer opportunities and through their group Spectrum, are very inclusive and accepting of their LGBTQ community.  They also have groups and special events for every culture and walk of life.","Even though this company has been around for 75 years, this particular division is quite new and is experiencing some major growing pains.  There have been a lot of jobs loss due to re-organizations every few months and this division has had a big hit in morale.","Look to the people you still have left there and allow for true honest feedback.  And look for ways to keep the valuable resources you have in the company, instead of letting those resources go.",Market Intelligence Review, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW20414166.htm,Manager,5/3/2018,New York,New York State,US,Yes,More than 10 years,Full-time,4,0,0,0,0,0, , ,No Rating,"Amazing Product 
Focus on the Client","Lack of Growth 
Only one HRBP", ,Too Many Changes, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW20347479.htm, ,4/28/2018,New York,New York State,US,Yes,More than a year, ,3,3,3,3,4,0, , ,No Rating,Its good and have work life balance,"no transparency
Leadership dont know your work. they will listen to other peers or their respective technology team but not all teams under them.", ,Its good, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW20197575.htm,Sales Executive,4/17/2018,Denver,Colorado,US,No,More than a year,Full-time,3,3,3,3,4,2,Staying the Same,No,No Opinion,Very well run and they really understand their strategy and corporate model.,Made you feel a bit like a number... and less of a valued employee,Value your employee a bit more and dont treat them like their an expendable resource... even if they are to you...,Decent Company, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW20189532.htm, ,4/17/2018,New York,New York State,US,No,Less than a year,Full-time,5,4,5,5,5,4, , ,No Rating,"Nice environment, good team dynamics",There is not much to say about the cons, ,Application Specialist, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW20115378.htm,Senior Account Executive,4/11/2018,Denver,Colorado,US,No,More than 10 years,Full-time,1,1,1,1,1,1,Getting Worse,No,Disapprove,I am HAPPY to see what goes around comes around!,"I worked for a Denver based company named COMPUSTAT, a Mcgraw Hill / Standard and Poor's Company for 15+ years from 1995-2011. In 2010 CapitalIQ was purchased by McGraw Hill and created a poison pill for COMPUSTAT and all of its Denver, New York, San Francisco ect, ect... staff.  The market est is that McGraw paid in excess of 10 times the MARKET VALUE for CAPIQ... Massive layoff, Horrific work place. Be very careful they will attempt to fire you with cause, worked for MGH for 15 years and they fired me and many others. Will attempt to block your unemployment, fight it!",Nothing...,I Love This!, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW19965073.htm,Business Analyst,4/1/2018,New York,New York State,US,No,More than 5 years,Full-time,3,3,3,1,4,3,Staying the Same,No,No Opinion,"Work from home policy, smart talented workers in IT as well as all areas of finance","Politics, constant organizational changes, bad upper level management",Stop making org changes all the time,IT group, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW19905582.htm, ,3/28/2018,New York,New York State,US,Yes,More than 3 years,Full-time,4,0,0,0,0,0, , ,No Rating,Flexible timings and Easy approach to others,Don't share to have, ,Good time to work, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW19133555.htm, ,2/7/2018,San Francisco,California,US,No,More than 3 years,Full-time,5,4,3,4,4,4,Staying the Same,Yes,No Opinion,"Hard working team, great clients, fun working environment","Sometimes a bit of a disconnect with NYC headquarters, but good rapport among offices overall.",Less dictating of decisions out of NYC...ask the other successful offices about strategies for success.,Great Team in SF, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW19094477.htm,Sr. Network Engineer,2/5/2018,Hightstown,New Jersey,US,No,More than 8 years,Full-time,1,1,1,1,2,1,Getting Worse,No,Disapprove,Use to be a great place to work. Use to be surrounded by great people.  Use to be treated fairly and with respect. I was smart enough to bail out last year.,"SNL taking over the entire corporation after being acquired in a horrific deal in which S&P overpaid for the mom and pop shop over two years ago has killed what once was a great company.  Their complete disregard for anybody and anything that doesn't live and breathe in the hotbed of the financial world Charlottesville VA is disgusting. They have successfully hijacked every facet of the entire S&P landscape. Chinn having made Doug Peterson his puppet. Five different Corp CIO's in the last five years. One failed product after another. Another few hundred layoffs now in progress, thankfully and miraculously all in VA have been spared. When one outsourcing deal fails try another and even cheaper alternative.  The true definition of insanity.  It's a sad time to see this clown show playout.",Do the company and it's shareholders a favor and exit the building immediately and don't look back before the only thing left is your oversized and undeserved compensation packages.,Bloodbath continues, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW19024736.htm, ,2/1/2018,New York,New York State,US,Yes,More than 8 years,Full-time,5,5,5,5,5,5,Getting Better,Yes,Approve,Excellent time in the co.s history as the combination of old and new data sets is creating a compelling platform for a variety of clients. Have ~6% market share now - that's going higher through strong senior leadership and a clearly articulated commercial roadmap,Somewhat under staffed in terms of supporting the new commercial model,The addition of few strategic resources would generate a positive ROI as this would allow the commercial team more bandwidth to act more strategically.,Excellent Growth Road Map, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW18614624.htm,Program Manager,1/7/2018,New York,New York State,US,Yes,More than 3 years,Full-time,5,4,4,4,5,4,Getting Better,Yes,Approve,"Opportunity to speak with clients every day
Problem solve, learn the S&P Capital IQ product  
Build people management skills leading a large team
Develop the people in Client Services
Work with other departments to solve client issues 
Competitive but very fun work culture","Fast paced - not a con but need to become an expert quickly and earn your place. Not everyone survives training
Upper management could be more involved- their focus is on expanding support in “offshore” offices
Fitting the team culture is important for better or worse","Focus on developing the people on this team, and open up more opportunities for them","Manager, Client Services", 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17751922.htm,Senior Business Analyst,11/6/2017,New York,New York State,US,No,More than 8 years,Full-time,5,0,4,4,5,5,Getting Better,Yes,Approve,"Great people, great culture, good benefits",Sometimes there is a deficit of manager feedback.,"Provide weekly feedback, especially when asked.",Senior Business Analyst, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17682581.htm,"Director, Data Management",11/1/2017,New York,New York State,US,Yes,More than 10 years,Full-time,1,1,3,1,2,1,Getting Worse,No,Disapprove,Good benefits.  Established brand in the market.,"Company is in a constant state of restructuring so the focus is always on cutting costs and integrating data from legacy organizations.  Cost cutting has led to shortage in staff so existing workforce is feeling the burden.  Unrealistic goals also leads to bad morale.  Management and the next level down show no interest in career growth.  The attitude is ""just work or quit, we'll find a replacement.""  Very toxic environment where you don't know if you're going or staying.  Lack of communication breads uncertainty.  Terrible time in the organization.","At a minimum, act like the people that work for you are humans.",Director, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17229452.htm,Software Development Engineer,10/8/2017,New York,New York State,US,No,More than a year,Full-time,2,1,2,1,3,1,Staying the Same,No,Disapprove,Work/life balance was excellent when I started.,"IT management is outsourced and a major productivity sucker. Management is a revolving door that doesn't really make decisions that tip the scales all that much.

The biggest problem for US employees' future prospects is that the division has a ""hiring freeze"" that only seems to be in the US. This existed throughout my employment there, and didn't seem to extend to India, where we were rapidly staffing up. 

The majority of the division's tech staff is in India. On top of being a ""low cost location"" (salaries being about 1/5th of the US equivalent), an increasing amount of developers were being hired there. QA was entirely in India. It's very difficult to interface with people whose days hardly overlap with EST Americans and whose English skills vary widely.

At some point, before I left, we began to receive these emails from the head of the Market Intelligence (MI) platform extolling the virtues of crunch time (working weekends, removing all bugs, etc.), for the platform that was badly behind schedule. These emails went on for a full two months before, management ultimately decided to push back the release at least four months, but probably more.

When unrelated teams kept getting pulled in, MI showed off the fact that it was five year old tech that had been reskinned to sell to management, but with an increasing amount of ""low cost location"" labor behind it. 

If you want to have a tenable future, at a gig with crusty tech, S&P Global Market Intelligence is for you. Maybe that's everywhere these days though.",Be honest about outsourcing and try to stanch the administrative and American employment outflow.,Fading out of the US, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17105693.htm, ,9/30/2017,New York,New York State,US,Yes,More than 5 years,Full-time,2,2,4,2,2,3,Staying the Same,No,Approve,"Great stop out of college, matching 401K, lots of supportive employee resource groups and discount gym memberships, etc. Come ready to learn and soak up everything. Culture is good but after 2-3 years look around, if you're a developer you're a god, earn your stripes then check out Google or Amazon.",Not a lot of upside in the tech space your best bet is to stay close to the money in the product suite IB space well managed.  With so much change tech is not focused on  NYC at the moment.,"Stop experimenting with the S&P Ratings money, and these 3rd party attempts at a platform.",Great for the start fades towards the end, 
