Employer's Name,Review Date,Pros,Cons,Advice to Sr. Management,Headline
S&P Global,5/14/2019,"If you take the initiative you can learn, develop and grow at S&P.  The company is offering free technical training and they allow junior employees access to senior leaders through round tables and town halls. The company is moving in the right direction. Overall benefits are good and 401k is generous.","Speaking from a middle manager’s perspective it is a very challenging environment. The company has made significant improvements but there is still inconsistency across teams with respect to skills, goals and work flexibility. There are still senior managers who do not allow staff to work from home but they work from home often. Middle managers are then left to explain to junior staff why most of the company, industry and their own senior leader are allowed to work from home but they are not. If nothing says not modern to a staff member you want to retain and expect to accommodate different time zones is you need to work every day in the office.",You are making necessary changes but you should expand your survey questions to capture the true sentiment of employees. Pilot 1 day per week at home for everyone. If people abuse it then take it away.,Middle Manager
S&P Global,5/13/2019,Helpful colleagues as well as good environment.,still I was not so happy with the career growth aspect.,Please make little bit leadership approach instead of bossy approach.,Good environment
S&P Global,5/10/2019,"Difficult to figure out pros after Lou left and SNL acquired S&P in a reverse merger transaction. Cost is the big play here. A non-technical CTO is running the as Global CTO. If you are in good books for SNL Management, they will fire you at the end.  The Islamabad folks are moving to US. I don’t know if this hints at something bigger.","They only understand cost cutting as firing the people who have been their for sometime. The stock price going up because of the buyback primarily. They do not have have new product planned so sitting on a pile of cash. No learning, you can not even voice your opinion. The Ratings business is run by the HR head (someone needs to tell him employee rating is different from credit ratings. They are moving their operation from Gurgaon and Hyderabad to Gujarat for low cost. Expect a lot of firings by September.  There something wrong with valuation Fed should check the books.","Business is not your cup of tea, you sell the business to someone who can run this, do that. Why are you trying to kill a 125 years old company.","Run, you still may run away before the boat sinks"
S&P Global,5/10/2019,Cab facility is the only pros,"Worst management
Managers believe in micro management
There is alot of Internal politics", ,Worst Company to work with
S&P Global,5/9/2019,"Great company
Good work-life balance.
Good employee centric polices",Slow / less career growth., ,Software Developer
S&P Global,5/8/2019,"Shift timings,
work from home
friendly peers","comparatively less pay
stagnant after couple of years", ,Data Researcher
S&P Global,5/3/2019,"-Mobility
-Benefits
-Access to exciting people
-Career Development",#NAME?, ,Great place to work/benefits
S&P Global,4/23/2019,"Good work life balance
Good learning especially different tools","Domain learning is less, its mostly technology",None. Good management,Business Analyst
S&P Global,4/22/2019,Good program to start into out of college,Review process is highly dependent on manger going to bat for you, ,Good learning opportunity
S&P Global,4/19/2019,"Bom ambiente de trabalho, otimo para fazer parte, otima copa! Boas pessoas! Otimo para aprender a lidar na vida com relação interpessoal! Muito bom msmo!","Pouca chance de efetivação! Pessimo gerenciamento, os managers são pessimos, o grande problema da empresa é o gerenciamento das areas e de pessoal!", ,"Ótima experiência, ótimo degrau de carreira"
S&P Global,4/18/2019,"Lunch &amp; Learns, Great T&amp;E policy, lots of social drinking/events",They fire you if you make too much, ,Terrible company to work for
S&P Global,4/18/2019,"- Clear vision and strategy
- Friendly people
- Comfortable working environment",No cons to share at the moment, ,Great Place to Work
S&P Global,4/18/2019,Good life balance and great people. Very good location,Great to work for starters. Promotions can be long to come, ,Great people
S&P Global,4/11/2019,"time flexiblity,unlimited WFH, no micromanagement, good appraisals",No constant in terms of vision. it changes in every 7-8 months,people should be more warm and welcoming,Decent place to work
S&P Global,4/10/2019,"- Strong businesses in oligopoly markets
- Excellent financial performance 
- Share price appreciation
- Accessible leadership","- Promotions are political and not on merit
- Excess cash flow is almost entirely returned to shareholders
- Little to no investment in innovation and people
- Expanding comp differences between senior management and the team
- Passive/aggressive ",Really need to change it up materially if you plan to build on the success that you inherited.  You have lost excellent leaders and what remains is the B team.  Use the financial success to build an amazing company for the future.,Mixed reviews
S&P Global,4/3/2019,"good work-life balance
working environment and colleagues
company benefit",There is nothing like cons., ,Good Work Environmwnt
S&P Global,4/1/2019,"Great pay and benefits, generally relaxed atmosphere.","Very slow to change, slow to execute projects", ,Giant Global Conglomerate
S&P Global,3/27/2019,"Work-Life balance, learning environment, nice office location","Nothing in particular, only salary could be higher.",N/A,"Intern, S&amp;P Global"
S&P Global,3/25/2019,"The benefits are pretty good overall; not the best, but they suffice.","Scrum master is simply a title added to the duties of what they refer to as a PM/BA or project manager/business analyst. People in this role perform all scrum master responsibilities in addition to what is required in their PM/BA role without any additional pay. To put this into perspective, a PM/BA without scrum master responsibilities gets paid the same as one that also performs as a scrum master. REALLY???",Two things: (1) recognize and compensate scrum masters appropriately; (2) put the right people in management positions.,My experience with the company has been disappointing.
S&P Global,3/25/2019,"1) WORK FROM HOME
2) CAB FACILITY
3)FRIENDLY ENVIRONMENT
4) WORK LIFE BALANCE","slow growth
no learning opportunities
less activities on team level", ,RESEARCH ASSOCIATE
S&P Global,3/18/2019,Good people in NYC office.,Slow to get things done. Too many approval needed., ,Good people in NYC.
S&P Global,3/18/2019,Gaining a Global organization on your CV.  Nice location of Canary Wharf office.,"Leadership is terrible in the EMEA region.  HR do not have the interest of its empoyee's anywhere in sight.  They act purely as yes people to senior management.  Long hours are expected and opportunity only goes to those who's face fit.  
Passionate hardworking people are used and then disposed off - performance reviews are pointless here as they do not make any impact at decision times of the year. 
Not an organsiation that promotes growth.
Most people do not know how to use their CRM system.","Look at your HR/People partners are they really being affective?
Do your managers actually have any people management skills or have they just fallen into these roles due to connections or acquisitions. 
Your workforce is being punished for managers that arte over paid and under trained.",Just a number - very poor leadership and HR
S&P Global,3/15/2019,"HR policy, leave policy, work life balance, Global Brand,","Full Politics, you can't grow Managers will play with your numbers & never let u grow while they favour some other  members & allow them to grow . Managers have created an environment where you have to scarred of them. Nothing to learn apart from organisational tools which won't help in further career growth",Have some control over managers,"Pathetic work , same type of monotonous work day in & out,  Nothing to learn which can help for personal growth."
S&P Global,3/15/2019,"Strong business. 
Profitable company. 
Good benefits. 
Good strategy",Too many changes too often., ,Strong company
S&P Global,3/14/2019,Great company to work for,Can't think of any cons, ,Great company to work for
S&P Global,3/14/2019,Good Benefits/Perks and working hours. Great learning experience for anyone who wants to get into oil and gas.,Corporate politics and limited movements within the company in Houston unless you are willing to relocate.,None,Good place to start in the oil and gas industry
S&P Global,3/8/2019,Taking bold new leadership positions and emphasizing ESG and purpose in CR,Long term sustainable change is slow to come,Keep up things like #ChangePays,Love the new campaign on girls
S&P Global,3/5/2019,"1. Work life balance 
2. Ability to innovate","1. Specific nature of work
2. poor work allocation", ,Experience
S&P Global,3/4/2019,Building fundamental credit analysis skillset,Salary and comp much lower than bank, ,Provides Strong Credit Analysis Exposure
S&P Global,3/3/2019,"Great work life balance - everyone leaves at about 5pm, the office is basically empty by 6pm. 
A lot of opportunities to learn and raise your hand 
Great to be able to meet management teams face-to-face","Processes take too much time
Managers take too long to promote 
Company is in the middle of change right now and just can't seem to get their act together, which is why so many people are leaving",Value your people and be consistent with that message.,Great work life balance but promotion comes slow
S&P Global,2/28/2019,Good Salary and good work environment.,Shift timings based on  team .,Improvement of the infrastructure is needed.,Good Salary and good work environment.
S&P Global,2/27/2019,good to work in the company,"too much work , no work life balance",don't be vague,revierew
S&P Global,2/27/2019,"Collegial environment, collaborative, flexible working environment, value learning and continuous improvement, part of an organization with a great brand","Flexibility of work environment can depend on manager, some inconsistency between messaging and actions taken", ,Great colleagues and interesting work
S&P Global,2/27/2019,"Salary is reasonable,  not the best, pay equity is not good","Run by good old boys.  Since SNL took over, they get their way and no one else matters.  It's like everyone is afraid to challenge them.  All men, all white.",Break up the SNL crew so that they assimilate into the rest of the company.  Stop giving all their leaders the best jobs. The are a click and they stick together.  very sexist and racist crew.,"If they offer you a job, run the other way!"
S&P Global,2/25/2019,Open conversation to share pay logic,Less funding in bonus,Review the bonus structure,Pay
S&P Global,2/21/2019,Great coworkers; access to fantastic resources; ability to move up if you perform well; nice office in downtown Houston; good work-life balance,Can't think of any major cons, ,Fantastic place to work
S&P Global,2/16/2019,"Legacy ""Standard &amp; Poor"" Brand name and that's it!","This company is so dysfunctional and immature even though the S&amp;P name has been around forever.  After spinning off from McGraw Hill, ""S&amp;P Global"" cannot seem to get its footing and identity.

The corporate culture behaves like a small, ""start-up"" 100 person organization.  Everything is ""hodge-podge"" and there is no corporate foundation in terms of corporate structure including no corporate policies and standards (thus businesses and corporate have no direction or mandates and just do whatever they want), HR job positions and career bands are not setup and have 50 years of various, archaic, outdated HR positions so in HR system everyone has some crazy title that does not even come close the titles listed on their external or job posting, thus very hard to determine upward career path/promotions.  

The lack of legitimate corporate hierarchal Senior Leadership positions such as a formal ""CIO"" etc. who make global Technology decisions create more dysfunction and poor direction. 

Lastly, most of the management level ""Directors"" and higher have very little leadership and solid global experience.  As a result, very poor management causing toxic culture and very high turnover especially in Colorado offices.  This place is simply being ""used"" as a ""stepping stone"" for people who want a better title before the move on usually within a year or so.","Completely restructure your SVP, VP  roles so there are improved reporting functions and accountability. More importantly, mandate formal processes to be developed and implemented PRIOR to trying to automate and implement technologies.  Bringing in tools as a quick fix to try to mature wont work as your internal departments and functions have no idea what each other are doing and they cannot even explain if you ask them. This spells continual rework and people moving on to greener pastures.  Good luck.",Very Immature and Poor Organizational Structure. Disparate Siloed Functions
S&P Global,2/9/2019,offene Kultur und gute Arbeitsatmosphäre,viel Umstrukturierung und wenig interne Mobilität,mehr Stabilität,Analyst
S&P Global,2/8/2019,"Very nice people to work with, beautiful office,  if you are not in IT/Ops/Tech everyone is treated well.","Boys club in IT and Ops and Data.  It is a mystery how some of the people (men) at the top are there as CTOs etc, they were in the right place at the right time but be ready to be ignored if you are a woman or come prepared to fight for your seat at the tech table.  Really bad, regardless of the equal pay thing they are using as PR.  Maybe the pay is equal, I don't know, but the treatment is not.",Your Chiefs and CTOs and CIOs are ego driven and don't care about the company and are not nice to those around them unless junior level.  Some exceptions but this is a boys club most got their jobs because they were in a department and a friend pulled them in for a higher level job with them.  Get real experts in these roles not people who are there because they were friends with others at the top.,Boys Club
S&P Global,2/5/2019,Awesome company for work everything is well managed,Nothing at all everything is great,Nothing everything is superb,Awesome
S&P Global,1/31/2019,"Great work culture, exposure to different technologies, agile framework",Can't think of anything as such, ,Good company to work for
S&P Global,1/31/2019,Nice office and facilities as it is still new. Competitive salary.,Unfriendly culture. No structured training program. Management doesn't take care of its people., ,Unpleasant Experience
S&P Global,1/30/2019,Work life balance in the company,Salary is low compared to the cost, ,GOOD place to work
S&P Global,1/22/2019,"- Power brand in your Resume;
- good work environment and colleagues;
- office location and facilities.","- No much to learn;
- Process intensive;
- The work is in the heart of the current technology-driven ""Industrial Revolution"": it's either going to be (almost 100%) offshored or automated;
- If you are not from a technology background, you might not ", ,"""Data Researcher"""
S&P Global,1/19/2019,Great people good work life balance,Vendor driven  too many changes in senior management,Focus on retaining staff via better opportunity,Service operations manager
S&P Global,1/19/2019,Work environment is very great,There is not much learning,Learning Improvisation,Data Researcher
S&P Global,1/9/2019,"* Good office building
* Facilities are good
* Equipment to get your job done is really good","* Low salary when compared to the market.
* HUGE gender disparity in pay, what's more, disclosing what you get paid can get you fired for the very same reason, there is no equal pay for equal work done
* Very bad culture
* Sexism and bigotry is rampant in global offices with little to no action from higher HR management 
* If you're not working in the US, you're supposed to keep your head down and work and deal with sexual harassment and antagonism as highlighting it will get you fired
* Not interested in any sort of career development, the only focus is on rewarding management with bonuses",Be better,Messed up place to work at if you're not in the US
S&P Global,1/4/2019,"Providing all facilities with job satisfaction 
Salary.to get good knowledge on market every thing is good",I satisfied but one this management has some portiolity,Nothing,Very good
S&P Global,1/3/2019,Great work life balance.,Pay can be better.,"I know it's a big corporation, but I think retaining current talent should be a priority. S&amp;P Global should be more willing to",Great work life balance but..
S&P Global,1/3/2019,Above competition salary package; great HMO coverage with Dependents,"Poor training quality, unsupportive environment",Invest on quality training facilities and content; ensure that the company prioritizes the employees psychological safety,Disappointing
S&P Global,1/2/2019,Best work culture. Good environment,Less pay. Monotonous kind of work, ,It is a very good company
S&P Global,1/1/2019,"Constantly on the move, never feels flat, moved towards being a technology company vs. a data company now",Most notable decision making and influence all takes place in US, ,"Great company, always adapting to market change"
S&P Global,12/27/2018,"Very good culture
One of the best company in Gujarat",Package is less compare to industry, ,Working Condition
S&P Global,12/25/2018,"great benefits, exciting transition time and accesible leadership. The work is always interesting.",There are times you have to be aggressive, ,"Great People, Intellectually Stimulating, Sky is the limit,"
S&P Global,12/21/2018,"- Average Pay, less than wall street though 
- They have some work for you
- Work From Home (Depends on Manager)
- New CTO is doing Great.","- Stability is not there.
- Once you assigned to the project, you will be married, cannot take divorce
- Work Pressure
- No New Technologies, stuck in legacy mode...however, new management is trying new ways.
- Good work is going outside of USA. S","- Be employee first companies.
- Listen to employees and their ideas
- Don't set unrealistic targets 
- Change the org cultural first, make it open. 
- Have FinTech mindset",Not A Long Term Employer for Sure
S&P Global,12/5/2018,Newly renovated floors and office common space,Costly and expensive HR Offsite in Dubai while many in HR have lost their jobs,Poor decision by CPO to sacrifice FTEs for flashy and costly HR offsite; even worse that CFO and CEO authorized this trip,Decisions Impacting Workforce
S&P Global,12/3/2018,"O trabalho vai além da coleta e inserção de dados, cultivando o pensamento analítico do estagiário. O ambiente de trabalho é agradável e o horário é flexível.",A perspectiva de efetivação não era boa enquanto estive lá. O trabalho muitas vezes é repetitivo e a parte mais pesada dele tem caráter sazonal., ,Boa empresa para trabalhar
S&P Global,11/30/2018,All good.. culture is the forte,None i can think of, ,Ss
S&P Global,11/27/2018,"Pay, people, learning, hours, fun","Technology, old, slow, boring, repetitive", ,Credit Analyst
S&P Global,11/25/2018,Great work life balance. Work with very smart people. Great access to management teams and get insider access to a large volume of deals.,"Salaries as all levels in corporate ratings are well below market. This used to be a place where salaries were similar to IB but the bonuses were much lower- now everything is much lower as the company hasn't kept up with rising wages. Turnover is high as a result. Also, the culture is not one of openness and inclusion. Lastly, many of the 'pod leads' are great analysts but terrible managers/mentors.","Giving time back to analysts is great, but if all the good analysts leave because the salaries are abysmal, time back to analysts won't matter.",Current corporate ratings associate
S&P Global,11/24/2018,People! Hours are good and shifte are flexible,No downsides at this company, ,Product Consultant
S&P Global,11/20/2018,Ambiente dentro de todo relajado. La remuneración es competitiva para el sector pero los beneficios no son buenos. Poco más positivo para decir,"Cambios permanentes, mala comunicación, mala interacción entre los equipos. Intenta ser una sola empresa pero no es más que un holding con intención de más", ,Sigue siendo McGraw Hill
S&P Global,11/15/2018,Forward thinking company with great benefits and flexible work options.,Too many changes in upper management causing uncertainty for employees.,Be more transparent with employees.,Reshaping itself
S&P Global,11/13/2018,"good work-life balance
working environment and colleagues
company benefit",not too many promotion opportunities, ,Sr Analyst
S&P Global,11/12/2018,"Multinational and multicultural, energetic workforce, safe environment to share and challenge ideas","Rotating schedule, need to streamline focus on priorities",Try to look for ways to minimise shifting schedules.,Great place to work for
S&P Global,11/12/2018,Its good. Nice place for beginners.,nothing major. sometimes the work gets hectic, ,I am presently working here
S&P Global,11/1/2018,"Great company to work for
Nice office and good canteen and coffee facilities
Good work life balance
talented people",Things are done on a relatively slow pace which can be a bit frustrating., ,Great company
S&P Global,10/31/2018,good for freshers for better future,i do not find any cons, ,nice working
S&P Global,10/31/2018,its a good place for working freshers,Here learning so many things, ,Junior Research Associate
S&P Global,10/29/2018,"in a nice, well located office","poor management, in DC and New York", ,poor management
S&P Global,10/29/2018,"Fun environment, interesting work subject.",The IT system is frankly terrible., ,Intern
S&P Global,10/23/2018,"Flexible Holidays, Work environment and ya that's it.","-If you are initially favored by your manager, chances are you have some scope of increments/promotions.

-They have got a new Idea that to hire newer interns at cheaper salary than full time. They have started to threaten the existing employees to wo","-Dont make manager based on their tenures, but rather on their convincing power and their ability to listen to employees and put forward their points.

-Ensure all locations act as one team and not as competitors. New Teams at Ahmedabad are the bigges",Avoid Getting in Transaction Teams
S&P Global,10/23/2018,"Lots of opportunities to get engaged beyond your primary day-to-day role, in different groups and projects. They recognize good work. Leadership is strong across the board. CEO is phenomenal. Have made huge changes to the business in the last few years that are overall very positive.  Great offices around the U.S. and teams are diversifying geographically as more and more young people join the company.  Great benefits, very supportive of working moms &amp; families.","It's a big company so at times can be slow-moving, with frequent reorgs. But they are always evaluating how they can be better.",Help employees understand career opportunities within the company.,"Great place to work for women, lots of opportunity."
S&P Global,10/23/2018,"nice people, nice environment, good company",could use more advanced technologies, ,Good Environment with nice people and opportunities
S&P Global,10/21/2018,Great people work with and great office,None that I can think of, ,Contract
S&P Global,10/14/2018,"At market pay, great benefits, great learning opportunities, and a renewed focus on employee development.  Also, the company has been around for over a hundred years and has a (pretty) good reputation in the market and in general.","Politics and layoffs.  The company is still in the throes of transformation, and as it centralizes on its core businesses and strives to improve margin, seeing peers change roles, be reorg'd, or be laid off was not uncommon, even as the company makes money hand over fist.","Strive hard to retain people and realign them with changes in strategy, rather than laying them off.  This really hurts morale of people who love and want to stay at the company but who also see that their job might be in jeopardy at any time.","Great company, but constantly changing"
S&P Global,10/10/2018,You'll get college like atmosphere there. No serious looking corporate guys.,"Nothing much to learn. Also, the nature of job is pretty monotous.",Please don't encourage 7+ seniors to take things for granted.,S&amp;P Global
S&P Global,10/9/2018,"Good  benefits, multi cultural environment,",Leadership turn over is pretty fast., ,Director
S&P Global,10/8/2018,Great pay and good resources,Unprofessional environment where there is too much senior management and not enough room for growth, ,Summer Credit Analyst
S&P Global,10/6/2018,"Work-Life balance
Good pay
Cab facility (not for everyone though)
Good office","Promotions and hikes are decided on the  basis of visibility instead of the work,
After the acquisition of SNL, the priority projects are handled by SNL only.
Not a good place for people who want to work on cutting-edge technology.","Define better parameters for appraisals.
Pickup latest tech-stack for development, which can make the product better.",Good company to work for if willing to work on DotNet
S&P Global,9/30/2018,"team oriented, goal oriented, financed based",the program is a little long,-,Client Support
S&P Global,9/23/2018,1- Good Work Culture and environment,"1- Less salary
2- Strict promotion criteria
3- No growth opportunity
4- No scope for changing team (Relocating to new place)", ,Data Researcher
S&P Global,9/20/2018,Resonable payscale but could be better,"Poor systems and slow processes
Work life balance is significantly impacted by earnings", ,Ok place to work
S&P Global,9/20/2018,Progressive ideas and plans by management is going to keep this company profitable.,Profits will go out the window the talent they lose to reckless managers and senior leaders who only promote the people they click with (white males).,Hold all managers accountable for bad behavior.  Stop protecting the “so called” hi potential males that continue to promote bad behavior.  Recruit more women and people of color and make more meaningful efforts to keep them.  The Board of Directors should demand more progress on those stats. If you share flat results year after year on earnings you get fired but same results for Diversity get ignored.,Management doesn’t understand Diversity
S&P Global,9/16/2018,"Enjoyed the working culture, ethical behavior, peer support and motivation fostered.",Probably there wasn't anything bad., ,Data Researcher-I
S&P Global,9/14/2018,It is good company to work for,No cons I can see, ,"Workflow management, project handling"
S&P Global,9/12/2018,"a good place to work 

a good place to build a career","no cons 

keep up the good work", ,data  researcher
S&P Global,9/11/2018,"Excellent company culture, friendly atmosphere, great learning experience. Possibility to work from different locations.",Low pay compared to banks, ,S&amp;P internship
S&P Global,9/7/2018,"Tremendous growth opportunities, great people, great benefits.","Decision making is not a strength, it can take a long time to get things done.", ,Director
S&P Global,9/4/2018,"Benefits, Pay, and option of working remote, if approved. Benefits are the same across many of the Denver corporations, nothing is competitive in this area.",Disconnect between regional offices and headquarters. Leadership engagement is lacking and re-organization of departments in continual.,Allow opportunities for internal mobility and leadership positions. Incorporate more team engagement and ERG involvement into performance goals.,Sr. Associate
S&P Global,9/3/2018,amazing company and great work ethos,no cons at all with the company,.,Assistant
