"","Employer.s.Name","Review.Link","Job.Title","City.Town.Name","State.Name","Country.Name","Interview.Date","Interview.Difficulty","Interview.Length..no..of.days.","Process","Interview.Outcome","Overall.Experience","Why.Decline","Negotiation.Phase","Interview.Question.1","Interview.Question.2","Interview.Question.3","Interview.Question.4","Interview.Question.5","Employer.Response"
"11","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW3151800.htm","Software Engineer","New York","New York State","US","10/7/2013","Easy",14,"Had an on campus interview. Took 30 minutes paper test and then went through all the questions with the interviewer. Some follow-up questions from the interviewers are not easy compare to the written test.","No Offer","Positive"," "," ","Binary tree path sum
find a linkedlist's nth to last node
Cache design
DB design
count the number of bits in a char"," "," "," "," ",NA
"12","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW403079.htm","Software Engineer","New York","New York State","US","2/17/2010","Difficult",1,"30 mins paper test (all about algorithms design) before the 1:1 interview. And the 1:1 interview is mostly about the test you just took. Also, it related some of your experience. Make sure you got all the details on your resume and be able to explain fluently. No behavioural question was asked. Technical questions included topics: data structure( array, linked list, hash table, etc), algorithm (many many), DB design (normalization or multi-relationship), pick a language you like and write a short program they gave you.","No Offer","Positive"," "," ","algorithm to reverse a singly linkedlist. (most efficient way)"," "," "," "," ",NA
"13","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW274472.htm","Software Engineer"," "," "," ","8/25/2009","Average",1,"They are looking for social people. I knew all of their technical questions, but the feedback that I got from a friend working there was that I am not sociable enough. I asked one of the interviewers, but he said it was my technical side that didn't get me the job.","No Offer","Neutral"," "," ","Reverse a linked list."," "," "," "," ",NA
"14","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW683646.htm","Software Engineer","New York","New York State","US","10/14/2010","Difficult",1,"You were given A skills assesment which you had 20 minutes to complete. After the exam was over, A interviewer came into the room to discuss what you did and the thought process you had doing it.","No Offer","Positive"," "," ","Reverse a Singular Linked List?"," "," "," "," ",NA
"15","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW858037.htm","Software Engineer","New York","New York State","US","3/18/2011","Average",21,"I dropped my resume off at the campus career fair. Was contacted afterward to take a test at the school; after completing the test I was taken to their headquarters in New York. I interview with 3 people, it didn't go well, because their questions were either questioning projects I'd written or write extremely simple code, so there wasn't much to talk about when they're expecting some kind of thinking process that really is unnecessary.","No Offer","Neutral"," "," ","Draw a circle (write the code to do it)"," "," "," "," ",NA
"16","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW1487344.htm","Software Engineer","New York","New York State","US","5/3/2012","Average",1,"There was an initial paper exam consisting of five question which were not particularly hard. They included i. write a function that gets the number of set bits in a character ii. Reverse a linkedlist iii. Find the least common ancestor in a tree These questions are used as a conversation starter for the actual interview. It is important that you get them right but I doubt if they are of any great consequence","Declined Offer","Positive","The pay was a bit low compared to other offers"," ","Find the middle of a LinkedList"," "," "," "," ",NA
"17","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW2002291.htm","Software Engineer","College Park","Maryland","US","9/29/2012","Difficult",14,"I applied to Capital IQ through my university's career fair. Then I was given an on-campus interview. The first half of the interview was a skills test. The recruiter walked in, handed me the test, and gave me 30 minutes to complete. It consisted of 5 technical questions pertaining to data structures and bit manipulation.","No Offer","Neutral"," "," ","Given a tree, create a function for a getting a sub-tree given P and K."," "," "," "," ",NA
"18","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW2618317.htm","Software Engineer Intern","New York","New York State","US","5/3/2013","Average",14,"I was called for a screening interview first which just asked about me and my resume. If they like you, you will to the next round with more phone interviews. Had three interviews for three separate teams engineer teams all working on different projects. I got the offer the same day as i interviewed for all three teams. Offer was for my choice of any of the teams so i chose the best one for me.","Accepted Offer","Positive"," ","No negotiation. Just take it. 28$ an hour.","Honestly, weren't too technical. No specific coding questions as i guess they trust that you can do what they want. "," "," "," "," ",NA
"19","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW8155981.htm","Software Engineering","New York","New York State","US","10/2/2015","Difficult",35,"Interview consisted of an on campus written exam followed by two in person interviews. Having passed those, they invited me to a ""super-days"" interview day at their office in NYC, which consisted of some networking events and three more in-person interviews. In total, I had 5 in-person interviews with 6 different people, two networking events, and an exam.","Accepted Offer","Positive"," "," ","Classic computer science interview questions, asking you to write code, explain resume, time complexity of code solutions, etc. What&#039;s the difference between an interface and API?"," "," "," "," ",NA
"20","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW846752.htm","Analyst","New York","New York State","US","3/10/2011","Average",30,"Capital IQ boasts an extremely cool group of people...I felt very comfortable in the preliminary interview, and during super day interviews. The company culture seems incredible, definitely a great place to work. I applied through a school employment site, interviewed on campus, then interviewed on site for super day.","No Offer","Positive"," "," ","Walk me through your story...why are you here?"," "," "," "," ",NA
"21","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW768655.htm","Analyst","New York","New York State","US","1/10/2011","Average",30,"The interview questions were very basic and what you normally expect to be asked. Be prepared to answer typical questions such as tell me about yourself and tell me about an experience in which you were challenged and how you over came it.","No Offer","Neutral"," "," ","Tell me something about you that I would not be able to know from looking on your resume. "," "," "," "," ",NA
"22","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW6350695.htm","Analyst","New York","New York State","US","4/15/2015","Very Easy",7,"almost non existent - i knew more about the company than both the HR rep giving the interview and the manager that ultimately hired me. Everyone was new and people seemed more interested in socializing with one another than what was going on with the business. Employees were completely oblivious to everything outside their immediate teams.","Declined Offer","Neutral"," "," ","Where do i see myself in 5 years"," "," "," "," ",NA
"23","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW17266675.htm","Analyst"," "," "," ","10/10/2017","Easy",14,"The interview process was pretty easygoing, you meet with the supervisors and they ask general questions about your capabilities and how you handle under pressure. They handle the beginning steps as an employee through a temp agency until offered to be part of the team.","Accepted Offer","Neutral"," "," ","Where do you see yourself in 5 years?"," "," "," "," ",NA
"24","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW22748429.htm","Analyst","New York","New York State","US","10/1/2018","Average",15,"Interview had 3 rounds, first HR to check your communication skills, second with your hiring manager for technical area and third with senior management. After you clear all 3 rounds salary discussion and on boarding areas are discussed.","Accepted Offer","Positive"," "," ","I did not have to give any answers , I got selected for my communication skills with strong background and yes confidence is must."," "," "," "," ",NA
"25","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW14204832.htm","Intelligence Analyst","New York","New York State","US","3/15/2017","Difficult",NA,"The worst interview I have ever had. I was asked lots of questions I didn't prepare such as financial knowledge I learnt in college. I didn't expect to be asked these questions.","No Offer","Negative"," "," ","How do you understand financial market "," "," "," "," ",NA
"26","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW17796760.htm","Internship","Saint Louis","Missouri","US","11/8/2017","Average",NA,"online assessment with several questions to determine my fit and qualifications for the job. Each question took between 10-15 minutes and were taped. I had some time between questions to get ready.","Accepted Offer","Positive"," "," ","why do you think you would be a good fit for this position?  What was your greatest accomplishment?"," "," "," "," ",NA
"27","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW14681953.htm","Intern","New York","New York State","US","4/18/2017","Average",NA,"It's an onsite interview. I was interviewing with five persons. For each person, it was a 30 minutes talk. Most of questions were based on my resume. It also included some very practical industrial questions.","No Offer","Positive"," "," ","How to calculate variance"," What's the main dependencies of your project","Talk about KNN","How to write SQL"," ",NA
"28","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW799458.htm","Intern","New York","New York State","US","2/4/2011","Average",21,"First round interview on campus. Straight forward skills test followed by a 1:1 interview reviewing the test. I got a call relatively quickly inviting me to NYC for a second round interview. The interview was a bunch of 1:1 interviews with current employees. The questions ranged from technical to personal. Nothing was too difficult. They were nice enough to fly me up for the day, yet although they offered to pay for the taxi ride, they never did. Taxis in NYC are not cheap.","No Offer","Negative"," "," ","Find the nearest common parent to two given nodes in a tree."," "," "," "," ",NA
"29","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW2598530.htm","Intern","New York","New York State","US","4/26/2013","Average",30,"Applied online, had two phone screens and an onsite interview","Accepted Offer"," "," "," ","There was one question on designing a class/set of classes which help to find the stock quote for a particular company. A method was provided which takes a sticker(String) as an input and gives the stock value(double). But this method was too expensive to call, so how would you optimize your solution(make the minimal number of calls to this method). Also the stock value returned should not be more than an hour old. There were subparts to this question, on caching the values and multithreading.","Given a tree and a value n, check if the sum of values on any path of the tree from root to a leaf equals to that value."," "," "," ",NA
"30","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW1543576.htm","Intern","New York","New York State","US","5/29/2012","Average",20,"I heard about an intern opportunity through an acquaintance of mine. I contacted the company and submitted a resume and cover letter and received a response within a day or two. Every one who I interacted with in the company was very kind and courteous. The process consisted of multiple phone interviews. Even though I wasn't able to get an internship opportunity for the summer I will still keep in contact with the representatives as this is an incredible place to work.","No Offer","Positive"," "," ","Why did you apply here?","Why should we hire you?"," "," "," ",NA
"31","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW8812263.htm","Intern","New York","New York State","US","12/3/2015","Average",1,"Technical phone interview, no behavioral questions. Very friendly. Was waiting to hear if I would receive a chance at an in-person interview when I was informed they went on a hiring freeze. Everyone I interacted with was very professional and friendly, never felt uncomfortable.","No Offer","Positive"," "," ","What is the difference between quicksort and mergesort?"," "," "," "," ",NA
"32","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW10728462.htm","Intern","New York","New York State","US","5/25/2016","Easy",30,"2 phone calls one with HR and another with the hiring manager. It was a very cordial experience and direct questions, no surprises. The HR rep I spoke with and the hiring manager were very affable people. I found the job through my school's recruitment website and was, overall, a very positive experience.","Accepted Offer","Positive"," "," ","Tell me about your past experience"," "," "," "," ",NA
"33","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW5702637.htm","Intern"," "," "," ","1/15/2015","Easy",NA,"one phone interview... then followed up with an in office interview. Interviewed by VP then team I was to work with. Mostly behavioral questions, tell me about yourself, why do you want to work here, etc","Accepted Offer","Positive"," "," ","Do you know about MHF in recent current events?"," "," "," "," ",NA
"34","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW17152106.htm","Marketing Specialist","New York","New York State","US","10/3/2017"," ",21,"I had a phone screen with a recruiter followed by a series of phone calls with various (4-5) managers/staff members, and finally an in-person interview in New York. I was supposed to meet with the hiring manager in NY, however, that person was out of the office that day. This was an unfortunate oversight on the company's part, as I had traveled to NY and would have liked to meet my potential future boss. Additionally, the recruiter continuously promised that I would hear back from them ""no later than ___"", and never once followed up in the stated time frame. I NEVER heard back yes or no. Seriously unprofessional.","No Offer","Negative"," "," ","How do you balance working with sales and product teams?"," "," "," "," ",NA
"35","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW4883389.htm","Marketing Specialist","New York","New York State","US","8/31/2014","Difficult",14,"2 weeks after the application I had phone interview with an HR. Questions were about work authorization, nothing about the job. Next week I had an interview at the office one by one with the team director, VP of marketing and another team director. They were all so nice. I thought it went well. I received a really kind rejection email that the director explained that they found someone else who has a technical skill that is important for the position.","No Offer","Positive"," "," ","Why should we hire you? What value can you bring to our team? Would you be able to adjust this company since you never had an experience at a big corporation before?"," "," "," "," ",NA
"36","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW14234334.htm","Account Manager","New York","New York State","US","3/17/2017","Average",21,"I applied through the website. 2 weeks later received a call from a recruiter to learn about my experiences. I pass that round was scheduled for a call with the hiring manager. During the interview the manager asked about my current role, what I know about the company/position. I received a call from the recruiter same day saying they wanted to meet me. Final interview was 3, 30 minute sessions from other managers on the team. My recruiter was very knowledgeable about the company, friendly and professional. That was very helpful.","Accepted Offer","Positive"," "," ","What do you do in your current job?
What do you know about us?
Why would you be a good fit?
Alot of behavioral questions."," "," "," "," ",NA
"37","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW4124786.htm","Industry Analyst","New York","New York State","US","4/26/2014","Average",21,"A 1-day written exam, doing analysis on a company and writing a short stock report. They provide an industry survey, economic data, and most recent 10-Ks and 10-Qs. After passing the exam, the candidate goes through a series of interviews, usually 4 or 5 interviewers. The offer is usually given in 2 weeks.","Accepted Offer","Positive"," "," ","Can you cover 30 companies?"," "," "," "," ",NA
"38","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW6607522.htm","Senior Manager","New York","New York State","US","5/15/2015","Average",90,"Went through 6 interviews and then 1 person twice over a 3 month period. I was never called back, I had to call to be told they were going in another direction. Communication from the company was good at first but then when it became clear I wasn't getting the role. all communication stopped. I thought that was unprofessional.","No Offer","Neutral"," "," ","Typical questions, most related to previous employment and background, etc."," "," "," "," ",NA
"39","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW20129454.htm","Senior Manager","New York","New York State","US","4/12/2018","Easy",35,"Interviewed with ciq in August 2013. Overall interview process took 5 weeks. First HR phone screen, then two onsite interviews with hiring manager and a final interview with a MD. HR was very helpful through out the interview process.","Accepted Offer","Positive"," "," ","Tell me about yourself","What do you know about ciq?"," "," "," ",NA
"40","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW1432438.htm","Technical Business Analyst","New York","New York State","US","4/8/2012","Average",1,"Submitted online application and then after 5-7 workdays received phone call notification for phone interview.","No Offer","Negative"," "," ","Did you have any data analysis experience?"," "," "," "," ",NA
"41","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW6331633.htm","Architecture","New York","New York State","US","4/13/2015","Very Easy",1,"4 round interviews, all were in person interviews. But that time it was for summer interns. But mostly they see how you present your thoughts clearly. Not very technical.","Accepted Offer","Neutral"," "," ","2 rounds technical, 1 round ""intelligence"", 1 round project. Really easy questions"," "," "," "," ",NA
"42","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW16224245.htm","Systems Engineer","New York","New York State","US","8/4/2017","Average",NA,"It's a total mixed bag. It depends on who your interviewing with. Most, if you are really good at what you do, you can walk circles around. Just sound accommodating and knowledge .","Accepted Offer","Positive"," "," ","There really is no question that will help you here....."," "," "," "," ",NA
"43","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW10016862.htm","Sales Director","New York","New York State","US","3/23/2016","Average",NA,"Under qualified interviewers. Manager did not want other managers in the team to interview me (later learned she did not get along with them). Instead I was interviewed by peer managers from entirely different teams. Should have been interviewed by more people on the team. Too many interviews spread over too many months. Arrived only to be told I was late (admin error).","Accepted Offer","Neutral"," ","I should have been able to negotiate with HR.  Instead I had no other option than to negotiate with hiring manager.  I was made a counter offer in the middle of the process.  The manager was very old school and did not take kindly to my counteroffer.  HR handles these situations all the time, thus any salary negotiation should be managed by HR recruiting.","Focused on employment gaps and not functions and value.  Manager did not have clear idea of upcoming workload and seemed disgruntled.  Manager looked tired and worn out."," "," "," "," ",NA
"44","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW1340953.htm","Software Developer","New York","New York State","US","2/15/2012","Average",1,"Capital IQ came to our university career fair and my resume got selected. The next week I was called to give a Skills test and that followed by a 1:1 interview of one hour and consisted of basic questions like Reverse a linked list, Tree traversal, etc. The week after that I got a reply from the hiring manager about them moving ahead with other candidate.","No Offer","Negative"," "," ","Reverse a linked list","Tree traversal - Show that P and Q are contained in the nodes of a tree. (Don't remember the exact question..It had a diagram)","Draw ER Diagram for a contact management system having subsidary companies, etc..","How to count the number of set bits in a character??","Pseudo code to get stock quotes of public companies using an API and a cache efficient way to store it to reduce server load per calls.",NA
"45","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW229706.htm","Engineer","New York","New York State","US","5/26/2009","Difficult",28,"first two rounds were technical phone screens. In house interviews I met with a HR representative, the hiring manager as well as the CTO. The process was much longer then they alluded and I took another job in the meantime.","No Offer","Neutral"," "," ","Spring/Hibernate- very important to understand the concept behind and how to work in the environment","Brian teaser"," "," "," ",NA
"46","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW1148708.htm","Quantitative Research","New York","New York State","US","10/11/2011","Average",1,"It was a phone screening interview, I was asked the question about what I did in school. Some brain teaser, some statistics questions and some programming questions. I did not answer well for programming questions. The statistics question like regression and the brain teasers are not so hard. Unfortunately, they didnot continue with me.","No Offer","Neutral"," "," ","What is the assumption for regression?"," "," "," "," ",NA
"47","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW11131326.htm","Reporter","New York","New York State","US","7/5/2016","Average",180,"I was contacted by recruiter, then I was asked to complete a writing and reading comprehension skills test. Then, I had a series of interviews with industry editors and managing editors. The entire process dragged on for six months. I hadn't heard from them in six weeks, when I got a call offering me the job.","Accepted Offer","Neutral"," "," ","My experience writing and editing."," "," "," "," ",NA
"48","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW14127201.htm","Product Specialist","New York","New York State","US","3/10/2017","Difficult",7,"There was an initial interview with three people. They reviewed my background and went over the position. Afterwards, there would have been a follow-up interview with others in the organization.","No Offer","Negative"," "," ","Review performance attribution for me?"," "," "," "," ",NA
"49","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW13478283.htm","Product Consultant"," "," "," ","1/25/2017","Average",120,"I applied on their website in October and around 10 days later I received a phone screen with someone currently in the role I applied to. After the initial phone screen I didn't hear back until January when I was asked to have a final round of interviews over Skype.","Accepted Offer","Positive"," "," ","What role do you take when you work on a team? What do you like least about being on a team?","How did you choose your school?","Tell me about your leadership experience/extra curricular activities","Tell me about a time you failed and how you overcame it","Tell me about a time you worked with a team and had a member who was lagging behind. What did you do to motivate them?",NA
"50","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW11521157.htm","Product Consultant","New York","New York State","US","8/10/2016","Average",14,"Applied through my college website, and submitted application online. I received an email to set up a phone interview. Phone interview that lasted 10 mins. Basically you talk about your experience. They also randomly asked me to name 3 financial statements that are part of the 10-k. Then a few days later, I was invited to their superday where i was interviewing on the same day as 5-6 others on that day. I did two seperate, 10 minute interviews with the managing director and a manager of the team. Interview wasnt so bad. The culture of the company was friendly and open.","Accepted Offer","Positive"," "," ","Name a difficult time with a client. 
Tell me about yourself. 
What do you know about our company?
What is present value? 
Went through resume; I see you have experience working with children, how is this similar to working with clients? 
Where do you see yourself in 5 years. 
Do you have any questions for me?"," "," "," "," ",NA
"51","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW15531793.htm","Product Consultant","New York","New York State","US","6/19/2017","Average",NA,"First Round video interview. Then on site interview with two different managers, 30 mins each. The in person interview was very informative and the interviewers seemed genuinely interested in my interests. Made a good impression on the relationships employees have.","Accepted Offer","Positive"," "," ","What is a recent M&A you have been following in the news?","Why do you see yourself at S&P?"," "," "," ",NA
