,Pros,answer_re,answer_re_oth,answer_re_n
28,- Great management top down - People First Policies - Flexible work life balance - Strict focus on organizational strategy - Communication and Collaboration,- Great management top down - People First Policies - Flexible work life balance - Strict focus on organizational strategy - Communication and Collaboration, great management top down people first policies flexible work life balance strict focus on organizational strategy communication and collaboration,"balance, work, management"
29,flexible hours. good compensation employee surveys taken seriously,flexible hours. good compensation employee surveys taken seriously,flexible hours good compensation employee surveys taken seriously,"compensation, flexible"
30,A cultura organizacional da empresa permite maior flexibilidade para conciliar a vida pessoal com a profissional e oferece muitas oportunidades de aprendizado,A cultura organizacional da empresa permite maior flexibilidade para conciliar a vida pessoal com a profissional e oferece muitas oportunidades de aprendizado,a cultura organizacional da empresa permite maior flexibilidade para conciliar a vida pessoal com a profissional e oferece muitas oportunidades de aprendizado,
31,Able to participate in employee resource groups and pursue interests via trainings and learning platforms,Able to participate in employee resource groups and pursue interests via trainings and learning platforms,able to participate in employee resource groups and pursue interests via trainings and learning platforms,
32,S&amp;P is one of the best credit rating agency and a place where one can learn alot,S&amp;P is one of the best credit rating agency and a place where one can learn alot,s amp p is one of the best credit rating agency and a place where one can learn alot,place
33,S&amp;P Global is going through changes constantly but they are all great changes and we are moving in the direction of the market. Our benefits are being updated and I feel like it is extremely work life balance and family friendly. I am a very happy employee and can't wait to see the changes to come for the future!,S&amp;P Global is going through changes constantly but they are all great changes and we are moving in the direction of the market. Our benefits are being updated and I feel like it is extremely work life balance and family friendly. I am a very happy employee and can't wait to see the changes to come for the future!,s amp p global is going through changes constantly but they are all great changes and we are moving in the direction of the market our benefits are being updated and i feel like it is extremely work life balance and family friendly i am a very happy employee and can t wait to see the changes to come for the future ,"great, work, balance, benefits"
34,good projects on Financial &amp; investment banking people working in Us projects have better exposure,good projects on Financial &amp; investment banking people working in Us projects have better exposure,good projects on financial amp investment banking people working in us projects have better exposure,"people, working"
35,"S&amp;P adopting all new emerging technologies like blue-prism, docker, cloud where each and individual employee getting chance to hands-on on those Good market vision from higher management, as they taking so many great steps in our product as per market trends and business need, which is a good sign for continuous growth&nbsp; Great work life balance&nbsp;","S&amp;P adopting all new emerging technologies like blue-prism, docker, cloud where each and individual employee getting chance to hands-on on those Good market vision from higher management, as they taking so many great steps in our product as per market trends and business need, which is a good sign for continuous growth&nbsp; Great work life balance&nbsp;",s amp p adopting all new emerging technologies like blue prism docker cloud where each and individual employee getting chance to hands on on those good market vision from higher management as they taking so many great steps in our product as per market trends and business need which is a good sign for continuous growth nbsp great work life balance nbsp ,"work, great"
36,Supportive culture Growth Learning opportunities Regular check-ins by senior management,Supportive culture Growth Learning opportunities Regular check-ins by senior management,supportive culture growth learning opportunities regular check ins by senior management,"culture, management, senior"
37,Unlimited Work from home option.,Unlimited Work from home option.,unlimited work from home option ,home
38,learning and career development is great,learning and career development is great,learning and career development is great,great
39,"It used to be a great place to work, pre SNL merger","It used to be a great place to work, pre SNL merger",it used to be a great place to work pre snl merger,"place, great"
40,Top Management is focusing on People First.,Top Management is focusing on People First.,top management is focusing on people first ,
41,"Work life balance, working across geographies, meeting incredible people","Work life balance, working across geographies, meeting incredible people",work life balance working across geographies meeting incredible people,"people, working"
42,work life balance good start for fresher,work life balance good start for fresher,work life balance good start for fresher,"work, balance"
43,1. Open friendly work culture 2. Lot of opportunities to grow internally 3. Competitive salary,. Open friendly work culture . Lot of opportunities to grow internally . Competitive salary, open friendly work culture lot of opportunities to grow internally competitive salary,"work, culture, salary, friendly"
44,good company to work with,good company to work with,good company to work with,"work, company"
45,"If you take the initiative you can learn, develop and grow at S&P. The company is offering free technical training and they allow junior employees access to senior leaders through round tables and town halls. The company is moving in the right direction. Overall benefits are good and 401k is generous.","If you take the initiative you can learn, develop and grow at S&P. The company is offering free technical training and they allow junior employees access to senior leaders through round tables and town halls. The company is moving in the right direction. Overall benefits are good and k is generous.",if you take the initiative you can learn develop and grow at s p the company is offering free technical training and they allow junior employees access to senior leaders through round tables and town halls the company is moving in the right direction overall benefits are good and k is generous ,"free, company, senior, benefits"
46,Helpful colleagues as well as good environment.,Helpful colleagues as well as good environment.,helpful colleagues as well as good environment ,
47,"Difficult to figure out pros after Lou left and SNL acquired S&P in a reverse merger transaction. Cost is the big play here. A non-technical CTO is running the as Global CTO. If you are in good books for SNL Management, they will fire you at the end. The Islamabad folks are moving to US. I don’t know if this hints at something bigger.","Difficult to figure out pros after Lou left and SNL acquired S&P in a reverse merger transaction. Cost is the big play here. A non-technical CTO is running the as Global CTO. If you are in good books for SNL Management, they will fire you at the end. The Islamabad folks are moving to US. I don’t know if this hints at something bigger.",difficult to figure out pros after lou left and snl acquired s p in a reverse merger transaction cost is the big play here a non technical cto is running the as global cto if you are in good books for snl management they will fire you at the end the islamabad folks are moving to us i don t know if this hints at something bigger ,
48,Cab facility is the only pros,Cab facility is the only pros,cab facility is the only pros,
49,Great company Good work-life balance. Good employee centric polices,Great company Good work-life balance. Good employee centric polices,great company good work life balance good employee centric polices,company
50,"Shift timings, work from home friendly peers","Shift timings, work from home friendly peers",shift timings work from home friendly peers,"work, friendly, home"
51,-Mobility -Benefits -Access to exciting people -Career Development,-Mobility -Benefits -Access to exciting people -Career Development, mobility benefits access to exciting people career development,people
52,Good work life balance Good learning especially different tools,Good work life balance Good learning especially different tools,good work life balance good learning especially different tools,"work, balance"
53,Good program to start into out of college,Good program to start into out of college,good program to start into out of college,
54,"Bom ambiente de trabalho, otimo para fazer parte, otima copa! Boas pessoas! Otimo para aprender a lidar na vida com relação interpessoal! Muito bom msmo!","Bom ambiente de trabalho, otimo para fazer parte, otima copa! Boas pessoas! Otimo para aprender a lidar na vida com relação interpessoal! Muito bom msmo!",bom ambiente de trabalho otimo para fazer parte otima copa boas pessoas otimo para aprender a lidar na vida com relação interpessoal muito bom msmo ,
55,"Lunch &amp; Learns, Great T&amp;E policy, lots of social drinking/events","Lunch &amp; Learns, Great T&amp;E policy, lots of social drinking/events",lunch amp learns great t amp e policy lots of social drinking events,
56,- Clear vision and strategy - Friendly people - Comfortable working environment,- Clear vision and strategy - Friendly people - Comfortable working environment, clear vision and strategy friendly people comfortable working environment,"environment, people, working"
57,Good life balance and great people. Very good location,Good life balance and great people. Very good location,good life balance and great people very good location,"balance, great"
58,"time flexiblity,unlimited WFH, no micromanagement, good appraisals","time flexiblity,unlimited WFH, no micromanagement, good appraisals",time flexiblity unlimited wfh no micromanagement good appraisals,
59,- Strong businesses in oligopoly markets - Excellent financial performance - Share price appreciation - Accessible leadership,- Strong businesses in oligopoly markets - Excellent financial performance - Share price appreciation - Accessible leadership, strong businesses in oligopoly markets excellent financial performance share price appreciation accessible leadership,
60,good work-life balance working environment and colleagues company benefit,good work-life balance working environment and colleagues company benefit,good work life balance working environment and colleagues company benefit,"environment, balance, company, working"
61,"Great pay and benefits, generally relaxed atmosphere.","Great pay and benefits, generally relaxed atmosphere.",great pay and benefits generally relaxed atmosphere ,pay
62,"Work-Life balance, learning environment, nice office location","Work-Life balance, learning environment, nice office location",work life balance learning environment nice office location,
63,"The benefits are pretty good overall; not the best, but they suffice.","The benefits are pretty good overall; not the best, but they suffice.",the benefits are pretty good overall not the best but they suffice ,benefits
64,1) WORK FROM HOME 2) CAB FACILITY 3)FRIENDLY ENVIRONMENT 4) WORK LIFE BALANCE,) WORK FROM HOME ) CAB FACILITY )FRIENDLY ENVIRONMENT ) WORK LIFE BALANCE, work from home cab facility friendly environment work life balance,
65,Good people in NYC office.,Good people in NYC office.,good people in nyc office ,people
66,Gaining a Global organization on your CV. Nice location of Canary Wharf office.,Gaining a Global organization on your CV. Nice location of Canary Wharf office.,gaining a global organization on your cv nice location of canary wharf office ,
67,"HR policy, leave policy, work life balance, Global Brand,","HR policy, leave policy, work life balance, Global Brand,",hr policy leave policy work life balance global brand ,work
68,Strong business. Profitable company. Good benefits. Good strategy,Strong business. Profitable company. Good benefits. Good strategy,strong business profitable company good benefits good strategy,
69,Great company to work for,Great company to work for,great company to work for,"work, company"
70,Good Benefits/Perks and working hours. Great learning experience for anyone who wants to get into oil and gas.,Good Benefits/Perks and working hours. Great learning experience for anyone who wants to get into oil and gas.,good benefits perks and working hours great learning experience for anyone who wants to get into oil and gas ,working
71,Taking bold new leadership positions and emphasizing ESG and purpose in CR,Taking bold new leadership positions and emphasizing ESG and purpose in CR,taking bold new leadership positions and emphasizing esg and purpose in cr,
72,1. Work life balance 2. Ability to innovate,. Work life balance . Ability to innovate, work life balance ability to innovate,balance
73,Building fundamental credit analysis skillset,Building fundamental credit analysis skillset,building fundamental credit analysis skillset,
74,"Great work life balance - everyone leaves at about 5pm, the office is basically empty by 6pm. A lot of opportunities to learn and raise your hand Great to be able to meet management teams face-to-face","Great work life balance - everyone leaves at about pm, the office is basically empty by pm. A lot of opportunities to learn and raise your hand Great to be able to meet management teams face-to-face",great work life balance everyone leaves at about pm the office is basically empty by pm a lot of opportunities to learn and raise your hand great to be able to meet management teams face to face,"balance, work, management"
75,Good Salary and good work environment.,Good Salary and good work environment.,good salary and good work environment ,work
76,good to work in the company,good to work in the company,good to work in the company,"work, company"
77,"Collegial environment, collaborative, flexible working environment, value learning and continuous improvement, part of an organization with a great brand","Collegial environment, collaborative, flexible working environment, value learning and continuous improvement, part of an organization with a great brand",collegial environment collaborative flexible working environment value learning and continuous improvement part of an organization with a great brand,"flexible, great, working"
78,"Salary is reasonable, not the best, pay equity is not good","Salary is reasonable, not the best, pay equity is not good",salary is reasonable not the best pay equity is not good,pay
79,Open conversation to share pay logic,Open conversation to share pay logic,open conversation to share pay logic,pay
80,Great coworkers; access to fantastic resources; ability to move up if you perform well; nice office in downtown Houston; good work-life balance,Great coworkers; access to fantastic resources; ability to move up if you perform well; nice office in downtown Houston; good work-life balance,great coworkers access to fantastic resources ability to move up if you perform well nice office in downtown houston good work life balance,balance
81,"Legacy ""Standard &amp; Poor"" Brand name and that's it!","Legacy ""Standard &amp; Poor"" Brand name and that's it!",legacy standard amp poor brand name and that s it ,
82,offene Kultur und gute Arbeitsatmosphäre,offene Kultur und gute Arbeitsatmosphäre,offene kultur und gute arbeitsatmosphäre,
83,"Very nice people to work with, beautiful office, if you are not in IT/Ops/Tech everyone is treated well.","Very nice people to work with, beautiful office, if you are not in IT/Ops/Tech everyone is treated well.",very nice people to work with beautiful office if you are not in it ops tech everyone is treated well ,"work, people"
84,Awesome company for work everything is well managed,Awesome company for work everything is well managed,awesome company for work everything is well managed,"work, company"
85,"Great work culture, exposure to different technologies, agile framework","Great work culture, exposure to different technologies, agile framework",great work culture exposure to different technologies agile framework,work
86,Nice office and facilities as it is still new. Competitive salary.,Nice office and facilities as it is still new. Competitive salary.,nice office and facilities as it is still new competitive salary ,
87,Work life balance in the company,Work life balance in the company,work life balance in the company,"balance, company"
88,- Power brand in your Resume; - good work environment and colleagues; - office location and facilities.,- Power brand in your Resume; - good work environment and colleagues; - office location and facilities., power brand in your resume good work environment and colleagues office location and facilities ,"work, environment"
89,Great people good work life balance,Great people good work life balance,great people good work life balance,"work, balance, people"
90,Work environment is very great,Work environment is very great,work environment is very great,"environment, great"
91,* Good office building * Facilities are good * Equipment to get your job done is really good,* Good office building * Facilities are good * Equipment to get your job done is really good, good office building facilities are good equipment to get your job done is really good,
92,Providing all facilities with job satisfaction Salary.to get good knowledge on market every thing is good,Providing all facilities with job satisfaction Salary.to get good knowledge on market every thing is good,providing all facilities with job satisfaction salary to get good knowledge on market every thing is good,
93,Great work life balance.,Great work life balance.,great work life balance ,work
94,Above competition salary package; great HMO coverage with Dependents,Above competition salary package; great HMO coverage with Dependents,above competition salary package great hmo coverage with dependents,"salary, great"
95,Best work culture. Good environment,Best work culture. Good environment,best work culture good environment,"work, environment"
96,"Constantly on the move, never feels flat, moved towards being a technology company vs. a data company now","Constantly on the move, never feels flat, moved towards being a technology company vs. a data company now",constantly on the move never feels flat moved towards being a technology company vs a data company now,company
97,Very good culture One of the best company in Gujarat,Very good culture One of the best company in Gujarat,very good culture one of the best company in gujarat,"culture, company"
98,"great benefits, exciting transition time and accesible leadership. The work is always interesting.","great benefits, exciting transition time and accesible leadership. The work is always interesting.",great benefits exciting transition time and accesible leadership the work is always interesting ,"work, great"
99,"- Average Pay, less than wall street though - They have some work for you - Work From Home (Depends on Manager) - New CTO is doing Great.","- Average Pay, less than wall street though - They have some work for you - Work From Home (Depends on Manager) - New CTO is doing Great.", average pay less than wall street though they have some work for you work from home depends on manager new cto is doing great ,work
100,Newly renovated floors and office common space,Newly renovated floors and office common space,newly renovated floors and office common space,
101,"O trabalho vai além da coleta e inserção de dados, cultivando o pensamento analítico do estagiário. O ambiente de trabalho é agradável e o horário é flexível.","O trabalho vai além da coleta e inserção de dados, cultivando o pensamento analítico do estagiário. O ambiente de trabalho é agradável e o horário é flexível.",o trabalho vai além da coleta e inserção de dados cultivando o pensamento analítico do estagiário o ambiente de trabalho é agradável e o horário é flexível ,
102,All good.. culture is the forte,All good.. culture is the forte,all good culture is the forte,culture
103,"Pay, people, learning, hours, fun","Pay, people, learning, hours, fun",pay people learning hours fun,
104,Great work life balance. Work with very smart people. Great access to management teams and get insider access to a large volume of deals.,Great work life balance. Work with very smart people. Great access to management teams and get insider access to a large volume of deals.,great work life balance work with very smart people great access to management teams and get insider access to a large volume of deals ,"smart, work, management"
105,People! Hours are good and shifte are flexible,People! Hours are good and shifte are flexible,people hours are good and shifte are flexible,flexible
106,Ambiente dentro de todo relajado. La remuneración es competitiva para el sector pero los beneficios no son buenos. Poco más positivo para decir,Ambiente dentro de todo relajado. La remuneración es competitiva para el sector pero los beneficios no son buenos. Poco más positivo para decir,ambiente dentro de todo relajado la remuneración es competitiva para el sector pero los beneficios no son buenos poco más positivo para decir,
107,Forward thinking company with great benefits and flexible work options.,Forward thinking company with great benefits and flexible work options.,forward thinking company with great benefits and flexible work options ,"flexible, company, work, benefits, great"
108,good work-life balance working environment and colleagues company benefit,good work-life balance working environment and colleagues company benefit,good work life balance working environment and colleagues company benefit,"environment, balance, company, working"
109,"Multinational and multicultural, energetic workforce, safe environment to share and challenge ideas","Multinational and multicultural, energetic workforce, safe environment to share and challenge ideas",multinational and multicultural energetic workforce safe environment to share and challenge ideas,environment
110,Its good. Nice place for beginners.,Its good. Nice place for beginners.,its good nice place for beginners ,place
111,Great company to work for Nice office and good canteen and coffee facilities Good work life balance talented people,Great company to work for Nice office and good canteen and coffee facilities Good work life balance talented people,great company to work for nice office and good canteen and coffee facilities good work life balance talented people,"balance, company, people, talented, work"
112,good for freshers for better future,good for freshers for better future,good for freshers for better future,
113,its a good place for working freshers,its a good place for working freshers,its a good place for working freshers,"place, working"
114,"in a nice, well located office","in a nice, well located office",in a nice well located office,
115,"Fun environment, interesting work subject.","Fun environment, interesting work subject.",fun environment interesting work subject ,work
116,"Flexible Holidays, Work environment and ya that's it.","Flexible Holidays, Work environment and ya that's it.",flexible holidays work environment and ya that s it ,environment
117,"Lots of opportunities to get engaged beyond your primary day-to-day role, in different groups and projects. They recognize good work. Leadership is strong across the board. CEO is phenomenal. Have made huge changes to the business in the last few years that are overall very positive. Great offices around the U.S. and teams are diversifying geographically as more and more young people join the company. Great benefits, very supportive of working moms &amp; families.","Lots of opportunities to get engaged beyond your primary day-to-day role, in different groups and projects. They recognize good work. Leadership is strong across the board. CEO is phenomenal. Have made huge changes to the business in the last few years that are overall very positive. Great offices around the U.S. and teams are diversifying geographically as more and more young people join the company. Great benefits, very supportive of working moms &amp; families.",lots of opportunities to get engaged beyond your primary day to day role in different groups and projects they recognize good work leadership is strong across the board ceo is phenomenal have made huge changes to the business in the last few years that are overall very positive great offices around the u s and teams are diversifying geographically as more and more young people join the company great benefits very supportive of working moms amp families ,"people, working"
118,"nice people, nice environment, good company","nice people, nice environment, good company",nice people nice environment good company,company
119,Great people work with and great office,Great people work with and great office,great people work with and great office,"great, work, people"
120,"At market pay, great benefits, great learning opportunities, and a renewed focus on employee development. Also, the company has been around for over a hundred years and has a (pretty) good reputation in the market and in general.","At market pay, great benefits, great learning opportunities, and a renewed focus on employee development. Also, the company has been around for over a hundred years and has a (pretty) good reputation in the market and in general.",at market pay great benefits great learning opportunities and a renewed focus on employee development also the company has been around for over a hundred years and has a pretty good reputation in the market and in general ,"great, company"
121,You'll get college like atmosphere there. No serious looking corporate guys.,You'll get college like atmosphere there. No serious looking corporate guys.,you ll get college like atmosphere there no serious looking corporate guys ,
122,"Good benefits, multi cultural environment,","Good benefits, multi cultural environment,",good benefits multi cultural environment ,
123,Great pay and good resources,Great pay and good resources,great pay and good resources,pay
124,Work-Life balance Good pay Cab facility (not for everyone though) Good office,Work-Life balance Good pay Cab facility (not for everyone though) Good office,work life balance good pay cab facility not for everyone though good office,"balance, pay"
125,"team oriented, goal oriented, financed based","team oriented, goal oriented, financed based",team oriented goal oriented financed based,
126,1- Good Work Culture and environment,- Good Work Culture and environment, good work culture and environment,environment
127,Resonable payscale but could be better,Resonable payscale but could be better,resonable payscale but could be better,
128,Progressive ideas and plans by management is going to keep this company profitable.,Progressive ideas and plans by management is going to keep this company profitable.,progressive ideas and plans by management is going to keep this company profitable ,"management, company"
129,"Enjoyed the working culture, ethical behavior, peer support and motivation fostered.","Enjoyed the working culture, ethical behavior, peer support and motivation fostered.",enjoyed the working culture ethical behavior peer support and motivation fostered ,working
130,It is good company to work for,It is good company to work for,it is good company to work for,"work, company"
131,a good place to work a good place to build a career,a good place to work a good place to build a career,a good place to work a good place to build a career,"work, place"
132,"Excellent company culture, friendly atmosphere, great learning experience. Possibility to work from different locations.","Excellent company culture, friendly atmosphere, great learning experience. Possibility to work from different locations.",excellent company culture friendly atmosphere great learning experience possibility to work from different locations ,"great, work, friendly, company"
133,"Tremendous growth opportunities, great people, great benefits.","Tremendous growth opportunities, great people, great benefits.",tremendous growth opportunities great people great benefits ,great
134,"Benefits, Pay, and option of working remote, if approved. Benefits are the same across many of the Denver corporations, nothing is competitive in this area.","Benefits, Pay, and option of working remote, if approved. Benefits are the same across many of the Denver corporations, nothing is competitive in this area.",benefits pay and option of working remote if approved benefits are the same across many of the denver corporations nothing is competitive in this area ,working
135,amazing company and great work ethos,amazing company and great work ethos,amazing company and great work ethos,"great, work, company"
136,Stable Work Environment for me,Stable Work Environment for me,stable work environment for me,
137,"Good solid revenue compared to others, good people","Good solid revenue compared to others, good people",good solid revenue compared to others good people,people
138,Happy with the work profile and good compensation,Happy with the work profile and good compensation,happy with the work profile and good compensation,"compensation, work"
139,good for to gain market corporate action and other us and Canadian market based company's merger,good for to gain market corporate action and other us and Canadian market based company's merger,good for to gain market corporate action and other us and canadian market based company s merger,
140,"It is great working there, people are nice and 55 Water a great building as long as you are ok for your short term.","It is great working there, people are nice and Water a great building as long as you are ok for your short term.",it is great working there people are nice and water a great building as long as you are ok for your short term ,"great, people, working"
141,"Meaningful work, helpful and friendly people","Meaningful work, helpful and friendly people",meaningful work helpful and friendly people,"friendly, people"
142,Nothing to note for pros. Good flexibility,Nothing to note for pros. Good flexibility,nothing to note for pros good flexibility,
143,Great place and company to work,Great place and company to work,great place and company to work,"work, place, company"
144,Great exposure and good perks,Great exposure and good perks,great exposure and good perks,
145,"Diverse, flexible working, growth and networking opportunities,","Diverse, flexible working, growth and networking opportunities,",diverse flexible working growth and networking opportunities ,flexible
146,Attractive opportunities for career advancement and professional development.,Attractive opportunities for career advancement and professional development.,attractive opportunities for career advancement and professional development ,
147,Market leader with compensation to match,Market leader with compensation to match,market leader with compensation to match,compensation
148,"Networking, mentorship, benefits, and company culture","Networking, mentorship, benefits, and company culture",networking mentorship benefits and company culture,"culture, company"
149,"Hours are consistent, company offers websites to help learn new skill sets, work life balance is very manageable, office environment is great.","Hours are consistent, company offers websites to help learn new skill sets, work life balance is very manageable, office environment is great.",hours are consistent company offers websites to help learn new skill sets work life balance is very manageable office environment is great ,"environment, work, balance, company"
150,"Money, although the bonus is a pittance","Money, although the bonus is a pittance",money although the bonus is a pittance,
151,Work life balance and nice colleagues,Work life balance and nice colleagues,work life balance and nice colleagues,balance
152,- Unique sub-industry (within BFSI) - Global work place,- Unique sub-industry (within BFSI) - Global work place, unique sub industry within bfsi global work place,"work, place"
153,Good work life balance.,Good work life balance.,good work life balance ,work
154,"S&amp;P provides critical infrastructure to the financial service industry, such as ratings, indices, and data","S&amp;P provides critical infrastructure to the financial service industry, such as ratings, indices, and data",s amp p provides critical infrastructure to the financial service industry such as ratings indices and data,
155,"Good entry level job for freshers, unlimited work from home, free cab, work life balance","Good entry level job for freshers, unlimited work from home, free cab, work life balance",good entry level job for freshers unlimited work from home free cab work life balance,"free, work, balance"
156,Great culture - very collaborative and friendly,Great culture - very collaborative and friendly,great culture very collaborative and friendly,"culture, friendly"
157,"Smart colleagues, interesting/challenging work, great benefits.","Smart colleagues, interesting/challenging work, great benefits.",smart colleagues interesting challenging work great benefits ,great
158,Work life balance with Cool culture.,Work life balance with Cool culture.,work life balance with cool culture ,balance
159,"Great learning, Great team, Great feedback and amazing culture","Great learning, Great team, Great feedback and amazing culture",great learning great team great feedback and amazing culture,culture
160,"Global Team, access to information","Global Team, access to information",global team access to information,
161,"Great Benefits, nice people, easy workload","Great Benefits, nice people, easy workload",great benefits nice people easy workload,
162,Good culture and good 401K investment,Good culture and good K investment,good culture and good k investment,culture
163,"Nice employees, lot of cultural diversity","Nice employees, lot of cultural diversity",nice employees lot of cultural diversity,
164,There are no pros to working here.,There are no pros to working here.,there are no pros to working here ,working
165,My job was my life and then they strip all away.,My job was my life and then they strip all away.,my job was my life and then they strip all away ,
166,Nice working environment. Friendly culture,Nice working environment. Friendly culture,nice working environment friendly culture,"culture, working"
167,Great pay. Good name. Serious corporate environment if you're into that.,Great pay. Good name. Serious corporate environment if you're into that.,great pay good name serious corporate environment if you re into that ,environment
168,Some genuinely good people with good intent who want to co tribute company sucesss,Some genuinely good people with good intent who want to co tribute company sucesss,some genuinely good people with good intent who want to co tribute company sucesss,"company, people"
169,Relatively good work/life balance Genuine emphasis on technological progression Great brand recognition and entrenchement with clients,Relatively good work/life balance Genuine emphasis on technological progression Great brand recognition and entrenchement with clients,relatively good work life balance genuine emphasis on technological progression great brand recognition and entrenchement with clients,balance
170,"Good company, good culture and nice office","Good company, good culture and nice office",good company good culture and nice office,culture
171,work life balance easy going company pay good salary in comparison to work done.,work life balance easy going company pay good salary in comparison to work done.,work life balance easy going company pay good salary in comparison to work done ,"balance, company, salary, pay, work"
172,"Great job if you like to work hard and feel like contributing. Although, management doesn't always tell you the nice annual bonus let's you know you are appreciated.","Great job if you like to work hard and feel like contributing. Although, management doesn't always tell you the nice annual bonus let's you know you are appreciated.",great job if you like to work hard and feel like contributing although management doesn t always tell you the nice annual bonus let s you know you are appreciated ,"work, management"
173,- open communication of higher leadership though regular town halls - lots of opportunity for career growth - employees are encouraged to participate in engagement activities,- open communication of higher leadership though regular town halls - lots of opportunity for career growth - employees are encouraged to participate in engagement activities, open communication of higher leadership though regular town halls lots of opportunity for career growth employees are encouraged to participate in engagement activities,
174,"Work life balance, decent pay, the people are nice to work with, team oriented environment the company as a whole respected from outside financial industry,","Work life balance, decent pay, the people are nice to work with, team oriented environment the company as a whole respected from outside financial industry,",work life balance decent pay the people are nice to work with team oriented environment the company as a whole respected from outside financial industry ,"company, work, environment, people"
175,"Large volume of data, Market Reputation and Scale provide excellent opportunities for becoming the market leader in providing financial information and data.","Large volume of data, Market Reputation and Scale provide excellent opportunities for becoming the market leader in providing financial information and data.",large volume of data market reputation and scale provide excellent opportunities for becoming the market leader in providing financial information and data ,
176,"Excellent Working Environment. Dedicated, and hard working professionals who provide unbiased opinions on the credit standing of companies and sovereigns.","Excellent Working Environment. Dedicated, and hard working professionals who provide unbiased opinions on the credit standing of companies and sovereigns.",excellent working environment dedicated and hard working professionals who provide unbiased opinions on the credit standing of companies and sovereigns ,working
177,The people are all talented and fun to work with,The people are all talented and fun to work with,the people are all talented and fun to work with,"work, talented, people"
