"Employer.s.Name","Review.Link","Job.Title","Review.Date","Review.City.Town.Name","Review.State.Name","Review.Country.Name","Current.Job","Length.of.Employment","Employment.Status","Overall.Satisfaction","Career.Opportunities","Compensation...Benefits","Senior.Leadership","Work.Life.Balance","Culture...Values","Business.Outlook","Recommend.to.Friend","CEO.Approval","Pros","Cons","Advice.to.Sr..Management","Headline","Employer.Response"
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24257551.htm","Research Data Analyst","1/17/2019","Ahmedabad","Gujarat","India","No","More than a year","Full-time",1,1,1,5,4,4,"Getting Worse","No","Approve","Best HR, flexibility, employee centric organisation","TL& Managers are pathetic, work culture is very bad in the name of Number they will play politics, Managers Nd senior member made partiality between team members, no motivation, work is bad u can't increase your knowledge rather u forget whatever knowledge, skills u have .","Kindly look forward to listen more to the Analyst level employee rather than Tls or Managers, bcz they are the one who actually work hard not the Tls & Manager , they scold employee in the meeting room like hell , & always threatened about termination you if u don't follow them.","Company is excellent but Team nd manager area even worst than pathetic,"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24189367.htm","Data Researcher I","1/13/2019","Ahmedabad","Gujarat","India","Yes","Less than a year","Full-time",4,4,1,4,5,5,"Getting Better","Yes","Approve","1. Work culture
2. Team strength
3. Team composition
4. Management
5. Policies
6. Leaves
7. Options of work","Salary is the only major cons as of now. Rest are either an outcome of it or are limited to individuals or teams.","Keep doing the great work.","Data Researcher 1"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24158822.htm"," ","1/11/2019","Hyderabad","Telangana","India","Yes","Less than a year","Full-time",3,3,3,3,3,4," ","No","Approve","Friendly management and good work environment","Promotions take much longer than expected"," ","Data Researcher"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24156597.htm"," ","1/10/2019","Gurgaon","Haryana","India","Yes","More than 3 years","Full-time",4,3,4,4,4,3,"Getting Better","Yes","No Rating","good atmosphere, growing fintech, good package, learning opportunity","Middle management sometimes ignores ground realty and rely too much on managers. Doesn't  encourage value additions until enforce by outside.","Core + Mobility is the best policy to sustain. At times middle management is missing the Core.","Good Company for moveres"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24139268.htm","Research Data Analyst","1/9/2019","Ahmedabad","Gujarat","India","Yes","Less than a year","Full-time",4,3,2,3,4,4,"Getting Better","Yes","Approve","great working culture work evryone is super friendly","compensation part can be improved as per industry standard"," ","great place to work if Ahmadabad is ur native place"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24054165.htm"," ","1/4/2019","Gurgaon","Haryana","India","No","More than a year","Full-time",3,2,3,3,4,3," ","Yes","No Rating","Shift work so good work life balance","Growth is stunted after  a point","None","Good place to start career"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24049239.htm","Analyst","1/3/2019","Ahmedabad","Gujarat","India","Yes","Less than a year","Full-time",3,3,4,2,5,5,"Getting Worse","No","Approve","For beginners it is good","Low growth opportunities
Too much Overtime","Need to improve their thinking process","Tenure"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24039029.htm","Senior Data Research I","1/3/2019","Ahmedabad","Gujarat","India","Yes","More than 5 years","Full-time",4,3,5,4,5,4,"Getting Better","Yes","Approve","Good work life balance
Exposure of global offices and interaction with them
Pay for performance","Less transparency.
No growth in terms of learning, very repetitive work.
Career opportunity for extremely extra ordinary people who have good network, less opportunities for middle segment"," ","Good company to work"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23981106.htm","Data Analyst","12/28/2018","Hyderabad","Telangana","India","Yes","More than a year","Full-time",4,3,3,4,5,5,"Staying the Same","Yes","Approve","good work life balance in this company","No cons. enjoy working here","very good management","Data analyst"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23972142.htm","Research Data Analyst","12/27/2018","Hyderabad","Telangana","India","No","More than 3 years","Full-time",1,1,1,1,1,1,"Getting Worse","No","Disapprove","helpful for regional people only","i worked in Hyderabad so if you know Telugu then its good rather worst. In promotion matter and hike worst  .","Treat MNC in right way should not behave like govt local company","pathatic"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23957172.htm","Senior Data Researcher I","12/26/2018","Hyderabad","Telangana","India","Yes","More than 5 years","Full-time",4,3,3,4,5,4,"Getting Better","Yes","Approve","Good Working Environment, Diversity in People,","Not many Opportunities,
Work place not so good."," ","Senior Data Researcher I"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23935323.htm","Data Researcher","12/22/2018","Ahmedabad","Gujarat","India","Yes","More than a year","Full-time",4,4,3,4,5,5,"Getting Better","Yes","No Rating","Great Work Life Balance, Friendly Management, No Job Pressure","Less Growth, Low Salary, Poor Infrastructure, High Attrition"," ","Great Opportunities for Freshers"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23916772.htm","Financial Content Analyst","12/20/2018","Ahmedabad","Gujarat","India","Yes","More than 3 years","Full-time",5,5,5,5,5,5,"Getting Better","Yes","Approve","Work culture is good and life balanced with current job","Salary is not comfortable with respect to maintained daily life"," ","Highly satisfied"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23911345.htm","Software Developer","12/20/2018","Hyderabad","Telangana","India","No","Less than a year"," ",5,4,5,4,5,5," ","Yes","No Rating","Great place, great people.
Work life balance is too good.
Offers good compensations &amp; leave policy","Not much, they are improvising","Keep it up.","Great place to work"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23756001.htm","DRA","12/8/2018","Hyderabad","Telangana","India","Yes","More than 5 years","Full-time",4,2,4,4,2,4,"Staying the Same","Yes","Approve","good company to work, no work pressure. Especially for house wife's this is very good company","due to night shifts it became difficult and no flexible timings for ladies"," ","data researcher-3"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23637826.htm","Assistant Manager","11/30/2018","Gurgaon","Haryana","India","Yes","More than 5 years","Full-time",4,3,5,3,4,4,"Getting Better","Yes","No Opinion","Good work life balance
Good salary &amp; other benefits","The company has a very Tall organisational structure","None","Good company to work with"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23593368.htm","Software Engineer","11/27/2018","Gurgaon","Haryana","India","No","More than 3 years","Full-time",4,3,4,4,5,4,"Getting Better","Yes","Approve","Good Work Culture and teams.","Some teams have a laid back culture","Organize more hackathons/innovation events where tech teams can build features general or for the platform","Good Learning Experience"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23563117.htm","Data Researcher - I","11/26/2018","Ahmedabad","Gujarat","India","Yes","More than a year","Full-time",3,1,1,1,4,3,"Getting Worse","No","Approve","BRAND; FLEXIBILITY; CULTURE; PERQUISITES; LEAVE POLICY","Mediocrity in Learning, Crawling  Career growth ,Minuscule monetary   acceleration.","Pay as per the needs.","Ok to have a Savage start in Financial Data."," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23523207.htm"," ","11/22/2018","Hyderabad","Telangana","India","No","More than 5 years","Full-time",3,3,3,3,3,3," "," ","No Rating","Good Salary, Known for its parent company (S&amp;P), One of the prospect company","Less flexibility, a bit work pressure, less opportunities to learn internally"," ","Comparatively Good Pay"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23476689.htm"," ","11/19/2018","Hyderabad","Telangana","India","Yes","More than a year","Full-time",3,4,3,1,2,3,"Getting Better","Yes","Approve","maintain work life balance properly","difficult to do rotational shifts"," ","junior research associate"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23434660.htm"," ","11/15/2018","Gurgaon","Haryana","India","Yes","More than 5 years","Full-time",3,2,4,2,5,5," ","Yes","Disapprove","Good pay
Work life balance 
Timings 
Not too much work pressure","Night shift 
No meals 
No timely promotions","Please give do e power to hr","Decent for first job"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23361829.htm","Data Researcher","11/11/2018","Gurgaon","Haryana","India","Yes","More than a year","Full-time",4,3,4,4,5,5,"Staying the Same","No","No Opinion","Work life balance, Culture in the organization","Slow growth, No learning in long term"," ","Data Researcher"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23236534.htm","QA Manager","11/2/2018","Hyderabad","Telangana","India","Yes","More than 8 years","Full-time",5,0,0,0,0,0," "," ","No Rating","good company to work with.","no cons as such i found"," ","QA MAnager"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23224122.htm","Senior Research Associate","11/1/2018","Gurgaon","Haryana","India","Yes","More than a year","Full-time",4,4,5,4,5,3,"Getting Better","Yes","Approve","Work life balance is best part","Less opportunities for career"," ","Work life balance is best part"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23154148.htm","Data Researcher/Content Analyst I","10/28/2018","Ahmedabad","Gujarat","India","Yes","More than a year"," ",4,2,1,5,5,5,"Getting Better","Yes","Approve","Probably the best place to start working somewhere. Great work-life balance. You are your own boss. Good environment to work. Many activities other than work are also conducted, in and out of office campus.","Less development of employees.  More focus on productivity and quality, less on employee development.  Less options to work after you leave the company. Pay to the new joiners should be higher.","Give employees a chance to tell the issues they face while and when they work. Take regular feedback w.r.t. how and what they feel about the work in an anonymous manner.","Good for freshers to start somewhere"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23130081.htm","Data Researcher I","10/25/2018","Hyderabad","Telangana","India","Yes","More than a year","Full-time",4,2,4,3,4,3,"Staying the Same","Yes","No Opinion","Good salary for beginners, no restrictions to work extra hours","No growth in career unless u get promotion, which is difficult"," ","Work life balance"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23101457.htm"," ","10/24/2018","Hyderabad","Telangana","India","Yes","More than 3 years","Full-time",1,1,1,1,1,1,"Getting Worse","No","Approve","Earlier it was pretty good.","No Transparency 
No Value for Resources who are critical and been for long time
Don't care about career of Employee
Manager is worst
Not value for current trend developing such as Hadoop , Salesforce etc..,
No one addresses the concerns","Technology team needs more professional and IP team should have good managers who don't do micro management and harassments . should value the reporties without politcs","Worst MI Politics"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23083813.htm","Junior Research Analyst","10/23/2018","Hyderabad","Telangana","India","Yes","More than a year","Full-time",4,3,5,2,5,3,"Getting Better","Yes","Approve","No work pressure and great environment","its a MNC but Nativity dominates the corporate culture"," ","as a fresher its good place to start your carrier, but should move from here with in 3 years"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW23013094.htm","Analyst","10/18/2018","Hyderabad","Telangana","India","Yes","More than 3 years","Full-time",2,1,3,1,1,2,"Getting Worse","No","Disapprove","Night shift allowance and shifts","long wait time for promotion","Take care of your tenured employees","Good benefits except promotions"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22988961.htm","Business Systems Analyst","10/16/2018","Ahmedabad","Gujarat","India","No","More than a year"," ",5,5,4,5,5,5,"Getting Better","Yes","Approve","Very good management
Flexible work timings
Good work culture
Exposure to an individual","No such cons are there","Open an office in Pune location as well","Business System Analyst"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22948929.htm","Research Associate","10/14/2018","Gurgaon","Haryana","India","No","More than 3 years","Full-time",4,4,5,3,3,4,"Staying the Same","Yes","Approve","Salary, work life balance, good place to start.","No growth, marginal increment in salary"," ","Positive experience, no growth"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22919135.htm"," ","10/12/2018","Gurgaon","Haryana","India","No","Less than a year"," ",2,2,2,1,3,4,"Staying the Same","No","No Opinion","Good work environment,timely pays,relaxed environment","Managers not able to handle such big teams well,not committed to give bonus on time","See your teams as your family","Intern Role"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22860685.htm","Data Researcher","10/9/2018","Ahmedabad","Gujarat","India","Yes","More than a year","Full-time",5,5,2,4,4,5,"Getting Better","Yes","Approve","Better place to work specially for women. Safe and full of opportunities","Don't remember till now nothing faced as such"," ","Good company"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22859134.htm","Research Associate","10/8/2018","Gurgaon","Haryana","India","No","More than 3 years","Full-time",3,1,2,2,5,3," "," ","No Rating","Great work life balance
great teams","low compensation
stagnant work
no travel oppurtunities"," ","Less Growth oppurtunities"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22819709.htm"," ","10/5/2018","Ahmedabad","Gujarat","India","Yes","More than a year","Full-time",1,2,3,1,1,4," ","No","No Rating","Only the culture is good","Low salary, biased process, non supporting senior staff, rude behaviour of manager with team.","Please get a eye on managers who are behaving or therating there team members beacuse he cant manage the team","Data researcher 1"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22444950.htm","Software Developer","9/12/2018","Hyderabad","Telangana","India","No","More than a year","Full-time",4,5,5,3,5,5,"Getting Better","Yes","Approve","1. Good Salary for a beginner.
2. Laid back culture
3. Good benefits","Little learning
Too many organizational changes"," ","Software Developer"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22415621.htm","Senior Data Consultant","9/11/2018","Hyderabad","Telangana","India","Yes","Less than a year","Full-time",4,3,3,3,3,3,"Getting Better","Yes","No Opinion","Good company to work for.","Nothing as of now with the company","Nothing","Good company to work with"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22410899.htm","Research Associate","9/10/2018","Hyderabad","Telangana","India","Yes","More than a year","Full-time",4,4,4,4,4,4,"Getting Better","Yes","Approve","Knowledge about financial markets , transparency in the management","Growth will take some time","No advice, it is overall very good","Very good experience"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22394278.htm","Director","9/9/2018","Hyderabad","Telangana","India","No","More than 10 years","Full-time",3,3,3,2,3,3,"Staying the Same","No","Disapprove","A conducive place to work that provides with numerous avenues to grow","A need to create a talent database to ensure right people get right opportunities","NIL","Review about S&amp;P Global"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22387920.htm","Team Leader","9/9/2018","Gurgaon","Haryana","India","Yes","More than 5 years","Full-time",1,1,1,1,1,1,"Staying the Same","No","No Opinion","Nothing to talk much about Pros about the company.","After SNL Acquisition, Management is in the hands of SNL, overnight all the SNL employees became heads, changed Operating models and nothing much happening  in development of in front of business except lot of meetings.","Please recognize the talent irrespective of SNL vs CIQ employees.","Team Leader"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22358958.htm","Manager","9/7/2018","Ahmedabad","Gujarat","India","Yes"," ","Full-time",5,5,4,3,3,4,"Getting Better","Yes","No Rating","Great work culture.lot of new things to learn and good for career progression","No cabs. Management is too rigid.","Work from home should be encouraged to employ more women. Cab facility is a big let down and should start especially for women","Manager"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22299952.htm","Research Associate","9/4/2018","Gurgaon","Haryana","India","Yes","More than a year","Full-time",4,4,4,4,5,5,"Getting Better","Yes","Approve","Good work environment that suits everyone.","Less opportunity for dynamic growth","Be more creative","Research Associte"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22297236.htm","SRA","9/3/2018","Hyderabad","Telangana","India","Yes","More than 5 years","Full-time",3,2,4,0,3,0," "," ","No Rating","Good company to start your career with.","Minimal Growth Opportunities after certain level"," ","Good for Freshers"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22153691.htm","Research Associate II","8/25/2018","Gurgaon","Uttar Pradesh","India","Yes","More than 3 years","Full-time",2,1,1,3,2,2,"Getting Better","No","Approve","1. Infrastructure is good than other companies","1.Salaries are getting worse year by year
2. Management Lacks expertise
3. Teams work in silos
4. You will never know how much your team is earning as a whole for the company
5. Extended hours by employees are appreciate"," ","Research Associate II"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22104156.htm","Content Analyst","8/22/2018","Ahmedabad","Gujarat","India","Yes","More than a year","Full-time",4,3,4,4,5,4,"Staying the Same","Yes","Approve","good time flexibility ,Good culature","Salary growth and hike is not good."," ","Content Anaylst"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW22053587.htm","Private Placement","8/20/2018","Hyderabad","Telangana","India","No","More than a year","Full-time",4,2,3,3,3,4," ","Yes","Approve","Work life balance and management is cool","No growth, hardly gets promotions"," ","Over all it is ok"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW21806406.htm"," ","8/4/2018","Gurgaon","Haryana","India","Yes","More than a year","Full-time",3,3,3,3,5,4,"Getting Better","Yes","No Opinion","Comfortable Working Environment
Helpful people 
Work From Home
Office Infrastructure 
No extended working hours and fixed offs.","Saturated Management Level
No growth opportunities 
Low compensation 
No innovation in work and skills utilisation. 
Extreme monotonous work."," ","Data Researcher-1"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW21655508.htm","Research Data Analyst","7/25/2018","Mumbai","Maharashtra","India","No","More than a year","Full-time",3,3,2,3,4,5," "," ","No Rating","Liberal work environment and limited pressure","Poor Compensation policies and a slow growth"," ","Good and liberal work culture. Stress free environment."," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW21587617.htm","Senior Manager","7/21/2018","Gurgaon","Haryana","India","Yes","More than 8 years","Full-time",5,5,5,2,3,4,"Getting Better","Yes","Approve","Latest technology get addopted to work","Sr Management keep changing so that creates problem."," ","S&amp;P GMI"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW21528111.htm","Associate","7/17/2018","Ahmedabad","Gujarat","India","Yes","More than 3 years","Full-time",4,4,4,4,4,5,"Getting Better","Yes","Approve","Very good culture, lots of learning for freshers. Easy lateral movements.","Work life balance sometime is difficult. Internal politics is visible.","Doing good job so far. Only advice is look after your tenured people more. My department is old but we have only freshers around. If people are your true assets then you should really invest in them.","Good company for a fresher"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW21498870.htm","Senior Research Associate","7/16/2018","Gurgaon","Haryana","India","No","More than 8 years","Full-time",5,3,5,3,5,4,"Getting Better","Yes","No Rating","Great work-life balance, good money","No learning, monotonous work, favourism"," ","Great place to work"," "
