answer_re_oth,answer_re_n
progressive collaborative and global company very friendly ,
you can expect to learn from the best,
friendly environment nice people traditional company,company
cumple con estabilidad laboral permanente,
good life work balance and good benefit,"work, balance"
bons beneficios flexibilidade e autonomia ,
great benefit global business environment carrier opportunities,
comprehensive benefits professional environment well funded projects opportunities for advancement ,
good employment benifits transportation facility to employee made for ladies especially too many benefits,benefits
worked with a great team interesting work great incentives and benefits ,great
empresa gigantesca no ramo de tecnologia e informação possuindo vários benefícios como ppr alto vr bom plano de saúde e de carreira ,
bom nome de mercado oportunidade de estudar suas ferramentas de mercado mastersaf softway taxone ,
flexible work pattern and great people,"great, work, people"
tr is a great place to develop skills in sdlc i enjoyed working with the teams and many individuals ,"place, great, working"
work life balance culture variety global tech,
ambiente de trabalho e a localizacao da empresa em campinas ,
good work culture and flexibility,"culture, work"
good company to work with ,"work, company"
m giving because it s an amazing product based company to work with where you get a lot of allowances and get to meet some of the professional people please don t fall into politics the company culture is very nice and professional you would love to work if you go with the technical field rather then support ,"culture, work, company"
good management style and good job advancements,management
brilliant work atmosphere helpful colleagues and nice work environment,"work, environment"
leave policy is good whencomared to other companies friendly environment ,friendly
apesar de ser injessada existe espaço para modernização contínua bons benefícios e contato com profissionais globais ,
empresa de grandes desafios e bom ambiente de trabalho,
empresa boa para se trabalhar tem um ambiente descontraído ,
ambiente propício para o aprendizado colegas e gestores ótimos e acessíveis além de serem excepcionalmente técnicos no que fazem ,
bons benefícios e uma excelente escola,
oportunidade de desenvolver o inglês ,
buen equipo buenos jefes ambiente lindo limpio buenas instalaciones capacitaciones constantes,
strong work ethics work life balance,"work, balance"
pessoas com expertise na área de tax legal e foreing trade agregam conhecimento no dia a dia em suas negociações grande base de clientes contratos e soluções para o mercado empresa em transformação no brasil podem surgir novas vagas e experiências ,
good work life balance especially for nyc my manager was great very professional micromanagement was not something that was prevalent throughout the workforce vibrant office culture at least for the most part flexibility to work from home once established pretty reputable company that will enable you to gain exposure in a countless number of areas and overall solid product ,"balance, company, culture, home, work, great"
o ambiente é ótimo os funcionários podem contar com alguns bons benefícios e no geral sinto que a empresa preza e valoriza os bons funcionários ,
great people flexible working very innovative,flexible
salário e benefícios são compatíveis com o mercado,
good work life balance good learning opportunity in some projects ,work
professional trendsetting company paid close attention to clients needs,company
nenhuma paga se muito pouco alem disso nao da chance ,
work life balance praised when boss likes you,
a empresa oferece bons benefícios,
vr am ao plr vt,
ambiente amigável qualidade de vida ,
quite generous with pto lots of corporate transparency ,
pró ativa gosto de aprender sobre coisas novas e aprendo rápido amo a área de sistemas da informação comunicação e pretendo crescer na área por isso busco uma oportunidade especificamente na empresa thomson reunters ,
work life balance good boss good pay ,
interesting work good team ,
infraestrutura ambiente é bem agradável os benefícios são ótimos há oportunidades para adquirir mais conhecimento e os horários são flexíveis além da folga no dia do aniversário ,
 competitive pay free soft skill learnings e g subscription to hbr workshops etc newly added employee aid program mental health legal etc cross collaborative culture feels like school more than a company employee has contro,"culture, pay, company"
thomson reuters in general is a great company they are always striving towards inovation ,great
good place to work there is no rotational shift,work
decent benefits enjoyable coworkers free coffee,free
the company allows for a flexible schedule so you aren t bound to coming into the office every day ,"flexible, company"
nice bonus year after year,
work from home good maternity and paternity leave good vacation time,
great place to work amazing people fantastic culture,"culture, place"
this is a great company for work life balance depending on your manager you have the opportunity to work from home the people that work here no matter what their title is are very nice pay is great especially as compared to our competitors ,"great, company, work, people"
a very good environment and colleagues,environment
average remuneration with a slow material progression good office culture flexi working and laid back managers ,working
flexibility policies learning benefits and working culture ,
great culture and great respect for women,"culture, great"
te sirve para el cv haber trabajo en un multinacional te sirve solamente de experiencia es lo único positivo que tiene trabajar ahí no hay nada bueno ,
good benefits although used to be better,
good pay good pay good pay if you don t count soul selling on your balance sheet ,balance
good work life balance mixed knowlegde we will learn in the company ,work
nice place to grow and best place to learn,place
good place to work with,work
um empresa muito boa de se trabalhar fornece muitos benefícios ambiente agradável salário bom oportunidade de crescimento dentro da empresa ,
growth opportunities large company,company
good benefits excellent salary,salary
one of the nicest organisations to work with extremely good work culture friendly bosses ,"work, friendly"
work environment is good and the task are equally distributed to employees offers competitive salary and benefits packages good work schedule ,"work, salary, environment, benefits"
 perfect balance of work and personal life you have plenty of activities to get your work stress out for it people this is a really good place to learn in a stress free environment,"balance, place, people, work, free, environment"
the people who are still holding the forth,
good work to life balance,"work, balance"
great people and culture with relatively good corporate benefits ,people
work life balance cab facility a good place to work you will work on latest technologies,"work, place"
infrastructure friendly environment great work life balance,"work, balance, great"
bom variável pago em dólar,
good flexibility nice facility good environment to work,"work, environment"
good rewards program for performers good benefits great brand,great
work from home benefits location people,people
good and passionate organisation very good process,
you can find a very good work life balance ,
well known company benefits international career ,
good people excellent job and travel opportunities brilliant name to have on your cv good hours fantastic journalistic integrity ,
great company to work good culture work life balance,"work, balance, company"
quick growth opportunities young people international culture,
not much to break your heads for simple and satisfying job ,
best place to start your carier,place
recognition growth opportunities assistance good applications for new hires hub pages for beginners sme group as knowledge centre,
culture values career opportunities safe environment,environment
best place to maintain a true work life balance ,"work, place"
good company good projects good exposure,
one of the best places to work i had every opportunity to pursue my interests and grow despite all the changes within the company great staff and supportive environment keeps you on your toes ,
great location and people,"great, people"
good work culture and envt ,work
people are very good there shows respect to each other manager of my team was very nice ,
coworkers work life balance team work,work
a comunidade thomson reuters é muito receptiva é uma empresa com um ambiente de trabalho muito saúdavel investem no começo da carreira das pessoas oferecem cursos etc,
good work environment good communication,work
good name recognition with company,company
très bonne ambiance bon salaire et flexibilité,
shift timings transportation shift allowance etc,
best work ethics and environment,"work, environment"
reuters is one of the oldest best and most prestigious news agencies in the world the people are great ,people
good pension and colleagues are helpful,
work life balance work from home opportunity for everyone good pay for juniors brand looks good on resume,"balance, home, pay"
good scale in terms of salary,salary
great software flexibility provide working from home,"home, working"
good people benefits and products,benefits
flexible working schedule great and talented people potential to do so much more,"talented, people, working"
stable job and good working environment u fd ,"environment, working"
ambiente da empresa saudável com fácil acesso a diretores e gestores organização na parte de acessos e equipamentos para cada colaborador muitos benefícios e boa remuneração boa qualidade de vida coffee de aniversário na empresa todo mês grande liberdade para desenvolver seus projetos muitas opções de lugares próximos para almoçar possibilidade de home office rh de fácil acesso também com transparência nas informações,home
work life balance great team in the nordics variation in tasks,balance
you get to work with different technologies,work
great benefits culture and co workers,culture
gain some experience depending the department,
good work life balance,"work, balance"
benefits and career development and inclusive environment,environment
ambiente de trabalho bom e excelentes possibilidades de aprendizado técnico equipes de trabalho muitas vezes são engajadas e competentes nas tarefas realizadas ,
light work and work life balance,"work, balance"
good training is about it,
great people great work life balance,"work, balance, great"
dificil avaliar uma vez que o departamento em que trabalhei nem parecia thomson reuters muitas empresas compradas que não são incorporadas de maneira completa e eficiente ,
helps corporations worldwide solve accounting legal and financial problems good benefits uses the latest enterprise software the company acts like a private equity fund always pursuing growth and ready to change the corporate strategy if necessary there is a permanent focus on results which makes them always open to buy and sell whole business units with tens of thousands of employees ,company
good culture trust and not fast pace,fast
work life balance is good us leadership is good appreciative ,balance
good environment to wok everything is fine,environment
great work life balance partial remote work available on some teams via wfh days great benefits ,work
you can enjoy work life balance good shift allowances encourage new ideas and creativity,"work, balance"
great team decent work life balance international approach,balance
solid pay and nice training,pay
a very good work environment a good work life balance,"work, balance"
office campus is very good location,
package is decent no other,
great colleagues and good work life balance,"work, balance"
good leave benefits open door policy young work force,work
working environment employee friendly transparent good incentive,working
good work life balance flexible work timings no targets,work
benefits quite good with great health insurance,"great, benefits, insurance, health"
good honest employment and good teammates,
la empresa tiene un buen ambiente laboral y cuenta como beneficios lo siguiente home office días de vacaciones contados como días hábiles horario flexible prepaga no hacen problema si necesitas salir antes por algun trámite o por turnos médicos ,
work life balance culture manage personal life,balance
smart dedicated inspiring people and editors ,people
decent work life balance and employees tend to be tight knit although somewhat clique ish depending on how long you ve been with your team ,balance
large company good benefits and great people,"great, benefits, people"
duerante este año como miembro de la compañia he aprendido muchas cosas gracias a mis compañeros que me transmiten sus experiencias me siento cada dia mas fuerte a la hora de visitar a un cliente en el equipo se siente la sinergia que se logra en virtud de los objetivos grupales e individuales en tr nos tratan como personas y se nos mima en determinadas fechas ,
steep learning curve good management,management
localização vale refeição muito bom ambiente frutas todos os dias café de coador maquina de café e maquina nespresso convenio médico muito bom,
was a great place to work mainly due to people and colleagues,"great, place, people"
good training but sometimes you get the feeling its out of context with own personal development and team goals ,
competent capable and articulate individual with special talent for distributed system environments,
management pay personal life balance,balance
a lot of welfare here,
good place to start your career,place
good work life balance good perks,"work, balance"
thomson reuters works on a lot of interesting products and services ,
flexible work hours no micro management freedom to do what you want ,work
work life balance is good ,
the people are great to work for and with ,"great, work, people"
good place to work great benefits medical with hsa dental vision and k weeks paid vacation ,"place, benefits"
i work with some of the best people kind smart innovative easy to work with most people i ve worked with over years are exceptional ,"work, people"
project in fmm give the exposure to analysis the data ,
great work life balance and culture,"culture, work, balance"
 great people good pay for interns work at home,"pay, home"
a good place to work,"work, place"
good employee centric organization with great work life balance,"work, balance, great"
everyone here is nice cordial and works well with others plenty of amenities such as caribou on the tr campus fun events for employees every now and again ,
great culture and values dynamic and open to feedback,culture
can explore different career options within the company,"options, company"
culture work life balance ,balance
the recruitment process was very smooth hr is very engaged to their applicants in a professional manner i can see that they carefully select their new employees one phone interview language assessment and three face to face interviews very tough screening process hmo card insurance policies high salary offer,salary
a empresa tem muitos incentivos positivos como gympass e também aulas de laboral temos também a possibilidade de contato direto com a diretora de rh o que nos dá um sentimento de proximidade ao nível estratégico ,
flexible schedule work from home option ,"work, home"
great staff valuable products and services,
great work life balance is there,"work, balance"
very good employee policy very good work life balance,
decent benefits ok k match,
flexible work work life balance good work culture,"culture, work"
employee friendly company good employee benefits provided by the company like leave policy insurance work life balance ,"friendly, benefits, company"
flexible working times peace full place to work colleges and management are very friendly fun place to work great place to learn and train ,"friendly, place, management, work, working"
 good work life balance good benefits programs at least for canadian employees the new toronto office is full of nice people,people
great colleagues who want the best for the company ,
good benefits flexibility nice people ability to work from home depending on role,"home, work, benefits, people"
some great people to work with cool offices and great products and solutions,"great, work, people"
it is one of the best fastest growing company the work environment of the company is very good people feel proud to be part of the company as company provides full support to their employees in professional front it as many branches across the world so i have good opportunity to show my talent ,"company, work, environment, people"
work life balance good management lot of opportunities to learn,"management, balance"
opportunities and challenges all around,
supposed to have work life balance,balance
good technical team world wide up to date technologies ,
many talented people great working culture,"culture, talented, working"
has good work life balance,"work, balance"
great support team with sales development etc ,
work life balance was excellent flexible arrangements such as alternate hours and work from home however this was dictated by an individuals manager the benefits package made up for the lower salary ,"hours, work, balance, benefits"
work flexibility employee benefit feel like a second home,home
great work environment work life balance,"work, balance"
good work life balance best company of women employees ,company
great leave policies helpful management,
best work life balance best work culture,"culture, work"
it s okay good pay but no peanut otherwise okh,pay
 enjoyable work experience good people interesting business,"work, people"
great benefits including health care and time off,health
job security any job profile is good for ug people thomson reuters is a good company to start your career in finance for ug people ,company
cultural diversity great self development opportunities relaxed work environment,"work, environment"
reasonable hours strong brand name,
reconhecimento trabalho em equipe e envolvimento em projetos internos a empresa investe em cursos para preparação do funcionário e para que possa exercer sua função ,
takes care of its employees great team culture makes you feel proud of the organization ,great
it is a good company to work in,"work, company"
 good work life balance opportunity to work from home good benefits nice capable colleagues competitive salary,"balance, salary, home, work, benefits"
very good working environment culture senior staff is very good,"senior, working"
interesting work quality products and people,people
great benefits and work life balance,"work, balance, benefits"
great benefits summer hours work from home ,work
the vision of the future is interesting good salary benefits good people work there,"work, people"
there is a starbucks inside,
high paying job for entry level,
 less pressure in terms of work easy to communicate with higher management salary packages are ok,"management, work, pressure"
benefits culture beautiful office reputation diversity respect in the community probably a ton more ,
great work life balance well being programs,work
worklife ambience leaves manager increment bonus,
due diligence knowledge screening process training any task delegated performed with at most credibility ,
cab facilities great working environment wonderful and such helpful people around perfect working hours,"hours, environment, people, working"
multinational enviroment good place to work,"work, place"
co workers are great work itself isn t bad ,
beneficio e salario compatível com o mercado ambiente muito bom notebooks para todos os funcionários do suporte sala de descompressão e copa ,
great quality of life and if you conform you can ride out a very long career the pay is good compared to a lot of other jobs in the area ,pay
exciting work in ever evolving field leading with integrity in all your dealings with customers and court government agencies,work
nice colleagues nice offices,
very accommodative and friendly work environment quite lot of learning as well,"work, friendly"
possibilidade de crescimento ambiente de trabalho tranquilo suporte para desenvolvermos novas habilidades atualizações regulares sobre temas relevantes ,
ambiente aberto a novas opiniões liberdade para desenvolver e um local desafiador boas chances de crescimento profissional e paciência para o aprendizado bom pacote de benefícios como alimentação seguro saúde seguro de vida ,
 flexibility opportunities for growth,
good work life balance good culture,"culture, work"
generous holiday sick vacation and volunteer time,
 good flexible timings cab facility,flexible
good work life balance ,work
big company work life balance is good ,"work, balance"
friendly environment good management and nice offices,management
 best place to start your career you learn processes quality standards working with expats working with different tool and products company has a lot of activities like sports day family day csr competitions tt tables etc etc to keep you engaged they are extremely big on csr and the yearly csr program is planned so well job security is quite good and work life balance is good fantastic facilities great exposure to mnc work culture,"balance, place, culture, work, working"
very good work life balance,"work, balance"
a empresa está em constante mudança possui uma grande oportunidade pra trazer aprendizado para o curriculo e possui bons beneficios é localizada em um local de fácil acesso e onde encontram se outras grandes empresas ,
great people to work with,"work, people"
good work life balance and products,"work, balance"
work environment is good facilities are good ,environment
 great people flexibility working from home interesting projects and responsibilities,"home, people, working"
good work life balance coworkers are great ,work
flexible not too much stress lot of cultural activities nice campus good transport facilities for employees ,
i work with some great people and our willingness to carry each other s burdens when necessary is what makes the company s work life balance possible the company s flexibility regarding work life balance is very good and has been improving during my time here this includes paid time off ability to work from home if i have an appointment and ability to leave mid day if something comes up and make up the time later if necessary ,"great, work, balance, home"
