"","cons_page1"
"38","It's very contemptible to say that the thomson reuters head office Management Team along with the CEO are not aware of what quality of staff/team are working under Indian Management Team. Its sheer disgraceful to share that the kind of people that are being hired after new management arrived are totally worthless. Infact the MD at India operation is hiring people from his family who does not have enough experience... for the relevant post.

The information that the Indian Management Team is sharing to the thomson reuters head office Management Team is utterly fake which is also not being verified by the 
thomson reuters head office Team. Indian Management is sacking people from its team without giving any intimation to the people by giving fake data to thomson reuters head office Management where no actions are taken by thomson reuters head office Management. Till now Indian Management has forcefully asked two people to resign from the company who are very senior people in the system. One of them is 9 years old and another is 6 years old in the system."
"39","Since the management was changed in India, thomson reuters head office Management Team has never visited India to check how things are working in India."
"40","Not much growth, sometimes you can see biased managers"
"41","Few human resources for the huge amount of work"
"42","Apply times & Motions study, and constantly review and compare salaries against industry standards"
"43","Not all Business decisions can benefit staff."
"44","Frequent changes to management structure/strategy"
"45","Con- Management doesn't like change"
"46","Hard to onboard and get in speed in the industry"
"47","Muchos cambios en poco tiempo"
"48","Salary increases were low
Management was not very forthcoming during a reorganization which was stressful"
"49","Better to be transparent and forthcoming with information even if it's bad"
"50","Global teams, so need to work across different timezones"
"51","Keep up the good work."
"52","Lack of clear career progression, A lot of company restructuring"
"53","Micromanagement
No room for creative marketing campaigns (Cookie cutter strategies)"
"54","Went through a major acquisition of key product by Blackstone and massive redundancies took place."
"55","Management is very bad and no growth in the company"
"56","*****"
"57","not many cons, good place to start your career"
"58","hire more experienced managers"
"59","You cannot act like a human being. Look at someone, speak, walk - Get ready for an HR investigation."
"60","Food vendors are not good, cab vendors facility"
"61","Falta de motivação aos funcionários, por conta da pouca flexibilidade e falta de preparo dos gestores, principalmente na questão de aplicar novos meios de trabalho"
"62","Investimento nos funcionários, principalmente em cursos para motivar o conhecimento e melhor preparo dos gestores para lidar com os diferentes perfis dentro de uma equipe"
"63","To much politics and favoritism.  Merits and opportunities based on who managment like, otherwise get stuck in same position with no growth and opportunity."
"64","Pay, but when compared to the benefits this company offers, its nothing to complain."
"65","Low pay scale compare to competitors, Casual approach"
"66","Dont think so there is cons"
"67","I dont find any down side as such"
"68","Can work, but to much bureaucracy"
"69","Corporate kool-aid here sometimes. Sometimes too relaxed of a culture. There are some examples of unreachable sales numbers. Also, this company can be clickie*, being on an entry level team, the age range is around 23-25, and a lot of people come in as unprofessional and they act like they are still in college or High School. There are groups that don't talk to anyone because they are together and they make no... effort to interact with anyone on their teams."
"70","ALWAYS try to be a grunt. Managers need to know what we are going through on a daily basis. My managers have been great, but i know some teams that lack good leadership.

Shadow your team members and have 1 on 1's whenever possible."
"71","Very frequent Organization Structural changes"
"72","no time limit , family life will be effected due to weekend work"
"73","Too many department and managements re-organizations"
"74","More communication staff about overall direction"
"75","Company in transition, hard to move up"
"76","* Remarkably siloed by country for such a global company
* Addicted to major reorganizations every Q4 (though last year's may have been big enough to hold off for a year)
* Keeps trying to define one single message for the entire gigantic corporate entity (answer company! no, we're a software company! no, we're a platform company!) when no one outside the company cares
* Reorganizations have only made the company... more Byzantine and siloed; used to be two big business units that never talked to each other (and didn't need to), but now has three big business units that are set up to not talk to each other but actually DO need to"
"77","Stop listening to every random thought the expensive McKinsey consultants have -- they just want the money. Listen instead to your actual employees; there are a lot of great ideas to build value for customers that aren't ""hand the keys to the company over to Sales and hope for massive growth.""

Stick with the current org structure for at least three years -- tinker with a bit, obviously, but call a moratorium on... selling off major pieces of the company and giving everyone left new jobs from the top down.

Remember that, when you focus on customers, our customers are PEOPLE, not organizations. We have personal relationships with people in specific roles with specific needs, and must understand those people, not try to make grand plans to sell everything to every enterprise just because we have a big bag of products.

You are smart, devoted people. You're running a great company. You don't need to try to swallow the apple in one bite."
"78","less onsite opportunity for all"
"79","No such cons as everything is pretty good."
"80","In UKI Legal, internal data a mess meaning you don't get sales targets on time - they fluctuate unfairly across the teams and from year to year. All of a sudden you will go from good earnings to almost no commission. The senior leadership team are all on the gravy train and turning sales into a call centre type role. Customers now dislike the company due to years of technology fails, increasing price and poor... customer service."
"81","Sack most of the leadership team, be more flexible and get your house in order to stop the revolving door of good people."
"82","Poor management in FindLaw
Unspoken expectations not shared until criticized about them
Very sexist work environment by men and women alike"
"83","ajustes salariales bajos 
diferente sites y tenes q moverte entre las oficinas"
"84","short leash
located in eagan which can make for a tough commute
not all employees are created equal"
"85","management can be hit or miss depending who you are working for"
"86","Sueldos muy poco competitivos. No ofrecían beneficios."
"87","too much bureacracy  and management doesnt care about employees"
"88","Lot of politics
No clear directions"
"89","Lack of Leadership direction.  All talk.... no walk"
"90","Falta de inovação, empresa engessada, pouca flexibilidade, muita regra, sem crescimento"
"91","Punishes employees for working there a long time."
"92","Don't keep increasing production requirements for long-term employees."
"93","flexibilidade que não existe"
"94","They don’t appreciate and motivate for your achievements. 
Talents and skills are not give any prominence."
"95","None to mention actually
Must concentrate on creating more job opportunities is the only Con"
"96","- Low salary compared to competitors and to work load
- No career progress
- Office culture is full of gossiping
- Expat package is awful"
"97","This is a cost-cutting centre so no meaty stuff but overload of work
Working in shifts that too nine hours
Diversity issue in top management, thus Indian employees often seeking validation from the ""foreign names,""
Mostly crowded with freshers with little or no experience, so not a great place for real journalists as it's mostly desktop reporting
The quality of journalism and writing is  not what it used to be"
"98","Dire need to change as the media landscape transforms else very soon will have face extinction. 
You can't substitute quality with quantity, so hiring freshers to cut cost but maintain Reuters standards doesn't work."
"99","Salário muito baixo muita cobrança"
"100","Valorizar mais os funcionarios"
"101","None that I can think of"
"102","too much competitive in the market and not good team work."
"103","tudo muito demorado no RH, processos mal desenhados e bagunça geral"
"104","Not stable company, In the process of reorganization for last 10 years"
"105","OK"
"106","Management appeared to be unaware of processes related directly to the job itself in some departments.  Most of the positions are filled by advancement and on occasion outside promotions. When an individual is placed from the outside they did not always know the ins and out detail of the job itself that caused uneasy and reduced motivation within the department."
"107","Suggest to have leads, supervisors, managers are trained indepth of the department they oversee. This will allow a greater impact on trust, establishment, and results from the team."
"108","Information does not filter down to the worker-bees"
"109","Be more transparent"
"110","Falta de processos, estrutura em constante mudança (instável) e falta de planejamento."
"111","Very number focused, you might get burnt out fast if you are an over achiever. You will always be pushed for more."
"112","- Bad integration of sales process resulting in negative project contracts
- Reuters Consulting not in business anymore after mid 2015 due to wrong strategic decisions
- Global company thinking very local in the different locations"
"113","Lots of change, a lot of miscommunication"
"114","You can feel a little lost in such a huge company to know if you're making a good contribution"
"115","Calling out successes wherever possible no matter how small"
"116","Sueldos atrasados . Escasos beneficios. Computadoras desactualizadas y lentas"
"117","Promotion opportunity for young talent is not enough"
"118","Distance from home to work"
"119","Most people are arrogant especially managers"
"120","Servicios poco competitivos y mucha presión de ventas"
"121","Landscape is shifting. Any issues with a giant organization"
"122","Change for changes sake, constant structural and process changes that produce nothing of value in terms of product but only increase share holder value"
"123","Focus less on the quarterly report and more on the long game.   Do you really have superior products and customer service."
"124","Too numerous to list here"
"125","Learn how to manage"
"126","No posee un buen ambiente laboral."
"127","hard deadline, sometimes pressure is high"
"128","Low Package as per market standard
No Extra Perquisites"
"129","Use your brain instead of judging on the other advice."
"130","lack of direction, poor corporate culture, being in asia feels like it's always subject to the wishes of HQ"
"131","keep on restructuring, only promote foreigners and friends in the firm"
"132","its rate can be better"
"133","large company, things move slowly"
"134","trim the fat, speed up daily tasks"
"135","It's a huge organization that makes you wonder ""how does everything get done around here?""  Certainly things get lost and you've got to make sure you know how to get them done yourself and not give up.   As in any organization, there are people who just clock in and make themselves look busy - identify those people right away and figure out how to get around them.   Lots of systems here - and changing day-by-day."
"136","Keep your word about finding ways to allow more people to say ""yes"" and remove the ones who say ""no"" when it related to serving the customers."
"137","Nothing to report here, I enjoyed my career at TR"
"138","Theres's always room for improvement."
"139","Method of managent should need to be improved same old rusted method management need to improve."
"140","Too much politics, reorg every 2 yrs or so, layoff every 2 years or so"
"141","The business is set on making a profit for the shareholders above anything else. Yes that’s fine a business is a business after all. But when you treat the work force like expendable assets, experience and decades of service count for nothing, you’re just replaceable, so don’t speak up. Targets increased to levels where nobody can achieve them, the work load has increased and no bonuses for the sales teams or lower... management. Working harder, doing more and being paid less is the new norm at Thomson Reuters."
"142","Advice to management, its falls on deaf ears and they have no power or say in what happens. They are in a position if they speak up they become the bad apple and are soon told that they are replaceable."
"143","Rh muito ruim. Não promove ações em pró do funcionário,  não se importa com plano de carreira e salários discrepantes para mesma função."
"144","- Strategie d'entreprise tres mal definie.
- la communication ne marche pas du bas vers le haut"
"145","- Etre à l'écoute des employés."
"146","Lacking global corporate culture, segmented businesses that work independent of any standardized processes or common values. Poor ethics and compliance at the highest levels. Zero career guidance from management."
"147","Stop reorganizing your business ever quarter and leaving the same management in place with new titles and salaries but some how expecting change. Clean up your code of conduct because it's not taken seriously at any level."
"148","No tengo puntos a resaltar"
"149","Seguir con el plan de crecimiento"
"150","Unfair treatment of dedicated employees"
"151","My manager was a complicated advisor. Cut throat & fierce in her path of success."
"152","None i can think of during my tenure"
"153","Some positions need to be in the hub (very few). So, relocation is required."
"154","Plenty of organizational changes"
"155","Politics and favoritism. Don't expect to move up within the company unless you kiss the right butts. I've witnessed lesser qualified people get management positions over more qualified candidates. 

Constant reorganization. As soon as employees begin to feel ""settled"" after a major change, another huge change happens. I'm all for learning new things, but there are so many changes happening constantly that... employees feel lost. This company is losing so many good employees and they don't seem to care. All of these huge changes continue to happen, but everything employees suggest to management gets ignored. Morale is low."
"156","Listen to your employees! Trust your employees!"
"157","very less onsite opportunities, some politics"
"158","Lenthy processess, frequent changes in management"
"159","Business decisions are sometimes misguided and have an impact on editorial"
"160","Can be a bit disorganized.  Many different business units that don't always communicate effectively"
"161","Hard working  is often not  being recognized."
"162","Plano de cargos e salário não é compartilhado aos profissionais."
"163","Deixar transparente aos profissionais o plano de cargos e salários."
"164","Takes forever to implement change!"
"165","You're doing a good job, keep it up."
"166","Pay raise, below market avg"
"167","nothing much except work environment was too chilled out and no emphasis on learning"
"168","Territories do matter, no matter what they tell you."
"169","Pode parecer fanatismo, mas ainda não tenho nenhum contra á dispor."
"170","Some people are selfish and arrogant, but that's maybe everywhere."
"171","cannot think of any Cons"
"172","Trying to survive rounds of layoffs"
"173","Pay doesn't increase much over the year from a low base"
"174","Decisions and direction from senior leaders often done in a vacuum.  Alot of work being farmed to 3rd parties, even when our experience generally hasn't been great."
"175","Stop listening to the vendors and consider more closely if the mix of 3rd party, contracted and internally provided services is benefiting the mission."
"176","Salarios MUY bajos, Crecimiento Profesional solo si formas parte del circulo de confianza.  0 reconocimiento ni formacion.  los aumentos no van en relacion con el desempeño."
"177","Deberian reconocer realmente a los que se esfuerzan dia a dia en la compañia  ese reconocimiento no se ve reflejado ni en le salario, ni en el crecimiento profesional ni en las capacitaciones."
"178","Falta de retos, no hay oportunidades de subir"
"179","Av. Hipólito Yrigoyen 2699"
"180","Less Salary and minimal hike"
"181","Poca capacitacion. Ambiente malo de trabajo"
"182","—
There is one God. And it’s name is Phone Queue, which for brevity we will now call Q. Your whole life will be structured around Q. Notice I say life, and not day. Q determines when you can leave work. Q determines when you can take PTO. Q determines if you get to work on the other projects/assignments you have. Q even has power over when you eat, which is ironic, as it is ever hungry. Q does not care if you vomit... on your coworker's desk or you have to take your spouse to the hospital. Q only cares about its daily pound of human flesh. Q can be merciful, but only if sated by the blood and tears of your fellow employees.

—
I’ve been told there was a legendary time when program updates didn’t break the software you are supporting. The documentation from that time is still recorded on the stone walls within the smoker’s gazebo, chiseled in Ancient Sumerian. I think we were allowed to wear shorts back then, too.

—
Some managers are better than others. This is common in all companies, but it does seem that some employees end up getting fired who would have made it on other teams. I’ve heard of insane micromanaging where every blip of inactivity is questioned and others have “allegedly” been cussed out, but I never experienced that personally. 

—
This job is often touted as a “foot in the door” for the rest of the company. This is solely dependent on our Dear Leader, Q. I saw multiple reps with applicable skills who got offered internships/opportunities in other departments get denied because Q couldn’t afford to let them go. In one of those scenarios, the rep knew only one product at the time so they would have only impacted one part of Q out of 20+ parts. This implies to me that these dangled opportunities will rarely happen. The foot in the door metaphor would be more accurate if they added “if pigs fly”, or even better, change the phrasing to “a foot in your rear to help you out the door”. In the company's defense, I understand the business reasoning behind not letting reps work in other departments, but the majority of those reps I mentioned earlier left and got jobs in their field at different companies after 2+ years of training at the company's expense. Such a waste. 

—
There is a high ceiling for advancement in this department. It is not impossible and once you’ve broken your chains, it gets easier to keep doing so. But just realize you will be competing against 50+ internal people per job posting. It’s not uncommon for someone completely unexpected (ie. they’re rather new) to get chosen for a role, but this would be a negative for the people who don’t get the job and have based their entire career on getting to that position. This is balanced by situations where they already have someone in mind for the role, but tell all the other applicants that they stand a good chance so they can get enough applicants to have the illusion that this was an unbiased process. This leads to a two week to two month process of interviewing where they’ll still go with the person everyone knew was going to get the job in the first place. These very common scenarios create a lot of uncertainty and resentment about promotions in the department which is channeled towards the company. The salt in the support department is real, and no amount of free food or lego stations can wash it away. To be fair, the interview process has always been inherently broken. You can’t tell if an applicant is going to be good at a role after looking at a piece of paper inflating their accomplishments, having a 45 min conversation where you ask about hypothetical scenarios that may or may not be relevant to the role, and where you get answers that may not even be true and can’t be verified. It’s absurd, and it’s best to revel in that absurdity. Otherwise you’ll lose your mind and start throwing coins into the urinals and wiping your snot on the bathroom walls. (The chaotic interview structure is probably common in other companies as well, but I don’t know if Thomson Reuters should be proud to be a part of that swamp.)

—
You need to make a plan for what you want from the company as soon as possible. Not all product knowledge is valuable and applicable to other jobs. After mastering the customer service soft skills there is not much left to learn except for additional products. The issue is that these additional products will not necessarily help you advance to other parts of the company. It may help with some product specific roles and it will help you advance in the Support department, but if your interests lie elsewhere then it’s not worth it. Learning as many products as possible seems like a good way to get ahead. This is a trap. You will have a less flexible schedule with more stress for the same pay as everyone else. There is not one job that requires that many product knowledge bases (possibly Training/Consulting but even then I doubt you would be supporting everything). Those with IT aspirations should learn GFR, Web, and all the Systems. Those with an eye on a Development role should look at what products will have the most demand, generally a tax product or products in development. Professional Services tends to find more value with people who know GFR. Getting into the Operations or Content team requires some experience doing their work/job duties, which is only offered to those with passable metrics and product knowledge, and manager approval. Sales will look at anyone with some experience with sales. The reason this section is in the Cons, is that your manager or Operations can throw you into a training at-will, which can derail your career plan or give you irrelevant work which gives you less time to do things that will actually have an impact on your future. I see perfectly good reps with solid metrics start to flounder when they get overburdened or disillusioned. These reps usually leave in any way possible (ie. MyPay). 

—
A silver bullet mentality. Everything looks like a nail when you just got a hammer. This is especially apparent with the company’s attempt to turn every team into one based around Agile. Agile makes more sense in an Agile role where there is a finished Agile product rather than in a call-center environment. If I had heard the word Agile one more time, I was going to Agile myself out the second floor window. But the big man in the big chair championing the system said that this will allow the company to save more money and stop the hemorrhaging of the department, so obviously they are an informed, innovative thinker. You could also try sending him your credit card information and social security number and he’ll send you back a routing number for a Nigerian bank. Expect to hear industry buzzwords all the time with people nodding their head in excitement. But don’t look into anyone’s eyes when they do it. They’ll be black and lifeless, like a doll’s eyes. You know how you can tell when you’re in their meeting, Chief? When you hear them say blockchain unironically."
"183","—
I don’t believe the company should be going for the quality of employees that they’ve been looking for. Hiring people out of college or people with options is currently a bad business strategy for this department and role. Anyone who has the skills or resources to leave, or the motivation to get them, see the writing on the wall within the first six months. They give themselves a time limit for advancement and... then move on if that limit is surpassed. Why is that your problem? You waste $4-5k training someone who has no intention of staying.  Their replacement gets paid a months salary before doing any real work to learn a fraction of what that rep knew and whom may also not have any intention of staying. 

—
Work life balance is key to your retention. As soon as a rep feels like they’ve been assigned too many products, they leave making it worse for everyone else who then also consider leaving. And the word on the street is that our beloved big brothers in Operations are doublethinking the data in the opposite direction from which things will get better. But don’t worry, we still love them!

—
Teach reps more applicable skills. Yes, that might make retention worse, but someone may stay longer if they feel they are learning something valuable from it. The Aspiring Supervisor program is a step in the right direction. Maybe extend that format to other departments or teach more useful IT skills. 

—
The company has a staff utilization issue. Overly cross-training reps spreads the problem out to other products in the Q. The plan to reduce project time across the board will decrease retention and morale, as reps need reassurance that they may one day escape the drudgery that is their existence. New hires seem like an expensive gamble, especially with the current retention rate. It’s a difficult problem, and it’s above me. Maybe have some reps only learn low call volume Qs but have them learn them all instead of cross-training them in a product that will completely negate their previous trainings. 

—
HR and Leaders that conducts interview need to be more proactive about communicating what stage of the process an interviewee is at. The lack of communication is what soured my opinion of this company the most. I went from a bright-eyed new rep trying to contribute anything I could to making other employees laugh at dark, inappropriate jokes about TR’s problems, after only two such interview experiences. I would rather be told to my face that I didn’t get the job, then get ghosted for 6 months while noticing that the job got reposted two times since the interview. Only about half of the hiring managers I’ve talked to have reached out with feedback, and I respect the ones that did all the more for it."
"184","I am not finding any particular."
"185","No Career Opportunities and there will not be anything to learn about new technologies"
"186","Looking back, it was the epitome of working in the ""corporate world""."
"187","For being a tech company, the tech is lacking. Seems like people who make the decisions dont really know what to look for.

I personally found it literally impossible to move positions, which is why i left. I found myself getting more and more responsibility as well as developing new tools for the company and never being monetarily compensated. My title and pay was the same as the first day i walked in the door....

Operations only seems to care about meeting some quota or fulfill some about of ""butts in seats"". They dont really care about adequate training. You will need to be comfortable learning on the fly in some what high pressure situations. Especially during busy seasons. You can end up being deployed right into a busy season and get hammered.

They look to advertise a ""leverage internal talent"" approach to hiring which i found to be absolutely not true. 

Some managers are great, others are terrible. Its the luck of the draw who you ger placed with. There doesnt seem to be any regulations on manager performance. From what ive heard, some managers can be a nightmare. Any manager ive had was great though."
"188","Follow through on what you promise to your employees 

Stop trying to sell your dated products and invest in modern tech 

Leverage internal talent before outside hiring

Dont over-cram your employees with responsibilities and not compensate them."
"189","empresa excelente, mas pode investir mais em mais coordenadores, principalmente para o eSocial"
"190","Podem investir no programa de massagem no escritório"
"191","You are just a number, in the end."
"192","Invested in employees following wider corporate culture but not individualized location-specific management"
"193","- Lack of a transparent career plan
- Not technology driven
- Lack of interaction with the outside market"
"194","The company is people friendly but what really matters is your manager."
"195","Não tenho nada a declarar"
"196","Clunky internal processes and systems"
"197","Promotion pay team spirit communication .....u know the drill"
"198","Fix up look sharp"
"199","Onboarding is poor.  Presentation by anyone but Human Resources.  No IT support or Human Resources support, just a call center in another country that doesn’t answer the phone."
"200","Improve onboarding by having actual people available to assist.  First impressions are lasting.  Poor company orientation sets a bad tone.  Terminate IT call center.  It’s no help.  All employees complain.  You will continue to lose talent with bad new employee orientation."
"201","Cost Focused, Layoffs in high cost areas are not uncommon."
"202","There are many changes being implemented which sometimes can be frustrating"
"203","There are no cons to me."
"204","I do not have any  cons in working with  Thomson Reuters."
"205","nothing"
"206","•Hours during busy season can be rough (There will be 6-day work weeks)
•Clients can prove to be difficult at times
•There is a learning curve to this job
•Some co-workers don't treat this job with respect"
"207","•There are some places within Support that needs attention (For example International)
•Please raise the bar for the new hires back to getting at least an Associate's degree"
"208","Hubo reducción de personal a nivel latinoamerica ."
"209","Traditional HR and executive level with little room to grow career"
"210","Seemingly constant corporate restructuring.

Technology not always as good as expected."
"211","Nothing right now needs to update technology"
"212","Sales can be a meat grinder"
"213","nothing much to say about it"
"214","no words 
no comments
no negatives"
"215","Falta de plano de carreira, bonificações e aumentos."
"216","shifts are random and appraisals are very less"
"217","I don't have any negatives on the company."
"218","This company is a very good place to work."
"219","No Cons for this company"
"220","Falta de planejamento na alta hierarquia."
"221","Ongoing restructuring, future of location uncertain,"
"222","None"
"223","You don’t pay attention to the feedback from your interns. They are the future of TR. My daughter still benefits from her unpaid internships in PR while she was in college.  Play to your strengths!"
"224","Get a dose of empathy.  Maybe hire Brene Brown to speak  at Davos. We are Thomson Reuters. I am proud to say that...most of the time."
"225","Oganization not that flat
Employees/roles saturated
Slow pay increase/promotion
High attrition rate"
"226","Recognize quiet but effective workers."
"227","Sueldo ajustes menores al mercado"
"228","Politics on the floor, if you can deal with it and survive  then you will definitely stay working for more than 5 years"
"229","Management doesnt care but that's the case of every big company."
"230","Start caring."
"231","It's easy to end up in a dead-end role.  Most things are 'nice' but there is nothing that would consider Great!.    The corporation seems to meander without ever being able to accelerate, seems like a lumbering giant that lacks the fitness to pick up any speed.  Warning: watch out for the 'November Redundancies'."
"232","Let's be a great company, not just big company."
"233","None that I can think of so far!"
"234","I can't say I have any cons."
"235","Management is worst,  not good for experienced people.No growth in career"
"236","Cultura ultrapassada, gestores ruins, pouca visão de resultados e muita politicagem."
"237","Mudar gestores que estão há muito tempo. Atualizar a liderança para a realidade do mercado atual"
"238","Internal career progression and monetary aspect are poor when moving roles, as a progression."
"239","N/A"
"240","Permanent reorganization. To many inside blockers"
"241","Sustainable aproach"
"242","Not much scope for upward mobility"
"243","Since it was bought by Thomson, the company has become very unstable, having being bought by Blackstone and having made a lot of changes"
"244","Not bad at all there"
"245","Less hike ,less bonus , worst manager"
"246","We don't have:
Liberal Maternity Policy
Day off due to Family issues
Yard, garden or place for rest nearby the office"
"247","After inflation and devaluation of the currency GEL ( August of 2018 2.45Gel=1 USD ;Today 2.92Gel=1 USD) company had no reaction that at some point is disappointing, because prices on everything in the country raised but the purchasing power has reduced. Would be great to receive an email with the position of the company regarding this case."
"248","There is cons found. Its nice company to work"
"249","Snacks get over before everyone cam get it"
"250","Too much politics and turnover"
"251","slow growth
and lack of opportunity"
"252","For promotion 2 years experience compulsory in office. 
This should change if a person has caliber to do so."
"253","NO CANTEEN FACILITY, NO MNC BUILDING INFRASTRUCTURE,"
"254","Please provide canteen facility with proper office infrastructure to work"
"255","Salarios muy bajos en Argentina."
"256","Jornada de trabalho intensa porém temos 30 minutos de descanso entre manhã e tarde"
"257","Nothing is bad in the organisation"
"258","Parking is sort of far"
"259","The pay is not as generious as hardworking employees deserve and the performance insetnive is limited"
"260","No cons for this company"
"261","Location is look like isolated."
"262","The problem is depend upon the team members and your manager. For me the so called senior was not good. Had to leave because of him. My dream company was it is. But couldn't survive because of the politics of the senior guy."
"263","None. Management is good."
"264","Falta um plano de carreira melhor definido"
"265","Anytime Lay offs without fore warnings 
No flexibility
Horrible Managers"
"266","Management needs to treat every employee equally"
"267","Slow to move as decision making often left to Senior Management, or rather Senior Management doesn't always let Middle/Junior Managers make decisions"
"268","Empower the people and let them do what needs to be done, particularly in areas such as product development and integration of the products acquired in the market"
"269","Sometimes large territories depending on geography"
"270","Greedy people who are not loyal to employees"
"271","Be loyal to full time employees. Your products will suffer if you get cheap contractors."
"272","poor Mangement,  Salary hikes"
"273","The pay what you get is less"
"274","Constant Growth, have to wait long for promotions"
"275","Little room for career development and promotion"
"276","=> Increment ratio is very low"
"277","Clima ruim, liderança antiga e autoritária"
"278","Falta de oportunidade de crescimento."
"279","there is nothing at all to tell negative about this"
"280","well,good enogh"
"281","Poor management as no one knows where to go. The head who is leading the whole department even doesn't know how the process works. They can give very limited support although they want to be supportive"
"282","Let someone who really knows the process lead the team, not the one with different prospective as it makes the staffs suffer."
"283","Not enough compensation for the work"
"284","Poor managers who only look out for themselves."
"285","You should lay yourselves off. You get rid of everyone who knows what they're doing. You keep fools"
"286","Transport system can be managed properly"
"287","Keep growing"
"288","Redundancies
Poor atmosphere
Poor office
Career progression limited"
"289","Low salary, low pay increase"
"290","I used to love TR. I couldn't imagine being anywhere else. The people were wonderful, the job was challenging. Then they hired some unequipped managers and restructured everything. Now it's incredibly toxic, backstabbing, lots of turnover and denial that it's due to all the changes recently. It's sad, I miss how things used to be."
"291","Wrike isn't working, it needs to be automated and less complex. If the system isn't intuitive, easy to learn, and saves times - it isn't a good system/isn't working."
"292","There are no cons at least for now"
"293","Bit of favourism towards ethnic candidates"
"294","No Cons about the company"
"295","Salario bajo
Burocracia
Procesos manuales
Bajos ajustes salariales
Comedor pequeño"
"296","Have to be sensitive in words n actions cos it's a multi nation work environment."
"297","Overtime is sometime mandatory, If you work close which is 7pm.During peak you may not leave until 9. Management and s unskilled and very poor communication between Management and employees. Micromanagment and stressful work environment. No real advancement opportunities if in the Tax accounting Dept. You will get stuck in that department."
"298","Communicate with your  employees. Better manger practices"
"299","the next level hierarchy (a level above employees) are not go to."
"300","I am yet to know about the cons expect  some politics which happens every where."
"301","None"
"302","Plan de carrera, pocas oportunidades"
"303","Capacitacion y ambiente laboral"
"304","- There is no much growth"
"305","Company has gone through a restructure, completely flattened the organization. Advancement is rarely offered and competition is extremely stiff."
"306","Nenhuma no momento até agora"
"307","Low salary and hike, hard to get a promotion"
"308","Promotion for the deserved ones"
"309","Não vejo nenhuma no momento"
"310","In the suburbs so you have to drive there"
"311","Manque d'esprit d'équipe bureaux de Mtl, absence d'avancement, ennui, salaire stagnant"
"312","Heavily staffed so hard to get stories"
"313","A little slow to make changes"
"314","Be more agile"
"315","No salary increment. No good food."
"316","Provide good food and increase in salary"
"317","Long hours, tiring, work life balance, too much work, accountability"
"318","Increase base salary. Almost comical how low it is is compared to market.  Anyone who does interview sees that the standard base for sales is WAY higher than what TR is offering.  Definitely not getting good sales talent in the door anymore to replace droves that are leaving. (or will be soon)  Seem to randomly assign reps to accounts now.  Big part of sales is RELATIONSHIPS BASED. That is all gone now.  Reps have... no ties to accounts they are randomly assigned to.  We used to care about our customers..we cultivated realtionships...we would see these customers around town, at little league games, school events etc.  Now my clients are 2000 miles away from from me and I couldn't care less about them.  Makes me as a sales rep feel terrible, but thats the way it is!"
"319","Scrap the worst managed re-org plan in history and go back to the previous geographic model. Stop spending hundreds of thousand of dollars on consultants  and useless sales training and put that $$ into comp plans.  Sales people are the sharpest people in your company. They will maximize their comp plan and the comp plan will directly drive their activity."
"320","too many departments dealing with same products, many systems to update due to many aquisitions"
"321","Planta gráfica sindicalizada sin argumentes"
