"","x"
"29","The segment marketing organization is a living embodiment of the Peter principle, with too many chiefs and not enough worker bees.  They spend lots of money on themselves, promote only from within, and make life miserable for the rest of the company.  There are good people in the organization, but they're drowned out by the idiots in charge and the high number of layers of management that insulate senior leadership... from good ideas.  New Product Development is OK, but too product-focused and not good listeners to the strategy folks (although they are correct in ignoring the segment marketers).  The sales organization is focused on their numbers, and when they're not hitting them, they whine a lot."
"30","The products and salary packages are widely believed to be inferior to those of our main competitor, Bloomberg (although the seemingly rigid, dictatorial and New York-centred management style there holds little attraction for most of us).
The legacy of the past mistakes at Reuters left CEO Tom Glocer with little choice but to cut costs. He rose to the challenge and wowed Wall Street with his ability to hack the... flab. But the pressure on editorial budgets is still cruelly tight, while many of our colleagues on the sales side (and in management) seem to jet around the world unaware of any squeeze. And Glocer continues, in his new role as the boss of the merged entity, to splurge massive amounts of  money on share buybacks. Meanwhile my desk phone works so badly that I am constantly having to pretend that it's a bad line and ask people to repeat themselves. In fact our technology is generally dreadful. Phones, computers, antiquated editorial systems, internal communications... We've been promised a revamp... right now it's just embarrassing."
"31","There are some downsides of working at Thomson Reuters.  The culture tends to be quite bureaucratic and conforming to process is generally valued more than actual work-related accomplishments like solving a problem for a customer.  There are constant training classes and eLearning seminars for new products and systems and almost none of it is applicable to most jobs.  
The pay is not great but you accept that since... you're getting 4 and 5 weeks vacation and they let you work four 10-hour shifts."
"32","Very old school and hierarchical. They even don't have the work from home option, it need special permission. Holiday hours are very closely counted. No laptops for even senior engineers. Office environment is very professional, but there is a general lack of friendliness amongst the people here. The HR negotiated too hard over salary."
"33","Low salary and bonus in comparison with other financial institution. Management is not good in motivating staff and they do not have interest in retaining talented staff within the company"
"34","Some of the managers within the company are slow to change in their way of thinking. If it's been done a certain way in the past, even if it does not make sense given the current setting, certain areas of the business are resistant to change. I see this primarily in the ways the Baby Boomer generation interacts with the growing  Gen Y workforce. I feel that Gen Y employees are frustrated with the expectations of... Baby Boomer managers with regards to alternative work arrangements (such as telecommuting or flexible work hours) and what the two generations consider to be a good work-life balance in general."
"35","Involve employees more in discussions about future planning."
"36","My immediate supervisor treated myself and other employees in a callous and insensitive manner, micromanaged my work, and implied that I was not doing my part, despite frequent client compliments and consistently meeting billable hours goals.  Within an 18-month period, my supervisor achieved a 100% turnover within her team--which included myself as well as several other employees who had been with the company... between 5-8 years.  My supervisor's supervisor allowed this to happen, and even participated in some of the maltreatment.

In addition, there is no internal training for employees to be able to learn the product or technologies related to the product.  As a result, employee development and opportunities are sorely lacking, as is customer service, since employees are unable to increase their knowledge and skills."
"37","Cut-throat management would throw anybody under the bus to avoid taking responsibility for making a bad decision."
"38","The company expects salaried employees to work overtime without pay, but this is not disclosed during the hiring process.  On the other hand, contract and hourly paid employees are kept to the 40 hour week with overtime kept to a minimum.  It is a very lopsided arrangement with the salaried employees taking home less per hour, as well as, creating a disproportionate work/life balance.

New hires are paid more than... present employees for doing the same job.  Pay increases are kept to a minimum for most, so the pay scale for existing employees never catches up to the new hires.  The longer you stay, the wider the financial gap between you and the new recruits.

Nepotism abounds at Thomson.  Only a select few are recognized or rewarded for their achievements.  Many of these people get recognized for the same work other people do; however they are favored by management, so they receive the recognition while the others go unnoticed.  These same management favored people also get promoted into management positions.  

Those who get promoted are not necessarily the best qualified.  Some managers (not all) lack management skills but brown nose their way up the ladder.  Some use mental abuse tactics to keep the employees in line by eroding their self esteem.  In addition, it is hard to remove these managers because upper management sometimes blames the subordinate employees for the shortcoming of the manager.  Also, some employees are allowed to bump themselves up more than one level in the organization while others are told they cannot.  

Be careful what job you enter into the company with.  Many of the positions will leave you with no outside marketable skills because a lot of the skills you acquire on the job are Thomson Reuters proprietary skills.  When employees hire in management tells them that there are many opportunities for lateral and upward moves; however changing job types within the organization are virtually non existent.  You quickly become directly associated with the title and job you start with.  

As for advancement opportunities, you are allowed to try out for any position within the organization; however your efforts are often futile because the hiring decisions are often made before the interview process.  Sometimes you get lucky and over come the odds but that is not the norm."
"39","Technology - wise, they are behind the times. Especially within some organizations within the thomson reuters umbrella, it is very difficult to improve ones technical skills. management is slow to recognize the need for change, and even when they do change, are quick to fall back on old habits in the face of challenging situations."
"40","The company is getting so large so quickly that some of the basic core values are sometimes overlooked.  Merging all the smaller companies together has been extremely bumpy for employees and ever more so for customers.  For example, the customer service department is seriously understaffed which makes things difficult for everyone; especially customers. 
The internal communication from Senior Management is decent... but the inter-departmental communication definitely needs some improvement.  There are times when a simple task takes on a higher degree of difficulty simply because the right hand doesn't know what the left hand is doing.  It's a known issue that's the company is working very hard to remedy."
"41","Being the result of one large company, Thomson, acquiring another large company, Reuters, there are still some cultural integration issues.  There are pockets of the new company which are heavily ex-Reuters and seem to maintain an arrogance and bias against ex-Thomson employees.  As well, this carries to some managerial positions where less qualified ex-Reuters individuals were favoured over ex-Thomson employees.... Pay is a sore spot with many employees and some inconsistencies between peers-to-peer salary comparisons and 'leveling-up' to equate pay across similar functions"
"42","Severely disorganized because nearly everyone is new. Both employees and management make up the rules as they go. There's very little accountability. There are some old-timers but most people leave for greener pastures after a year or two. Thomson was a lot more laid-back before the merge with Reuters. There's a distinct air of paranoia because some jobs have already been outsourced to India."
"43","They outsource American jobs to India; very top heavy in management."
"44","Senior management is somewhat uninspiring"
"45","The size of the corporation can be limiting - an increasingly large number of projects, services and initiatives are being centralized/corporatized in ways which do not suit every business unit ideally."
"46","In my experience: frequent disorganization internally - I encountered many areas that still seemed to be figuring out their roles and how they wanted to operate which could create delays in whatever you may need for doing your  job - no standards on process or project methodologies - many groups doing their ""own thing;"" office politics can frequently get in the way of communication and cooperation between... departments; the job frequently takes over your life 24/7 - even on vacation or during illness, you're still expected to monitor emails and issues and call into meetings.  You need to understand and decide what you're committing to before you take the job.  Ask detail questions about a typical day on the job with your interviewer to get a better sense of what's required of you."
"47","The leadership was lacking in many ways. The amount of work required was very excessive. For example, after I left the position, they had additional people doing  my job part time. They require employees to get up to speed very rapidly without providing adequate training for new employees. The heavy customer service focus is to the detriment of employees. The pay was quite low given the difficulties of the job and... the complex work required on the job."
"48","No one seems to know what they are doing. There is a large turnover of employees especially since the merger. Morale is pretty low. Cutting back on money."
"49","It is a big company, it is very hard to work with other team. 
The manager don't know too much about project management and software development process."
"50","The pay tends to be lower in equivalent job positions, and supervisors and managers often aren't empowered to compensate their staff as they feel may be warranted.
Often I've seen people in job roles making far less than they would make in the same position at another company."
"51","The NASC(North American Service Center) is just completing a large job restructuring by bringing all business level accounting into one location.  Little to know resources, training, recongnition and high turnover are to be expected."
"52","Reorgs can happen with greater frequency than one might hope."
"53","Technology jobs are very demanding, a lot of time (usually 50 to 65 hours work weeks)."
"54","Advancement opportunites can be scarce even for top performers.  Beware of troubled business units.  Can become stale in roles as there's no formal rotation program."
"55","All works are being outsourced to low cost region. The relocation of current employees are messed up, groups are devided up between locations."
"56","Too bureaucratic, and location specific limits to growth. Not a whole lot of transperancy with regards to anticipated changes in product mix."
"57","Work/life balance is not supported; manager is not supportive of taking time off.   Micromanaging is the norm.  Employees are stuck working on one area with little hope of learning more.  Employees have the technology to work at home but aren't allowed to.  If you don't work through lunch and stay late, you are a crappy employee.  Parking lot is huge; they have a shuttle in the winter."
"58","Dreadful Middle manangement. Bloated workforce, too much emphasis on outdated technology, product managment and marketing. Understand your customers better and make products they want rather than products that you want to create."
"59","Very large company, the left hand and the right hand don't appear to communicate.  This got worse right after the merger.  As with a lot of large companies, layoffs can come from ""out of the blue"" and surprise people.  Also, when the rumors of when layoffs are coming start flying, things seem to drag on, and people become very nervous and defensive during the day to day; instead of focusing on the jobs at hand."
"60","The pay could be better.
For starters, it is overwhelming at the number of applications  and systems to master within a short time span. New employees have quitted because of information overload. In my opinion, enough time should be alocated for training."
"61","Comparatively low pay. Also sales force seems to run the show which makes it difficult to implement process improvements."
"62","As a software engineer, the biggest downside for me working at Thomson Reuters is that it's not a software company; it's an information company. This company doesn't innovate in the technology field. For those who are interested in using the latest technologies that other companies offer but aren't interested in innovating in the field of technology yourself, this might be a good fit for you."
"63","That perhaps Thomson Reuters is a very large company and somewhat unwieldy."
"64","Because the Cleveland office is relatively small, there is very little opportunity for advancement, unless you consider moving to one of the bigger offices is Rochester, New York or Eagan, Minnesota.
Upper management doesn't know what's really going on around the office and tends to promote and praise employees who don't necessarily deserve it."
"65","The company is changing a bit to being strictly focused on shareholder value. The integration taking place will challenge, it seems, the culture that long time employees have enjoyed. I am not overly concerned about this, as a new employee, it seems that the company is moving toward a culture that is more realistic for a publically traded company. But that does not mean that it will not be a tough transition. The... company does a nice job of creating positive messaging around change initiatives. But some of the response is starting to turn towards more skepticism. it will be interesting to see how that plays out."
"66","Visibility is not clear into the future given the recent merger; Potential culture conflict between the two companies; Woodbridge is not necessarily committed to any specific businesses"
"67","I didn't like the consulting lifestyle.  Consultant don't share knowledge."
"68","Like all workplaces there are politics that is demotivating.  Upper management has very little transparency."
"69","Hard core politics run through the entire company and business unit leadership is more concerned with looking good internally than meeting and exceeding client expectations and actually running a business.  This type of behavior does not bode well for development of managers and directors who must play the political game or run to a different business unit to ""start over""."
"70","It seems management all know each other far too well and look out for one another as opposed to their subordinates.  One must be able to learn and live with corporate politics to get anywhere in this company.  In it's defense, I think they are on par with many other large corporations."
"71","Management has no clue what they are doing, and do not welcome change that could spur growth for the company.  I worked long hours, but most work regular hours.  Not much training (thrown into the fire) and poor communication from higher ups.  I was really disappointed in the direction of the company as it is very old school styled."
"72","Too large of a company. Some people do get overlooked. Working for a public company has its drawbacks as sometimes the company is more focused on its shareholders rather than its employees."
"73","Usual cons for global company such as organization and project management issues between teams separated by thousands of miles."
"74","Large company with lots of layers. I am one removed from a VP, but very far from the CEO. It could take a long time to climb this corporate ladder and I suspect that if you don't have an MBA from a top ten business school, you probably not possible."
"75","Absolutely everything is analyzed and reviewed.  There is nothing that isn't measured or critiqued.  This becomes difficult at times.  Often, many in management seem to only have positions to manage others...positions are there only to manage other positions.  Often, many are seem wondering around. Often we have no idea what they really do.  The overlap in management is very high and needs to be reduced."
"76","The only downside that I have found to working at Thomson Reuters is the pay. The pay bands are not made public (which is why I'm on this site in the first place) and once you are hired in you are stuck in the pay structure with promotions meaning almost nothing in terms of pay increases."
"77","Very conservative and slow moving company. This is beneficial in slow economic times but not very innovative. Very large amount of paper pushing and layers of management. Causes extremely slow reaction to market conditions and thus slow to nonexistent response to customers. Good people on staff but too much beauracracy to be of good at customer service."
"78","Due to extensive growth through acquisition, Thomson Reuters often seems to have redundant and top heavy management structures which creates inefficient management and lack of upward mobility.  Thomson Reuters also needs to do a better job of integrating acquired technologies, rather than maintaining vertical silos that essentially continue to function as standalone business units."
"79","The Thomson culture appears to be much more aggressive with everyone fighting to have their voices heard. The culture has some negative aspects such as copying in lots of people to relatively unimportant emails. They also seem to work much longer hours with emails from Blackberries over Xmas and at strange hours of the day common. perhaps people are just worried about job security."
"80","Too many people have been with the company for a very long time and are not effective.  These people are moved around from position to postiion rather than being let go.  They are overpaid and it sends a bad message to those who work harder and receive much less."
"81","May colleagues who don't have a good perspective of the customer.  Can be bureacratic and slow moving especially for those use to a more entreprenueruial environment."
"82","Slow moving culture and at times very political.  Eagan MN location has tremendous resources but is very hard to accomplish anything due to MN culture.  Compensation is fair, however superstar performers are not capable of driving for higher compensation."
"83","They are over-reacting to the recession and therefore undervaluing and taking advantage of their employees."
"84","Promotion is cliquey - friends of managers get the jobs - and not based on merit or performance in current job.  Recent cull - with no transparency or visible process on decisions on selection of managers - folowing acquisition and integration of Reuters,. Need for quality on operations and project deliverables is satisfied by rigourous but frustrating processes."
"85","The company has a very slow pace, as it is too big to move fast."
"86","There's no onsite cafeteria at the Ann Arbor office but plenty of places to get drinks and food. Overtime is expected but that's the same in every exempt, salaried position. Deadlines could be tough but you do not need to stay in the office to do work. Due to the integration of many healthcare units, there is alot of bureaucracy that becomes apparent once people hit the director level and onwards."
"87","Bureaucracy and red tape amongst departments, micro-management, mid-level managers who lack management training, focus on cost-cutting techniques instead of growth from within, overlapping job functions, technologically challenged at times which can be disappointing, nepotism"
"88","To grow to upper level no roadmap or inputs from Team management."
"89","Because each division is allowed to function in its own way, there is no corporate oversight of whether a division is operating in the best interest of the company and its employees."
"90","Thomson Reuters functions as a monarchy.  I firmly believe that all firms provide opportunity and your career is what you make of it.  But, Thomson Reuters makes it very difficult to generate any kind of career path.  It's definitely a tough place to work and feel good about it unless you enter the company as a senior manager or are someone with minimal ambition."
"91","Not enough promotion of people with a product (and technical) focus.  Lack of aggressive technology adoption, market expansion, which is frustrating in the iPhone world."
"92","Unequal salaries for equal job title or responsibilites.  It does not seem fair that a person's salary can differ based on the department they work in.  Pay should be based upon a job title regardless of your department.

Thomson Reuters as a whole has become too large and too top heavy.  With every new announcement, yet another person has been appointed Sr. VP or CO of something.  While the little guys are being... offered severance packages or minimal bonuses, the higher ups keep getting hit with bonuses that nearly equate to the little guys full year salary."
"93","Shrinking industry with intense competition"
"94","Becoming too big of a company.  you are just a number"
"95","No telecommuting widely available, but should be."
"96","I did not have a good experience with my position and my supervisors.  Also, when I was interviewing I made sure to specify that I was looking for a position where I had a good work/life balance and was not interested in working much more than 40 hours a week (but I did understand I probably would during month and year end).  I was assured they agreed with my needs, however, when I got into the job I was required to... work about 50 hours a week."
"97","Adequate but not great compensation, lack of growth in certain departments, low annual bonus, relatively lacking in 401K choices, sometimes difficult to balance work/life with level of overtime needed during parts of the year.  Heavy dose of politics in upper level positions with lots of movement still after the merger."
"98","Managers are promoted based on sales ability rather than management ability.  Maybe this is a common problem, however, anyone can see that sales ability and management ability often do not overlap."
"99","Cost is king, local staff are always replaced offshore. Top jobs mainly with all the ex-Reuters employees."
"100","Organization is flat, hence getting promoted is very rare.  Some of the employees have been working for more than 5 years, yet they do not get promoted."
"101","Very large company (40,000+) can sometimes make individual employees feel like just one of the masses"
"102","I found that the work itself was quite mundane and not challenging or fulfilling. I had a degree in finance and business management when I joined this company out of college. Looking back I realized that it was probably a poor choice because my daily job duites turned out to be completely irrelevant from my education in finance, and I was really no more than a glorified data entry person."
"103","Thomson tends to have thick layers of management. The top and the bottom do not interact. Very clubby. If you are senior management you will appreciate the front line gatekeeper managers. The company is top heavy and invests heavily in its senior management. This is not a very democratic company. On the face of it, to employees, the company presents a culture of inclusion but I found it to be  very one sided. Talent... does not necessarily serve you well here but being political and building the correct allegiances will be very beneficial."
"104","large company; many long time employees whom are NOT open to new ideas or processes"
"105","Not the best paid companies around."
"106","Draconian management. The management can only be described as incompetent. Because Rockville is not their headquarters, they are mainly focused on giving a good appearance to those in New York. Their incompetence creates problems and then they brag to NY about how they made everyone come in over the weekend to fix a problem they created. The staff turnover is very high and the impression I had was this was a good... thing. The philosophy was to treat employees badly, or treat employees badly in the hopes they'll quit to save on severance. They try to create an atmosphere of you had better not slack off or else. What ends up happening is the good employees quit and the bad employees live in fear of being fired. On top of it all, they're trying to move as much as possible to India."
"107","The work life balance is somewhat lopsided though you are presented with the choice. Also, some individuals who put up walls and do not work as team members are a hinderance to the overall success of projects and the organization."
"108","As part of a large corporation (its even larger know with the merger of Thomson and Reuters),  there are the typical beuracracies and negatives that come with a company of this size.  One of the good things though is that Micromedex is a smaller, almost stand alone, part of the parent.  So this is less of a negative.   The finance group was small, so was little opportunity to advance your career."
"109","It is so big you get a little lost getting things done"
"110","In my industry (legal) there is little opportunity to transfer to another city. But that's because people love their jobs and stay forever."
"111","Management is very shaky - motivational corporate b.s. is a total joke and insulting.  Drink the kool-aid if you really want a chance of moving up."
"112","Old boys club, 95% withe arrogant males, tons of politics, mediocre managment"
"113","Hard to get past being a face in the crowd and not easy to show off your talents or work on new projects.  Office environment is exclusive and somewhat hostile.  Management is often incompetent.  Promotions are rare."
"114","None that I could see."
"115","Compensation could be better.  Large divides without logic in terms of compensation.  Can be highly political at management level, though probably no worse than other similar organisations.  Currently facing a big culture clash following the Thomson - Reuters merger."
"116","Its a very big...over 50,000 staff. Just one year has passed since Thomson acquired Reuters but more synergy is needed."
"117","Big company, leadership tends to play favorites. It can be difficult to move into other roles given the size.  Salaries are not equal across comparable roles.  The tech organization pays much better than the business units for the same role."
"118","There are not a lot of career advancement opportunities. Employees in reference attorneys department were not treated like professionals. When reference attorneys were part of customer experience, it was much better but when they put reference attorneys with sales and account management, the push for sales rather than providing research made the culture no longer a good place to work."
"119","No Security - Company sells businesses and lays off often"
"120","The reality of career advancement is moving into a management position, and never ending meetings.  Human Resources can be frosty sometimes.  Low turnover means you wait longer for promotions, but this is only a downside if you are looking to move up.  Otherwise, not ecstatic but mostly happy employees."
"121","No professional growth or opportunity for advancement, average pay, and incompetent management, especially those in the small law firm segment. The new pay structure does not encourage over achievement. With a larger base salary and smaller commissions, sales reps are not motivated to do much more than necessary."
"122","The sales commission plan and territories seemed to change on a once yearly basis which was quite unstable and did not foster long term relationship building."
"123","Horrible Politics and red tape, Middle management completely out of the loop.  Company moves at a snails pace when it comes to Technology.  No real communication between middle and senior management.  Excessive overlapping of different products competing with each other.  No real Think Tanks, Lack of furthering career and advancements.  Lack of training on new technologies. Manager promises the world but we end up... with nothing."
"124","Territorial conflicts between rival divisions; HQ seems disconnected from those on the frontlines; tough to advance without further education, regardless of work experience."
"125","The location in Eagan is very sterile and lacks culture.  More should be done to promote connectivity between employees."
"126","Not many - some issues around career progression as there is a bit too much ""dead man's shoes"" for promotion prospects, and the good environment means there is little staff turnover."
"127","Although the structure changes regularly they never seem to get the proper balance between the number of reps in the field and the market.  Far too many reps and if you don't get one of the good pieces of turf your days are numbered.  in the past there was a lot of churning of accounts and games played by reps, if you landed on one of those scorched territories you had your work cut out."
"128","Company lagging in social media adoption and other ways to stay profitable and did not respond to reporters' requests to have an online presence."
"129","If sales isn't for you then don't get involved. You will be in a cube 9 hours a day calling."
"130","There is currently some outsourcing and elimination of jobs occuring so be wary of this.  Most of the customer service center is being outsourced to the Philiipines."
"131","Promotions are a function of time, and being in the right place at the right time. It's an unfortunate truth, but they can be hard to come by. Fortunately, the salary bands for each position are extremely wide, so being appropriately compensated doesn't hinge on a promotion. :)

Coming up to speed can be difficult. As a new member, you often have to find the right people to talk to, the right documents to read,... and often, explore the code yourself to get familiar. However, self-motivation is a highly valued trait that often lands you instant cash payouts from incentive programs and peer appreciation awards."
"132","Too large, bureacratic, political to allow promotion and growth on individual merits.  Must have multiple sponsors to be able to make the smallest progression."
"133","Many acquisitions (mergers); some legacy employees still associate themselves as non-Thomson employees; lack of corporate culture.
It may take a few years (3-5) before your work is recognized and you are considered for advancement."
"134","Customers are confused and angry as to who covers their account.  There is a real need to streamline the account services team structure.  VERY FRAGMENTED.  There is NO ONE internal system to handle the business --billing, AP, AR, entitlements, contracts etc.   There are approximately  15 different internal systems.  There is no interface to combine and streamline a cohesive view of the client--like the ability to... view all products one firm has with ThomsonReuters--when the contracts ends, what the pricing is, products on an invoice that no one at Thomson Rueters knows what it is because it was sunsetted years ago.  Horrible.  Most clients are irate with that aspect of ThomsonReuters and take it out on the account management/salespeople."
"135","Sales is valued more than competence and customer service"
"136","If you are in any IT support group are in denial if you don't know that you are being way way way underpaid....look your job up at a salary site and you will throw up.  Go where you can earn enough for food and shelter."
"137","The corporate culture can be annoying at time.  People certainly play politics a lot of the time.  It is tangible."
"138","Salary is below market rates in my field of work. It is easy to get stuck doing the same job for many years, there is no good career path. Difficult to move into other fields. You will have plenty of opportunity to move and rotate if you are working in the product group, otherwise you are pretty much stuck doing what you always do."
"139","Not much impotence for technology people, employee referral program is not efficient"
"140","Some of the pros of working at TF can also become a con.  For example, the trade off of all the different acquisitions at TF is that there's no real corporate culture since everyone came from a different company.  I also sense a lot of fear of sharing knowledge since people were afraid to divulge their ""secret sauce"" fearing that it make them obsolete and expendable.  There isn't a lot of inter departmental teamwork... and many things are fragmented.  You can work on the same floor with another guy and never know what he works on, what product he builds/supports, or which department he works for.  

There's also a lot of turmoil at the leadership level all the time.  There's no real sense of who's running the show at the top."
"141","Lots of long hours needed to make your numbers. Lots of time must be invested to learn the myriad complex legal products. Training was limited and job was 100% commission when I was there."
"142","Very political at the top as well as middle layers which hinders progress...
Not so customer oriented at the top...Talk but not walk"
"143","Lack of vision and moving the business forward by most senior manager in Eagan/Legal.   Just trying to hold on until retirement.   Not playing to win and totally short term oriented."
"144","Salary, salary, salary
The opportunities that open up elsewhere (very niche job)
The surveillance by upper management. They walk by and stare at everyone's computer screen and basically call you out if you are standing and/or not staring at your screen 100% of the time.
The way some members (F.S.) in upper management talk to their employees."
"145","There is always a lot of pressure to make a number.  Some of the managers aren't very helpful, but focus on driving reps rather than leading and helping."
"146","The work is excruciatingly boring - a continuous, never-ending data analysis process which saps your will to live. Little attention is paid to the quality of the products, hence in operations there is little pressure to deliver and a tolerance for low quality work. Consequently many jobs are staffed by lazy idiots that wouldn't survive a day in a proper job.

There is little scope for growth in the job. Personal... development and performance appraisals are box ticking exercises. Ambitious people will need to look to their own ingenuity (and connections) in order to progress their career, and smartly shift jobs. 

Compensation is mid to low range in operations, although support functions are paid the market rate."
"147","Extremely big company (50,000+ employees) so changes take very long time to be implemented and there is no close connection to the group level management."
"148","Shocking arrogance towards customers in some divisions"
"149","Process of finding out unsupportive / inefficient managers not too good. Some of the management can get away with extremely bad behaviour with their subordinates. The managers I've seen lack the soft skills required to lead a team."
"150","Mundane work environment.  Very little communication between employees throughout the day.  Standard cubical arrangements throughout the entire building.  Little feedback on job performance."
"151","Lack of uniformity in systems
Feel like you are on an island, would prefer to work in a team environment
Monetary compensation is low
Billable hours can be very demanding for the type of work
Subpar employee training techniques, although improving

This job can be quite draining, with very little reward.  When we go through an implementation at a firm, it is a very stressful situation for that firm.  You will... have around 20 - 30 of these stressful projects happening at once.  It is easy to get burnt out from this job.  When you have to travel to do training for a week, that is incredibly stressful as well.

Working with law firms can be draining in itself.  Lawyers aren't always the easiest to get along with."
"152","In response to revenue declines, senior management has adopted a slash-and-burn strategy of U.S staff (and their generally higher salaries vis-a-vis India) to keep Wall St. analysts happy with the overall profit picture. First it was technology and other back-office functions being moved to India, and now the actual production of content is going there as well. This is all cloaked in the guise of ""diversity"" and... ""globalization"" but it's funny how Caucasian and male the upper ranks of management remain. Apparently diversity is not important at the top levels of the company. Let's face it, it's all about cutting U.S. staff in favor of cheaper labor elsewhere."
