,Unnamed: 0,X1,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
106,107,11.0,- Benefits are ok - Gave a good 6 months notice to start looking elsewhere - Learned plenty over the years from a diverse group of people.,4,- Benefits are ok - Gave a good months notice to start looking elsewhere - Learned plenty over the years from a diverse group of people., benefits are ok gave a good months notice to start looking elsewhere learned plenty over the years from a diverse group of people ,
107,108,11.0,Only one. Brand name and that too because it acquired NYSE.,1,Only one. Brand name and that too because it acquired NYSE.,only one brand name and that too because it acquired nyse ,
108,109,11.0,"Good people to work with, they will lean on you to do as much as you can. Relatively flat structure. Decent work life balance. Used to be very innovative with a startup culture. Benefits are good.",3,"Good people to work with, they will lean on you to do as much as you can. Relatively flat structure. Decent work life balance. Used to be very innovative with a startup culture. Benefits are good.",good people to work with they will lean on you to do as much as you can relatively flat structure decent work life balance used to be very innovative with a startup culture benefits are good ,"work, people"
109,110,11.0,"Good and relxaed working environment,l.",4,"Good and relxaed working environment,l.",good and relxaed working environment l ,working
110,111,12.0,"Frankly there are almost no good things to write about. Big name since it acqures NYSE, this is the only thing I would say.",1,"Frankly there are almost no good things to write about. Big name since it acqures NYSE, this is the only thing I would say.",frankly there are almost no good things to write about big name since it acqures nyse this is the only thing i would say ,
111,112,12.0,Excellent salary. Excellent time off benefits Allot of potential to move around company,3,Excellent salary. Excellent time off benefits Allot of potential to move around company,excellent salary excellent time off benefits allot of potential to move around company,"benefits, company"
112,113,12.0,My former manager and my immediate co-workers.,3,My former manager and my immediate co-workers.,my former manager and my immediate co workers ,
113,114,12.0,"Great Management, great work life balance",5,"Great Management, great work life balance",great management great work life balance,"work, balance, great"
114,115,12.0,"Cutting edge technology, staff is friendly, work environment is casual.",4,"Cutting edge technology, staff is friendly, work environment is casual.",cutting edge technology staff is friendly work environment is casual ,"work, environment, edge"
115,116,12.0,Whip-smart colleagues and an intense customer focus means that you'll get five years experience in one year.,5,Whip-smart colleagues and an intense customer focus means that you'll get five years experience in one year.,whip smart colleagues and an intense customer focus means that you ll get five years experience in one year ,
116,117,12.0,"Dynamic, lean, great IT infrastructure , experienced management, great location. It requires a lot of hard work and good will.",5,"Dynamic, lean, great IT infrastructure , experienced management, great location. It requires a lot of hard work and good will.",dynamic lean great it infrastructure experienced management great location it requires a lot of hard work and good will ,"work, great"
117,118,12.0,"* Learning opportunities of the financial market * Decent pay * Diverse workforce and Helpful co-workers * Experience that will develop your memory skills, technical skills , ability to multi task and adapt in a fast pace environment *Gym is great, cafeteria food is affordable",3,"* Learning opportunities of the financial market * Decent pay * Diverse workforce and Helpful co-workers * Experience that will develop your memory skills, technical skills , ability to multi task and adapt in a fast pace environment *Gym is great, cafeteria food is affordable", learning opportunities of the financial market decent pay diverse workforce and helpful co workers experience that will develop your memory skills technical skills ability to multi task and adapt in a fast pace environment gym is great cafeteria food is affordable,"environment, pay, food, fast"
118,119,12.0,"Good work life balance, good location",3,"Good work life balance, good location",good work life balance good location,work
119,120,12.0,salary people great office space interesting projects Stock options,4,salary people great office space interesting projects Stock options,salary people great office space interesting projects stock options,"options, great, salary, people"
120,121,13.0,Great company to work at!,5,Great company to work at!,great company to work at ,"work, company"
121,122,13.0,Get your hands on lots of cutting edge market technologies and strategies,3,Get your hands on lots of cutting edge market technologies and strategies,get your hands on lots of cutting edge market technologies and strategies,"cutting, edge"
122,123,13.0,"great culture, friendly people and work",3,"great culture, friendly people and work",great culture friendly people and work,"great, work, friendly, people"
123,124,13.0,"Good compensation, working hours are fine",1,"Good compensation, working hours are fine",good compensation working hours are fine,"hours, working"
124,125,13.0,Exciting environment to be around everyday.,4,Exciting environment to be around everyday.,exciting environment to be around everyday ,environment
125,126,13.0,Extremely Flexible. Work schedule is ok.,3,Extremely Flexible. Work schedule is ok.,extremely flexible work schedule is ok ,
126,127,13.0,Big and versatile company to work for.,4,Big and versatile company to work for.,big and versatile company to work for ,"work, company"
127,128,13.0,Overall compensation. Interesting and ambitious company.,3,Overall compensation. Interesting and ambitious company.,overall compensation interesting and ambitious company ,
128,129,13.0,The coffee machine. That's about it.,1,The coffee machine. That's about it.,the coffee machine that s about it ,
129,130,13.0,Very motivating environment with lots of very bright people to work with.,4,Very motivating environment with lots of very bright people to work with.,very motivating environment with lots of very bright people to work with ,"work, environment, people"
130,131,14.0,"all common benefits, nothing special",2,"all common benefits, nothing special",all common benefits nothing special,
131,132,14.0,"Great brand, good facilities, interesting future",3,"Great brand, good facilities, interesting future",great brand good facilities interesting future,
132,133,14.0,"Pay & Benefits are good/excellent Most managers / directors are knowledgeable, helpful and hard working.",3,"Pay & Benefits are good/excellent Most managers / directors are knowledgeable, helpful and hard working.",pay benefits are good excellent most managers directors are knowledgeable helpful and hard working ,
