"","x"
"91","Put your focus on people, including both employees and clients, not processes. We understand change, but to completely devalue everything the Phoenix office had done for years was disappointing."
"92","Work quality is good but not properly implemented. Salary is good and that's the only reason people join and get stuck."
"93","Company keeps gobbling up the little guy and from there you lose your ability to be creative.  It's the ICE way or the highway.  Need to allow remote work to hedge long days and improve life / work balance.  Very strict company."
"94","Cafeteria is not great
No work from home policy"
"95","long working hours and very limited advancement opportunities
good place to start adventure with trading world - but you need to leave soon enough"
"96","None, love working here and compensation is great, changed my life really!"
"97","Lot of beaurocracy and things sometimes can move a bit slow. Not enough flexibility and independence for the employees."
"98","-Pay is better elsewhere for many roles
-Being heavily reliant on US IT support is tough for London department
-Some departments dont understand level of work required for other to accomodate requests, raises tensions occasionally"
"99","Few at the top have done well for themselves, no room down the hierarchy for growth.
non-existant Work Life Balance.
Pay is not competitive.
Has its own unique culture and allows only ""certain type"" to grow."
"100","- Salaries are not the best and are all about your annual performance
 - Take a special kind of effort, often for multiple years, to get promoted
 - Often hire people from outside the company rather than prompting within"
"101","Poor or non existing management. I was in a team that had no sense of support, and received no training whatsoever while I have been bullied systematically by a more junior (but longer with the company) member of the team..Managers were never around to notice."
"102","Fairly high pressure since we deal with large sums"
"103","To many to count but to name:
no work-life balance
senior management cares only about themselves and their pockets...
Top down management at worst ...
Really bad moral, promotes a really bad attitudes ...
And much worse ...."
"104","Pace can be very intense with long hours at times, top-down management style, not much opportunity to influence direction unless you are at the top, improvisation/innovation opportunities limited, very little turnover so limited opportunities for promotion"
"105","No cons. It is a good place to work. No work from home. Pressure will be more when release happens"
"106","sucked the life out of an exciting institution, the NYSE. this company does not care about ANY of its employees, only its bottom line."
"107","The company does not have a work from home policy. Depending on the group or manager, you may have to take vacation or sick hours to handle ordinary life events."
"108","Unstable work environment due to acquisitions."
"109","No cons or negative aspects whatsoever."
"110","Steep learning curve in many areas of the business, so it can take a while before you are able to hit your stride and start making large contributions"
"111","Work-life balance can be challenging."
"112","I work with idiots who think that they are incredible and impressive. They are neither. It seems like most of these people are washed up from working for trading houses or could not make it as an actual engineer."
"113","work life balance
respect
power concentrated
dont rock the boat"
"114","Onboarding and initial training is just non-existent.
Managers that have no idea what managing is all about they are only managers because they have been in the company for a long time.
No spirit of innovation nor rules or procedures you have two guys doing the same thing in different ways one very fast one very slow and no one sees that only one approach should be used.
Back-stabbing is rife, management knows... about that but does not care at all. Some people will just try to raise their profile by making other people and team look bad in these cases management also does not care.
Software is basic needs serious investment.
Career progression is not supported and opportunities are rare. 
Salary very low if compared with other companies in the City.
Good place to start and then move on, management is not good, no sense of direction and everything is based in the USA, higher and more important positions should be available in the UK. 

Better options out there."
"115","Very rare opportunities for promotion. Pay does not growth rapidly. Further eduction not supported either financially or with time-off."
"116","Do not care about employees"
"117","With elite quality work comes long work hours. Some days can be longer than expected due to the workload."
"118","They still operate as if they only have a small number of employees. They are narrow minded with ideas, they are successful but I at a cost to their staff. Too many chefs in one kitchen syndrome here, would not recommend as a place to work unless you like micro management and endless interference. They want to own your soul"
"119","Clearly in early days of a long term strategy, where short term focus is on primarily on cutting cost."
"120","Very few, if any at all. You will wear many hats and work hard but will be compensated well and great opportunity for advancement"
"121","Carry on"
"122","Communicate with employees and foster stability to get the best from people."
"123","As part of the restructuring strategy they keep firing people on a regular basis even if you have been there for a long time - management as not a clear idea of what they want to achieve - lots of people that are called managers simply have no qualifications nor training to do that work they are just called managers since they have been in the company for a long time. They could not survive in another organisation.... 

Resources are very stretched everyone is totally loaded with work and managers say they want to raise the bar which is not possible with the existing resources.

Serious problem regarding management, they have no idea what they are doing and just run around like crazy people. 

Salary is not good you can find much better options in London.

There is no career prospect in real terms you are stuck, you can work hard or not that is irrelevant it only depends if your manager likes you or not."
"124","Being a huge multi-layered corporation, there can be some bureaucracy."
"125","Not sure on where to start from :-(. This company or may be department(Salesforce.com CRM) has many issues which are difficult to explain.

- Incompetent Management
- No work-life balance.
- Micromanagement.
- No flexibility or work from home policy. But on the weekend's you might be asked to ""work from home"" without any prior notice because of poor planning and execution. 
- No credibility for hard work - If... you are good @ work you might be asked to work almost every weekend.
- No roadmap and Strategy. 
- No vision for platform scalability.
- Very fewer changes to enhance your skills and make credibility with business because the manager will provide a demo of your hard work and eat the credit."
"126","political political no advanced technology"
"127","Loss of startup atmosphere; things take too long, if you are not in NY management you are not a relevant decision maker."
"128","not so good management, lack of purpose sometimes."
"129","Management is very bad . HR policies favor very ruthless management tactics ."
"130","Nothing negative. I just like the firm"
"131","They micro manage and treat their employees like their clients, a transaction."
"132","No work from home policy."
"133","Limited ability to change things in the company"
"134","Shift pattern is rubbish, Management have been there so long they are out of touch with providing a comfortably environment for the staff, they often go to the pub at lunch and leave the data center manned to minimal resources. 

There is no way to progress within the data center as the dead wood have been there for 15 years plus and the environment for new employees is intimidating"
"135","Management detached from the day to day, and only care about acquiring companies and appeasing shareholders. Culture is ok, but they let people go every quarter to prop up the balance sheet. Could be a good company to work for if they weren't so short sighted."
"136","Structure is very vertical, promotions are political"
"137","The company doesn't seem to care about employees. Cutting costs seems to be the number one priority. Communication is poor. After acquisition: decrease of PTOs, increase of hours without raise"
"138","Decrease in benefits, decrease in PTO's, poor Insurance options, seeing a lot of layoff's after acqusition"
"139","Things can change quickly, which can be a positive"
"140","Teams tend to be in highly focused silos, which creates subject matter experts (in theory), but my experience with my own manager is that I am actively discouraged from helping other teams.  My manager justifies this by not wanting to overextend his staff, which already had plenty of work to do, but it still always feels disheartening.

Partly because of this, it’s also very hard for newcomers to find the right... people to talk to about a given issue with our technology platforms.  My first year was spent trying to figure this out on my own, but 80% of the time I still had to bother my boss.

The company strongly discourages work-from-home to the point of obnoxiousness.  The irony is that MANY people I worked with, right up through upper management, quietly worked from home anyway.

I’ve found that lateral moves within the company are very difficult, except during times of upheaval (reorganization) that seem to take place every 12-18 months.  And moving in those circumstances is rarely under my control."
"141","The department I was part of was acquired by ICE about one year before I left and had several changes in ownership prior to that.  The theme in the company was do more with less people."
"142","Career opportunities are limited if you want to stay in Israel."
"143","Trading system can be a sausage factory.  Difficult to suggest improvements, even with solutions to back it.  Upper management is good at throwing money at it, closing the door and turning up the pressure.   Has become very political, protective and a sweatshop for too many of the developers."
"144","Low salary compared to industry.
Horrid schedule if you are working in technology teams.
Long time to move up, need to be part of the managers club to move up quickly, your hard work will not get you there.
The work can be very stressful at times.
Not enough PTO offers to new employees, leads to stress."
"145","Working hour is tough for some analyst and IT position"
"146","Poor management, average compensation"
"147","Red tape is common. I suspect this is pretty normal however, given the size of the company and I understand why it's there."
"148","Shifts that work on all holidays, no consideration for their workers or their expenses, insulting salary."
"149","Top heavy management
Technology is not cutting edge, techs in Atlanta are embarrassing in front of clients
Alienate customers
Arrogant 
Archaic - don't permit working from home at all even for a single day - what century is this? 
Did I mention arrogant?
Clients hate ICE, it was truly embarrassing"
"150","Some flexibility in work hours would be great, but in return most people finish their day during normal business hours and do not need to give up evenings and weekends!"
"151","Let people know what it's really like to work here before aggressively luring them from other companies. Weed out the up-tight people if you want to make this place less depressing."
"152","Sweatshop
Salary not commensurate with Responsibilities
No Lunch Hour
Limited Career Growth
Extremely Metric Focused"
"153","The size of the company is such that talented employees can easily be overlooked and tend to go elsewhere leading to loss of quality manpower."
"154","*Layoffs due to ICE take-over
*Benefits aren't so great. Got expensive after ICE took over Interactive Data
*Pay for what you do is not equal
*You may have to work on major holidays depending on your position in the company."
"155","You are expected to do the equivalent work of at least two people"
"156","continue working with employees"
"157","Bad atmosphere, huge pressure on sales, no communication"
"158","Not a lot of room for growth"
"159","The team in San Mateo is very small. Follows Atlanta work culture."
"160","Disconnects across departments and projects."
"161","There is no loyalty is this place. They will dump you for doing nothing wrong if it fits their agenda. If you looking for a place long term this is not it. The salary is weak but they promise big bonuses. You'll be lucky if you're there long enough for a bonus. I have worked at other places and this one is a complete revolving door. Management makes tons of errors and will blame the lower rank. Be careful if you do... take an offer from this place and be sure to read all the fine print. There is also no upside potential meaning promotions. This is not to bash the place but to be honest."
"162","The higher management is a little old school. Lack of a ""start up"" spirit"
"163","Health benefit should be competitive to other companies."
"164","Management doesn't support employees
Little fairness in what each person does standards are different depending on who it is."
"165","BYOD, bad idea people need the ability to shut off."
"166","ICE just cut employees Equity Bonus. The deciding factor to work for ICE was the exceptional bonus plan (20% cash bonus plus 20% restricted stock bonus for a lower base pay) annually. They just stopped the stock bonus....now they are not exceptional but just like everyone else. I'm sure there will be people leaving in 2018. The ""never work from home"" policy was bearable when stock bonuses were being given out....now... not so much. And they cut the stock bonuses right when their corporate tax rate drops to 21%. I think it's greedy."
"167","Not for the faint of heart. Hard-charging. No passengers."
"168","Hard work, high turnover , very few job perks.it requires a lot of hard work and good will but worth it"
"169","*High Stress environment
*High employee turn over
*Poor training
* Some Unprofessional co-workers
* Poor  Work Life Balance"
"170","Lazy, slow, bad IT suport"
"171","Workload
no work from home
lack of travel
less flexibility
few holidays"
"172","No cons at all !"
"173","keep up the good work"
"174","Still work to be done on instilling hard charging culture in all areas of the business, but you can see the progress."
"175","If you are not part of the inner circle, you will  get worked to the bone and it will never be enough.   Little to no work life balance.    There is a culture of whether you are ""ICEified"" or not.    If you aren't drinking the koolaid, you will never be made part of the valued set."
"176","ICE used to be a good place to work but it has been going downhill recently and no cool factor anymore. The company has grown out of bounds and executive management has no access to the true facts of the projects, and employees. 
There is no loyalty to employees. They will dump you for doing nothing wrong if it fits their agenda no matter who you are. Management makes tons of errors and will blame the lower rank.... It’s all about control and power over others here.
Non meritorious boot licking unprofessional culture. Office politics and distrust among team members makes you feel sick everyday go to work. Everyone's afraid of losing job.
Close minded and no good communication between departments and coworkers. The boss or his/her close aide will decide which meeting to attend and he will respond on your behalf and will demo your hard work to execute management and eat the credit. Management make promise after promise after promise but after your hard work all you get is blank stares and shrugged shoulders.
Zero work life balance. You are considered as a machine rather than a human being. Work from home is ONLY acceptable during after hours and weekend.
The company have created a bad internal culture which makes career advancement nearly impossible, no matter how talented you are. If you looking for a place long term this is not it. Unless you are a robot stay away. This company caused me major stress to work for which spilled into my life. I would often be abused close to tears. This is the worst company i have ever worked for. 
One last thing HR works to protect the company. Seek HR or senior management advice only if you decided to quit job."
"177","Unfortunately there is a feeling of walking on eggshells everytime"
"178","- Use your floating holidays early. They will not compensate for those days once you're gone
- Your severance will be near half after taxes and will be taken out straight away.
- BYOD phone policy
- Tone deaf management
- Clicky fiefdoms
- People promoted on favoritism not merit. 3/4 of people they retained were inferior kiss ups.
- Poor work/life balance. People who knew more, had more work while others... conversed while the work was getting done."
"179","Not a good employer from any perspective:
#Close minded and backward thinking.  Your new ideas are not welcome here. you will be told to stay in your limits and never speak about what you think can improve the applications. Join ICE only if you want to work like a dumb person following orders.
# There is a toxic environment of distrust among team members. Everyone's afraid of losing job. Makes you feel sick... everyday you go to work.
#Different standards depending upon who you are. You have no rights  here if you are a junior employee. All rights are for Managers only. No work from home for junior employees only.  Mangers can work from home  as per their convenience.  Most managers take credit for the employees work. 
#They removed the stock options for employees which was the only attractive part of job here. I think the company is going down. They will soon remove cash bonus also.
# They expect you to do the work of 2 people everyday. 
#No loyalty to employees. They will fire you even after 11 years of service if it suits their agenda or you mess with the wrong person in your higher management.  I know 7 people let go who worked for ICE for more than 5 years. Mess means you didn't agree with your senior as he was clearly talking nonsense.
#Promotions are not merit based. They are strictly based on office politics. Favoritism is prevalent here.
#The HR will never listen to you or give you an opportunity to speak for yourself. They will blindly believe whatever your manger says about you. HR is their to help the managers keep the employees work like slaves of managers.

If by mistake you already joined or work here, try to leave after an year or so and move on to a good healthy environment company. ICE is not a place to build a long term career, It will convert you like its name: ICE COLD with no life! You will never prosper here."
"180","ICE used to be a very good place to work, but has been going downhill recently.  They no longer seem to value their employees and prefer to keep head count as small as possible.  As a result, innovation is stifled because everyone is doing two or three jobs to fill gaps left by people who leave the company.  Additionally, they do little to retain their top people, and will aggressively avoid compensating people who... take on larger roles.  

This year ICE cut all equity bonuses while slightly raising our cash bonuses and sold it as an ""exciting change"", as if we couldnt do the math (we're fantastic at financial modeling).  To make things worse, they did this retroactively in December.  Many employees wrote HR and told their managers that they were unhappy with the change, but nothing was done.   Lots of good people are heading for the exits."
"181","Limited vacation policy, and can be hard to take PTO depending on the team."
"182","No loyalty to employees; Zero work life balance. Treat people especially minority like they are tools and machines not people. You will know if you make a mistake to join ICE Clear Credit specifically speaking."
"183","at times, company can be to restrictive"
"184","Bad management, bad company culture, don't care about home and families of their employees"
"185","This place has an awesome retirement plan - die at your desk!"
"186","Can't work from home and low salary compare to competitors"
"187","Almost not possible to evolve into more professional and management positions, seems as if the mid level management is there to stay forever."
"188","Lack of direction, fire drill operations, migration issues effecting network speed and availability, LOW SALARY versus direct competitors"
"189","ice cold management
they do not care for their people"
"190","When I first started the company had a great morale and everyone seemed to really enjoy working together and now it seems they want to push everyone out who’s been there over 7 years. I’ve seen people who sacrificed everything (health, family, marriage) for this company be shown the door recently and it’s sad. The company has shown these people the door and then brought in people who don’t understand the business... and are inexperienced and manage by fear.  This will cost the company in the long run-but maybe management doesn’t care because they’ve already made their money on the backs of their employees."
"191","Too aggressive , cut throat, no raises."
"192","The expectations are high, and the work is never ending.  If you hold responsibility for any kind of deliverable, then you will likely feel the pressure to complete on time."
"193","Value your employees more. You are killing moral by constantly taking away from employees. The people at the top need to remember that he reason you are filthy rich is because of the little people below you"
"194","No run for growth. The company is forgetting what made them the company they are.  No work life balance. Discrimination from management in New York. Completely terrible company after purchasing NYSE."
