"","cons_page1"
"35","Provide direction and leadership for the high percentage of employees that maintain core businesses. Bottom up reviews to see how management is with leadership, group dynamics."
"36","I've been part of ICE multiple times from different companies  they have purchased and it just always gets worst. You lose your better benefits, PTO days, etc. They just expect you the fix the mess they made by buying all these companies. I'm not sure how the DOJ &  FTC let them get away with it as they are becoming a conglomerate."
"37","1. No overtime pay if you are required for night release. 
2. Lack of equal pay for equal work. Newer employees get paid more than experienced and loyal employees in the same position.  Even you can show your ability and your manager agree you are highly under pay in term of your position!  HR would refuse to give you the pay that your position deserve. Without promotion, you can only expect to get 3-5% pay raise a... year, making you hardly to reach the salary you deserve! The only thing you can do it WAIT patiently for 5-10 years! 
3. Better training programme required for new joiner"
"38","HR need to work closely with senior manager, knowing your employee ability, and provide  equal pay for equal work!"
"39","- Pay is low relative to the industry
- Not much new development. Mostly product enhancement and maintenance
- No career advancement
- No working remotely"
"40","In general, management is doing a good job.  Need to bring salary up to industry standard.  We are having hard time hiring candidate because of low offers."
"41","Lack of transparency in the company."
"42","Workload has the potential to be a lot, but is very manageable for the most part."
"43","There is tremendous turmoil here.  The company has produced year over year record earnings and then, at Christmas, the executives issued an accross the board pay cut.  That is not a joke.  After cutting the pay the staff has remained unsettled with many top employees already having left, others have prepared resumes.  This coupled with increased technical debt has not prepared them well for the future. 

The... architectures here are very dated but the company is not in a growth phase.  So they continue to patch new business features on top of a cracked foundation rather than investing in new solutions.   

For me, I'd prefer to select a company that selects modern approaches to keep my skills up to date.  With many good opportunities in Atlanta right now, I would suggest a company that would value you."
"44","For middle management find ways to value your employees.

For the executives... I'd reflect on your decisions and actions"
"45","The company's hire management is not bothered about your work-life balance and don't care how much workload you are handling. Company policy is to overload you with tons of work and expect you to work late to get work done,
Working late is not an exception but a norm here. Folks tend to stay late to make an impression to there managers and are suitable rewarded. If you have kids and elderly's to take care of at home..., God save you from the wrath of your manager.

Company decided to remove equity part from packages retroactively. It's like you work for one month and at the end of the month you are told - ""Oh btw, we are only going to pay for 20 days instead of 30 days"". What's amazing is NO ONE raised there voice to oppose the decision. ICE surely knows how to suppress any aggression or opposition.

You are literally on the mercy of manager and most resort to buttering and worshipping. To their credit these tact's work very well."
"46","Not a place to be if you aren't willing to work hard!"
"47","Keep the purity of mission at the forefront.  It's working."
"48","It makes you feel like you are part of a soulless machine beholden to Capitalism.  I observed the attitude towards customers to be a transactional game of how little can we cooperate with the customer.  While this company operates in a highly regulated industry, it also has a monopoly in many parts of it and charges accordingly for some of its less regulated offerings.  

There is also a lot of internal warfare... between a number of departments.  E.g. sales will sell the operational teams short to keep their commissions and the operational teams will withhold information to combat this.  Also the various product teams appear to work in silos and will do all they can to avoid helping other ones more than they have to."
"49","You are one company, act like it.  Treat your customers as more than a potential liability.  In my particular experience don't treat your employees like you own them.  Don't wallpaper over serious behavioral issues of those in power by accepting that's ""just how it is"" and avoid name calling."
"50","none  that i can think of so far"
"51","HR is hostile not friendly at all. Don't expect they will have you with anything. Management from ICE data services side in Asia is not transparent and sometimes unfair"
"52","Depends on manager you’re in.
Training"
"53","Flat organization, benefits are not great, vacation is limited, work on holidays, pay is not very competitive."
"54","Not too much opportunity for advancement"
"55","Too many to list but not being able to work remotely is the top."
"56","-Company Stock No Longer Given
-Many Tools Needed to Learn and Master Quickly
-Fast Pace is Not For Everyone"
"57","Bureaucracy, huge size, rigid to personal innovations"
"58","the salary is changed only once a year at the annual review so if you got a promotion on February you will work for the same salary a year. 
when they do change your salary after a promotion, it's much lower than what they would pay to a new employee at the same job."
"59","The culture is terrible.  If you succeed you won't receive any thanks.  You were hired because they thought you were smart and success is expected of you.  If you fail, you'll be fired without hesitation because they don't care.  Don't expect fanfare, assistance, training, or much of anything.  You're just another cog in the wheel.  You'll be replaced when you break, fail, or whenever they feel like it.

The HR... department is just awful.  They exist solely to protect the interests of the company and not represent the interests the employees in any way.  There is no concept of employee assistance, development, succession, etc.   The lack of understanding even basic people management is apparent in the review process which is 100% geared against the employee, or the joke of a ""survey"" they send when people leave the company.   There is no follow up, no in person interview, because the outcome isn't viewed as relevant.  HR is just happy you're gone.  

In general the technology is falling behind, or at least it was while I was there.  Very slow to embrace new technology, no use of consultants or outside expertise, because they believe ICE is the greatest thing since sliced bread, (it isn't.)  Death by spreadsheet, decades old technology in some instances.  Things aren't upgraded because the teams are so spread thin they can't do anything other than just maintain or integrate from the most recent acquisition which averages about every 6 months.  

You'll be working nights and weekends routinely.  If you want a life, don't work here.  Again, you're a cog in a wheel, no one cares if you burn out.  You'll be replaced.   ICE paid better than most, we all made the deal with the devil and lived with the consequences.  I don't recall speaking with anyone that actually enjoyed working there."
"60","Management doesn't care.  Why?  Because they make money hand over fist.  It's a fairly recession proof industry.  Trading never stops, so money is always there for the taking."
"61","too much secured environment which slows down fast to the market."
"62","Overworked staff, out of touch bullying managers who micro manage and have been working at the company  far too long"
"63","Start treating your employees humanely"
"64","Some projects base on old technologies and it takes a lot of time to move them to the newer.
No much creer opportunities"
"65","Requires excessive hours of work"
"66","Hours and shifts working nights holidays and weekends"
"67","Stay too long on the same project without shifting."
"68","Poor management and lidership and  not progress"
"69","Often arrogant attitude towards customers, no career opportunities for people not belonging to a small inner circle"
"70","None, since they are not interested in hearing it"
"71","With growth, sometimes too many cooks in the kitchen."
"72","Lack of equal pay for equal work. Newer employees get paid more than experienced and loyal employees. Therefore older employees miss out on pensions contributions due to lower salary payment. When applying for new jobs internally, HR will not provide minimum/maximum salary range for  job positions. Therefore you are applying for a job without knowing what is the possible salary and therefore  have no confidence you... will get fair pay for equal work.  Never enough staff to do the work required."
"73","Equal Pay for Equal work. Treat employees. Offer proper  Management training to managers and new staff training."
"74","the pay was reduced and stock grants removed for everyone other than this high ups.  they claim it to be so they can offer a higher base but that didn't happen, they just kept the profit"
"75","get rid of the good ole boy mentality that you advanced into management and actually higher people with management experience."
"76","Work load is unrealistic, constantly shifting priorities"
"77","Raise pay to be competitive with the area"
"78","- An employee cannot grow unless he becomes a manager. 
- The company is growing by buying other companies instead of recruiting new employees. That means - no career growth.
- Outdated release management methods using crappy tools developed in house instead of industry tools. CI/CD ?  Not in ICE.
- No innovation. Instead of innovating from within, the company is looking for buying it outside.
- The company's... DNA is of a slow dinosaur. Very slow with adopting new technologies."
"79","- Enable career growth to non-managers.
- Encourage innovation. It is much cheaper than buying it outside.
- Get rid of the old systems and replace them with better architected products."
"80","Those stupid screensavers that kick in after 2 minutes and keep you from holding a conversation.
Security-hobbled processes.
Terrible workflow software.
Minimal employee facilities, miniscule break room.
Required financial regulatory training even if you work nowhere near that stuff.
Since ICE acquisition, they've cut PTO for new employees, below what's common in Boston tech industry."
"81","No loyalty, no flexibility (i.e. work from home on occasion)"
"82","Get with the times and allow employees with families to work from home once in a while."
"83","Promotion based on who you know or kiss up to, micro managers, others taking credit for your work, people in leadership positions with poor decision making abilities."
"84","Make sure senior managers actually have the skills for their role, and aren't promoted merely on tenure with the company. Have better defined career paths for people and clear objectives on what it takes to be promoted. Dont ignore the back office functions in the quest to grow the company."
"85","They took a close-knit, respectful, helpful group of people and treated us like we were unwelcome and they just had to deal with these new employees.  They ordered us to adhere to their policies ASAP without any concern as to how rude they came off.  They barely answered emails and when they did, they were short and unhelpful, so trying to get anything done from anyone within ICE proper was nearly impossible. ... Luckily, they ended up  selling our specific group to another company and we couldn't have been more excited to leave.  Our new company has made us feel valuable and welcome since DAY ONE and they've never stopped. I just feel sorry for the other  teams that we had to leave behind at ICE who were begging us to take them with us."
"86","Teach upper management how to treat your employees with respect.  If you had any sense, you'd see how miserable everyone is.  And, the golden rule to a successful company is a happy work environment for their employees.  Learn it and live it."
"87","Long working hours (Strictly 9 hours). No work from home policy. After office support. Weekend work.  Stressful, toxic and politicized work environment. Self serving incompetent mangers treat team members like trash. No knowledge sharing among team members. No documentation.  Learn the system hard way. Compared to number hours you work (9 hours + After office support+ Weekend work) the bonus (~15-20%) is a peanut.... No career progression at all. High turnover rate."
"88","Reduce working hours to 8. Get feedback from team members about managers.  Treat employees with respect."
"89","The corporate culture does not look a big financial company that it should be."
"90","Managers and all leaders in Tel Aviv has human relations are very poor. Not recommended work in the ICE."
"91","Need to change all managers from  and Vip R&D"
"92","- Your life becomes your Job
- Pay does not match market
- NYSE plays by its own rules and has limited oversight sometimes."
"93","Reduce, turnover and punish markets that have excess turnover. Allow people to build and plan out careers that are not linked to remote management."
"94","low base pay when compared to other companies"
"95","has night shift; salary is blow average"
"96","Financial subject matter may be a turn off for some. I personally love it."
"97","Some co-workers aren't nice and they like to gossip a lot. A few formed a group won’t share the project information and bully the others by excluding from  communications  and makes fun during the project scrum.
Some days it will be extremely hectic and insane and they'll yell at you for seemingly no reason.
The name of the game is favoritism. If you are a favorite you get the good projects, the promotions, and... they ""value"" your opinion. If you are not a favorite, you only get redundant work; In fact in some cases,  if you are more proficient then they target and isolate you! and they hide the fact and bad mouth you behind your back and make belittling comments in the team meeting. 
The list is endless. The worst company, by far, that i'v ever had to work for. They don't value as an employee.  and approaching HR is like committing suicide.....they know their bullies!
If you are of substance you will not be around to handle being around such low quality quality people.
Zero work/life balance. Working here is like selling your soul to the devil!"
"98","Manage without being a bully. You aren't a better person because you a director, and a poor one at that. Get some floor experience and treat your staff with respect. Stop participating in groupism and bullying; and encouraging and allowing it. stop being such a corrupt bad place to work"
"99","The expectations are high, and the work is never ending.  If you hold responsibility for any kind of deliverable, then you will likely feel the pressure to complete on time."
"100","not met any cons so far"
"101","There are plenty.  After ICE purchased Interactive Data Corp they took away four holidays that we had off to align us with NYSE. They then make you use your personal time to take off on those holidays because the Bond Market is closed. Regarding the 15% stock....they gave everybody stock options for 3 years to start and said that stock options would be apart of your compensation going forward. They took them away... and instituted the stock purchase plan which you need to purchase with your own money.  They send out phishing emails attempting to catch people clicking on fake links."
"102","Value your employees more. You are killing moral by constantly taking away from employees. The people at the top need to remember that he reason you are filthy rich is because of the little people below you"
"103","No run for growth. The company is forgetting what made them the company they are.  No work life balance. Discrimination from management in New York. Completely terrible company after purchasing NYSE."
"104","Don't take your loyal employees for granted and listen to employees about discrimination"
"105","*Pay is pretty much the same as other places so nothing special. You can also find other places with the same % of cash bonus though after the equity bonus cut, it won't be long before they cut cash bonuses as well.
*The name of the game is favoritism, especially in the tax and accounting department. If you are a favorite of management (i.e you get them more face time with their boss or executives) you get the good... projects, the promotions, and they ""value"" your opinion. (Though they will turn on you in a heart beat)
*If you are not a favorite, promotions are none existence, you only get busy work, and you are looked upon as lazy. Promotions are NOT based on merit or skill set at all. In fact in some cases, if you are more proficient then a manager, they hide the fact and bad mouth you to their managers.
*If you are an ""invisible"" employee (i.e not a favorite or not an unfavorite), and you try to stand up for yourself, management will then take credit for your work and pile more on you so you are over worked. (If you are a favorite, you won't be overworked so no worries).
*Management isn't interest in making things more efficient because they like to make multiple people work on the same thing and then praise their favorite employee. They encourage a culture of back stabbing and gossiping.  
*Management has no problems making a work environment and allowing other staff to make make a work environment unprofessional and uncomfortable to the people they don't like to get you to leave.
*It's like working at Koch, Home Depot, or Georgia Pacific. There are some managers from those places and they brought the culture.
*Working from home is not an option at all. When the office ""closed"" due to snow, management expected you to remain even though there was a company wide email encouraging people to leave if ""they felt uncomfortable""...aka an email to protect the company.
*HR IS USELESS! HR is only there to protect the company and management. If you try to bring your concerns to HR, they will inform your manager and then do nothing about it. If you have an issue, just leave because going to HR will make it worse.
*Top managers like to play the ""gotcha"" game and will openly humiliate you in front of your co-workers (again if they don't like you).
*It's impossible to become one of the favorites unless you gossip, snitch on your co-workers, badmouth other departments and teams, and all around act like you are in junior high.
*Speaking of junior high, the culture is so unprofessional. The tax and accounting departments really are like being in middle school complete with bullies, teacher pets, and the outcasts."
"106","Management isn't looking to change because those on top won't rock the boat to lose their privileged positions."
"107","Where to start? Beware of the offer. Basically,""some"" positions are bait and switch, with the intention of being solely hired as a punching bag.  This place has zero documentation with even fewer knowlegeable resources. Yes, the salary is high but it comes with a heavy price tag. If you're looking for daily humiliation and a healthy dose of passive aggressiveness, this is the place for you!"
"108","You need to invest more in employee engagement, and review company culture."
"109","Not too much opportunity for growth."
"110","Give opportunities for employees to transition into different departments."
"111","No extra learning there
Extra working hours
No work life balance"
"112","Slow processes, bureaucracy, no interest in people personal status and needs, no knowledge sharing"
"113","Know your team players better"
"114","Managers showing up at your desk asking ""is this going to close"" without asking any help. Having to be responsible to sell a plethora of services without the firm even getting you set up for logins to said services. No work from home although if you are tight with the bosses you don't have to show up Fridays in the summer with little to no questions asked. Massive layoffs without reason. If it's truly a sales job,... the numbers for everyone are posted every month I'd suggest letting the bottom 5% go every quarter instead of literally taking performers willy nilly because they may not fit in with your office politics and buddy scheme. The products are lacking as well. Look at ICE's most recent earnings specifically data services growth and it was flat YoY not allowing for inflation so technically down in a business they are supposedly investing heavily in."
"115","Get and keep reliable talent and if you're going to commit lay offs, do it within reason of those are on the bottom of the sales role who are massively behind quota, not those that are outperforming."
"116","at times, company can be to restrictive"
"117","invest in some career growth training"
"118","Bad management, bad company culture, don't care about home and families of their employees"
"119","This place has an awesome retirement plan - die at your desk!"
"120","Go ahead, say what you want to say - I'm a disgruntled ex-employee, who wasn't a team player and didn't embrace the organizations core mission and values - you couldn't possibly be any further from the truth. Bottom line is pretty simple, if you have any sense of self respect and place high value on your ability to contribute your time, talent and efforts to creating shareholder value, you'd be much better served... spending the rest of your days keeping the Social Security Administration on life support."
"121","Keep push you to produce good work"
"122","Can't work from home and low salary compare to competitors"
"123","Almost not possible to evolve into more professional and management positions, seems as if the mid level management is there to stay forever."
"124","Invest more on employees development, let them fell more important and influential."
"125","Lack of direction, fire drill operations, migration issues effecting network speed and availability, LOW SALARY versus direct competitors"
"126","ice cold management
they do not care for their people"
"127","too much in-breeding at the top level.
they all drink the same Kool-Aid and it is bad."
"128","When I first started the company had a great morale and everyone seemed to really enjoy working together and now it seems they want to push everyone out who’s been there over 7 years. I’ve seen people who sacrificed everything (health, family, marriage) for this company be shown the door recently and it’s sad. The company has shown these people the door and then brought in people who don’t understand the business... and are inexperienced and manage by fear.  This will cost the company in the long run-but maybe management doesn’t care because they’ve already made their money on the backs of their employees."
"129","The recent layoffs are going to cost you in the long run. And the good employees who remain will start leaving and all the knowledge and experience will leave with them. It’s sad that such a great company at one time has turned into a toxic environment. Stop hiring from outside the company and start looking to promote within-sensitivity and actual management training in your upper management would go a long way too.... Start putting the money back in the company to grow it-a little will go a long way."
"130","Too aggressive , cut throat, no raises."
"131","Appreciate your employees instead of always throwing them off balance."
"132","keep up the good work"
"133","Great CEO and keep up the good work."
"134","Still work to be done on instilling hard charging culture in all areas of the business, but you can see the progress."
"135","Keep pushing the envelope on ideas and business strategy.  Keep hard charging culture."
"136","If you are not part of the inner circle, you will  get worked to the bone and it will never be enough.   Little to no work life balance.    There is a culture of whether you are ""ICEified"" or not.    If you aren't drinking the koolaid, you will never be made part of the valued set."
"137","We get it...you took a small group of people and built a behemoth of a company that has done outstandingly well since inception.    But you aren't 10 people in a single room anymore.   There has to be a way you can move forward and not make those outside of the original team feel like outsiders to the benefit of all."
"138","ICE used to be a good place to work but it has been going downhill recently and no cool factor anymore. The company has grown out of bounds and executive management has no access to the true facts of the projects, and employees. 
There is no loyalty to employees. They will dump you for doing nothing wrong if it fits their agenda no matter who you are. Management makes tons of errors and will blame the lower rank.... It’s all about control and power over others here.
Non meritorious boot licking unprofessional culture. Office politics and distrust among team members makes you feel sick everyday go to work. Everyone's afraid of losing job.
Close minded and no good communication between departments and coworkers. The boss or his/her close aide will decide which meeting to attend and he will respond on your behalf and will demo your hard work to execute management and eat the credit. Management make promise after promise after promise but after your hard work all you get is blank stares and shrugged shoulders.
Zero work life balance. You are considered as a machine rather than a human being. Work from home is ONLY acceptable during after hours and weekend.
The company have created a bad internal culture which makes career advancement nearly impossible, no matter how talented you are. If you looking for a place long term this is not it. Unless you are a robot stay away. This company caused me major stress to work for which spilled into my life. I would often be abused close to tears. This is the worst company i have ever worked for. 
One last thing HR works to protect the company. Seek HR or senior management advice only if you decided to quit job."
"139","Structure your company better and work on building culture. Restructuring is not laying off those loyal employees and hiring some new scapegoats.
Take ownership for your own mistakes. Have some respect to your employees who helped you to build your fortune.
No matter how promising a company looks to the media, if the value proposition and forecast is unclear, the company does not have a winning strategy."
"140","Unfortunately there is a feeling of walking on eggshells everytime"
"141","Care more about your employees"
"142","- Use your floating holidays early. They will not compensate for those days once you're gone
- Your severance will be near half after taxes and will be taken out straight away.
- BYOD phone policy
- Tone deaf management
- Clicky fiefdoms
- People promoted on favoritism not merit. 3/4 of people they retained were inferior kiss ups.
- Poor work/life balance. People who knew more, had more work while others... conversed while the work was getting done."
"143","Your review process needs work.  You let good people go while retaining others that had no business being there.

HR needs to be more compassionate and not be cold & arrogant."
"144","Not a good employer from any perspective:
#Close minded and backward thinking.  Your new ideas are not welcome here. you will be told to stay in your limits and never speak about what you think can improve the applications. Join ICE only if you want to work like a dumb person following orders.
# There is a toxic environment of distrust among team members. Everyone's afraid of losing job. Makes you feel sick... everyday you go to work.
#Different standards depending upon who you are. You have no rights  here if you are a junior employee. All rights are for Managers only. No work from home for junior employees only.  Mangers can work from home  as per their convenience.  Most managers take credit for the employees work. 
#They removed the stock options for employees which was the only attractive part of job here. I think the company is going down. They will soon remove cash bonus also.
# They expect you to do the work of 2 people everyday. 
#No loyalty to employees. They will fire you even after 11 years of service if it suits their agenda or you mess with the wrong person in your higher management.  I know 7 people let go who worked for ICE for more than 5 years. Mess means you didn't agree with your senior as he was clearly talking nonsense.
#Promotions are not merit based. They are strictly based on office politics. Favoritism is prevalent here.
#The HR will never listen to you or give you an opportunity to speak for yourself. They will blindly believe whatever your manger says about you. HR is their to help the managers keep the employees work like slaves of managers.

If by mistake you already joined or work here, try to leave after an year or so and move on to a good healthy environment company. ICE is not a place to build a long term career, It will convert you like its name: ICE COLD with no life! You will never prosper here."
"145","Listen to  those employee too who are not managers. They are the one who truly work to support your company. Otherwise soon they will leave for better companies where they are treated equally."
"146","ICE used to be a very good place to work, but has been going downhill recently.  They no longer seem to value their employees and prefer to keep head count as small as possible.  As a result, innovation is stifled because everyone is doing two or three jobs to fill gaps left by people who leave the company.  Additionally, they do little to retain their top people, and will aggressively avoid compensating people who... take on larger roles.  

This year ICE cut all equity bonuses while slightly raising our cash bonuses and sold it as an ""exciting change"", as if we couldnt do the math (we're fantastic at financial modeling).  To make things worse, they did this retroactively in December.  Many employees wrote HR and told their managers that they were unhappy with the change, but nothing was done.   Lots of good people are heading for the exits."
"147","Dont be so cheap.  Value your employees.  And dont rewrite our comp letters in December."
"148","Limited vacation policy, and can be hard to take PTO depending on the team."
"149","No cons at all !"
"150","You are expected to do the equivalent work of at least two people"
"151","lack of strategy in work"
"152","continue working with employees"
"153","Bad atmosphere, huge pressure on sales, no communication"
"154","Not a lot of room for growth"
"155","No communication. Doesn't pay."
"156","The team in San Mateo is very small. Follows Atlanta work culture."
"157","Disconnects across departments and projects."
"158","Better manage and coordinate projects and roadmaps across departments and divisions."
"159","There is no loyalty is this place. They will dump you for doing nothing wrong if it fits their agenda. If you looking for a place long term this is not it. The salary is weak but they promise big bonuses. You'll be lucky if you're there long enough for a bonus. I have worked at other places and this one is a complete revolving door. Management makes tons of errors and will blame the lower rank. Be careful if you do... take an offer from this place and be sure to read all the fine print. There is also no upside potential meaning promotions. This is not to bash the place but to be honest."
"160","Take ownership for your own mistakes. You would have better relations with employees if they weren't in fear for their jobs everyday."
"161","The higher management is a little old school. Lack of a ""start up"" spirit"
"162","*Layoffs due to ICE take-over
*Benefits aren't so great. Got expensive after ICE took over Interactive Data
*Pay for what you do is not equal
*You may have to work on major holidays depending on your position in the company."
"163","Upper and Executive Management, invest more into employees and their benefits. The company has to find an automated or alternative way to make sure employees don't work on holidays."
"164","The company doesn't seem to care about employees. Cutting costs seems to be the number one priority. Communication is poor. After acquisition: decrease of PTOs, increase of hours without raise"
"165","Take care of your underpaid employees! Engage with employees more. communicate!"
"166","Decrease in benefits, decrease in PTO's, poor Insurance options, seeing a lot of layoff's after acqusition"
"167","Please care for employees"
"168","Things can change quickly, which can be a positive"
"169","Teams tend to be in highly focused silos, which creates subject matter experts (in theory), but my experience with my own manager is that I am actively discouraged from helping other teams.  My manager justifies this by not wanting to overextend his staff, which already had plenty of work to do, but it still always feels disheartening.

Partly because of this, it’s also very hard for newcomers to find the right... people to talk to about a given issue with our technology platforms.  My first year was spent trying to figure this out on my own, but 80% of the time I still had to bother my boss.

The company strongly discourages work-from-home to the point of obnoxiousness.  The irony is that MANY people I worked with, right up through upper management, quietly worked from home anyway.

I’ve found that lateral moves within the company are very difficult, except during times of upheaval (reorganization) that seem to take place every 12-18 months.  And moving in those circumstances is rarely under my control."
"170","If you’re going to stick with a vision of the modern work environment that includes sterile, mind-numbing open floor plans, you had better learn to embrace work-from-home in a more honest way.  You’re scaring off some good workers with your obstinacy.

Get teams talking to each other more openly, and even help each other out.  We’re supposed to be one company."
"171","The department I was part of was acquired by ICE about one year before I left and had several changes in ownership prior to that.  The theme in the company was do more with less people."
"172","can not think up anything not good"
"173","Career opportunities are limited if you want to stay in Israel."
"174","Trading system can be a sausage factory.  Difficult to suggest improvements, even with solutions to back it.  Upper management is good at throwing money at it, closing the door and turning up the pressure.   Has become very political, protective and a sweatshop for too many of the developers."
"175","ICE is a great place for a lot of the employees, it's just not consistent throughout other departments.  Send your tech managers  to regular training, and help them with people and business skills.  You want to promote leaders.  Ask your developers and staff if they work for a leader or a manager."
"176","Low salary compared to industry.
Horrid schedule if you are working in technology teams.
Long time to move up, need to be part of the managers club to move up quickly, your hard work will not get you there.
The work can be very stressful at times.
Not enough PTO offers to new employees, leads to stress."
"177","Take care of hard working employees.
Work to get a better scheduling in place."
"178","Working hour is tough for some analyst and IT position"
"179","Should have allowance for people that work on night shift"
"180","There is nothing substantial to mention"
"181","PTO less than Avg Market days.
No Work from home.
No Time Flexibility.
Limited scope for growth"
"182","Nothing negative. I just like the firm"
"183","No advice. The management is great."
"184","They micro manage and treat their employees like their clients, a transaction."
"185","No work from home policy."
"186","flat structure, promotions are rare"
"187","Limited ability to change things in the company"
"188","To listen more for new ideas"
"189","Shift pattern is rubbish, Management have been there so long they are out of touch with providing a comfortably environment for the staff, they often go to the pub at lunch and leave the data center manned to minimal resources. 

There is no way to progress within the data center as the dead wood have been there for 15 years plus and the environment for new employees is intimidating"
"190","Get some new blood that knows how to run a Data center Team !!"
"191","Management detached from the day to day, and only care about acquiring companies and appeasing shareholders. Culture is ok, but they let people go every quarter to prop up the balance sheet. Could be a good company to work for if they weren't so short sighted."
"192","This is for Senior Management. You're not royalty, so get off your high horse and show you actually care about the people who you work with as much as your care about your shareholders."
"193","Structure is very vertical, promotions are political"
"194","Invest more in younger talent"
"195","very slow Background check process"
"196","Being a huge multi-layered corporation, there can be some bureaucracy."
"197","None that come to my mind"
"198","Not sure on where to start from :-(. This company or may be department(Salesforce.com CRM) has many issues which are difficult to explain.

- Incompetent Management
- No work-life balance.
- Micromanagement.
- No flexibility or work from home policy. But on the weekend's you might be asked to ""work from home"" without any prior notice because of poor planning and execution. 
- No credibility for hard work - If... you are good @ work you might be asked to work almost every weekend.
- No roadmap and Strategy. 
- No vision for platform scalability.
- Very fewer changes to enhance your skills and make credibility with business because the manager will provide a demo of your hard work and eat the credit."
"199","- Adopt new tools and technology.
- Be open to new idea's and give people change to fail. 
- No option for 360' feedback. Please enable all employee to provide feedback about management.
- Stop the micro management and learn some people management skill. You need to treat people with respect else they won't respect the company and lose motivation to work.
- I think you need to change the few KPI's for lower... level management. Managers should be measured based on the value being added to the teams and the business. 
- The leader should have a vision and ask the manger's to come up with a roadmap for the product which will generate better ROI."
"200","political political no advanced technology"
"201","Only two weeks of PTO"
"202","Aggressive with acqusitions and will cut ties with former employees"
