"","cons_page1"
"39","1) You could be in the same position for many years. 
2) Moving around to other departments could be a suicide mission.  If you were not doing so well in a group/team.  Then you easily face being let go.  Luckily they offer the chance to move around.  But if you are in the middle of a big Reorg,  chances for finding a new team could run out fast."
"40","Demoralizing amount of red-tape.

There is little financial incentive to over-perform. Target bonuses are small for the industry and little separates the highest and lowest performers, compensation-wise. 

Company-wide architectural decisions are made by the least qualified/most politically-connected, leading to brittle and unresilient systems.

The tech division is rapidly turning over FTEs. The most... motivated/talented engineers have been flocking to HFT and BigTech for a few years, and are subsequently backfilled with contractors and fresh college hires. This seems to be the conscious strategy going forward; let attrition take its course and hire armies of cheap foreign contractors to be trained by the one or two remaining holdouts."
"41","Instead of wasting resources on things like making the “Computer World Top 100 IT” list (literally no one on earth thinks CME is a better place to work than FAANG, Jane St, Jump, etc —none of whom cared to apply to a long-irrelevant publication), try emulating the culture and practices of the companies where your tech employees are heading. 

CME has one of the highest profit margins in the entire S&P500. Use... some of that to hire fresh tech leadership and talented architects from outside the company. Also use some of that to make the lives of your employees a little happier. The atmosphere on most floors feels oppressively corporate.  The places your departing employees are headed have free meals, beer on tap, games, gourmet coffee, etc. It's a seller's market."
"42","work life balance
huge offshoring movement"
"43","overall great job, but could be more upfront regarding offshoring intentions"
"44","Misselling of Job, hiring managers interview for some role and give you something else on joining.
Lot and lots of politics
No proper work ethics
People get promoted on the basis of relationship with Managers and senior management and not their work."
"45","Stop misselling jobs to people
Do not play with people's careers
Stop the politics"
"46","-Highly toxic work environment
-High turnover in NY Surveillance Dept (4-5 departures in 2018 alone)
-Work is bland and uninteresting
-Training, unless being conducted remotely from Chicago Surveillance, is very disorganized
-Favoritism on an epic proportion 
-Outright bullying for all to see
-Arbitrary terminations
-Lack of diversity, no underrepresented minorities, and doing nothing to fix it"
"47","Stop trying to be cool and be role models. Your attitudes leave people feeling left out and wanting to seek work elsewhere, or at the very least, in another department. Look to the Chicago Surveillance Dept. for guidance. They seem to have things more together there."
"48","1. Horrible treatment for the female in spite of taking more complex work and completing also they will have many reasons to degrade your rating. You will surprise the whole company is working with the agreement of one stupid manager.
2. Managers are here lacking much knowledge if they do not know anything they will put all game on you and you will be treated as a terrorist. 
3. I am surprised how are they getting... all rating because they are writing themselves. Well, they have opened new office in India but all major works happen in US.

4. If you want to grow at CME and want to be in good books of manager do all networking every time and lie as much as you can in your work. They do not have any tracking process. That is the reason only those people are surviving here."
"49","Be open and address everyone.  you can not get your work done from one person so for you all should be equal."
"50","Prone to ""Not invented here"" syndrome

Downright awful/incompetent management in technology (particularly in the software dev org, the goods ones all left for greener pastures.)

Silly cut throat politics 

HR"
"51","You are just a number, management does not care about it's employees and as soon as you make too much they will find any excuse to get rid of you, they have done this hundreds of times."
"52","There are a couple of bad apples in HR and Legal which control everything which goes on."
"53","Aggressive, discriminatory, bad leadership, if you bark the loudest and rule by fear, you are a shoe-in."
"54","Look at the skills of your mid-level leaders. Just because someone has tech skills, doesn’t mean they are a good leader. It also works in the opposite way: people with no tech skills or willingness to roll up their sleeves do not belong in management. You need to find managers with both skills, not one or the or the other. Also you should focus on hiring permanant employees that speak English clearly."
"55","Work-Life balance, security vs. functionality"
"56","-No incentive for hard work
-Promotions are biased 
-Leadership does not lead by example
-You are a number
-It is difficult to make change happen (many leaders are set in their old  ways)
-They speak of diveristy and inclusion but there is no initiative within a team within a specific department"
"57","Listen to your employees. Hear what they have to say. They are not a number. Be open to new ideas and change that will improve processes. Appreciate their hard work and what they are giving to the firm when in a position where they are putting in extra hours to support and get things done due to a lack of resources or turnover."
"58","Overall a very good company. No cons to report."
"59","Should be more willing to embrace company wide  remote working capabilities. Currently seems to be dependent on team/manager but not a very clear on a set policy."
"60","Keep up the good work!"
"61","Too many priorities must fight to get resources and support."
"62","Find a way to focus and put trust further in the hands of the leaders.  Decentralize IT."
"63","High responsibility and busy schedule"
"64","Heavy regulatory burden by the Federal government - this does not impact new technology rollouts as much as maintenance of existing systems."
"65","Silo minimization has been successful but needs more work."
"66","straight 9-5, nothing too intense"
"67","- Bad Management
- Employees Are Told They Are  Expendable
- No Longevity In The Company
- Other People Take Credit For Your Work
- Constantly Feeling Like You Will Lose Your Job
- Employees Let Go Every 5 Years No Matter Performance"
"68","Don't act like you care about your employees, when they are literally told they are expendable in meetings, and then wonder why people don't see any future in the company. Employees are constantly let go, even if they do a great job, just to appease the bottom line. Not a great company to feel comfortable in."
"69","Burocracy everything takes forever people don’t seem passionate"
"70","Absolute madness to work in, no constant plans, everything is on fly, changes everywhere, no stability"
"71","Very political and bureaucratic with poor senior management."
"72","None. The experience you gain will be very valuable if you're looking for a career in the industry."
"73","Too process oriented and feel restricted in the work"
"74","difficult to get hired post-internship"
"75","CME really stands for the Chicago Meeting Exchange
No idea how some people are in the senior positions they are in. Seems if there is no-one else for the job you get promoted.
Told to shut up for being outspoken. No desire to improve things or hear about what's not working.
Very top heavy in management.
Some management was spineless at the time I was there and afraid of London management. 
HR process is a ruse.... London and belfast management control HR, and can gang up against you that its farcical, your voice is unheard and you will be treated unfairly.  Sadly decisions are made before they can be actively resolved."
"76","Promote people for the skills and capabilities. A lead/principal dev of one team should be as good as one on another team.
Listen to outspoken staff, don't tell them to shut up.
Make the HR process fair and impartial and give them the power to resolve issues fairly.
Make sure managers are treating everyone fairly."
"77","No Cons as of now."
"78","Teams are threatened with performance improvement plans 
Under-resourced in operations 
Chicago centric, decision making is all based in the US
Managers creating empires 
HR department protects management - issues are rarely resolved
Too many priorities / priorities change at a high rate
Staff in certain teams are overworked 
Weekend releases and dev teams are expected to support applications 24/7 while on... rota 
Huge number of highly experienced staff have left the Belfast  office this year  
Roles and responsibilities can be unclear and managers micromanage"
"79","Senior management really need to assess the leadership within the Belfast office. Staff are hooked into extremely well paid jobs and bonuses but hugely dissatisfied with how management treat them. 
They’ve lost extremely talented employees over the last year due to the cons listed above. 
There is a great lack of trust in management
HR needs to improve on management training and resolving issues. It appears that... management have the upper hand when it comes to HR issues and they’ve lost the power to actively resolve these. 
Limited  career progression for certain roles"
"80","You will have to start as a consultant"
"81","clearing house is relatively isolated"
"82","bureaucracy, things take time to change"
"83","Company is flocked with non technical Managers who do nothing except politics 
 to keep their jobs and favoring people who speak their language. Company should get rid of such people seriously.  If you do not know how to engage in very close friendship with your Manager, you get stalled."
"84","Hire more Americans who can make America great again !"
"85","Less career opportunities and upward mobility"
"86","Outsourcing job to offshore office, Hiring H1B employee by laying off US employees, Abusive manager, Long retirement vesting period, company lays off employees few weeks before meeting vesting period, Outdated technology,"
"87","Respect hard work of employees, retain hardworking people not the people involved in cheap politics to save their job."
"88","Needs work on the culture a bit more. People are too engulfed in work that it's lacks being a comfortable environment."
"89","I want to know more about the company as a whole. Technology and business is separated greatly. There needs to be more focus on having the employees feel a part of that."
"90","Non that I can recall."
"91","Continue strategic acquisitions."
"92","Reasonable benefits package and salary with work life balance but limited progression."
"93","Focus on business; not internal politics."
"94","Super Smart employees fleeing like the plague thanks to the better economy. Upper management more interested in CYA than company growth. Culture of fear has taken over middle management. Poor training/onboarding for new employees. Long hours unrelated to real business needs expected. Everything is a fire drill - you will never be allowed to take time to proactively improve anything."
"95","Fix the culture. Used to be a great place to work with mostly honest executives and smart mid management, now the smart managers left and there is ALOT of lying and managers being so busy managing politics they don't have time to manage the business."
"96","no cons
time is limited
I hope to have more time with CME Group"
"97","I haven't find any cons here"
"98","Be Prepared to be treated like a number, a headcount per say. You are 100% replaceable, however, you can never touch management - those that are Directors or above. I’d like to see “management” do half the work non management takes on. Be prepared to be told “no” when you come up with new ideas or propose suggestions. You will get the response “leadership does not agree or support that.” This is because leadership... is stuck in 1990, but with updated technology. HR is a joke and needs to be evaluated by an outside consulting firm or get a new leader to clean house."
"99","Yes, you invest in great technology, but that is not going to prevent your workforce from leaving. They will go somewhere else with the same technology skills they used at CME, to a company that respects them and pays them more. Enough with the red tape - get rid of poor management. Maybe you should check supervisory orgs that have constant turnover. This workplace is toxic and out of touch with their employees."
"100","Management is too kind to under performers"
"101","Indian Teams are not given right opportunities 
Low Compensation with respect to market 
Extremely low growth opportunities"
"102","Integrate the India Teams with other Global Teams"
"103","I have no cons, everything is good"
"104","No growth. bad vacation policy"
"105","Not a lot of room to move. Rigid structure."
"106","technology is a little dated. recruiters are no help when moving internally."
"107","better computers!"
"108","Everybody works in silos, poor management of resources"
"109","Help grow people"
"110","Nothing in mind as of now."
"111","was difficult, technical round was hard"
"112","Nothing much to write here."
"113","Workplace is not at very good place"
"114","I haven't experienced anything to add for Cons yet !!"
"115","Great going, and, highly engaged management, and, always open with the ""Open Door"" policy !"
"116","No cons. I would definitely suggest accepting an offer here if considering, especially if you have any interest in fintech."
"117","Love the place"
"118","Monopolist in the market that doesn't bother cutting many incompetent people on the payroll .  Lots of talents left recent years. 

Prepare for ' world-class' bureaucracy and 'industry-leading' politics. You'd be lucky if you have a boss who understands your work and cares about you, and the chance of so is decreasing as these people are leaving. Your boss is most likely only pretending to be knowledgeable to... backup his/her micro-management, and has no interest in recognizing who're the actual performers among the astonishing number of free riders who probably are better paid than you.   He cares about his next promotion even it means cutting promising projects. You and your boss aren't the same team, you are two professionals who takes care of your own career.

All Job Descriptions in the job market are somewhat painted but here it can get extreme. Hiring Masters from Ivy-like schools and leaving them with literally no intellectually challenging work is not uncommon.  This company can afford. Years later real talents either leave or can no longer find jobs matching their current rank &  salary elsewhere because in other places you actually need to Do things. If your boss comes from the later group then re-consider your career when you still can"
"119","Listen to entry-level employees, promote those who really deserve, assess mid-level managers, or all good people are on there way out"
"120","Supposedly pay is average relative to the industry, unless you started your career here in which case you are paid 10-20% less than others doing the same thing who came from other companies.  You have to leave to get paid fairly.
Firm keeps cutting more and more benefits
Bonus calculations are opaque and it seems the company uses this to smooth earnings"
"121","See the first point in ""cons"".  Fix this."
"122","Activities is Higher Management is not that Transparent."
"123","Keep up the good work."
"124","Firings 
Non existing HR policies
Politics 
Too much work load"
"125","Stop firings employees!"
"126","Not much opportunity for promotion, but that is because the stability that is required for this business precludes too much independence from “how things are done”"
"127","None that I can think of."
"128","NA"
"129","no career path, people who work hard do not get what they deserve, while lots of people get overpaid. no equity plan for some department. terrible HR policy."
"130","fair equity plan to all workers."
"131","can’t be promoted or move to another division in HR,  no room for growth or mobility within HR. Lots of politics. They fail to recognize talent within their own Division. HR heads need to be evaluated by an outside consulting firm"
"132","To the HR division, ask your entry level employees who are doing a lot of the work “why are people leaving” and they will tell you. Change otherwise everyone is on their way out."
"133","Not anything negative from the perspective of a what a job is"
"134","New developments go slowly. You need to have patience if you want to implement change."
"135","Keep doing what you're doing., keep listening to your people."
"136","1.Hire and fire - Seen mostly on Engineering side
2. Favoritism in promotions and Hike
3. Too much power in the hands of Directors leading to above points
4. US team clueless about culture being built.. Esp fear in employees for their career
5.  No clear directions from leadership team in Blr either in form of projects /support required for teams . They take every feedback too seriously if it comes from US."
"137","1.It's not US. Indian prefer  secured work environment. Stop firing ppl and keep it as a secrecy to team members
2. Give failed ppl enough  opportunities/ change them to new teams to see improvement. Even Amazon n google does this.
3. Just remove the excessive control directors has in bangalore  since all team works directly with US. They are the right people to judge
4. Just can't fire an employee within 1 month... or 6 months until unless they do big time mistakes"
"138","No Work Life Balance 
To many Firings
Bad Culture"
"139","Treat people like humans"
"140","Lot of politics from senior folks. Good work is not appreciated. No visibility if you're in SE level. If you know how to cope up with politics it will be good. Some of the Chicago folks doesn't treat the Bangalore folks well. Women employees are more preferred than their male counterpart."
"141","Please make employees have visibility who are working better"
"142","there are no CONS what so ever"
"143","I will be able to increase your revenue, by my options trading"
"144","More transparency needed for senior management on projects"
"145","No politics"
"146","A little bit slow pace"
"147","Company is very focused on talking about their emphasis on career development without any corresponding evidence that working hard and dedicating yourself to the company’s mission will lead to some level of career advancement."
"148","If you want to retain talent you need to provide evidence that there is a career path and a reason to stay."
"149","Most people are great but some individual teams are more challenging - the metals group - so do your research.   Career progression can be slow."
"150","On the right track, keep going!"
"151","No real cons. Great place to work"
"152","More breaks"
"153","Management structure is vertical and isolated."
"154","Everyone should have a voice."
"155","Politics get in the way of promotions
Too many people in senior management causing bottleneck of indecision on almost every initiative"
"156","Cube monkey, look at excel all day, very bureaucratic, not a lot of opportunity to advance into a different role"
"157","Lots of favoritism, especially towards remote Belfast and India offices, and frustrating organizational politics. Additionally, there isn’t any transparency from upper management on how decisions are made or if there’s any data to back those decisions. These points, as well as all the “security” related policies, which just end up wrapping everything in red tape, ultimately drove my decision to leave.
Also, there... exists in CME a know-it-all culture among senior management, where they seem to bury their heads in the sand in regards to pain points and the insane bureaucracy. This attitude of “everything is great and we have no problems” results in nothing changing and all these pain points only becoming more and more painful. 
Another huge frustration is the “throw some stuff at the wall and hope it sticks” mindset, with zero accountability when projects fail and it doesn’t “stick” (and usually it doesn’t).

From a technology perspective, lots of talk about “innovation” and “hiring the best” but that’s mostly just talk. The tech stack is a quite boring in most teams, with a few exceptions. In fact, when it comes to tech, the company is really just playing catch up at a brutally slow pace (mainly due to extreme red tape brought on by “security” measures, many of which are excessive and have nothing to due with real security).
From a hiring perspective, the technologists that are hired tend to be picked based on either industry experience or just the gut feeling of someone with a big shot title, and rarely on the applicant’s actual technical skill. Too many hiring decisions are made from the top down."
"158","First, advice to one looking to possibly join the company - CME is a good place to work if all you want is a job where you can chill, do very little work, and receive a paycheck plus a pension. Depending on which team you’re on, there really could be room for growth, but if you’re ambitious and looking for a great career where you can boast about how amazing the company culture is and how the whole org operates... smoothly together, and that you are constantly learning new concepts and technologies everyday, look elsewhere. 

Advice to management- you won’t get better unless you acknowledge that problems exist. Honestly look into the engagement survey results and take action where needed, especially regarding bureaucracy, politics, and senior leadership.
Hire slowly, and stop rushing offshore growth. There’s nothing wrong with growing offshore teams, but it should happen gradually. When you rush it (Bangalore..), quality deteriorates and the company could start falling behind.
Also, the company should be growing as a whole both in the US and abroad, not just in the remote offices. In fact, recently it seems the US based offices are really experiencing critical losses when it comes to quality people and leaders. When you see so many great folks running away, you think you‘d realize there might be a few problems. 
Lastly, if you really want to brand yourself as a technology company (those words are thrown around A LOT), stop using other mediocre legacy financial institutions as a baseline, and decide what kind of company CME really wants to become. If it’s just another financial services company, so be it, but if CME really wants to be “cutting edge” and a “tech company” then some real change needs to occur"
"159","Senior Management does not walk the walk that they preach."
"160","C-level needs to look at its morales and ethics as they apply to employee relations."
"161","Some additional opportunities for management development."
"162","There are still some pockets of silos but that is mostly going away 
There is some bureaucracy mostly tied to being a highly regulated environment"
"163","Nothing comes to mind other than politics at times"
"164","Very hierarchical, limited upward mobility at higher levels"
"165","provide clearer career development paths"
"166","lot of layoffs 
no room to go anywhere"
"167","If you are a lower-level employee (analyst, senior analyst) managers often look past you and only pay attention to pleasing senior management. Don't always get the attention that junior level employees receive at other companies."
"168","Eliminate some levels of management. Too many employees at the Manager and Director level. Lend an ear to junior level employees."
"169","Can't think of any right now!"
"170","There are lots of longtime employees who get to keep their jobs simply because they've been there a long time, even if they are totally incompetent. If you end up in a department with one of these people at the top, you are doomed."
"171","Focus on rewarding truly talented people and demote/terminate incompetent people."
"172","A lot of politics. Sometimes you are working more over the weekends or after normal work hours if your projects require it."
"173","I<U+FE0F> like my manager but make sure to spread out the work instead of overloading people with too many projects."
"174","All the signs of a complacent monopoly going extinct are there.  Uninspiring and inauthentic senior management more concerned with their golden handcuffs than their people and challenging the status quo.  Bad HR policies that stifle talented mid-level employees.  Toxic, gossip-filled, silo'ed, and territorial culture that deserves its own Uber-style exposure.  Splashy efforts at ""innovation,"" but when's the last... time CME made real profit on a new business?

Fun tip: look at the tone-deaf propaganda responses from HR on these Glassdoor reviews that politely deny that any problems exist, often with a line like ""that's not the environment we recognize!"" and a reference to an engagement survey that's taken every two years.  For example, they say that their education reimbursement is twice the industry average! Wow! But they fail to mention it used to be 100% covered. People joined specifically for this benefit, before it was ripped away with no warning, causing major life disruptions.  

To sum up CME as a place to work: it's all talk, little action, and no accountability. Stay away if you're ambitious and want to work with smart, competent people."
"175","Take a careful look at your senior ranks.  Very few of them have the skills to inspire confidence or motivate teams.   

Also, analyze the employees that are continuing to flee from the organization -- your most talented are leaving and the worst are having long careers.  Will you really be able to handle the next crisis?"
"176","There was nothing that i disliked about the job"
"177","Security culture can feel a little stifling/arbitary. 
Some senior management only give work to people working in Chicago, can therefore be difficult for NY and other sites."
"178","Focus on training for mid level management/leadership. 
Make it clear how decisions are made.
Embrace the move to being a technology company and the culture that goes with that."
"179","Red tape. But it's necessary to protect the business."
"180","The CME makes a huge amount of profit through what appear to be monopolies on certain marketplaces. These keep ticking over without the need for much innovation. So there  isn't much incentive to eliminate ""dead wood"" from the payroll. Over time I think this has led to a gradual accumulation of ineffective managers and incompetent support staff who would have otherwise have been moved on.

London is very much a... satellite office. This is fine if you're working on a properly devolved project with local leadership, but it can become painful if the US is directly in the driving seat. It often feels as if you're brought in at the tail end of important discussions when all the key decisions have already been taken."
"181","Figure out what you want to do and work on reducing the number of under-performers, especially in the many layers of management."
"182","Lots of layers in management, pretty standard for a “large” company though. As long as you have a good manager supporting you, you have nothing to worry about."
"183","Some politics do exist, but keep listening to your employees!"
"184","Some unintelligent colleagues. Micromanagement and assertive attitudes are rewarded above high quality work product. Very youthful management structure, so opportunities for upward mobility are limited."
"185","Be more selective with hiring. Pay more to retain top talent. Remove excessive managerial roles."
"186","Very poor management team , some of them don't judge people by their work .they drive the team as per their own whims and fancies.few people are talking advantage if their position and doing just what they want."
"187","Be prudent and  value people by their skills and contribution"
"188","none at this current time."
"189","complex business structure, lots of information resides with individuals (can be hard to find documentation)"
"190","make sure you are providing opportunities for young folks...the future is in the youth...doing things like cutting the education benefit and eliminating wellness programs do not look good"
"191","Siloed organization that talks about collaboration and accountability but doesn't follow through on it. There is bad behavior - backchanneling and sabotage - at some of the highest levels of leadership. Employees are rewarded more for time in role than performance, so if you value promotion due to performance, you might find this environment challenging. Investments are spread too thin across too many priorities,... making it hard to see/feel like there is progress."
"192","Change things up at the leadership level by bringing in others from the outside. Set tighter expectations of each other,  create more trust at the top and it will carry down to the other levels."
"193","very poor management,Please recognize technically skilled people and treat well"
"194","do not select any free available guy from market and made him manager"
"195","pace is not too fast"
"196","Less opportunity to grow.
Less innovative."
"197","Computers have taking over for humans"
"198","No chance"
"199","Massively bureaucratic firm with many layers of Management. European business suffered from high turnover of staff."
"200","Bangalore is the only office which is growing. Employees are slowly being let go from NYC office. This is being done one or two at a time to keep it under the radar. All the values and principles of the firm are only on paper. In practice there is rampant corruption (especially in technology vendors), favoritism and red tape.  Dissenting viewpoints though encouraged in training and meetings are your way out of the... firm in practice.

Promotions are not based on merit but on who you know,"
"201","Management know exactly what it's doing. They are getting rid of US employees and  growing the Bangalore office."
"202","-Getting projects going can be slow
-Rigid promotion process, promotions only happen once a year"
"203","No Cons at this time, its a great place to work for a long term job."
"204","General input and suggestions were not noted or applied."
"205","Salaries is not that competitive compared with other companies especially for entry level, but it is still okay to leave in Chicago."
"206","HR Team
No opportunity to advance
Inability to make decisions"
"207","Management can be difficult 
Slow career progression"
"208","Company Politics make it difficult for hard work people to rise up the ladder. Also,  frequent frequent layoffs adds to low job stability."
"209","The salary might not be as high as expected."
"210","Not really"
"211","Slow moving and doesn't adapt to change"
"212","Can't think of any reasons to include cons except that the technology I specialized in was slowly disappearing so I had to make a move."
"213","Poor flexability with work hours. Bonus strictly dependent on market conditions, so very rare."
"214","Making money or not, negativity is contagious. Come in with a positive mindset and your employees will work harder. Plain and simple."
"215","Measures taken to reduce bureaucracy have led to  more bureaucracy.  There is always another process and yet another system to get simple things done."
"216","Poor work/  life balance and challenging upward mobility."
"217","Need more diversity at senior management levels, improve workplace environment"
"218","- Although CME Group has become a global company, the corporate value, culture and philosophy is still very dominated by US working mindset and politics
- Underwent various restructuring in global management over the past years, which seems to have resulted poor leadership across the business and operational infrastructure"
"219","provide more financial in house or external training, education and mentoring to your team and staff"
"220","Hard to be promoted
Technical workers have a chip on their shoulders
Bureaucratic
Very slow paced
People are allowed to be lazy when they are at higher levels"
"221","Do some work.  Be more involved in projects, realize that people on project teams are working hard, and need positive reinforcement sometimes. There is an overall negative tone from above. People should not be promoted into management just because of a history technical skills; if you do not have people skills or are lazy, you should probably not be in management."
"222","Management culture shift has caused lower morale.  What have you done for me lately attitude.  Jobs shifting offshore to reduce costs.   Talented employees are moving to other companies."
"223","Matrix reporting can turn political. Frequent reorg and changing of reporting lines."
"224","CME is a slow moving organization."
"225","Slow career progress beyond a certain point"
"226","Constantly reorganizing, waves of lay offs which has created low morale"
"227","More and more work - keeps you in the job and gets you better experience 
24 hours on call expected by default - keeps you in the job"
"228","Check your managers if they are fair to everyone as you don't want to lose your workforce or increase your attrition."
"229","Executives consistently send the message that the average age is too high.  They want young millennials thinking they will reinvent the wheel.  They preach about wanting leaders but by leading they really mean following them and spreading their message to others.  Layoffs are annual now and often secretive but everyone always finds out anyway.  The company has been having difficulty growing revenue and so to please... shareholders they lower expenses and salary is a large part of that.  Many employees feel that they just have a job and not a career.  We provide ample opportunities for growth to staff that are Manager and below but not to middle mgmt."
"230","Stop being phoney.  Employees see thru it.  You would be more effective if you were honest."
"231","Too much bureocracy with understaffed operations team. Slow career development. Not very exciting technology-wise."
"232","More staff should be employed for operations. Need to get on with the times in the technology stack."
"233","Poor higher management both locally and globally. Work allocated can be better. Less politics in teams will be appreciated."
"234","Don't treat India as cost center."
"235","Past few years have lacked focus, that maybe improving with recent management.  Better balance between governance and innovation needs to be achieved"
"236","Better prioritize initiatives"
"237","Regulations causing some slowdowns and process."
"238","Promotions seem to be too rarely based on the actual capability of an employee and seems more often to be based on sycophantic behaviour towards management. 

The skill level vs job title standard seems to be lower at HQ compared to other offices.

Investment in external training opportunities for employees seems to be increasingly pinched and rationed compared to offerings from previous years.

Some Dir level... employees seem completely out of touch with the day to day operations/realities of the teams they oversee."
"239","Be open and non-punitive towards constructive criticisms to help improve the company"
"240","standard challenges of a large organization. Sometimes politics can get in the way of higher performers getting promoted"
"241","Pay closer attention so you can know which employees are truly making an impact"
"242","Sometimes the promotion process in general can be slower than expected and slower than other organizations.  For some this is not a negative but can be for others."
"243","Keep up the good work!"
"244","Discrimination, role problem, dial every day in Us time for daily call. Lot of dependent from us. Work life balance is not good"
"245","Executives are on a mission to turn a formerly brick-and-mortar business that had started modern global online trading into an only-online business with drastically fewer employees. A consequence of their rush to do that is that being an employee can sometimes feel like being a cog in their wheel."
"246","Remember -- as CME Group moves more and more offshore, especially post-BREXIT -- there are always risks of some sort everywhere."
"247","Not too easy to stick around."
"248","Keep doing what you are doing. Bryan is a great leader."
"249","Slow environment, old school way of doing business"
"250","The most political and completely out of touch of technology organization led by clueless and delusional leaders at the top. everyone is afraid to speak their mind as folks who have in the past 3 years get pushed out. The technology leaders ""vision"" is a joke. Its simply this, outsource everything and let someone else deal with the consequences later. Technology is slowww and ""new"" ideas other companies did 6-10... years ago. No way to get ahead unless you are great at pretending these guys are awesome or you grew up in India. Women and minorities are basically nonexistent in IT at manager levels and above. Wouldn't have brought it up but They consistently talk diversity but that's just to pretend it exists"
"251","None, they know everything so they don't care anyway. HR sends surveys to only a subset of employees now, stop pretending it's getting better by hand picking who you get feedback from. The results were awful since 2014. Stop pretending and sending fake happy notes."
"252","you indirectly work for CFTC and there is no room for creativity"
"253","Hiring and other HR policies are clumsy. Not very quality oriented and processes are not standardized. Office politics prevelant due to higher salaries compared to capabilities. Fixed office timings. More like a bpo/support centre than a development centre. Outdated technology and not much to learn. Little bit bossy culture by directors on floor. Some groupism and nepotism can be seen as lot of senior people joined... from one company through each other's contacts. Others who join without much contact internally often face the heat. Overall ok - nothing great. People from other banking captives like jp morgan etc are considered superior than those who join from service companies regardless of individual skills and capabilities. HR processes not transparent. One colleage who resigned had to face lot of issues in getting relieving letter on time."
"254","None"
"255","Nothing to learn technically. outdated technologies. No career growth. Immature HR processes. Strict timings. Not very open culture. Director is god. Managers don't have much autonomy. Good for 1-1.5 years to increase your salary. Not good for a long term stint. Hiring process is not good. So lot of reshuffling and layoffs. High work pressure."
"256","New York is cold in winter."
"257","Lethargic process. Specifically at Bangalore office we see recruitment team doesn't even call the candidates we refer. Lots of emphasis is given to referral but something is fishy with Bangalore recruitment team. Many employees believe there is some internal dealing with few consultancy and recruitment team. Many references is taken from consultancy who may be paying off to recruitment team."
"258","Management and international recruitment please do some audits if they really use the referral options wisely."
