,Unnamed: 0,X1,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
41,42,7,"Exceptional training, encouragement to move internally, various different teams with different workflows to join",3,"Exceptional training, encouragement to move internally, various different teams with different workflows to join",exceptional training encouragement to move internally various different teams with different workflows to join,
42,43,7,"People are very helpful, friendly. Depends on the Dept. your in, you can go far. A lot has changed, if your starting out this is a great place.",1,"People are very helpful, friendly. Depends on the Dept. your in, you can go far. A lot has changed, if your starting out this is a great place.",people are very helpful friendly depends on the dept your in you can go far a lot has changed if your starting out this is a great place ,great
43,44,7,- Global company with well recognized reputation - Market leader in its sector - Stability and Jobe security - good salaries,5,- Global company with well recognized reputation - Market leader in its sector - Stability and Jobe security - good salaries, global company with well recognized reputation market leader in its sector stability and jobe security good salaries,company
44,45,7,"Collaborative culture, benefits, client exposure",3,"Collaborative culture, benefits, client exposure",collaborative culture benefits client exposure,
45,46,7,Great for exposure to modern tech stacks,5,Great for exposure to modern tech stacks,great for exposure to modern tech stacks,
46,47,7,"Cultura da empresa, visão de longo prazo, diversidade. Não tem politicagem",5,"Cultura da empresa, visão de longo prazo, diversidade. Não tem politicagem",cultura da empresa visão de longo prazo diversidade não tem politicagem,
47,48,7,Great company to work for. Outstanding benefits and flexibility.,4,Great company to work for. Outstanding benefits and flexibility.,great company to work for outstanding benefits and flexibility ,"work, benefits, company"
48,49,7,"Great benefits, great pay, ability to provide feedback on managers",3,"Great benefits, great pay, ability to provide feedback on managers",great benefits great pay ability to provide feedback on managers,great
49,50,7,"Learn a lot, very structured, great benefits and workspace",4,"Learn a lot, very structured, great benefits and workspace",learn a lot very structured great benefits and workspace,"great, benefits"
50,51,8,"Great company to work for. Good pay, great benefit, good reputation.",5,"Great company to work for. Good pay, great benefit, good reputation.",great company to work for good pay great benefit good reputation ,"great, work, company"
51,52,8,Learn a lot if interested to do so,3,Learn a lot if interested to do so,learn a lot if interested to do so,
52,53,8,"Colleagues, atmosphere, team, work load",1,"Colleagues, atmosphere, team, work load",colleagues atmosphere team work load,work
53,54,8,"Good perks, health care, dental care, subsidised gym membership, good salary and yearly reviews.",5,"Good perks, health care, dental care, subsidised gym membership, good salary and yearly reviews.",good perks health care dental care subsidised gym membership good salary and yearly reviews ,"salary, health"
54,55,8,Free soup; competitive benefits; cool offices,3,Free soup; competitive benefits; cool offices,free soup competitive benefits cool offices,
55,56,8,"Bloomberg is good for flexible working, staff welfare and general practices.",5,"Bloomberg is good for flexible working, staff welfare and general practices.",bloomberg is good for flexible working staff welfare and general practices ,flexible
56,57,8,"Flexible program, breakfast, pantry snacks.",5,"Flexible program, breakfast, pantry snacks.",flexible program breakfast pantry snacks ,
57,58,8,Easier for junior sales to get early career exposure.,4,Easier for junior sales to get early career exposure.,easier for junior sales to get early career exposure ,
58,59,8,"many perks, good working environment",3,"many perks, good working environment",many perks good working environment,"environment, working"
59,60,8,good work life balance and smart people,4,good work life balance and smart people,good work life balance and smart people,"smart, work, balance, people"
60,61,9,good work life balance and smart people,5,good work life balance and smart people,good work life balance and smart people,"smart, work, balance, people"
61,62,9,"Great culture, quality of life",3,"Great culture, quality of life",great culture quality of life,
62,63,9,I had some wonderful colleagues who deserved much better treatment than they received at Bloomberg.,1,I had some wonderful colleagues who deserved much better treatment than they received at Bloomberg.,i had some wonderful colleagues who deserved much better treatment than they received at bloomberg ,
63,64,9,Great benefits and open culture,5,Great benefits and open culture,great benefits and open culture,"culture, benefits"
64,65,9,"Viagens, benefícios, clima, cultura de diversidade",3,"Viagens, benefícios, clima, cultura de diversidade",viagens benefícios clima cultura de diversidade,
65,66,9,Ability to do your own research and drive product,5,Ability to do your own research and drive product,ability to do your own research and drive product,
66,67,9,Ótimos benefícios empresa proporciona muito conforto aos funcionários,5,Ótimos benefícios empresa proporciona muito conforto aos funcionários,ótimos benefícios empresa proporciona muito conforto aos funcionários,
67,68,9,"good fundamental knowledge in fixed income, more than most other places",4,"good fundamental knowledge in fixed income, more than most other places",good fundamental knowledge in fixed income more than most other places,
68,69,9,Nice philanthropy opportunities in the company. Most of the profits are given for charity and great Kuddos for that!,3,Nice philanthropy opportunities in the company. Most of the profits are given for charity and great Kuddos for that!,nice philanthropy opportunities in the company most of the profits are given for charity and great kuddos for that ,great
69,70,9,Great training and development opportunities of work hard,4,Great training and development opportunities of work hard,great training and development opportunities of work hard,work
70,71,10,"I was in a very good technical team Really nice place Relaxing atmosphere, did not feel the pressure A lot of intern events, but there are not many mandatory ones There is food on the events",5,"I was in a very good technical team Really nice place Relaxing atmosphere, did not feel the pressure A lot of intern events, but there are not many mandatory ones There is food on the events",i was in a very good technical team really nice place relaxing atmosphere did not feel the pressure a lot of intern events but there are not many mandatory ones there is food on the events,"pressure, place, food"
71,72,10,Great place to start your career,3,Great place to start your career,great place to start your career,place
72,73,10,Good corporate culture Lots to learn,1,Good corporate culture Lots to learn,good corporate culture lots to learn,culture
73,74,10,Great training class and lovely working environment,5,Great training class and lovely working environment,great training class and lovely working environment,"environment, working"
74,75,10,"Work-life balance, Perks, colleagues, environment",3,"Work-life balance, Perks, colleagues, environment",work life balance perks colleagues environment,environment
75,76,10,Great people to work with,5,Great people to work with,great people to work with,"work, people"
76,77,10,Learning experience in FIX protocol,5,Learning experience in FIX protocol,learning experience in fix protocol,
77,78,10,"good benefits, stability, friendly culture",4,"good benefits, stability, friendly culture",good benefits stability friendly culture,"culture, friendly"
78,79,10,"- Bloomberg and Thomson Reuters (Refinitiv) dominate the market data sector. Both have steady cashflows, while BBG is somewhat better managed. - Perks like free snacks and drinks, nice offices around the world - Well-established training programs for",3,"- Bloomberg and Thomson Reuters (Refinitiv) dominate the market data sector. Both have steady cashflows, while BBG is somewhat better managed. - Perks like free snacks and drinks, nice offices around the world - Well-established training programs for", bloomberg and thomson reuters refinitiv dominate the market data sector both have steady cashflows while bbg is somewhat better managed perks like free snacks and drinks nice offices around the world well established training programs for,"snacks, free"
79,80,10,"Good benefits, good opportunities to move within company",4,"Good benefits, good opportunities to move within company",good benefits good opportunities to move within company,company
80,81,11,"1) Incredibly easy job - you can actually do it when you are 16 and have no degree or financial knowledge, it is not required 2) No stress - you do not create value, hence your job is stressless as you do not do much 3) Good work - life balance. You have no incentive and no reason to stay after 6pm 4) Summer party - it is very good",5,") Incredibly easy job - you can actually do it when you are and have no degree or financial knowledge, it is not required ) No stress - you do not create value, hence your job is stressless as you do not do much ) Good work - life balance. You have no incentive and no reason to stay after pm ) Summer party - it is very good", incredibly easy job you can actually do it when you are and have no degree or financial knowledge it is not required no stress you do not create value hence your job is stressless as you do not do much good work life balance you have no incentive and no reason to stay after pm summer party it is very good,work
81,82,11,Camaraderie - you will meet some lifelong friends Opportunities to move to different areas of the business,3,Camaraderie - you will meet some lifelong friends Opportunities to move to different areas of the business,camaraderie you will meet some lifelong friends opportunities to move to different areas of the business,
82,83,11,The best company I worked for,1,The best company I worked for,the best company i worked for,company
83,84,11,The quiet editors deemed unfashionable whose ability to take copy that is akin to scribble and turn it into something legible are the unsung heroes of that place. Sadly the scribblers tend to be promoted.,5,The quiet editors deemed unfashionable whose ability to take copy that is akin to scribble and turn it into something legible are the unsung heroes of that place. Sadly the scribblers tend to be promoted.,the quiet editors deemed unfashionable whose ability to take copy that is akin to scribble and turn it into something legible are the unsung heroes of that place sadly the scribblers tend to be promoted ,
84,85,11,"I think Bloomberg is an amazing company, i worked 3 years in another country and moved to the US and been working for Bloomberg for 5, the benefits and the work life balance is good and its a very organized company.",3,"I think Bloomberg is an amazing company, i worked years in another country and moved to the US and been working for Bloomberg for , the benefits and the work life balance is good and its a very organized company.",i think bloomberg is an amazing company i worked years in another country and moved to the us and been working for bloomberg for the benefits and the work life balance is good and its a very organized company ,"work, balance, benefits, working"
85,86,11,"Some great people, typically the ones that don't hang around too long",5,"Some great people, typically the ones that don't hang around too long",some great people typically the ones that don t hang around too long,great
86,87,11,"Pay is decent, I wish I could say more.",5,"Pay is decent, I wish I could say more.",pay is decent i wish i could say more ,
87,88,11,"Great benefits, everyone is super nice, and if you are proactive you can succeed",4,"Great benefits, everyone is super nice, and if you are proactive you can succeed",great benefits everyone is super nice and if you are proactive you can succeed,
88,89,11,-Nice office with good views -Pretty good work life balance -Decent pay,3,-Nice office with good views -Pretty good work life balance -Decent pay, nice office with good views pretty good work life balance decent pay,"work, balance, pay"
89,90,11,You will get the best opportunity to rub shoulders with one of the best and great minds working in Finance industry,4,You will get the best opportunity to rub shoulders with one of the best and great minds working in Finance industry,you will get the best opportunity to rub shoulders with one of the best and great minds working in finance industry,"great, working"
90,91,12,"Meet some really genuine people, pantry. Pay is decent enough with no real incentive to go extra mile. Performance review process can be doctored with zero transparecny in the process. Constant over internal emphasis on a culture that is preached but hardly practised which demoralises and fosters detachment.",5,"Meet some really genuine people, pantry. Pay is decent enough with no real incentive to go extra mile. Performance review process can be doctored with zero transparecny in the process. Constant over internal emphasis on a culture that is preached but hardly practised which demoralises and fosters detachment.",meet some really genuine people pantry pay is decent enough with no real incentive to go extra mile performance review process can be doctored with zero transparecny in the process constant over internal emphasis on a culture that is preached but hardly practised which demoralises and fosters detachment ,culture
91,92,12,Hard-working colleagues from diverse backgrounds,3,Hard-working colleagues from diverse backgrounds,hard working colleagues from diverse backgrounds,
92,93,12,"Great introductory role into financial markets, great people with in depth knowledge teaching new joiners.",1,"Great introductory role into financial markets, great people with in depth knowledge teaching new joiners.",great introductory role into financial markets great people with in depth knowledge teaching new joiners ,"great, people"
93,94,12,"great company, well paid job. lots of perks",5,"great company, well paid job. lots of perks",great company well paid job lots of perks,great
94,95,12,Dynamic The people Fast paced Perks,3,Dynamic The people Fast paced Perks,dynamic the people fast paced perks,"paced, people"
95,96,12,Great benefits. Stocked up kitchen. Beautiful office space. Give lots of awards and title changes. Good resume builder. Also good as one of your first jobs out of college,5,Great benefits. Stocked up kitchen. Beautiful office space. Give lots of awards and title changes. Good resume builder. Also good as one of your first jobs out of college,great benefits stocked up kitchen beautiful office space give lots of awards and title changes good resume builder also good as one of your first jobs out of college,
96,97,12,Used to have free lunch . Not anymore. Cannot think of anything else.,5,Used to have free lunch . Not anymore. Cannot think of anything else.,used to have free lunch not anymore cannot think of anything else ,free
97,98,12,"Great benefits, Great pay, Great company",4,"Great benefits, Great pay, Great company",great benefits great pay great company,company
98,99,12,"Good software practises, large diversity of teams and products, great perks for a financial company.",3,"Good software practises, large diversity of teams and products, great perks for a financial company.",good software practises large diversity of teams and products great perks for a financial company ,great
99,100,12,A lot of young people,4,A lot of young people,a lot of young people,people
100,101,13,"Good team, fun environment to work for",5,"Good team, fun environment to work for",good team fun environment to work for,"work, environment"
101,102,13,Free meals; quality people; work flexibility,3,Free meals; quality people; work flexibility,free meals quality people work flexibility,work
102,103,13,"Good health insurance, free entry to different art/culture exhibitions",1,"Good health insurance, free entry to different art/culture exhibitions",good health insurance free entry to different art culture exhibitions,"free, health"
103,104,13,"Great benefits, access to learning platforms, the opportunity to progress in the company( not guaranteed), international team, free food, young and intelligent people, very friendly department!",5,"Great benefits, access to learning platforms, the opportunity to progress in the company( not guaranteed), international team, free food, young and intelligent people, very friendly department!",great benefits access to learning platforms the opportunity to progress in the company not guaranteed international team free food young and intelligent people very friendly department ,"free, friendly"
104,105,13,"Plain company structure, food and events, interesting projects, many opportunities to learn and grow",3,"Plain company structure, food and events, interesting projects, many opportunities to learn and grow",plain company structure food and events interesting projects many opportunities to learn and grow,"food, company"
105,106,13,Offers a lot of opportunity to develop yourself and your career,5,Offers a lot of opportunity to develop yourself and your career,offers a lot of opportunity to develop yourself and your career,
106,107,13,The benefits are good and the London office is spectacular. Philanthropic efforts are great too with a lot of opportunity to get involved with charity work. They'll match your donations too and there's opportunity for free event tickets.,5,The benefits are good and the London office is spectacular. Philanthropic efforts are great too with a lot of opportunity to get involved with charity work. They'll match your donations too and there's opportunity for free event tickets.,the benefits are good and the london office is spectacular philanthropic efforts are great too with a lot of opportunity to get involved with charity work they ll match your donations too and there s opportunity for free event tickets ,"great, free, benefits"
107,108,13,"Great culture, benefits, people, philanthropic opportunities, intern to full time pipeline",4,"Great culture, benefits, people, philanthropic opportunities, intern to full time pipeline",great culture benefits people philanthropic opportunities intern to full time pipeline,
108,109,13,office decor and opportunities in the firm,3,office decor and opportunities in the firm,office decor and opportunities in the firm,
109,110,13,Great learning opportunities and career growth pantry training,4,Great learning opportunities and career growth pantry training,great learning opportunities and career growth pantry training,
110,111,14,Diverse and vibrant social environment. Great place to learn and gather a broad overview of financial markets,5,Diverse and vibrant social environment. Great place to learn and gather a broad overview of financial markets,diverse and vibrant social environment great place to learn and gather a broad overview of financial markets,place
111,112,14,"Really flat structure, open, good work/life balance culture",3,"Really flat structure, open, good work/life balance culture",really flat structure open good work life balance culture,"culture, balance"
112,113,14,Good salary and good culture,1,Good salary and good culture,good salary and good culture,"culture, salary"
113,114,14,"estavel, e baixa pressao... boa qualidade de vida",5,"estavel, e baixa pressao... boa qualidade de vida",estavel e baixa pressao boa qualidade de vida,
114,115,14,Ótima empresa. Ótima remuneração e benefícios. Cultura muito forte e respeitosa. Pessoas muito competentes e profissionais.,3,Ótima empresa. Ótima remuneração e benefícios. Cultura muito forte e respeitosa. Pessoas muito competentes e profissionais.,ótima empresa ótima remuneração e benefícios cultura muito forte e respeitosa pessoas muito competentes e profissionais ,
115,116,14,High pay. Especially high base salary. Good benefits.,5,High pay. Especially high base salary. Good benefits.,high pay especially high base salary good benefits ,
116,117,14,"Excellent work environment and benefits, fast moving culture and challenging projects.",5,"Excellent work environment and benefits, fast moving culture and challenging projects.",excellent work environment and benefits fast moving culture and challenging projects ,"culture, work, environment, fast"
117,118,14,Very diverse and fast pace work environment with great benefits package & time off,4,Very diverse and fast pace work environment with great benefits package & time off,very diverse and fast pace work environment with great benefits package time off,"fast, work, benefits, environment, great"
118,119,14,"Great place to grow your career in the world of finance, tech and business",3,"Great place to grow your career in the world of finance, tech and business",great place to grow your career in the world of finance tech and business,place
119,120,14,"Great culture, a lot of smart people and good work life balance.",4,"Great culture, a lot of smart people and good work life balance.",great culture a lot of smart people and good work life balance ,"smart, work, people"
120,121,16,Good perks including hotels and flights,5,Good perks including hotels and flights,good perks including hotels and flights,
121,122,16,"Company values, benefits, pay were good.",3,"Company values, benefits, pay were good.",company values benefits pay were good ,pay
122,123,16,Vale transporte Horario de almoco mais flexível,1,Vale transporte Horario de almoco mais flexível,vale transporte horario de almoco mais flexível,
123,124,16,"Great exposure to the company, shadow many departments, great place to start and know where you want to go.",5,"Great exposure to the company, shadow many departments, great place to start and know where you want to go.",great exposure to the company shadow many departments great place to start and know where you want to go ,"place, great"
124,125,16,American culture and friendly environment. Great people. There are many projects that make the work more interesting.,3,American culture and friendly environment. Great people. There are many projects that make the work more interesting.,american culture and friendly environment great people there are many projects that make the work more interesting ,"culture, work, friendly"
125,126,16,Mike Bloomberg is a visionary Top notch benefits and paid time off Exceptional focus on philanthropy if you want to participate Incredible headquarters building A truly disruptive technology that changed the way information is disseminated in the financial markets Team environment If you are selling at Bloomberg you will never have to work a weekend,5,Mike Bloomberg is a visionary Top notch benefits and paid time off Exceptional focus on philanthropy if you want to participate Incredible headquarters building A truly disruptive technology that changed the way information is disseminated in the financial markets Team environment If you are selling at Bloomberg you will never have to work a weekend,mike bloomberg is a visionary top notch benefits and paid time off exceptional focus on philanthropy if you want to participate incredible headquarters building a truly disruptive technology that changed the way information is disseminated in the financial markets team environment if you are selling at bloomberg you will never have to work a weekend,"work, environment, benefits"
126,127,16,"culture, diveristy, work environement, challenging",5,"culture, diveristy, work environement, challenging",culture diveristy work environement challenging,work
127,128,16,1) Salary slightly above market rate. 2) Most managers are reasonably good and fair. 3) Global exposure. 4) Work/life balance.,4,) Salary slightly above market rate. ) Most managers are reasonably good and fair. ) Global exposure. ) Work/life balance., salary slightly above market rate most managers are reasonably good and fair global exposure work life balance ,
128,129,16,"Good training, company perks",3,"Good training, company perks",good training company perks,company
129,130,16,"Friendly and transparent working environment. Free snacks, fruits and drinks in pantries. Great benefits (401K, Health/Dental/Vision insurance and so on) Flexibility in working hours.",4,"Friendly and transparent working environment. Free snacks, fruits and drinks in pantries. Great benefits (K, Health/Dental/Vision insurance and so on) Flexibility in working hours.",friendly and transparent working environment free snacks fruits and drinks in pantries great benefits k health dental vision insurance and so on flexibility in working hours ,"benefits, insurance, working"
130,131,17,"Offices, locations and free snacks",5,"Offices, locations and free snacks",offices locations and free snacks,"snacks, free"
131,132,17,"Free canteen, reasonable hours, decent modern office",3,"Free canteen, reasonable hours, decent modern office",free canteen reasonable hours decent modern office,
132,133,17,Good exposure for all kinds of clients,1,Good exposure for all kinds of clients,good exposure for all kinds of clients,
133,134,17,"Coffee, Yoga, Drinks, Flexible Work Clothes, Great Culture",5,"Coffee, Yoga, Drinks, Flexible Work Clothes, Great Culture",coffee yoga drinks flexible work clothes great culture,
134,135,17,Dedicated people. Good work life balance.,3,Dedicated people. Good work life balance.,dedicated people good work life balance ,work
135,136,17,"It's a well known brand with some really amazing products compared to its competitors, it's well respected in the industry so the sales job is a bit easier compared to others.",5,"It's a well known brand with some really amazing products compared to its competitors, it's well respected in the industry so the sales job is a bit easier compared to others.",it s a well known brand with some really amazing products compared to its competitors it s well respected in the industry so the sales job is a bit easier compared to others ,
136,137,17,Likely best company in financial services in terms of benefits,5,Likely best company in financial services in terms of benefits,likely best company in financial services in terms of benefits,"benefits, company"
137,138,17,Invest heavily to train fresh graduates. They tend to promote young people.,4,Invest heavily to train fresh graduates. They tend to promote young people.,invest heavily to train fresh graduates they tend to promote young people ,
138,139,17,"Pantry, great office supplies; high skilled professionals in almost every field.",3,"Pantry, great office supplies; high skilled professionals in almost every field.",pantry great office supplies high skilled professionals in almost every field ,great
139,140,17,great benefits fun people in some departments stability,4,great benefits fun people in some departments stability,great benefits fun people in some departments stability,"great, benefits, people"
140,141,18,"Too many to list. Health, wealth, work/life balance,",5,"Too many to list. Health, wealth, work/life balance,",too many to list health wealth work life balance ,
141,142,18,"Open culture, flat heirarchy, flexibility to pick projects and develop new skills",3,"Open culture, flat heirarchy, flexibility to pick projects and develop new skills",open culture flat heirarchy flexibility to pick projects and develop new skills,
142,143,18,"great pay. Bloomberg pays for top quality employees. The benefits are great. If your manager likes you, you have a lot of resources to accomplish your goal. And Bloomberg would spend lot of resources to accomplish its goals.",1,"great pay. Bloomberg pays for top quality employees. The benefits are great. If your manager likes you, you have a lot of resources to accomplish your goal. And Bloomberg would spend lot of resources to accomplish its goals.",great pay bloomberg pays for top quality employees the benefits are great if your manager likes you you have a lot of resources to accomplish your goal and bloomberg would spend lot of resources to accomplish its goals ,"great, benefits"
143,144,18,"Great offices and benefits, good salary.",5,"Great offices and benefits, good salary.",great offices and benefits good salary ,
144,145,18,Very smart colleagues; highly international organisation; feeling of being part of something special; always at the cutting edge of developing news.,3,Very smart colleagues; highly international organisation; feeling of being part of something special; always at the cutting edge of developing news.,very smart colleagues highly international organisation feeling of being part of something special always at the cutting edge of developing news ,"smart, cutting, edge"
145,146,18,Lay back and interesting at times,5,Lay back and interesting at times,lay back and interesting at times,
146,147,18,"Great culture, generally relaxed environment, lots of smart people. You have lots of freedom choosing what you want to work on. Great work/life balance.",5,"Great culture, generally relaxed environment, lots of smart people. You have lots of freedom choosing what you want to work on. Great work/life balance.",great culture generally relaxed environment lots of smart people you have lots of freedom choosing what you want to work on great work life balance ,"smart, work"
147,148,18,Bloomberg is a legit and well respected company. The CEO is amazing and some awesome colleagues. Plenty of young colleagues (if you're younger and starting out). Volunteering activities are great. Company is serious about philanthropy.,4,Bloomberg is a legit and well respected company. The CEO is amazing and some awesome colleagues. Plenty of young colleagues (if you're younger and starting out). Volunteering activities are great. Company is serious about philanthropy.,bloomberg is a legit and well respected company the ceo is amazing and some awesome colleagues plenty of young colleagues if you re younger and starting out volunteering activities are great company is serious about philanthropy ,
148,149,18,"Pantry, lots of events and opportunitites.",3,"Pantry, lots of events and opportunitites.",pantry lots of events and opportunitites ,
149,150,18,Benefits and compensation are very good,4,Benefits and compensation are very good,benefits and compensation are very good,compensation
150,151,19,"Good work culture, smart people. Free food (though only soup for lunch). Great benefits. Amazing location. Volunteer opportunities as well as ""communities"" (clubs) provide a fun social scene.",5,"Good work culture, smart people. Free food (though only soup for lunch). Great benefits. Amazing location. Volunteer opportunities as well as ""communities"" (clubs) provide a fun social scene.",good work culture smart people free food though only soup for lunch great benefits amazing location volunteer opportunities as well as communities clubs provide a fun social scene ,"smart, work, food"
151,152,19,"good pay, good people, nice office",3,"good pay, good people, nice office",good pay good people nice office,
152,153,19,My department is incredible. Everyone is cooperative and truly cares about each other and our clients. It also really incentivizes you to grow within the company and explore new projects.,1,My department is incredible. Everyone is cooperative and truly cares about each other and our clients. It also really incentivizes you to grow within the company and explore new projects.,my department is incredible everyone is cooperative and truly cares about each other and our clients it also really incentivizes you to grow within the company and explore new projects ,company
