"","x"
"43","Some very intelligent and smart people on the floor, equally smart in politics. 
Good base compensation, leaves but less growth opportunities
Good work environment and facilities."
"44","Good environment to work with"
"45","It's a great company to work for. Good company culture, good benefits and even good management."
"46","- Top in class CEO
- A meritocracy 
- Truly global with a diverse set of employees
- High performance culture
-  Focus on leadership / empowerment as opposed to just management"
"47","Great benefits. Flexible and open management. Good work environment. Exciting work. Opportunity for growth. Innovation culture."
"48","1. Work-life balance
2. You find all kinds of people - smart, hardworking, kind"
"49","C This is revenue generating organisation. Do not expect IT service based strategies. No concept of resource pool.
Atmosphere is positive and growth oriented.
Technical growth and opportunity depends upon project.
Technologies- Java, Springboot, Ruby, Python, Scala etc
Lot of work in data science 
ompensation is better that service industry but lesser than banks still it is good.
Good increment for technical people"
"50","Average compensation.
Good brand name.
 That's about it."
"51","Challenging work, dynamic work environment, talented people, rather flat hierarchy"
"52","Good salary, training, and good office location"
"53","Good working environment and flexible working hours."
"54","Possible relocation to the States"
"55","Decent compensation and good functional exposure"
"56","Multiple options within the company. Good pay."
"57","The company is making a significant effort to promote innovation.  You are encouraged to put your energy and ideas to work.   Teams are globally distributed, so although you may need to take meetings at all hours of the day or night, there is understanding if you need to carve out time for your life during what more traditional corporations might consider the work day.   The people here are very talented and... hard-working."
"58","Flexibility with work hours . Dynamic nature"
"59","Flexibility to work from home,  ambitious work environment"
"60","Good work life balance. Decent compensation."
"61","Tiene 20 días de vacaciones y puedes tomarlos desde el día 1 de tu ingreso, 10 días de sick day sin justificar, 30 días de aguinaldo, además de varios seguros adicionales a lo convencional, como seguro óptico y dental."
"62","Salary, bonus, salary, bonus, salary"
"63","-Intelligent, driven, colleagues
-Decent pay with good work life balance"
"64","-People in the Boston office are great
-Very flexible hours
-Pay is good for what you're actually doing"
"65","Good work-life balance, Competitive pay, innovative, talent is appreciated"
"66","MSCI is a great place to work. Great compensation schemes and open to career development. It is a great place to begin a career in the financial services industry."
"67","Autonomous working style, self starter appreciation"
"68","Global team and high exposure"
"69","Permite el home office, excelente empresa que permite el crecimiento del empleado así como trabajar desde diferentes partes del Mundo. Excelentes prestaciones y ambiente de trabajo muy competitivo."
"70","World leading international company and great product offerings"
"71","Good salary, smart people (though this has decreased in last couple yrs)."
"72","It's a great experience"
"73","Generally the people I worked with were quite intelligent, motivated and professional."
"74","Comp and culture is good"
"75","You get to meet people with great backgrounds, typically from top universities or elite firms.  The firm also has good work/life balance"
"76","Work life balance and career path"
"77","Excelente ambiente laboral con flexibilidad de horarios. Prestaciones altamente competitivas. En general muy satisfecho con la compensación de la empresa."
"78","A work-life balance place. All colleagues are nice."
"79","Great people, great solution"
"80","Good work environment and team"
"81","Good work environment.  Flexible work culture"
"82","Above market salary and competitive benefits
Challenging roles 
Highly skilled employees
Many learning opportunities"
"83","great colleagues; collegiate; flexible; gives you breathing room; work from home opps; management is not in the office; good work life balance"
"84","Good environment, people and place"
"85","Good environment and learning opportunity"
"86","Compensation  and work ambience is good"
"87","Good environment, flexibility, growth opportunity"
"88","Great benefits and laid back atmosphere"
"89","extremely smart employees, engaged in all of the growth areas of finance...factor investing, ESG, smart beta"
"90","Ambiente saludable y equilibrado con baja presión y gran libertad para desarrollar el trabajo. Existe la oportunidad de trabajar con nuevas tecnologías y soluciones a gran escala, lo que permite realizar propuestas y soluciones innovadoras. La oficina está bien localizada."
"91","Good culture and opportunity for freshers"
"92","Salary, people can get good exposure to new technologies, work from home facility"
"93","No work load and good work life balance"
"94","Great company to work with in terms of profile, exposure and pay"
"95","I found the work culture very chill.
Management and planning of the work is excellent.
Colleagues are very knowledgable. 
You get to work with a global team. 
Good salary however the increment is always linear irrespective of your performance."
"96","Very well organized with good colleagues to collaborate with."
"97","Good work Culture, Opportunities available to grow"
"98","i enjoyed and liked working here."
"99","Highly skilled people, strong analytical competences, good compensation schemes"
"100","Great work culture and lots of chances to take additional responsibilities"
"101","Cool boss
Unique culture
Fun (challenging) work
Amazing benefits"
"102","work and life balance, nice people"
"103","Many teams in the office"
"104","Global culture, people in different offices and departments really support each other. Work with very knowledgeable colleagues and can learn a lot."
"105","Excellent pay, informal environment, friendly management."
"106","Work and life balanced and reasonable support."
"107","Brand in Finance
Analytics legacy
Top quality client list
Global presence
Cash flow business
Comprehensive cyber security"
"108","salary and benefits, work-life balance, office quality"
"109","Well paid, infrastructure,good place for a job not career"
"110","- Great opportunities for growth and development
- Friendly environment
- Great diversity of use cases, investment problems and areas of expertise"
"111","good benefits , good pay and all"
"112","Pays well, has lots of passionate employees who go the extra mile, dynamic environment, diverse and multi-cultural teams, growing business with diverse set of products (i.e. offers broad range of learning opportunities and exposure to interesting types of problems to solve and clients), good and well known brand."
"113","1. Good Place to Work.
2. Work Life Balance in most of the Teams.
3. Talented People."
"114","- Empowerment
- Transparency from Senior Managment on down
- Work with smart research and technology colleagues
- Results driven organization
- Extreme focus on shareholder value
- An experienced and demanding management team"
"115","good salary as market standard."
"116","Smart Employees, will make great friends there"
"117","Nice Increments
Better Salary than Market
Flexible timings
Work From Home facility
CFA and FRM Exam fees sponsored"
"118","Cute office. Relatively high salary."
"119","Multi-cultural and very friendly environment"
"120","- Work/personal life balance
- Mobility and career path
- Market leader on index and analytic solutions"
"121","Some really smart people and interesting work"
"122","Work life balance is good"
"123","nice office, good salary, pro colls"
"124","A friendly place to work for."
"125","Benefit is good, and most of the groups have very collegiate and dynamic work environment"
"126","Good work life balance presence"
"127","nice building in the middle of the financial district"
"128","Pay,  work-life balance, smart people, industry standing"
"129","Great office, work environment, great team, agile, education for personal and professional growth, management transparency, benefits, HR resources."
"130","Innovation is a priority, compensation and leave are competitive. Interesting business problems to solve. Opportunities to advance are plentiful."
"131","Lenient management, Work is less, Party is more. Culture is good. Management Consists of people from Diverse background and Upper management consists people from IIMs."
"132","Have to opportunity to work from home if in the development space."
"133","Good work culture and work life balance"
"134","Knowledgeable coworkers.  The organization is loaded with top quality talent."
"135","Great work culture
Friendly environment
Opportunity to learn"
"136","Great benefits, good perks, nice people to work with"
"137","Best team mates. Everyone was so welcoming"
"138","Good work life balance. Good learning if self driven in the field of financial risk. Opportunities to move abroad if you’re in the right team."
"139","Great company to work for"
"140","They paid good compensation for the positions."
"141","Awesome work culture, No micromanagement, helpful people"
"142","Some  really  smart  people and interesting work"
"143","Compensated well
Interesting work
Intelligent co-workers
Non-political environment"
"144","Competitive salary, nice benefits and great paid time off"
"145","Good offices and benefits. Excellent work life balance."
"146","Very well positioned in the market. Generous vacation and comp structure"
"147","MSCI as a company has great and employee friendly policies. Good co-workers and stakeholders. Pay higher than market and great exposure."
"148","-variety of work.
-good people to work with.
-good benefits."
"149","Flexible hours, can work from home if needed. Good health medical. Not a lot OT. Good stable place."
"150","Has a decent culture for a company of it's size. You are not locked into a specific domain technology wise - there is as much room to grow as you have the desire and capacity for."
"151","I worked with MSCI for almost a year. Flexible work hours, Work life balance, Learning opportunities."
"152","Work from home option,
Pleasant environment,
Competitive salary,
Opportunities to move to the developed markets."
"153","10% pension scheme, can't think of anything else. Private Dental, Bupa, private GP service, cycle to work scheme. Nice building."
"154","Great personality amongst employees. Great opportunity to get experience, with lovely people. Basic perks included"
"155","My team is great, I have a good life/work balance"
"156","Like most places, there are some really talented and intelligent people working here.  You can escape the long hours and high stress of the investment banking world.  MSCI pays well.

Great benefits including gym membership discounts, backup daycare and 16 weeks of maternity leave."
"157","Great Working culture you can grow"
"158","Good hours fair pay. Lots of talented people in the research department. Corporate culture is slightly better than some other rat race financial institutions."
"159","Good work environment
Acceptable work-life balance
Opportunities to transfer abroad
Leading company in its industry"
"160","Decent work life balance, flexible hours, salary and benefits, able hr team up to 2014"
"161","Relative low work load here."
"162","Global research team is impressive"
"163","Work life balance is excellent, salary is competitive."
"164","Stability of the Company
Travel opportunity
Work ethics f employees is good
Nice work environment"
"165","nice to as an intern to enjoy life and work balance"
"166","The MSCI brand name and the high Academic Standards of its employees. Sales leadership and improved performance related pay. Learning culture."
"167","Good exposure to international markets, if you are interested."
"168","Good salary at the time of Joining.
Provides Opportunities to shift Departments."
"169","Good work life balance and inspirational leaders"
"170","- Sincere strategic investment in ESG business, strong support from the top
- Get to be part of the 'leading edge' in the ESG industry, in terms of thought leadership and influence
- High standards of integrity, quality, people
- Work with very smart, eager, earnest people who are passionate about what they do
- Ability to forge your own career path"
"171","Great company to work in. There is a great working environment."
"172","Flexibility of timings,  Good hike on joining, Nice office space"
"173","the compensation is good and they give a yearly bonus however total compensation is not so great."
"174","Employee friendly. Good compensation. Talented colleagues."
"175","Flexible
Full of opportunity and learning
Work life balance"
"176","They had good culture and good health Benefits"
"177","Management spends very little on initiatives so they can put this money into bonuses. People are well compensated but there is no work life balance so this compensation comes at a big personal price."
"178","Far pay, fair hours, good work"
"179","Strong Index business unit with good client list and dedicated people in various business units."
"180","Great office facilities and time convenience"
"181","This is a good company - a number of people I interact with are great, but as with other companies, there are some who are not very pleasant to work with. Managers I've had so far are great - they give you solid advice how to get to your goal and helps you transition from being an individual contributor to becoming a team leader. Mobility is also one of the good points for MSCI since the company is open to assist... employees move from one location to another or department to another, if they see that this employee will be a great addition to the team they are transferring to."
"182","Good insurance scheme. Good work-life balance."
"183","Work life balance, good learning, good culture, good Insurance cover, home drops provided"
"184","Great people are working there!"
"185","Amazing  people, lots of fun activities, good salaries even for freshers."
"186","Only the Corporate Services Team and the few teams working during Indian Timings are good to work with. Corporate Services Team get all the facilities from the company and they enjoy their 8 hour job with timely promotion and bonus."
"187","well only thing that comes to my mind is office is good and toilets are clean."
"188","Good company to work
Good work life balance"
"189","Flexible working hours. 
Benefits are good."
"190","Good remuneration, good salary structure, great market value"
"191","This is a very reputed firm and for good reasons.
Compensation is among the best.
Most people are very smart."
"192","- Benefits
- Great environment
- Multinational environment"
"193","-Culture is very open, inclusive and vibrant.
-Seniors are approachable.
-Goals of Business are clear and shared to with us every year to align our department goals.
-No Ratings/ No Bell Curve in performance appraisal- Which is fantastic!"
"194","company culture, benefits,compensation, office, flexible work schedule, good atmosphere"
"195","Global finance exposure, develop finance and IT knowledge, good agile team, well known brand globally, stable place for a long term career."
"196","Was great team dynamics 10 years ago.
New management slowly killed jobs, morale and innovation.

Interns can be helpful, before they move on and don't look back"
"197","Good culture and decent benefits"
"198","Very professional organization, good benefits"
"199","Growing company, stable job. My colleagues were generally very pleasant to work with."
"200","Great Process, work life balance and good culture
I didn't find politics in teams
Professional and good people
HR are great"
"201","good pay, good work culture"
"202","There are a lot of opportunities for growth and transfer in different office locations worldwide, flexible schedule, great environment and culture"
"203","Great company to work with!"
"204","The Company is of no use. So there is no Pros in this company."
"205","Average salary with some flexibility for family life, only if you are on the ""favorite"" list."
"206","Relaxed working environment. Good work life balance"
"207","Flexibility in the company, you can change from office around the world for a couple of weeks if you want, a lot of home office is possible"
"208","good culture and work life"
"209","Decent pay.  Flat organization.  Nice NY office space."
"210","Only good thing about it is once upon a time it was part of a good company Morgan Stanley Now all the good people have left and comapny is left with mediocre people where the manager believes there main part is playing politics"
"211","Good work/life balance
Just do your job and you will be fine"
"212","Best to work, good environment , competitive salary, good culture"
"213","The organisation is fabulous place to work in and the culture is based on meritocracy. It has an open door policy and an employee friendly culture. Your performance will definitely earn you rewards"
"214","Flexible timings, good pay, smart people"
"215","Superior and differentiated products.  Lots of opportunity to contribute.  Surrounded by smart and energetic people.  Excellent management team who seeks to innovate and deliver high-quality results."
"216","Exposure to global teams; good HR benefits"
"217","Salary,
Not much work pressure
Good for people intrested in monotonous work without applying logic"
"218","Vacaciones 20 dias, algunos jefes son flexibles, hay 10 días de enfermedad que no requieres justificar, 30 días de aguinaldo, 50% prima vacacional."
"219","Global teams, Flexible timings, ok"
"220","MSCI  was a great company to work for. Over my 10 years here, MSCI gave me several opportunities that fuelled my passion and potential.  Careers develop at MSCI as long as one is a strong contributor and flexible. MSCI is also placing a huge emphasis on employee engagement and career development which will only make it an even better place to work in future."
"221","Work culture is fantastic. You've plenty of team events and activities all round the year. You get to learn pretty new things with different projects."
"222","awesome environment, great food at low price , great pay scale"
"223","Multinational working environment;
Working with people from the other side of the world;"
"224","good work life balance, used to provide good benefits"
"225","Great colleagues and team mates.  Smart people too.  
Feel like a diverse international firm.  
Global team work and collaborate closely together.    Fun too."
"226","good name, ppl are smart"
"227","Solid pay, good health coverage.  Financial/Risk models are quite good in some spaces.  Company benefits from the high margins of the Index side of the business."
"228","Colleagues here are very nice and we do have work and life balance"
"229","Good work life balance. Flexible working culture."
"230","Great possibilities to build and achieve individual and corporate goals in a super-active environment. Fast pace projects with professional coworkers and available tools."
"231","- Very good work environment, with friendly people.
- Competitive compensation for the city and industry."
"232","Not a huge firm, most people are friendly, interesting product range"
"233","Nice benefits
Nice people to work with
Ok salary"
"234","company is employee friendly
and pay is also good"
"235","The salary and benefits are within industry standards. Flexible work schedule within department. The people are generally friendly."
"236","- Many learning opportunities
- Fine-tune numerical analysis skills
- Exhaustive data mining"
"237","It is a great work-life balance. You are able to leave work at a reasonable time and have commitments after works."
"238","1. MSCI's index business is subscription based and MSCI has been one of the leaders in this industry for a very long time. Due to this long standing creditability and stability in the industry, MSCI Clients continue to choose MSCI year after year. For employees, this often means high level of job security. Salaries are great and generally on the higher side. The salary structure is awesome with a very high basic... salary component (almost 60% of your total salary). This means the PF contributions are big and company matches what you contribute to your PF accounts. Yearly Bonus are over and above salaries and often range between 5-20% of your yearly salary, depending on which team you are on and how critical the contribution of the team is to the overall companies objective and strategic goals. Work life balance is excellent. I have seen people choosing their own flexible work hours depending on which location onsite they are supporting."
"239","Good atmosphere; good colleagues; not so many formalities, but still professional; one of the best financial software providers in the world"
"240","Fair and good treatment of employees
Highly skilled and professional workforce
Strong, caring, motivated and passionate local management
Beautiful office"
"241","- Working at MSCI  offer some flexibility to work from home.
- The work is interesting and you will get the chance to learn a lot about the finance industry"
"242","Good work environment, all manager are easily accessible, Good work life balance"
"243","A company which always thinks for its employees first -  be it the benefits,  facilities, culture or compassion for the people."
"244","Good exposure & lots to learn."
"245","Good work environment and nice colleagues
Opportunity to get exposed to advanced industry innovations
Opportunity to growth career"
"246","Work Life Balance
Good Pay 
Working Conditions"
"247","Great People and place - very international feeling and opportunity to work in different offices"
"248","Very little when change is severe and not managed.  Occasional high moments when helping a client really solve a problem"
"249","Good work-life balance. Pretty flexible about working from home, or taking time-off. 

Office camaraderie is pretty good at most locations.

Firm dips their toe into different areas of finance from Regulation, Factor Investing, Risk Management, etc. which may be good for someone who is just beginning their career."
"250","casual work atmosphere, good location"
"251","great working experience
good pay
friendly staff"
"252","Established Brand
Highly recurring subscription business
Well known data and analytics
Some smart people
Some innovation
Engagement surveys"
"253","Some really good people working there, trying to corral the mess that needs to be straightened out after most of the original talent got chased off by corporate culture changes.
If you're good, you could become a rock star. Beware the dangers that come with that."
"254","Great company if you are the share holder or if you are the client."
"255","Robust Training procedures
Global Team culture"
"256","A perfect Work and Life balance. Employees are well paid (above national average) and motivated. Working atmosphere is really friendly. 

Also selection procedure is very proper so that good quality talent is extracted."
"257","As a member of the training team, I have seen firsthand the effort and emphasis MSCI puts forth on developing the talent of it's people."
"258","Global experience. Opportunity to develop your skills, abilities and knowledge. Great work environment. Great benefits (based on Mexican labor market)"
"259","Professional
Fun place to work at
Amazing office
Good People"
"260","Had a good leadership which encouraged learning and development of employees. You get to learn Pure politics, learn soft skills to survive in tough environment. If you work in Norman OK then you get all kinds of video games, good restaurants. Nothing much at your desk."
"261","Flexible work time
Free drinks
Free fruits
Team building events
Xbox
International Environment
Lot to learn"
"262","Working hours are decent, office views in NY are excellent"
"263","As an employee of MSCI for over three years, I think the best thing about the firm is the varied experiences our environment offers. I have been given the opportunities to own projects from start to finish and to work in areas/functions I had not previously had experience. I feel my opinion is valued and matters because I am converse with senior leaders every day as a NY employee.

I also appreciate the... opportunity I have to interact with peers around the global who are leading minds in the index and analytics space. Our products win awards and are valued by our clients and I am proud to continue to play a part in this."
"264","It has some intelligent people working for it."
"265","Not many anymore.

Sometimes great sales meetings."
"266","It is a very established firm and has many mature products. The client base is huge. There are a lot of opportunities to learn and to grow."
"267","Interesting work tasks, high calibre of people."
"268","Strong Index business. 
Good client list. 
Dedicated people. 
Good office location and environs (London)
Good benefits package (London)
Here and there, some talented people."
"269","Learning is good for freshers.
Can pay well ONLY when joining.
Internal career mobility is there, but it comes only as a cost arbitrage opportunity for company.
Good HR practice/engagement level."
"270","Smart motivated people and solid mtmgt team"
"271","Good Company to start of your career. 
MSCI rarely hire freshers. So if you are one of them. Feel proud of that."
"272","1.  Great work culture
2.  Opportunity to work with people from multiple countries is gained
3.  Good work life balance
4.  Decent compensation"
"273","Very talented people and good team
Flexible on working hours"
"274","good exposure, good for freshers, good pay"
"275","Good benefits
Decent salary
Attempts are being made to possibly fix some internal issues"
"276","good reputation and open evironment"
"277","Good Company to work 
Nice renemuration ( Bonus and Increment)"
"278","Work/life balance was good. Nice people."
"279","good work life balance
fair pay"
"280","Good work life balance can still be achieved if you're hitting targets. Friendly and smart people work here."
"281","The NYC location is pretty good"
"282","Excellent team; possibility to explore various areas of finance; competitive salary (on the Hungarian job market);"
"283","Flexibility is there, Work Life balance is there, Good Salary."
"284","Hard to find anymore.  Can maybe get to work with new resources every now and then.  Management doesn't like to buy anything new.  Especially in California offices.
Some of the severely abusive and untrained managers have migrated to other fields. Of sorts."
"285","renommée à exploiter dans le monde de la finance"
"286","Strong franchise
Large research team
Good parts to make a great company
Employees
Teamwork"
"287","Nice office, interesting work, good salary"
"288","A company that cares about employees"
"289","Caring employer. Decent work life balance. Good work environment. Work content is also good if you like investment strategy research. Well respected name"
"290","Great learning particularly with regards to markets ( Risk , Portfolio Analytics , Index). Merit based culture , overseas travel , transparent culture and good work home balance"
"291","Well known brand, nice working environment, flexible working hours, good balance of life and work. Desirable benefits, particular fit to the staff has younger children."
"292","Smart people.  You can advance if you want to work all hours."
"293","Good benefits, a bit above average wage, high standard office, smart and dedicated colleges."
"294","A great work life balance"
"295","When I was there, there were many opportunities to move around within the organization, and I was able to work in different positions in different locations, which was excited as I was in my twenty's."
"296","learn indices and risk models. quite useful."
"297","I like work culture at MSCI"
"298","Good work/life balance
Great atmosphere/coworkers
Access to upper management"
"299","Learning about portfolio risk management and indices."
"300","casual work environment, very relaxed, free games, coffee, fun events"
"301","Salary Best in the business . Awsome facilities ,Great Work . Great Growth and career oppotunities"
"302","Decent work life balance and flexible work timings"
"303","They have great benefits and remuneration package. They are flexible when it comes to work, they allow you to work from home if needed. Job promotion is easy as long as you are a performer."
"304","Index business is really strong and dominates the market."
"305","Comprehensive benefits, great learning opportunities. Career path is highly dependent on how good your immediate supervisor is (or how invested they are in your growth)."
"306","a lot of room for growth, lots of holidays, vacation time, and excellent benefits. very talented group of individuals."
"307","Travaux de recherche et BD intéressants."
"308","good place to work and learn about various stuff - some new age technology and project management. comp is competitive"
"309","International and smart people, flexibility, ethical"
"310","MSCI is a lifestyle firm that offers a collegiate environment. Employees are hard-working but also enjoy benefits such as company-sponsored sports, events and other perks that make the workplace a good one. Work-life balance is also good."
"311","Friendly atmosphere, good learning and career opportunities"
"312","Great place to start your career, get good experience of a fast-paced company."
"313","Great Envt , Good team,"
"314","Good working hours, work-life balance, decent cafeteria, decent technology support, works well if your boss is not in your location"
"315","A lot of personal time"
"316","good work environment. felxability for kids"
"317","Good learning opportunity, global clients and employees"
"318","location, manager, team members, environment, peers"
"319","Great culture, great people, great ambient..."
"320","Work life balance , insurance , flexible hours , leaves all types sick leave paternity as well as maternity . Good cafeteria"
"321","Good working environment, Positive work culture"
"322","Work life Balance
Good Work Culture
Less politics compared to other companies in similar doamin"
"323","Good place to gain finance experience"
"324","Good pay. Work life balance. Learning opportunities"
"325","nice environment, nice people, chance to work overboard"
"326","I enjoyed ESG reserach internship."
"327","There are not a whole lot ... Well, decent work/life balance, however, that depends on which team you're on.  20 days of paid vacation was nice ... and the perks pretty much end there."
"328","Great dynamic environment, in some teams flexible and open management with good work culture.
Very good place to learn and develop in technology/data/finance areas, recommended for people with little to no professional experience. 
Benefits are well above average."
"329","Strong analytical product offering and great opportunity to learn and grow"
"330","Great subject matter, smart people, interesting projects."
"331","Nice Salary, nice workplace and colleagues"
"332","Great people, and great chance to learn for a beginner"
"333","Intellectually engaging. Great place to work. Good quality of work. Excellent people. Great Global Leadership. Very demanding. Rewarding."
"334","good paymasters, great work-life balance"
"335","Good work life balance here."
"336","Decent work/life balance with four weeks of vacation standard. There's some really talented people. Benefits were decent but going downhill quickly."
"337","Very smart people. Great products and strong presence in the marketplace."
"338","Average work-life balance.
Employee friendly policies.
Good technology stack.
Lots of opportunities to explore in your work area.
No too much of restrictions at work.
Support  and appreciates innovative ideas at work"
"339","Some new technology.  And a yearly fun day, which you will need to job search."
"340","The company has a truly global footprint and is at the cutting edge in terms of some of the services it offers"
"341","Some of the most interesting work in asset management. You are on the forefront of trends and get to experience first-hand how the industry manages money. You can get exposure to everyone from hedge funds, asset managers, pensions. A very broad view, with lots of large, great clients. You are not just dealing with a product, many times you are selling and discussing new ideas. Some of which are disruptive (which are... interesting). Lots of models, data, and analytics work."
"342","Relatively non demanding work hours."
"343","Working hours are not excessive."
"344","Work life balance, good brand"
"345","Challenging daily work with friendly colleagues"
"346","In Analytics group. Good Variety of work, Very smart team"
"347","Good environment, nice people around, decent office building."
"348","Mid size company, small enough so that you can have an impact, large enough to be able to work on different things, to have multiple products. Very good staff, slightly mismanaged."
"349","A great place to learn"
"350","All the people at MSCI are passionate about their work and clearly know the road ahead. Its a company with its heart at the right place."
"351","Good work life balance, senior people are accessible and easy to talk to, regular pay check, flexible with regards to relocation."
"352","Well recognized brand and market leader in benchmark indexing.  Decent lateral and geographic mobility especially with more experience.  Global presence and strong, diverse client base facilitate the educational process."
"353","Great work environment, high quality of people, market leading product, strong market positioning, very experienced management."
"354","* Nice Manila Building. In general, nice people in Manila"
"355","* Good pay masters.
* 360 review.
* Good work life balance."
"356","Not many.  Depending on your team you might have a better work life balance than some places, but this is only a temporary illusion as the ax is probably coming for you soon."
"357","The job position is very interesting, there are opportunities to grow in the company and compensation is nice"
"358","Good colleagues and a brand name that is recognised in the industry"
"359","some great people to work with"
"360","MSCI is a cutting-edge financial services company. Leading provide indexes, analytics, real estate data and Environment, Social and Governance reports. Smart, savvy employees in a global operation."
"361","Strong products, a good and well-known name makes it easier being a salesperson, good benefits package (but no work from home)."
"362","Good culture and work environment. Flexible work timings with work from home option. Provides options for mentoring, skill development, along with various other workshops."
"363","Bright people, good benefits, reasonable work life balance, good location and offices, global company. Doesn't suffer fools."
"364","Culture and Work Life balance"
"365","Excellent work environment - great client base, good opportunity for career progression, great management."
"366","Nice people and learn alot"
"367","Nice working environment at MSCI"
"368","exposure to senior level clients for junior workers, good work life balance"
"369","Structure jeune et dynamique, qui réussit bien et récompense bien les plus ambitieux. Bonne ambiance mais il faut beaucoup (trop?) s'investir. Absence de réflexion de fond sur le sens de la mission de MSCI."
"370","Earlier strong brand.    
Earlier humane and fair place.
Some incompetent and abusive management has taken their act elsewhere."
"371","Colleagues,decent benefits package, good work life balance, location."
"372","Mostly nice, smart people. Good benefits, relaxed atmosphere,  job security, great people."
"373","Not much.  If you're in sales you have an easier time.  Used to be fair promotions.  Now it's all just from weird connections.
Working to keep things in pipeline used to be an efficient process.
And there were easier sales until recently."
"374","Great it company that serves financial companies with data, analysis and market pulse through their indexes, risk models and portfolio analytics. It offers high degree of freedom during your work and the organization is relatively flat."
"375","job growth possibilities if you live in mumbai or manila; if based in dev market will gain exposure to other cultures when you train your eventual replacement"
"376","The people are nice and friendly. The team is young. The office is very nice and the staff was generally very friendly."
"377","Smart people to work with. But unfortunately the bright ones are leaving"
"378","Great Team and talent
Good Infrastructure and Benefits"
"379","Awesome colleagues, high class professionals, great benefits and superb work environment."
"380","Competetive salary.
Starts to develop a new platform."
"381","Supportive and open work environment. Get to interact with colleagues across the globe on a regular basis."
"382","Great colleagues, Opportunity to learn, Multicultural"
"383","Great benefits, people are great to work with"
"384","Good work life balance, Good Benefits"
"385","Decent benefits package, good location, impressive name."
"386","Very (too) stable, People are generally collegial."
"387","Great company work environment and collegues. Good work life balance."
"388","Work/Life balance is amazing. I almost never worked long hours. The company overall is very accommodating about working from home. 
Benefits, i.e. health insurance was good. Comp (for New York) wasn't spectacular, but decent."
"389","You work with great people.  Most of the people are nice to work with, and the offices are really nice.  It is interesting work at a company that is driven for success.  Great benefits."
"390","MSCI is a nice place to work. The benefits are great.. so are the hours."
"391","Disciplined about quality of data and client service"
"392","Great work enviroment, great company to work, worked with very intellectual people, make you feel to grow professionally"
"393","Very good environment, excellent atmosphere"
"394","Great Office, Good Salary, Lots of learning"
"395","Co-workers are nice to work with."
"396","Friendly people, supportive, nice building"
"397","Good perks, bonuses, relaxed work atmosphere."
"398","Some managers are great to work for and very helpful. There is not a lot of day to day management of employees, but there sure are high expectations which they hold you accountable for."
"399","good work life balance
people are friendly, flat structure"
"400","Excellent benefits and quality of work; never let go of a chance to join MSCI when you have reporting boss sitting outside India"
"401","Some occasional interesting innovation.  Index part strong but facing competition"
