"","cons_page1"
"17","The Rockville office is being closed, so long time employees are being let go left and right with no option to transfer to other offices.  Management will tell you that you're work is appreciated and that you're doing a good job but them lay you off in the next breath.  There are no opportunities for advancement and the work is very tedious."
"18","Stop lying about the Rockville office."
"19","Loose and unprofessional management. Some key management roles are filled by people with poor risk management knowledge and very much into the politics."
"20","Be honest and be fair."
"21","Lack of transparency around compensation
HR is slow
The company has been acquiring other companies almost non-stop for close to 3 years, so there is a constant feeling of chaos 'due to the transition'. 
Long-term employees are scared for their jobs so morale is low in some offices
Changing roles requires a lot of persistence, patience and support from your manager"
"22","Devise a strategy for keeping your experienced workers, as well as young talent
Make employees feel valued
Push managers to give regular feedback and provide incentives/rewards for good performance"
"23","Not a particularly professional management that seems to be driven by emotions rather than by strategy and focus. Communication is very poor and essentially non-existing, unless one is in privileged circles (it is so bad that it can affect one's work)."
"24","Treat your subordinates with more respect and try to understand what they do.
Use their skills and strengths better, share information and delegate responsibilities. 
Be more transparent and straightforward. 
Motivate and create professional growth opportunities."
"25","Micromanagement can be overbearing at times. There is a lot of emphasis on internal meetings which can take up a lot of time and leave little time for anything else."
"26","Management can try not micromanaging their teams and let each individual think and act as owners."
"27","A small number of insiders seem to be in charge at the top. Filled with people turned spineless and afraid of their superiors (and believe they should like it this way). Focus on a “meritocracy” culture to reward compensation but a competitive non-entrepreneur attitude is a result."
"28","The best companies are not run by dictators or their sons."
"29","Low salary
Limited possibilities of career advancement"
"30","Please, increase compensation package!"
"31","Work-life balance different for each different department.  If you work for a boss with no life, expect to have no life yourself."
"32","Going public was a bad idea for employees.  A culture as strong as RMG cannot survive when it has to answer to private equity and executive boards."
"33","- strategy of offshoring creates insecurity among US staff and creates need to be available around the clock for meetings in various time zones"
"34","- Engage more with all levels of staff to understand ground level challenges
- Examine strategy to hire in emerging market regions as it is creating stress among US staff as folks have to work around th clock to accomodate meetings in budapest, HK, Mumbai and Monterrey"
"35","Limited information about the frequent M&As."
"36","Integration is key to building a successful product and service. Integrate all your pieces first before adding new parts to the puzzle."
"37","* The financial aspects of risk management, at least in the Berkeley office, is overwhelmed with the day-to-day necessities of keeping a data processing infrastructure going.  There is not much time left for financial analysis, if that is what you are looking to learn.
* Management does not understand how the IT systems work, so there can be a lot of misunderstanding.
* The company is outsourcing a lot of its work... to offshore locations, so if you are American and want to stay that way, good luck."
"38","* Spend more time trying to learn how the systems you oversee actually work, and a little less time in meetings."
"39","- The Barra business (risk models) is a constant source of frustration. The firm didn't manage the acquisition of Barra well and is still struggling although some signs of improvement are visible.
- Management style is top-down, prescriptive and formalistic. Won't suit engineers and quants who look for creative freedom. Management loves global reporting and controlling. It feels like they distrust their employees... and constantly feel a need to rein-in and micro-manage. 
- This isn't your place if you are a programmer or researcher looking to work with the latest tools and push the boundaries. Working at MSCI feels much more like working for a big accounting firm than like working for Google.
- The firm has embarked on an ambitious offshoring strategy. If you are looking for a job in Mumbai, Monterrey, or Budapest you're fine. If you look for a job in the US, expect trouble ahead."
"40","- Sort out what you really want with the Barra business. Stop over-announcing and under-delivering.
- If you're serious about business growth, you have to trust your middle managers and delegate more."
"41","The pay could be better.  The bonus structure can make up for lack in pay, but it all depends on which part of the business you work for."
"42","Don't sell this company.  You have a great thing going here and with the loyalty you have built up, the sky is the limit."
"43","Senior management is keen on cost cutting. You should not expect to get good bonus. 

The merging with Risk Metrics introduces many uncertainties."
"44","Do you really want to keep good ppl ?"
"45","Unfortunately there is no business travel. Some merger turmoil."
"46","MSCI should be careful not to kill off the RiskMetrics culture of meritocracy and flexibility"
"47","-  Lack of management focus
- Ad hoc style of product development and delivery
- Underinvestment in content development groups"
"48","In regards to the merger with MSCI:
- Please keep the free and innovative culture
- Building a world-class analytics shop requires on-shore research and development talent."
"49","too intense with ex ms background 
some managers can do with management training
cost cutting and job insecurity with moves to emerging markets
talent quality not great in some locations"
"50","management restructing
use of technology platforms
better comp vs work hours etc
focus on retention, many people leave at first oppurtunnity"
"51","- hostile work environment;
- toxic atmosphere;
- unispiring management; 
- absolutely no oversight over the actions of the lowest-level management;
- very disappointing base salaries in comparison to market rates;
- annual bonuses are paid out at random, since no objective metrics are used to evaluate performance;
- since there is no oversight and no objective metrics are used, promotions happen at random;
-... lack of true long-term strategy (it seems to change as often as the management);
- questionable hiring practices;"
"52","RMG managers always talk about people being the most important asset of the company. I would go even further, people (their knowledge, skills, and experience) are the only asset that the company has. An inability to manage this asset is shocking. There is no managing going on at all most of the time. It is just all totally haphazard. The company can't retain talent. It appears to me that RMG retains and promotes the... mediocre (at best)."
"53","The salary is not very good"
"54","Too much meetings"
"55","Opportunity to move up can be dangled like a carrot for years.  Little respect for personal time.  Pay does not seem connected to performance."
"56","MSCI Barra attracts talented people, but is unable to keep them.  There would be a large increase in satisfaction from clients if employees were more consistent and knowledgeable people were provided incentive to stay."
"57","Some very senior managers show no loyalty to staff.
Some emerging markets offices never receive visits from senior managers.
Loyalty is not evenly rewarded.
Promotions at the highest levels are motivated for reasons other than merit-based."
"58","TREAT employees more decently.  TRAIN them more consistently.  TRUST them to do their jobs."
"59","Culture of managing people by fear
Blame is the key way to approach subordinates
Management is extremely secretive about its plans and next moves
Poor bonus compensation
Cost cutters, only growing in emerging markets
Poor career prospects for long term."
"60","Sell the company to a bigger one. After all people do not matter."
"61","Most managers work on perception, and that may lead to unfair treatment of employees. Not all groups have similar requirements for promotion or compensation bonuses etc. so that can be demoralising if you are at not in the 'right group, or the more favored projects'.
Also the whole cost cutting thing is getting too far, the Berkeley office has been shrinking and everyone's expected to almost work on a 24hr cycle to... keep up with the offshore offices."
"62","value the hardwork your employees put in regardless of whether they are in your most favorite projects or not."
"63","the office can get chaotic with recent acquisitions, people are still unsure of the direction the company is going to go"
"64","better career advancement, stop being so secretive about employee compensation, have a clear goal for the future, and keep up the morale"
"65","Some management need formal training. Acquisitions have not helped with clarity in direction."
"66","Formal leadership training program for all managers and team leaders."
"67","At times, RMG needs more strategic business focus and leadership.  While we have grown enormously over our history, I believe we could have achieved even more if we had more focus and organizational clarity."
"68","At this point (about to be sold to MSCI), the question is somewhat moot.  So, for the new management, preserve the important parts of RMG culture as you integrate and change the business."
"69","underperformers not properly encouraged to work harder; currently going through buy-out exploration with MSCI (see MSCI review to find out what this may mean to the RiskMetrics culture)"
"70","general advice to management, current and future - listen to the feedback from your employees - with a staff of PhDs, MBAs, etc., maybe they might have something to contribute"
"71","What innovation?
No career advancement opportunities
Products are stale like day old bread
Stingy on education reimbursements
Middle management is completely useless"
"72","Need to improve synergy with ISS and CFRA products."
"73","The so called work life balance = some people work around the clock, while others work 9 to 5 yet spending time in game room."
"74","Nothing matters now as it'll soon be the leadership of MSCI. It is a good decision of the leaders to have fun now after making enough money."
"75","There's lot of scope for  improvement of benefits. No formal management or leadership training is provided. Work life balance is preached but the practice is not encouraged"
"76","Out of box thinking should be encouraged more. Innovation and increasing efficiency should be part of the daily job and managers should be rewarded for these activities."
"77","There is no pre-defined career path at RiskMetrics actually means that (for most employees) there is no career path.

Pay is not high compared to what an employee has to offer."
"78","No so much coments really. It has been acquired by msci and more than 80 percent top management will be leaving."
"79","There isn't much room for growth both horizontally or vertically; cross functional move is difficult as the functions are speaded out worldwide and there is no systematic internal recruiting;"
"80","Management needs to focus more on putting the right people in the right role and define the roles better; the roles within an organization shouldn't be static and it's the managment's responsibility to plan strategically to redefine these roles and match them with the right people to maximize efficiency"
"81","Lack of career growth
Lack of creativity
Lack of organization when it comes to planning and getting things done
Everything is done in a cookie-cutter fashion
Too bureaucratic"
"82","Treat employees with more respect"
"83","appraisal process, senior management direction less"
"84","take into consideration market opportunities and more freedom to analysts to work on new areas"
"85","Poor long-term career prospects. 
Uncompetitive base salaries. 
Disappointing bonuses.
Limited learning opportunities (at least on the corporate governance side).
Toxic atmosphere.
Promotions/bonuses motivated by reasons other than performance.
Talent or hard work are not appreciated. 
Low morale - most ISS employees are looking for a new job these days. 
Uncertain future."
"86","Treat people with more respect, be more transparent, and inform better.
Get some kind of strategy and try to stick with it for a while. 
MSCI - fire the current RMG management, and get some new people -> the current management is so bad that no matter who you hire, it can only get better."
"87","too many reports and meetings, you'll have to get approval for almost everything."
"88","nothing"
"89","Too many meetings.  Too many generals.  Prefer to throw people at a need rather than technology which leads to too many opinions and analysis paralysis."
"90","Improve technology.  Stop micro managing.  Trust your employees.  Get rid of deadwood as there is a lot of it.  Keep improving products."
"91","too structured and top down, not a fun place to work. top management has a strong culture of cost cutting."
"92","put more balance between cost cutting and employee satisfaction and career development; also need careful balance between sales culture and research culture"
"93","Not enough trust.
Too hard to get approval and/or sign off on work.
Bad communication.
Very difficult to progress if you don't associate with the ""right"" people = extremely inconsistent treatment of employees.
Staff turnover is high."
"94","Listen to employee feedback and make changes accordingly.  Cut communication blockers.  Remember that employee satisfaction saves money and dissatisfied employees cost money."
"95","Too bureaucratic and process oriented that many times it becomes an obstacle to progress.
Saving money, cutting cost and greater profit margins seems to be the main concern for the company. 
Focused on outsourcing current and new roles to developing markets."
"96","a company such as MSCI is made up of brains, people that is. Need to focus more on employees satisfaction and a whole lot less on cost cutting."
"97","Not enough recognition to outstanding performers.   The compensation is not very competitive compare to the market.  Frequent merger and acquistions intimediate job security."
"98","The management should provide more training and opportunities to the junior staff to help them develop a sense of belonging since turnover rate is quite high."
"99","heavy on the paperwork to get any training, travel or expenses approved- it needs to go up 3 or 4 levels of management!
not a lot of space for people with a good idea to 'run with it'-- everything needs to be pre-approved and scrutinized, meaning the company isn't exactly nimble and can't support thought leadership"
"100","develop a real HR strategy and some form of talent management. eventually, staff with some ambition will get tired of being process monkeys and will look for work where initiative and a focus on personal development are rewarded."
"101","lots of turnover at times."
"102","keep employees informed of what you are working on."
"103","poor morale and high turnover
heavy cost cutting
lack of direction and vision from management
no career path and training
not compensated or rewarded for accomplishments
no accountability"
"104","Value your employees and compensate them accordingly. A continental breakfast a couple of times a year and your words of praise are meaningless and often more insulting than motivational."
"105","This company actively promotes a culture of dis-trust and opaqueness. There is far too much red-tape to get your job done -- from travelling, to purchasing resources (even just a book), to hiring -- every decision, big or small, must go through governmental levels of bureaucracy (in fact it may take less to pass a bill in the US Congress than to travel in this company).

The Senior Management is utterly clueless... about what it means to be a software company. ""Data, data, data"" will get you only so far -- the rest must be made up in offerings and services. But, if MSCI isn't willing to invest heavily in writing that software it will fall to its competitors.

As mentioned before, your office mates tend to be good people. However, most of the talent in this company has come through acquisition or junior new hires. So, your mates don't tend to stick around long -- after they've found out what this company is *really* like.

The Senior Management tends to say one thing and do another."
"106","The bottom-line is always something that must be considered, but there must be balance. You can please the investors by constantly cutting the bottom-line, but eventually you'll start cutting away at vital organs and the company will die. Quick! Turn the ship around before she sinks; don't make the same types of colossal mistakes that sank the Titanic."
"107","Expenses are scrutinized heavily and make it a barrier for being productive.
Middle management is ineffective, too many meetings, too much posturing, less real effective work done."
"108","While there is good communication by the CEO, execution by middle management is lacking."
"109","The company is getting larger and larger and it is easy to get lost in the shuffle.  As it grows there is more red tape."
"110","We must always keep our customers in mind when expanding and make sure we create products that are tailored to our customers."
"111","Too many managers
Red Tape
very Autocratic"
"112","Need to be more flexible"
"113","High Turnover rate due to
  Failure to promote.
  Top Performers rarely compenstated.
  Wallstreet Hours for non-wallstreet pay.

Inept  Middle/Senior Management rarely fired and rewarded only for cost cutting rather than productivity improvement

Lack of Job Security given Mgmt pursuing cost-cutting outsource strategy.

Cultural difference stemming from MSCI buyout of Barra.  Led to a mass exodus of people... in Berkeley to other firms. The brain drain didn't help much in terms of morale.

Can't imagine what the RiskMetrics Buyout will be like.

There is only one Aegis."
"114","Create a strategy to retain junior/entry level employees via Career Ladders or better compensation arrangements.
Possibly create a rotational program for entry level canditaes

Save money by laying off Senior Managers who don't understand the infrastructure and its requirements rather than Outsourcing."
"115","A toxic environment filled with in-fighting and turf wars amidst senior and middle management 
No accountability, no stability, no transparency, no performance standards, no trust. Everyone says the right thing but not much gets done except a lot of running around in circles  
Poor compensation"
"116","learn to trust"
"117","It can be a depressing and oppressive place if you like ideas, if you are creative, or feel that the management does not always know best."
"118","You may lean a thing or two by listening to employees, and not only to those directly under you."
"119","The salary cannot compare with that in i bank."
"120","Spend more resources on training.
Sales is important. However the knowledge and skill of the employees keeps the company's leadership in the industry."
"121","Middle to senior management left so much to be desired.  Friends were promoted or favorites, instead of those actually working.  Often times, junior members on the team were left on their own to figure out things instead of getting explanation or guidance from more senior members."
"122","I noticed most of the senior management that was in place when I worked there have left.  Their job titles and apparent roles had changed quite a bit.  I would advise the current management to value their employees and listen to their ideas."
"123","La charge de travail peut parfois s'avérer trop lourde."
"124","Very procedural by nature, not very open about structural changes, things communicated to every employee without much opportunity for two-way exchange."
"125","Hear all employee's suggestions and ideas. Reduce the bureaucratic process - it can stifle creativity and growth, both of which are vital for the growth of the company!"
"126","Lack of cultural investment in outside-the-box thinking and employee engagement.  ""Efficiency"" as a buzzword for systematic removal of creativity.  Highly controlled environment with emphasis on making every peg fit in the round hole.  One way communication from management, lack of transparency."
"127","Especially after the acquisition of RiskMetrics, MSCI strongly underestimated the cultural issues of fusing a creative and less bureaucratic workforce with a systematic, autocratic approach.  As such, many legacy employees are left disgruntled, and existing employees are frustrated.  Engagement with employees is the only way to effectively understand their value.  Ultimately, management would have to either 1.)... change the culture at the firm if it values the more creative aspects of its industry, or 2.) remove employees who have cultural differences."
"128","no trust to employee, 
no support from management"
"129","Needs to do a better job at keeping morale high and offices that were acquired during acquisition"
"130","Micro management, unwarranted prejudice shown by managers, little scope for growth and tendency to get into comfort zone"
"131","You do a good job hiring capable people for the most part, give them some latitude. There is nothing wrong in acknowledging that the folks under you are better"
"132","Low morale
Too many meetings-Need less talk and more work done
Depressing office environment
Job insecurity
Many different cultures brought together in aquistions that do not work cohesively (one is laid back- the other understands the Urgency)
Managers who do not fully understand their teams or the work their teams do 
Time-off discouraged between March-June
One person expected to perform the duties of... several employees or an entire team because of cost cutting
Talented, experienced employees are expected to train new hires and are then laid off"
"133","Talk to current employees to get an honest opinion of their work experience at MSCI.  Ask for feedback.  I'm sure you would be amazed at the response.  Everyone has something to say.  Who will listen?"
"134","no career growth opportunity in the company"
"135","Focus on revenue and growth, but not personal agenda"
"136","Very slow growth within the firm. Sometimes, the work you do is like a back-office job which deals with simply extracting data and presenting it on an excel sheet."
"137","Encourage rapid career growth within the firm. Currently, the company is growing quickly but people are not promoted very often which leads to a lot of dissatisfaction."
"138","No work/life balance.  Good performances are not rewarded.  Career growth is not provided to good employees with excellent performances."
"139","Management does not try to reward or retain good employees; as a result, there is high turnover and overall dissatisfaction among employees."
"140","Expectation management is bad in IT
Incompetent research leaders make bad technology decisions
Technology is awful in some areas
Management doesn't care enough about people"
"141","Take care of your people
Manage expectations of new hires in IT
Improve code quality
Allow your experts to decide about technology, give freedom to create for anyone"
"142","the way of treating people is too tough now"
"143","Treat people better"
"144","Too much movement went on in the previous periods, you probably have to go after projects. Communication is not satisfying paired with some past errors committed by senior management."
"145","Establish a system that attracts and retains talent. Hiring people and forgetting about them is not a way cutting edge technologies and leading organisations should be built."
"146","Though traditional benefit packages – insurance, vacation time off – are not always as generous with smaller employers,, this same group may have more flexibility when it comes to other perks such as flexible work schedules or working at home."
"147","so far so good. But a long way to go. we need attract more talents from business schools. We need more junior people in the company."
"148","- high turnover which leads to low morale among employees
- limited learning / growth opportunities
- too cost conscious"
"149","MSCI strategy to create shareholder value is to build low cost operations in low cost countries like India, Mexico, Budapest and Oklahoma.    There is a lack of trust in staff.   Onerous process driven culture inhibits creativity.     Seniority resides with former Morgan Stanley guys who have no new ideas and aren't going anywhere.     Overall it's a depressing environment."
"150","Trust your employees, empower your employees and create a vision to where the company is going strategically."
"151","1. Risk averse culture
2. Roles in the offshore centers are backoffice-ish in nature"
"152","the office space needs improvement; retain talent"
"153","take risks"
"154","Turnover is very, very high
Low morale across company
Many people stay who want to leave because of poor job market
Widespread dissatisfaction with management, lack of fairness
Compensation transparency/fairness is nonexistent, two people with same job/experience/title can be paid $50k or more apart
People are leaving in high numbers, leaving those who stay to juggle too much
Managers are not held to high... performance standards"
"155","Make retention of existing employees top priority with fair, transparent compensation, promotion and performance review standards
Increase communication
Prioritize work-life balance: offer the same flex hours, telecommuting, compressed workweek schedules as other companies"
"156","Hard work breeds long hours which makes work/life balance difficult to achieve."
"157","orders changes to many times
sometimes is confusing to work under certain limitations
is hiring sub-contractors and  dont give them the same right as normal employees but they still work as much as them"
"158","Believe in people from the beginning"
"159","Upper management can be a bit tricky and people are overworked.  Too many things going on and not enough resources."
"160","Try to make sure you have appropriate resources in order to complete the jobs without rushing them out the door."
"161","There is limited potential for professional growth and there are not that many perks for employees. Also, the tendency is to lead people into becoming very specialized in a specific area, to the point where certain groups seem isolated form the rest of the business units."
"162","Very unprofessional, very poor pay as per your qualifications,"
"163","No respect from sinior management.  Lack of communication.  What sinor management decides goes no matter how wrong it is.  You are nothing but a number to them.  All they care about is the buttom line.  I miss the good old days of RMG :("
"164","Communicate and trust your employees and you will find that they will work twice as hard as if you keep yelling and screaming at them as you do now.  
Your quality of service will greatly suffer as you migrate to “Emerging markets”  I would suggest against pushing for this."
"165","No reward, no recognition, no career paths, unfair promotion process, poor management, no technical innovation, bad work environment."
"166","Do not kill the goose that lays the golden egg."
"167","Senior Management, Salaries, senior management dont trust employees"
"168","- Some lack of global company vision / communication"
"169","One needs to be flexible and adaptable to be successful in a company such as MSCI as it is a high growth company. Anyone too rigid or stiff may find it frustrating."
"170","Keep up the good work."
"171","Slow to make decisions, management can be distant, career development needs to improve now the company has grown - little real high impact investment here. 

Management top heavy with Men, particularly men whose wives stay at home, hence little clue about what it is to be a working mom"
"172","Pay more attention to your people, less to internal meetings with other managers"
"173","I did not learn anything new."
"174","It should implement a training program."
"175","Senior management care only about themselves. Local office heads and senior veterans not motivated to really help underlings.  Often make it known they despise their role.

in tricky market we know not where we're going. Fragmented data, models and meetings.

Clannish, devisive behavior interfering with client mtgs, conference participation and trust.

Favoritism, etc.

Guidance and accountability seriously... lacking in the Coverage, Project Management and Facilities units. Particularly in the New York and SF Bay offices.  Good luck getting any emails answered.  Or seeing any consistent meetings out of them.

Outsourcing so much that we've chopped off our own feet and it's a challenge to go forward. Especially without vision, communication, trust and fairness."
"176","There's a lot we would like to give, but we've seen others shot down for nicely doing so.  What is clear Is that leadership needs to change and vision needs to be clarified.  After that, professionalism re-instilled in what used to be a great company.  Pay attention to your product formation teams,  new sales and upsells.  Also to local office management and HR,  to help with these areas.  We can really hit walls... when we need basic questions answered.  That wastes even more time and productivity.  Also look at who actually has shown up to work through the years instead of working remotely and not findable.   Then keep telling us where we're going so we can actually do our jobs."
"177","Work is routinary. Mostly it is about data gathering, similar to market data vendors like reuters. Work involves a lot of IT, and very little finance. Most jobs not relevant to CFA, FRM or other finance/investment certifications. Company reducing cost. Wont pay OT on work on Sunday, but instead gives time off on week day."
"178","Sunday OT must be paid. Sunday is very different from weekday. Sunday is used to spend time with family and friends. Weekday day off, people work. Who would you spent time with on a weekday day off? Nobody."
"179","Most decisions made with only cost in mind. If they can get it done cheaper outsde the U.S,  it goes to Eastern Europe or Asia, and if that means it takes two days to get a simple communication done (like a manager answering a question), they don't care. Discussion about improvements to products always end with ""We don't have the resources."" Layoffs happen every year and are done by a formula, with no attention to... quality of work."
"180","Look up from that spreadsheet and see the actual people who have made you great."
"181","Career growth limited due to flat structure.
Very limited scope of IT professional to grow"
"182","Attempts to outsource to developing nations means those teams are isolated from the rest of the other teams, those teams don't understand how the company operates, what is key and important, and what is more trivial, and who the clients are.
Technology can only innovate if you employ the best people, you cannot find these unless you get them from the best places. Mumbai is not good enough."
"183","Senior Management look after themselves even after a complete mess up and do not take warnings from the operation level seriously enough. Need to get back to ground level to understand how the stuff works."
"184","Too rigid in its ways, could improve at technology management , could also improve at skill development, work can be monotonous"
"185","Lot of in-house applications which is ok but lead to random bugs. Tech decisions are all done out of the cadre in London while the implementation is done by a team in Budapest.  Service Desk based in Mumbai can often lead to frustration.  Hope you're looking for a position with the indexing side, otherwise look out."
"186","At least one local office support person would help a lot, i've seen people be without a computer for 3 days at times.  Cost cutting of personnel leads to higher turnover on those thinking they're next."
"187","There is no training at all for IT engineer staff. Management sais you need to learn by yourself to avoid firing. Tracked presence in work such as have to spend the whole time inside. Cannot arrange any personal program for afternoons since you need beeing at workplace all the time."
"188","Put training for IT crew."
"189","Its a small company as compared to wall street banks"
"190","Less compensatio slow growth buerocratic"
"191","Increase salary"
"192","The explaining of company goals and long term objectives from senior management to employees can improve"
"193","Leadership that stifles innovation and creativity
Too many people who just do what they're asked todo without questioning if that is the right thing to do"
"194","MSCI uses all forms of trickery to extract as much work from employees as possible.  The company will tell you one thing and then do another, all without offering a reasonable explanation."
"195","Employees in developed markets are very valuable and worth their cost.  Someday you will learn this lesson."
"196","Job Security based on Market performance.."
"197","Respect your employee, especially though who have worked hard to setup the basis.."
"198","Almost no cons, the growth of the company is under question right now."
"199","None"
"200","Career advancement is a bit questionable."
"201","Value your employees based on their performance and not only on their seniority."
"202","Career Progress
Sales  has still way too much influnce 
Some in the Snr Mgmt are totally out of their depth"
"203","Sort out the career development"
"204","Less technical knowledge u will get in org."
"205","compensation  levels are deteriorating, bonus shrinking every year"
"206","pay attention to rewarding employees better"
"207","The improving space in the company is limited."
"208","Vulture-like culture that rewards those good at politicking and those with the best papered credentials."
"209","Not very welcoming environment, Lack of transparency"
"210","Upward mobility has been a challenge.  Job was mechanical in the end."
"211","The disadvantage of working for the company is the changing of management including the mergers they had with other companies.  This provided some instability within the organization.  In addition, the work is becoming a routine and not challenging when data was automatized..  For a fresh graduate out of college, this job is excellent but for a matured individual, there maybe less areas for career growth."
"212","Very vague and unfair compensation structure. Everything is know at the end of the year so there is uncertainity for full year for employees."
"213","Please reward the employees in the US. They are worth every penny. Just focussing on low cost workers in India and China is not going to help the company long term."
"214","Hours can be long, but work is challenging at times :)"
"215","- Usual politics
- A lot of staff in ""emerging market centers"" where salaries are low
- Focus on sales people and not much career growth for non-sales positions
- Management is out of touch with junior level employees"
"216","Too bureaocratic and skillset developed is too specific to the industry"
"217","Focus more on development"
"218","There are no growth opportunities if you're not in the developed markets. You should look to get a job in developed markets if you would like to build a career in the company."
"219","Change the compensation scheme, it sucks. Give blue chips the opportunity to move to DMs."
"220","still developing, no more cons"
"221","It is a company made of many acquired compAnies; company culture doesn't appeal"
"222","Way to corporate.  
No clear career path.  Very bureaucratic.  Several levels of management, talent is not promoted.
People underpaid and overworked."
"223","don't be stingy.  Not all work can be done overseas."
"224","boring work: well that depends on your interest and expertise"
"225","The company has limited activities"
"226","The Bp office is relatively new, long term career advancement is questionable. There are constant problems with IT services, outdated software, slow network, etc."
"227","In the end, it is very expensive to make an employee work on a slow machine, with outdated software..."
"228","Too much pressure to get things done"
"229","Somewhat slow machines, definetly very slow network, still no chance of remote working, while I heard there would be great interest. Don't see why not, cost of office, electricity, machines etc would be eliminated, how this is not the interest of a company is a riddle."
"230","Upgrade of technical equipment is really due, do it before we are outdated lagging behind our own customers. If it is costly, consider remote work, many would be interested, most people have better machines and way faster net at home. The private home machines are at least 10 years ahead of the company ones."
"231","Timmings kept changing which affected work"
"232","bit too much chaos, projects dispersed around the globe demanding 24h availability for meetings,
lost a lot of experienced key employees, and left with either too junior, or too senior ones which do not know what to do."
"233","if you want to work globally you must plan globally. Keep replacing stagnant/useless executives."
"234","Impossible to see the ""big picture""
Can work on a small part of a software for years"
"235","Lack of constructive feed-back from management.  It would be helpful to have constructive criticism if there are performance issues."
"236","No career opportunities and no big salary increase if you get promoted."
"237","Create more career development along with salary increase"
"238","24-7 weeks, little respect for personal time because you need to be available across global teams during your day and theirs.  Can be very political internally."
"239","Pay attention to your employees as people, show a human side."
"240","- The firm has been outsourcing jobs and so the future US positions is uncertain.
- Salaries have been stale in the US offices for years."
"241","Not much scope for development in the IT part of MSCI, since it is mostly backend"
"242","Hire talented people so that you can have product development in India rather than just in the US."
"243","Terribly managed operation. Complete lack of leadership with most workers more educated in more appropriate fields than managers."
"244","The company is great hiring talented people but cannot keep them. Contra-selection is largely present in several teams. No career opportunities in many groups. Moves between offices is not supported."
"245","New starters should not earn more than employees who have been with the firm for a long time."
"246","Not enough women in senior management."
"247","Horrible morale across the firm.
Huge labour turnover.
Extremely political office environment, if you're not willing to play the game you'll go no-where and become seriously jaded.
No direction from senior management.
Genuine talent isn't recognised or cultivated, you need to play into managements hands to get ahead, most of the switched on people are getting out."
"248","Gimmicks like employee surveys do nothing, genuine communication top to bottom, with lower level employes feeling empowered to actually speak their minds will help hugely."
"249","Get employee friendly and make it a level playing field...stop politics"
"250","Advice can be many....but they won't listen...even to God!"
"251","Too process oriented in all areas
Letting go of lot of opportunities 
Too focused on investment mgt / asset mgt cos - should expand to other segments like banks, corporates and regulators
Very understated - should turn on pace of creating buzz in emerging markets
Some bit of avoidable politics
Need to have better control on what goes on in India - quite a few who work only towards pleasing their bosses in other... places without delivering real value"
"252","Mostly in right direction and taking right calls. Can do better in tapping into opportunities. A think tank across the globe with equal mix of people from developed mkts and emerging markets will help fresh thinking to emerge. Have more shuffling of people across the globe. Will enrich the company."
"253","Bureacracy;  Difficult to advance into other roles;   Top management insistent on cost cutting; Consolidation;  Acquiring the competition;   Outsourcing technical positions to cheaper countries;   Top management not technical enough to appreciate how software is developed;  And feels hiring 3 foreigners is better than 1 person in NYC"
"254","Appreciate how software is built and don't outsource all technical positions;  Software & data at the end of the day is what MSCI sells;  Producing these should not be viewed as requiring commodity employees anywhere in the world."
"255","Looks outside for experience rather than investing in employees"
"256","Fairly toxic work environment, unless you appreciate a culture of stepping on those beneath you and sucking up to those above you.  CEO has anger management issues (in fairness, it may be a Wall Street thing) which sets the tone for other senior executives."
