"","x"
"13","The company is very ""metrics driven"".  Many of the jobs are very stressful and tedious.  Management has little trust in its employees.  And for a modern company, they are not accomodative to employees who seek work-life balance.  Career opportunities are primarily in the company's New York HQ.  Employee morale is very low since Mike Bloomberg has left to be mayor of New York.  The company is very youth oriented.  I... have seen few employees over 40 promoted or treated well.  There is a hidden, and at times overt, atmosphere of hostility toward older employees.  All employees are expected to fit the ""Bloomberg mold.""  There is little tolerance for individual differences....  Finally, management is quick to point out shortcomings, but rarely praises things that are done well."
"14","Sort of a sweatshop. If you're not careful, you might get lost in it; big corporation, hiring process is slow."
"15","Ancient architecture, no coding standards, no commenting of code, no documentation, poorly designed and documented, buggy, incomplete GUI framework which you are forced to use, weird UI standards, little inter-group code sharing, poor common tools"
"16","Utter stifling of creativity and innovation. You're required to detail all time spent in programmers notes. Try putting in some notes about thinking about the big picture! It would be comic if not sad that humans are expected to work and act as automatons -- and dumb automatons at that, impervious to the fact they're being talked down to at every minute. I've watched really smart people who needed the money become... shadows of their own selves. Oh and not to mention: the technology is antique."
"17","stifles creativity, work is repetitive. there is little coaching and professional development from higher ups. you can get easily stuck in a box covering the same thing over and over again, and find yourself writing the same stories five years later. When i left to go to a newspaper I had more experiences in a month than I did reporting for a year and a half in this office"
"18","There is very little upside to working at Bloomberg.  The compensation system is nowhere near ideal, as your bonus for this year is paid out in the following year, to ensure that you stay at the company.  Mobility is extremely limited, and it seems that the company has been moving backwards ever since Bloomberg left the company to become mayor."
"19","The salary is quite bad considering the industry and what Bloombergs competitors pay. Managers are often incompetent, too young and obviously never received any kind of management training. Therefore (salary) reviews and promotions are based on managers preferences and not on your actual performance. 
There seems to be a huge divide between people that have been hired in the last 5 years and those that have been... there longer. The senior staff seems to be paid well which results from the much better salary levels they had under Mike Bloomberg (or so they say) and then there are the younger ones, many of those leave the company after less than 2 years..."
"20","Long long long hours.  Managers that have no management skills. A lot of arrogant, and no goods to back it up.  If you need to go to the doctors or dentist, you have to take a vacation day.  I worked there for over a year and I have never seen more people wheeled out by the ambulance than any where else. People pass out of exhaustion from working there."
"21","- No emphasis on software design - entire mentality is focused on getting the job done as quickly as possible.  
- Managers actually discourage you from spending too much time designing code!  
- A lot of legacy code that is poorly written with no documentation
- Management is very set on their ways
- TONS of proprietary software
- Lack of professional development. 
- Most likely will not learn much regarding... software development...but you might learn a lot about finance"
"22","Allegedly flat structure could not be further from the truth; in reality, an entry level employee gets to look forward to 15 people telling him or her what to do."
"23","The turnover is very high because there are few possibilties to reach power within the division. Structure is too flat"
"24","The pay... below market rates generally. The starting rate hasn't been changed in over 10 years - that is a fact. I think 5-10 years ago, pay reviews etc were fantastic, but since hierarchy has had a reshuffle, they've cut back in a big way in this area... i can only remember 1 or 2 people employed in the last couple of years who were happy with their pay reviews"
"25","Management did not lead intelligently, although the company still grew and prospered"
"26","Work is not intellectually stimulating, especially if you are in sales. From what I hear, the compensation is confusing, and the room to move up is political."
"27","- They use very old Technology (Fortran and C)
- Everything Homegrown and Proprietary and doesnt work well. Infrastructure is full of Bugs.
- Inexperienced and Not-at-all-Worth Managers.
- They want to do everything in a Hurry. Pushes you out of Limits,
- Long Long Working Hours often pushed by Managers.
- No recognition for Hard work.
- Proprietary DB/UI framework everything is from Stoneage and full of bugs... making Programmers life a Hell.
- Hectic Work Env."
"28","Pay isn't that great. The fact that it is so transparent can be a negative for some people"
"29","Direction is unclear. There are many of gray areas working at Bloomberg. Compensation for over work and stress is not recognized enough. But in the end it all works out. My previous employer was the US Navy and it operated worse than Bloomberg."
"30","The technology is ancient (the majority). A lot of programmers are simply maintaining legacy code (fortran, c) that cannot be retired or converted. The company also uses a TON of proprietary software, all developed in-house. For example, they've created their own Service oriented architecture (ala WSDL), two home-grown databases, entire UI framework, and other things."
"31","If you enjoy working with the jaded, the condescending, the incompetent, come on down!  Not all management is bad but incompetence is tolerated...."
"32","The lovely view can often be distracting from work. Some of the technology often feels outdated. Server architecture and build process are baroque."
"33","Long hours / clocking hours
Management
Micromanagement
Obsolete technologies
Open space office
Ridiculous business ever-changing policies towards employees"
"34","Allegedly flat hierarchy, but in essence the place operates as a bunch of warring fiefdoms. Compensation formulas are bizarre and based on totally unrealistic goals. A lot of green, i.e. young, managers who pay absolutely no attention to the long-term goals. Managers in particular are risk averse to the point where you're relegated to cutting and pasting the same code over and over again ""because it's been in... production for a year."" 

Young workforce gleefully works 12 or 14 hour days, which becomes the dominant paradigm so those who want a balanced life or at least a parent for the child need to a stay-at-home significant other. What said young workforce has in enthusiasm, cloying hyperbabble, and comfort with the cult of Bloomberg they lack in depth of knowledge. They talk quickly, and generally know answers to specific questions, but don't understand systems from the runtime environment all the way down to bare metal. 

Management actually get angry if you question design decisions or spend time cleaning up code. Expect to be micromanaged and constantly berated with a stern ""Why are you doing that?"" at least ten times a day. 

The HR department is a travesty. The ""Bloomberg"" recruiters are contractors who then find other contractors. If you work as a contractor, expect absolutely no follow-up on questions to HR and to never, ever be able to get in touch with HR people, particularly the ""senior"" contracted HR recruiters. Like normal HR, they strive to keep the best talent out and consistently work half days. You're stuck trying to figure out even simple things for yourself. Basically, if you think for yourself, aren't willing to march to orders no matter how irrational they are, and have talent, you'll either be turned down or shown the door quickly with the Scarlet Letter rendering you unfit to ever work at Bloomberg again. HR is also very secretive and getting straight answers for important decisions is wasted effort. I've also heard stories that certain HR recruiters will lie in order to steer business toward specific vendors -- this is just speculation."
"35","Too big to be recognized for your individual work - unless you make it a point to flaunt your achievements.  Since the company is so big people tend to be overly and unnecessarily competitive in looking out for themselves rather than focusing on the team goals."
"36","unchallenging, unprofessional management, not meritocratic - more a case of being in the right place at the right time, no time for management due to relentless targets"
"37","Poor pay, no real management/promotions structure, only prvide breakfast (no lunch?), repetitive, slow paced. I am biased because I should be in a bank instead."
"38","GTEC, ADSK, and GCUS are perhaps the worst departments in the company. Workforce is generally young and immature. However, there are some really smart and ambitious people working there."
"39","Brutal hours.  People die here from overwork.  Be prepared to work 14 hour days and weekends. Utterly ossified management, micromanagement, downright harassment, brutally invasive oversight.  Zero flexibility on rules, hours.  Complete contempt for employees, no credit for ideas. Incredibly bad design, obsolete technology."
"40","- No emphasis on software design - entire mentality is focused on getting the job done as quickly as possible.  
- Managers actually discourage you from spending too much time designing code!  
- A lot of legacy code that is poorly written with no documentation
- Management is very set on their ways
- TONS of proprietary software
- Lack of professional development. 
- Most likely will not learn much regarding... software development...but you might learn a lot about finance"
"41","- demanding work
- time consumed by bugs
- teammates shifts work to you
- getting to management only way out
- vacation days are controlled strictly
- noisy work environment
- almost or no privacy, no cubicles"
"42","Management has difficulty communicating key goals and initiatives.  The business model is a little older, although they seem to have a good sense of this.  Tough to get promoted if you don't work."
"43","high job pressure , limited set of technologies ( mostly C , C++) and proprietery gui , db etc . not much social interaction"
"44","outdated software technologies
incompetent, inexperienced managers
no cubes, no offices, no privacy, very crowded
inflexible schedule
typical 9-10 h stressful workdays"
"45","Can be hard to be recognized in a big place like Bloomberg. Some of the legacy code can be a real pain to navigate."
"46","if you calculate money based on 8 hrs a day, it looks great, but if you calculate based on 11-12 hrs a day. i guess it is not great.
Not flexible
Stressfull hours. 
Highly pressured environment.
Bad management."
"47","Little creative input, alot more data and software oriented than finance oriented. No true bonus structure even if you work in sales."
"48","Compensation, bonus, flat organization structure, programmers hog all the snacks in the pantry and don't leave any for others, incompetant middle managers"
"49","4 weeks of vacation, but working 12 hours on one day and 7 hours on another isn't enough (8 and 8 works though). Not enough feedback from management. Business/sales people are often responsible for big decisions. They don't have any sense of what kind of resources a project will take. People working here for 10 years are doing the exact same thing as recent university graduates. The work environment sucks with just... lines of desks and no vision/noise blocking devices; if you sit next to a manager, expect to have conversations/debates going on at all times. If you sit next to one of the projectors broadcasting announcements on the wall, expect to be distracted by flashing text every 5 minutes. Antiquated system architecture, and frequently broken development tools. Free food is good, but it's all chips, candy, and sodas, with few healthy options."
"50","Career advancement,Pay, and bad management"
"51","Management has a tendency to change things frequently
Once the learning curve flattens out, it´s not so fun
Pay levels do not prevent high performing staff from moving to join their clients on the buyside/sellside"
"52","- Too much micro-management gives the company a ""Big-Brother"" feel
- Employees are trained to be to focused on individual accomplishments rather than group efficiency"
"53","CONS

If you don't brown nose managment, you won't get promoted
They won't allow you to progress professionaly
They will mold you at their convinience
Work 2 years, try to get move to a more interesting department, or don't work in the NY office (really bad enviorment to work for)"
"54","Development is panic or bugfix driven, so you won't get time to plan or improve. Have that development style for 30 years, and this is the root cause of the other cons:

There is no project management to speak of.
The build process is time consuming and not automated.
The technology is old.
You can download freely available libraries/tools that are better than what's mandated internally."
"55","Work is not really challenging.
Lots of repetitive work.
Need to fill out programmer's notes every day.
If you're a programmer and you hope to learn more about finance by working here... it won't happen.
If you're an intern, you cannot bill more than 40 hrs per week. Almost everybody works more, but you won't be paid for overtime.
Free food and drinks are always there, but if you're health conscious, most of it... won't be of much benefit to you.
IB - ""Instant Bloomberg""  - instant messaging for Bloomberg employees - can get in the way of work.
Old technology."
"56","NO cubicle, though common in NYC. If you are used to a typical computer industry job, you probably feel under a little tighter control with BB."
"57","1) no flexible time.
2) very long hours (9-6 manditory...though they won't admit it).  take lunch or don't, you must be there for 9 hrs at least.  and that's a short day.
3) project management is a joke.
4) proprietary technology and outdated.
5) forget finding another job.  yuo'll forget what you know in about 3 months and won't be able to put anything on your resume.
6) they like to hire fresh graduates so... they can mold them to their culture."
"58","Technology is amazingly OLD. Do you konw comdb? 
Managers don't care your feelings as long as you get the work done regardless how you achieved that.
For an intern, whether you can get a fulltime job offer is independent on how your work was during summer even if you work hard and your mentor and manager like you."
"59","too many in-house stuff that are useless if you want to find another job later. unfair policy, all depend on your team."
"60","Working hours
Work life balance
That 24/7 plugged-in feeling works both ways
[Some] not very intelligent and interesting work colleagues
Technology not cutting edge (unless you're very talented and able to push something new)
Lots of maintenance of existing systems
Types of work, job satisfaction and colleagues very dependant on which team you join"
"61","bad management, even worse communication, claim to have a flat management but it's not true instead quite hierarchical, often messy, not very organised, few opportunities to grow, cannot keep bright people in, a lot of mediocre people"
"62","Bad pay. Unclear career structure. Bad perks. long days.  Bad variety in job. Bad training resources. shifting focus from management all the time."
"63","Management is always promoted internally, hence lack of management skills and training. Work is the same everyday, no variation whatsoever."
"64","Terrible place to work if you're interested in good software. If you're fortunate enough not to be working on Fortran or some really old crappy C code, you still have to put up with an infrastructure that is from the 90s, maintain some ugly patchwork code. Everything is run based on unreasonable demands from business folks who don't understand software and you are constantly writing band aid solutions and patching... code. Your software engineering skills will suffer. Most of the management (on the tech side) doesn't know what it takes to be a good leader and is interested in hitting project deadlines dictated by the business at any cost without any regard for employee development. The only people who can be happy working there are people who started working there out of college, have only seen this culture, and are happy at being well compensated. You will not be happy if you've seen the world outside those glass walls. Do NOT go there as a senior engineer."
"65","very poor compensation in comparison to other players in the industry
not always feeling as being part of the bigger picture
poor staff retention"
"66","Awful code is the norm and nobody seems to care
17 inch monitors
everybody is long on excuses for problems, short on solutions
ridiculous cramped noisy work environment"
"67","Management  can be clueless  at times."
"68","Hit or miss if you end up in a team with interesting work and a good manager - the exception rather than the rule. A lot of long-time employees with entrenched views make it a bit of a monoculture. Old technology and tools. A lot of busywork goes on."
"69","Although they offer lots of food, not much of it is healthy
The open office space can be distracting
The hours are really long"
"70","It's a disaster to work as senior. Technology is old, no respect for the work you've done, no career path ( they don't even have titles)."
"71","Politics & favoritism galore! Team leaders know how to get around the metrix/merit/ point system, so if are not a favorite (matter how hard you work), they know how to make it for you to always be below the target numbers! It does not matter how many times you change or ""improve"" metrix, team leaders can get around it and IT IS subjective!"
"72","The work is hectic and continuously keeps you on the chair, have to work overtime several days in a month"
"73","You sometimes need to work for long hours in order to get perfect results.
Many people doing the same job to compete with."
"74","Management is utterly ungrateful. Stingy in terms of compensation. No recognition at all. Sucking u is the only way to make progress."
"75","- work at home policy nonexistent or inflexible
- compensation at some levels are way behind market standards
- bonus proportional to profit growth, not absolute profit level
- limited mobility within the firm"
"76","can be long hours, and some technology is a bit antiquated."
"77","- no offices
- time not as flexible as other tech companies
- expected to be on call after hours. for IT/networking/systems people this may be normal, but as a software engineer, I was not used to this.
- culture of kissing up to higher levels (worse than other tech companies, but better than most non-tech corporate environments). many superficial efforts are made to combat this, but it is still present
- no... company cafeteria leads most people to eat at their desks rather than with co-workers
- no white boards (maybe that's a pro for some people)."
"78","Incompetent immature managers, repetitive work, crushing volume, crumbling technology that you must struggle to master, the ""knowledge"" you gain revolves around bloomberg and has limited value outside the company, constantly changing management objectives seem like desperate gimmicks, endless frustrated dissatisfied clients, very few genuine growth opportunities"
"79","Increasingly confused compensation scheme. Seemingly reluctant to reward individuals for short term performance, loyalty and adherence to company values recognised above all else. Decision making overly autocratic and New York centric. Inability of middle management to question decisions passed down from above or think outside of the box."
"80","Low Salary and Bonus
Management are too young and without previous managerial experience or job experience
Long hours: 8 am - 6pm, you cannot arrive late or leave the office earlier
You are constantly monitored and your work is controlled
You are pushed to work really hard and to multitask
You are not important, anyone can quit and be replaced very easily
Most of the people leave the company after the first... year
Open planned floors with no natural light
There is no career progression as such, it is all about customer assistance
The company culture is too strong, especially in the first few weeks 
Sometime you are obliged to work during weekends and public holidays
Old computers and screens
Some positions involved too much travelling : 3 weeks out of 4 per month"
"81","Code base is old and can be frustrating at times. Core technical people, who want to develop their technical skill set will be put off by the demand to get the solution out to customers, often sacrificing quality. If you're in a team that works on legacy products rather than new ones, the skills you pick up will be in proprietary techs that are not transferable. The flat hierarchy, (3 levels from new... fresh-from-college hire to the head of R&D) may not leave room for advancement that you can show on your resume."
"82","Every 6 months, there is often a change in management structure and procedures, which impacts how people are motivated.   Often when a new initiative or product launch is announced and implemented the functionality or enhancement has not be tested enough."
"83","too much stress
subjective reviews
lack of accountability as far as its applicability to managers are concerned
kiss ass mentality is rewarded not commitment"
"84","Salary is not competitive at all which is very demotivating. Career prospects are poor and senior management have not been trained in leadership at all. Working hours are NOT flexible. You often feel like working in a factory and all that is important is statistics before quality. It doesn't feel like management cares about you at all which is bad for moral and team spirit. Lastly, Bloomberg is known for having a... very flat structure which is not really true. Even people used to working in investment banks say that Bloomberg's management structure is more hierarchical than those in banks. Unless you know the right people in the US it is very difficult to get a say in anything."
"85","* You will be at your desk almost all the time.. normally ppl come at 9 and don't leave before 7. This is normal working day.. on special occasions you may have to stay even more and need to work on weekends.
* They track every minute you spend in office .. we have something called PN notes and other tools to track time. You can't bill more then  a day on a ticket.. if you do.. your manager yells at you.
* There... are no separate cubical so everybody can see everybody else.. and environment is little noisy so becomes hard to concentrate.
* Managers are rude, don't respect team members.. good work won't get appreciation ever.. (and this is a culture.. this is not about specific manager).
* Top management have completely failed in managing software capital.. lot of code duplications.. software pieces are scattered here and there and there is no track of it.. often you will be writing a module from scratch even though its available somewhere else.
* interview process is tiresome.. they take 5-6 interviews and keep you on contracting for 1 month and that 1 month is a complete torture and then after their might be additional interview before the offer is extended !!!! TOO MUCH !!!"
"86","- Some people are so smart that they lack a bit of EQ
- May not be able to apply bloomberg's system to future jobs
- Working along side with everyone so smart can make you feel stupid at times"
"87","Inept managers,
Matrics for the sake of having metrics,
despite metrics, subjective evaluations
bottlenecks to advancement
Inept Humann Resources group"
"88","Bloomberg television is a disaster. They over-hire just so they can fire at will. They will have you train someone who will then replace you. No opportunities for women to advance, it's definitely a boys club. Management sends out new directives and policy changes on a daily basis. Absolutely no job security unless you are staff. Employees are very disposable."
"89","- looong hours even in training
- really really old technologies used, and java script!
- a huge base of legacy code which is a pain to deal with
- not enough libraries, code base, documentation from past, similar projects that could be used, you end up doing everything yourself, again
- you have to program on the bloomberg terminal, which is a pain"
"90","Politics & favoritism galore! Team leaders know how to get around the metrix/merit/ point system, so if are not a favorite (matter how hard you work), they know how to make it for you to always be below the target numbers! It does not matter how many times you change or ""improve"" metrix, team leaders can get around it and IT IS subjective!"
"91","compensation could be improved, not greatly impacted by individual performance and still  relative to peer performance. platform is not up to speed with current technology and is playing ""catch-up"" with the rest of the market."
"92","Flat hierarchy
Middle management doesn't always carry forth what senior management is trying to achieve"
"93","No positions in the company means you cannot grow careerwise. Salary also peaks off at some point and stops growing. Lots depends on the manager as well."
"94","The job training is way too easy. You almost feel as if you are overqualified for the position. Challenges would be nice."
"95","There are few bad parts as well. Location being one of them. Good for early stage of life, but it is hard for a family life while working in NY city. A bit time goes for commute. In general, work-life balance is an issue."
"96","There is a very linear career trajectory.  In order to get to sales you MUST complete a year in analytics (glorified customer service)"
"97","Working from home is really an issue. The company wide policy is that it is allowed but certain managers dont allow it in their teams."
"98","The work hours are fairly inflexible. Working from home is very much discouraged. The employee time tracking system is fairly annoying and there's no flexibility on the amount of holidays you take."
"99","Does not apply for GC/H1 renew unless in top 15%.
No work for home or anything similar."
"100","Almost all the focus is on getting stuff out there 'fast'! Good coding style, good software design aren't as important. While that may work in the short run, in the long run it causes a lot of headaches in terms of software maintainence. But the management doesn't care about that. They just want you to churn more software out, as fast as you can.

And of course there is nothing called 'testing'. Its the developers... job of course. And you still have to get things out there 'in time'."
"101","It feels like college again, with all the metrics/testing- not a good determinant for quality employees. Management is very hit or miss; should have more flexibility and not be so micro-managed. Everyone is from a no name school. Even senior management; people are too complacent here. Not enough room to grow, and the pay sucks."
"102","-Though you learn the markets and market players, you yourself are not a market player
-Considered by the street as, and I quote: ""Used car salesman""
-Compensation is comparable to a UPS truck driver, but inflated with ""certificates"" based on a proprietary model that no one understands (Ref: Glassdoor UPS Truck Driver)
-Too much transparency
-Culture of passing it off to the next guy
-Lack of... professionalism
-Micromanaging down to your daily schedule"
"103","Managers are usually chosen via a brown-nosing contest.  Very little commendation for jobs well done.  Pay is low for cost of living."
"104","Not the kind of 9-6 job you expect to have in your later years of life.
Salary is not in par with the work expected."
"105","more than 12 hours every day.
sometimes working on weekend (if you say no then problems)
BB is your owner"
"106","High pressure. Constant changes to management. Recognition not always commensurate with performance. Lack of any privacy at desk."
"107","No transparency in terms of promotion / managment change
no real professional / career development
good job is not appreciated"
"108","Long working hours in Asia compared to the rest of the Bloomberg offices, for example Asia works 8am to 6pm (10 hours) while London/ NY works 8am to 5pm - which is unfair really.
Rigid lunch schedule; in Singapore we lunch at 1050am, 1115am, etc... very weird timings and you have to be back from lunch ON TIME even if you were stuck on a client's issue for 30mins - you don't get compensated.
It's an irony when we... say alot of times we feel really hungry given that the Bloomberg pantry is just there - but you don't get the time to go because you're SO BUSY and you cannot afford to leave your desk for lunch etc.
MICRO MANAGERS are everywhere in Analytics, they ask ""where are you"" 100 times a day, we have to report to our managers when we go to the toilet, go for lunch, to get a drink or just to run downstairs to meet the deliveryman - they want to know EVERYTHING about you.
Sometimes they will ask you to go to the toilet and come back ASAP. :(
Asia Analytics managers do not protect their subordinates when it comes to a complaint by a client or even internal employees - in other words the Analytics representative is ALWAYS in the wrong no matter what - treated like dirt.
Asia managers are too weak and incompetent compared to their NY/LO counterparts.
Evaluation of employees is a joke - simply put - they award money to whoever they like and not to the people who actually performed well.
Asia Pac Analytics manager is biased, incompetent, all talk and no action - a loser."
"109","The senior management is terrible, turning a blind eye to abusive middle-management practices. Everyone is uptight and overly concerned with details without thinking about the bigger picture."
"110","Work/life balance is not very good on my team: often people work at least 10 hours a day.  Priority on my project is about making something for delivery rather than correct code.  In the future maintenance would be a problem.  Company is too relying on the arcane terminal to run their internal operations."
"111","ancient technologies, perpetual urge to reinvent the wheel, making it tough to do new creative stuff. london still gets forgotten in various aspects. certainly not much career development here. management has a habit of getting something out of people for nothing, the extra mile is more like the extra league."
"112","Clique mentality
Lack of communication
Full of back-stabbing managers"
"113","*The mangement treat people like crap
*Progress within the company depends on talking the talk rather than walking the walk
*Very long hours(you will be called at funny hours to come and fix a Fortran bug)
*The tools are shocking 
*Dead wood managers who ve been in the company since day one and  will do absolutly anything to safeguard their position as they know they re not employable anywhere else."
"114","Fortran and C++ based technology
Everything is proprietory including mails, timetracking and project management tool.
Wasted god knows how much money to develop an internal IDE (sometime like eclipse, JBuilder) but horribly poor.
Management resistance for change
Experienced people from industry have lots of resistance internally to grow
R&D is horribly aligned, many similar initiatives... 
Sub standard... analytics for derivatives. 
People hang their batch all day, too much of badge monitoring
I think only thing keeping this company afloat is 40 plus years of data, nothing else."
"115","They make you work 10 to 12 hours and pay only 8 hrs for consultants, crappy architecture, any one line
 of java code you change, you are using free jetty and it takes 30 minutes 
to builds the project.Why can;t they use websphere/RAD, which picks up hot deploymenyt automatically
I wonder if the great mayor knows about this bad practises. Somebody should take action

No balance between work life and personal... life"
"116","Very not productive environment. If you want to test something, you usually have to wait for 30 minutes before you get approval for access certain machines. A lot of fortran/c code written by some non computer science background people 10 years ago. You will spend days debugging those junk code if there's a bug."
"117","Massive legacy code base to deal with (great if you want to work on your Fortran skills...)
NIH syndrome to the max -- you're not going to be learning any transferrable tech skills here either.
Advancement within the organization is difficult.
Rather weak vision from the business side. R&D seems to be taking a back burner to developing the news business."
"118","At the time, much of the technology was proprietary and you develop software / applications that are not as portable. However, in recent years, the company has been getting rid of their legacy code and modernizing their technology infrastructure. Big-brother watching with the badge-out and daily logs and tracking system."
"119","Poor management, continuous moving targets, noise of poor performers drowns out quiet determination and successes of good workers.  Too many 'wanna-bes'."
"120","The pace of work is too fast. The quality of the software suffers a lot from huge time pressures that seem to come from all directions."
"121","Incompetent middle management - suffers from tunnel vision and tends to bully
Lots of fault finding - little credit given
Software/architecture is ancient
A lot of mediocre proprietary software which is essentially re-inventing the wheel
Unemployable elsewhere after a few years
Fairly long work hours - flex-time/work from home not encouraged though they exist on paper
Few, if any, opportunities for... professional growth. After 5 years as a developer you maybe promoted to team lead.
Not a technology company - started by a trader for traders run by wannabe traders."
"122","incompetent management, lack of communication, over-ephasis on company jargon, dissonance between what is said and what is actually expected, lack of ownership over own career, no interest to develop your career but to increase the rate at which you execute your tasks, rigorous and unsuitably rigid metrics system, compensation substandard for the industry"
"123","Incompetent middle management 
Backstabbing is encouraged/rewarded
Team leaders are promoted from brown nosing 
Clique-ish atmosphere.
Little career development for average employee"
"124","Does not try to keep good talents despite of insisting people are their most valued assets."
"125","Management is pathetic, especially those hired straight from college (With only bachelor's, that too not computer science) and made team leads within 2-3 yrs. First thing they don't have good and deeper technical knowledge as they don't necessarily have all basic computer science background and understanding of product as whole. Having knowledge just about a language (like C/C++) is not same as having actual product... development knowledge. Second thing since they are straight out of college they don't  have any outside experience and they feel that they do the amazing work while actually its not the case.  Also they are just too random/impetuous and irresponsible in their decisions.These guys just tend to make their Evals/Compensation better by making their team members to work the way their managers expects from them. Nowhere in all this, actual product development is been given more importance. They give more importance to the actual no.of hrs worked on rather than the efficiency and output. Also here more importance is given to number of bugs fixed, rather than actually finding the root causes and reducing the number of bugs generated in first place. That's the reason why sometimes its more of a mechanical work/mechanical temporary fixes than a good, challenging work which requires talent. These team leads don't give any credit to the team members who actually work on, but rather will try to explain their contribution in any good thing the members do.
Its hard for smart/talented computer science people to strive in the company. The company just needs to maintain their random codebase by keep on adding new things without any good design, introducing new bugs in existing thing, fixing them to introduce something new.....  one day that can end up beyond repairable !!"
"126","terrible pay for living in a less than desirable location - most people want to be in new york city"
"127","Very grueling environment, hires horrible trainers that don't train new employees properly, sink or swim mentality, prides itself on an 'open door' office environment but is actually the polar opposite, delivers candidates lots of fake promises in the interview process such as international opportunities, quick advancement, etc. senior management is trained to brainwash employees to operate on the fear of losing... their jobs, management is free to practice verbal and emotional abuse on employees as a way to garner results, constant stress makes everyone extremely bad tempered so there is little positive interaction with colleagues, absolutely no room for creativity or ideas."
"128","Incompetent managers
High working-space turnover
Big brother atmosphere
Always on call
High burnout"
"129","- Lose your life/work balance when working at here. 
- Hard to get recognized by good performance unless you work over the weekend.
- No cubes, no offices. Make you feel like being watched all the time.
- No working from home policy."
"130","Sometimes you must work long hours, it's up to you. The longer you work, the more they like you. it seems."
"131","You are supposed to pick up emergency calls anytime from the company if a function you're maintaining isn't working properly. But there's no compensation for this. The salary is bad for fresh."
"132","Its like watching an episode of The Office, except that its not entertaining and totally destructive to your personal creativity and lifestyle.  One manager mentioned that he enjoyed providing an environment of ""fear, intimidation and coercion.""  (seriously.)"
"133","many things are very outdated, there is not much room for career development and middle managers are not very intelligent"
"134","Keeps you busy (Get lot of work done from you in returns of good pay)
You need to know how to bull-shit even if you do not know how to do something
Lot of legacy legacy code..... not worth learning it  for professional growth"
"135","No cubes, everyone face to face.
Long long hours.....
The technology they use is old.....Not good for CS majored graduates once you exit"
"136","No direct compensation for sales achievements
Mediocre middle mangers
Practices blatant favoritism along popularity lines
Encourages retaliatory measures against those who don't conform to their image.
Reluctance of other companies to hire long term Bloomberg employees 
Very flat organizational structure limits career growth.
Animus towards older workforce."
"137","There is no privacy anywhere in the office and working here is like working in an airport. The company's main product, the Bloomberg Terminal, has a horribly outdated user interface that predates Microsoft Windows conventions. However, this has also probably helped to secure it as THE official financial tool of the industry.
Management is a bit old-fashioned. There is a big emphasis on being in the office between 9... to 5, and flexible work arrangements are undervalued. The company would rather give it's employees unlimited sick days than open up flexible work arrangements."
"138","As an employer fairly fascits
1984 work environment.
Global data is data input mixed with customer service - dont believe the rubbish they sell you at interview.
Cannot accept that poeple could ever want to leave and dont give appropriate training that could be useful elsewhere."
