"","cons_page1"
"39","First, let's get the job description straight. If you choose to join the analytics program you will be a customer service representative where you will be ""on queue"". Quite literally called ""The Help Desk"" you will be treated as if you work at Comcast and will solve client inqurires (usually 3 at a time). Questions could include but are not limited too:
""CALL ME""
""My launchpad is broken""
""Can you confirm the IPO... date 943819 US Equity was on 9/8/2017?""

However, it's truly the management that lack of empathy that creates an environment that makes the desk an inky black hole where every molecule of light/joy cannot escape. A few examples include:
-Time off has to be asked 120 days in advance no matter the situation during the holidays/summer
-No breaks (including the bathroom) are to be given if the queue is busy
-Genuine disregard for the emotions, aspirations, and general well being of employees.

Ever read 1984?"
"40","Wipe the slate clean. The TLs are good people. But SF needs another head of analytics from NY. It's a classic case of Reganomics - negative energy trickles down from the top and I'm sure you can guess the rest."
"41","Lack of meritocracy, career progression, management seems to only promote from the boys club"
"42","Think out the box, promote more deserving candidates"
"43","exposure and responsibilities on the long term are limited compared with other finance jobs"
"44","work hours is slightly longer than other firms, 8 - 6 but management doesn't encourage overtime"
"45","You'll notice that all the 4 and 5 star reviews are from junior employees with less than 2 years at the firm or from H1B's glad to have a job,  they're enamored by the free snacks and sponsorship.  I've been with them for over a decade and have gotten to see this company get worse over the years. It used to be a great company that looked after its employees, but over last 2 years they have been looking to get rid of... anyone with a decent salary and tenure. Have been replacing with kids out of college at a fraction of the salary and zero experience then working them to death, turnover is staggering with very high numbers of new recruits leaving within the first 2 years.   Sales managers have almost no experience of selling and are promoted only for their micro management prowess. 

Sales targets are ridiculous and they count net performance,  that means that salesperson takes a hit for any removals, but gets NO credit for renewals.  Sales is blamed for every removal even though product teams have not developed a decent product in almost a decade, and are obsessed with growing revenue even though there is no new product/service to help in the growth. So their strategy has been to double/triple/quadruple prices for existing services which makes it extremely difficult to have any new sales discussion with this clients, then blame is laid upon the sales force for not hitting ridiculous targets."
"46","Come down from your ivory towers and experience a day in the life of your employees or better yet speak to one of your customers before you reach your ridiculous business decisions."
"47","Slow down on the restructuring - too many changes"
"48","US centric, documentation, collaboration only in the same area not company wide"
"49","layers of mgmt, too many people peeking over your shoulder"
"50","Not a place to become super rich"
"51","It feels like you're bit detached from the actual financial market
dunno where to exit
the stress level can be high"
"52","Long hours, can be ultra competitive"
"53","they just dont care about the health or wellbeing of analytics reps. we had an earthquake evacuation drill, they made me us stay at our desks while the alarm screamed and the lights flashed, while the rest of the building evacuated.  they dehumanize the reps, the SF analytics department head carries a sweatshop mentality and everybody hates her for it"
"54","maybe it's time to switch up the leadership in SF"
"55","Too many changes in short times. Get used to it or loose it."
"56","Frequent change in mgmt, compensation"
"57","Very horizontal structure, moving towards a more technical focus without a clear vision of how these skills will be utilized, open concept can be distracting"
"58","Management is difficult and support is low sometimes"
"59","flat structure, not many opportunities"
"60","Asia management is sloppy. US leadership is very slow on execution, fast in conceptualization, resulting in neglect and an uphill battle over in Asia as they fail slowly.  These factors lead to stymied skills and experience development, Asia management tries but are at the whim and thumb of US counterparts."
"61","Focus a lot more on training and development, provide examples and business cases in which your analysts can actually help you out, don't use resources because its 'cheap'/'available'. 

People generally want to make an impact - provide them a legitimate opportunity and conceptualize with them, not tell them ' its your project' without knowing business cases. 

Teamwork guys, do you know it?"
"62","You can progress your role into manager and even higher but if you plan to have a career in finance or quantitative analytics, it might be a challenge or will take a long time. Your role can progress but your career will be stagnant and be stuck in customer service.

Admin/Customer Service disguised as ""Analyst"" Job.

Claim to be a tech company but relies heavily on Excel. If Microsoft takes out Excel, Bloomberg... will shut down along with the world market that relies on Bloomberg data.

Not a finance job but a financial product ambassador; people do modelling and financial analysis but it is just to make ""clients"" have ease of use and show more functionality for the terminal. Analyst/Analytics here is synonymous to knowing what the client/customer needs and not necessarily include any quantitative analysis. Might be less than 5% that quantitative analysis will be required for an Analyst job."
"63","Check your people's qualifications. For such a selective hiring process, the job/role placement is disappointing. Technical people are placed on admin roles while non-technical are placed in technical roles."
"64","Employee unfriendly
Less pay
Bad HR
Old code and technologies
Bad for career growth"
"65","Managers should have more power than HR in deciding an employee's fate in company. Things should be less political."
"66","None that I can think of"
"67","- Short termist goals
- “show and tell” rather than real results"
"68","Substance is more important than looks"
"69","- Short termist goals
- “show and tell” rather than real results"
"70","Substance is more important than looks"
"71","Bit of micromanagement and defined path of where you should go"
"72","You have to get into the right dept.,    very bro environment. If your into sports, your in especially with management.    Still has the bro mentality hasn't gotten away from it."
"73","Stop with the bro mentality & sports.  There is more to a person than that."
"74","- Lack of flexiblity
- May encounter difficulties on cereer progression"
"75","Micro management, metrics obsession."
"76","Focus"
"77","Flat tree structure so hard to climb ranks"
"78","Oportunidades de carreira são limitadas"
"79","Difficulty to switch between departments"
"80","Horrible management- ""tech leads"" or managers - in Engineering - are promoted to their positions based solely on tenure not on ability or acumen
People don't know how to manage other people
Little diversity in engineering - witnessed 2 women get let go in a department of about 40 men, leaving only 1 woman on the team
No work life balance - long hours expected, working from home frowned upon unless you are your... manager's 'favorite'
Financial Products office team is verbally abusive, witnessed cursing, yelling/screaming, unprofessional rants many times, in person and over calls, was hung up on by a colleague because he was ""not happy""
Lack of training and adequate ramp up time to learn the Bloomberg Terminal
So many people working there are long timers - been there since they graduated college...so it's hard to find people who are open minded or well rounded, they only know the Bloomberg way and they are unwilling or unable to change or embrace new ideas even though they push 'innovation' down your throat 24/7
Departments are immature and unwilling to consider changes to process, also unwilling to use any tools outside of the Bloomberg Terminal or that are not proprietary to the company
Management forces use of outdated process and software and does not embrace using the best tools out there or use even best practices
They would rather you fit their style of work and not bring new ideas to the table
Developers are mollycoddled incessantly and bad habits are enabled, not disciplined"
"81","Act on the feedback you solicit from your direct reports"
"82","long hours and requires a lot of self directed learning"
"83","- Culture of maintaining the status quo
- No engineering enthusiasm, best effort engineering only
- Poor UI framework (RAPID!!)
- No engineering heirarchy (no engineering level above Sr. Software engineer!!)
- No free lunch; a lot of the cafeteria snacks are not healthy"
"84","The company is only good for older engineers with families or those who like stability and security. Younger crowd with enthusiasm and ambition will not stay long. Don't promote the slow, retirement culture. Same reason why I'm leaving soon"
"85","Pay not as high as other large tech companies."
"86","Hard to level up, or switch jobs internally"
"87","keep up the good work"
"88","Salary and No career opportunity"
"89","None yet that I can say"
"90","Micromanagement; limited choices for career advancement; bullying by managers"
"91","Refresh management with people that are more in sync with the 21st century."
"92","The focus on metrics can be potent."
"93","No relax stuff like playstation, table tennis, etc"
"94","Senior sales lose the ability to generate leads and close deals."
"95","If you decide to stay, you stay. Many stay there for a long time and you know what this means."
"96","System and tech stack are old, hard to maintain"
"97","Very slow moving, bureaucratic organization"
"98","Provide more upside to comp"
"99","Bloomberg is more of a cult than a company. You'll be expected to dedicate yourself and your life to Michael Bloomberg and his philanthropic ventures. There's no such thing as work-life balance at Bloomberg, just work-work. While you may be scheduled to work 9 hour days (don't even think about taking a lunch break) it's more likely you'll be working 10 hour days and 11 and 12 hour days are not uncommon. For all that... hard work and effort you'll be rewarded with zero job security. Loyalty is very much a one-way street at Bloomberg and layoffs are routine. Your future is solely dependent on your manager, and they change often. My first 6 reviews at Bloomberg were written by 6 different bosses. If you get one that takes a dislike to you, regardless of your performance, you're toast. I've seen hard-working, talented employees get the boot while workers who literally spend the day on their Facebook page, texting and take 2 hour lunches keep their jobs. Additionally, if you're over 50 your days are numbered. Yes, the company that prides itself on its philanthropic initiatives routinely practices age discrimination."
"100","Management is not the best"
"101","Empresa horizontal e com poucas oportunidades de crescimento"
"102","More micromanagement than is necessary"
"103","Não existe plano de carreira, crescimento profissional baixo"
"104","treat you like a nobody and a call center, which is really disappointing given many smart people will leave after 1 year and department does not treasury the people"
"105","stop treating this like a call center, it is not"
"106","Very bad managers at times."
"107","Keep managers under scrutiny. Some of them are bad beyond words."
"108","Management does not care of individuals career paths, will move to whatever team they want
Micromanaged, looking at irrelevant figures which are often cheated anyway
Non transparent payscale often not reflecting true work and effort"
"109","Reward people as they should be and dont take for granted what they do"
"110","Everything about the actual job in this company is bad. Even though I am writing about the Data department, it is true for the whole company.

1) Misleading job advert – they market roles at Bloomberg using fake titles, like ‘Global Data Analyst’, ‘Financial Product Sales and Analytics’, which sound nice, but the jobs you actually do for the first title is literally data entry + customer service, for the second... title it is entirely customer service (you are the person on the other end of HELP HELP key). Roles should instead be called ‘Data entry specialist’ and ‘Call center representative’. 
2) Incredibly dull, repetitive and unstimulating job. This is the most non-serious job I have ever had since handing out leaflets in high school. 70% of the work day revolved around routing clients’ questions, asked via HELP HELP function (aka ‘tickets’) to different teams depending on the content of the question. Many times the split of the departments into teams did not make any sense, and you were essentially paid for learning the peculiarities of such a division. My fellow colleagues were answering these questions and manually entering the data into the terminal. The next day the whole procedure is repeated. 30% are left for ‘projects’, which are usually interesting and you have incredibly high degree of freedom as team leaders and managers (the bottom 2 layers of hierarchy) do not have a clue about anything. The job can be done without any degree, yet most of the people there have good masters due to selective application process.
3) Big brother atmosphere/micromanagement. Bloomberg does not trust its employees at any levels. All the decisions are made in the US. Other offices sometimes even get notified of these decisions late, let alone being allowed to take part in the decision making process. The company also monitors and tries to monitor every single aspect of your day, and that sometimes reaches grotesque forms. Examples are timing your time taking tickets, publicly displaying the time you badged in on your profile, being told off when you come in at 8:01, getting emails & messages from your managers when you spend ‘too much’ time in the bathroom (applicable to Analytics department). You will most likely have a timetable, where every hour of your day, including lunch, will be strictly scheduled, and doing/not doing what you are assigned is tracked using a variety of statistical measures. Other reviews mention microphones and reading your emails, I don’t have any proof of that, but would not be very surprised to find that out.
4) Incompetent TLs and managers. Because of all the above, there is significant brain drain from the department and the company in general. The smartest colleagues tend to leave very quickly realizing how bad it is. The ones who can’t leave usually stay and become team leaders, thus promoting adverse selection to management roles. As a result of this, there is no real leadership in the company, your TL will likely be less intelligent than you, knowing nothing about the subject, and his/her only competency will be monitoring your metrics and alerting you when you are 1 minute late from lunch/took too many minutes in the toilet. As you usually reach TL level after 4-5 years within the company, these people realise they are not employable anywhere else due to the nature of their skill set and hence become extremely risk averse and will do anything to maintain the status quo and save their job, stifling all the innovation. You will hear phrases like ‘Go ahead only if this doesn’t change much’ a lot.  Team Leaders who are not performing well in one team, will be laterally moved to another team, so team leaders in lets say Fixed Income team can come from HR, studying HR at a random university.
5) No career path/no exit opportunities. If you are looking to move internally – the company actually encourages this, but all the roles in data are more or less the same, so you would not avoid manual data entry and customer service, thus being stuck doing absolutely unskilled tasks. Only exceptions are data science teams, which also do not do anything outstanding, but at least do not have this entry and customer service parts. But because everyone wants to move there, you may need to wait 3+ years just to make a lateral move to an entry-level position without any salary increase. If you are looking outside, the common exit opportunities are back office jobs or other data providers, where you do more or less the same job. You will have to embellish your responsibilities at Bloomberg during your interviews if you do not want to look like a waiter applying for finance jobs. 
6) Absolutely not working incentive scheme. Bloomberg has a very strange culture where everyone receives roughly the same salary and where everyone receives roughly same raises every year, no matter how well you perform. If you are a top performer, your bonus will likely be literally 0-£200 higher than the bad performer and the raise you get will be just £1000 per year more. This creates no incentives to work beyond the stipulated time/work hard or work smart. You will get the same in the end.
7) Promotions based on connections. In many times, the promotions are actually decided based on how people like you instead of how good you are or how suitable your skill set is."
"111","There is an unhealthy culture for self-promotion at the expense of real tangible work
Too metric driven with absolute no attention to quality"
"112","Start rewarding the over-performers and firing the underperformers."
"113","Não há nenhuma desvantagem que encontrei até o momento"
"114","Keep doing the great job!"
"115","* Micromanagement on steroids. Cameras everywhere, key strokes monitored and the time you are in the office is also measured. Make no mistake if you are one minute late expect to get an email.

* BULLYING CULTURE....it is sad to watch people who are elevated to management embrace the culture and start sending emails to people who were once friends about Bloomberg standards (which are Gilead like), social media... responsibility (apply self censorship muzzle here) and writing news stories that resemble bullet points so as to keep your metrics up.

* On social media, the transgressions from personal twitter accounts were so trivial that most either stopped using social media or found alternate employment.

* SHOUTING AT STAFF IS GOOD...APPARENTLY? !!!!! Any organisation where screaming at subordinates is considered standard is one that will result in the victim seeking some form of medication, treatment, and having their self worth destroyed.....or they embrace the same behavior. Bloomberg is full of bullying managers who cannot leave their staff alone to do their jobs....constant hectoring and poor processes only compound the problem.

* POLITICAL CORRECTNESS AT A LEVEL APPROACHING MADNESS - Mike Bloomberg's weird personal views on workplace loyalty, climate change and a decent society is where the organization shaped in his likeness reaches rank hypocrisy. Despite the wacky obsession about sugary drinks in New York, the wall of sugar at the company's hideous neon offices are a reminder to never leave and drink soda for 12 hours (sorry, 14 hours a day).

*  Bloomberg LP has been sued many times for being hostile to women, especially pregnant women. Despite the PR about how the company has embraced flexibility, such pieces are complete fiction and do not tell the real story of what happens when many women return from maternity leave. Feel free to read the NY Times to get the company view on females who dare to have a baby. 'Mayor Shows His Testy Side in Deposition for a Lawsuit' on April 14, 2011.'

* CLIMATE CHANGE HYPOCRISY - Bloomberg LP relies on terminal sales to many industries and takes money from BHP, Rio Tinto, Glencore, Whitehaven Coal....wait! yes coal companies whom Mike Bloomberg wants to shut down. (Mike is annoyed that people are apathetic about the approaching apocalypse but like children who rebel against religious parents it is simply a case of normal folk rebelling against having an issue shoved down their throat by billionaires. Nothing gets a Bloomberg editor giddy around the loins like the image of Hollywood stars flying in private jets to exclusive resorts to give lectures on climate and consumerism. It is amazing the air time given to people who wear spandex and pose in front of green screens for a living. 

* Like Gilead, Bloomberg has an army of Editors at Large (commanders)......this is code for former Team Leaders and Bureau Chiefs who have been kept on to write 2000 word op-eds no one reads and to hold forth in strategy sessions about what politics mean for a given country. The Sydney bureau is blessed with several Commanders in these roles as its leadership wrestles with the most gripping issue facing the island nation........Australia's misogyny problem. Month after month, the Sydney bureau's self-flagellation results in snore fests of how to get women into management positions......forget the economy, this is where the real new stories are at!  (it was amazing to learn that outside the Bloomberg offices, there are men walking down the road holding their wife or girlfriend's hand.......there is hope for Australia yet).

* Not to be outdone, the London bureau have a cool social club....the LGBTQI_Women_Climate_Change_More_Women_in_Leadership_Diversity Social Club.....sadly I didn't get to join this social club.....

* Vacation is all but in name only...."
"116","None....you guys are bonkers."
"117","From my experience it has not being a great company to provide me with new opportunities for my professional growth and really feel cared."
"118","Several changes at Bloomberg recently. My advice to management is really value the really hard working employees and pay better bonus and have a more fair compensation model."
"119","Bad product, terrible management both at department and company level."
"120","Sell the company, you're ruining it."
"121","Hours, culture and opportunities for progression are all bad. Go to a rating agency instead."
"122","I suspect management is fully cognisant that it is running a hamster workshop without strong prospects for its employees"
"123","They will low-ball you if they know you want to job, and there's a lot of tribal knowledge because a lot of people have been there for their entire career."
"124","-No clear track for success/moving up the ladder. 
-Performance reviews/promotions seem to be very subjective and not very quantifiable.
-Much of the leadership is ancient and has been at the company for decade(s) so not much room for growth and no true desire to innovate.
-Very outdated and proprietary tech stack.
-Using internal tools and the terminal daily is a pain.
-Pay/perks a tier below the other big... tech companies
-Very much of a corporate and finance vibe in 731 Lex."
"125","-Make your performance evaluation criteria less arbitrary/subjective and more transparent and quantifiable."
"126","Very competitive and cut throat, hard work is expected and not rewarded"
"127","No true training or development outside of product training for sales, they move you around laterally to different product teams like a chess piece however there is no real progression. Do not encourage but rather view professional certification or upskilling outside of Bloomberg products with suspicion. Internal barriers to complete deals or small sales are sometimes enormous. Management keep chiming about office... being a meritocracy to justify a metric driven system for performance review however what really matters is how much you can BS your way to the top by ""telling a story""."
"128","Short sighted money grab commercial changes without consideration for existing clients destroys the relationships that sales professionals build over years. More importantly, it valadiates client concerns and fear of systems and vendor exposure and risk. Focus on people and reducing internal barriers to the sales process, especially the paranoia induced requirement to complete admin and documents on time.

LET... SALES PEOPLE SELL. Not admin"
"129","Annual evaluation process is opaque"
"130","Very limited career opportunities within the company."
"131","too many hours some people obsess too much"
"132","invest in life-work balance"
"133","Lack of flexibility 
Career progression"
"134","Poor management. Lack of growth. Egocentric.  False hope. Though you get title changes, hard to get promotion with Salary. High turnover. Always remanagement/restructuring. Company not doing well financially. Majority of higher ups are white males. Sexist. Issue with harassment. And lack of diversity especially in management positions"
"135","If you are going there. Just keep this in mind. You can be Albert Einstein and be smartest in the world but you don't get promoted  easily. Here Everything works based on relationships. 
Very long extra hours of work without pay!!!

Zero work, life balance.

Erratic rules: be buddy  to your manager you can come 10 AM and leave 5PM not peoblem.

Otherwise arrive  8:05 AM and  you can be in trouble."
"136","Try giving some of the large profit to employees instead on taking vast majority for yourself. Put an end to favoritism based on Friendships."
"137","None, none, none, none, none"
"138","A lot of old, legacy code, which moves slowly."
"139","A lot of training throughout"
"140","PAY, time off, benefits and morale"
"141","Skills specifically gained within the terminal, resulting in large fear of gaining nontransferable skills"
"142","Be more clear about what the job entails, cause the title is extremely misleading."
"143","I don’t find many cons"
"144","Poor management, the managers are very clicky, the role is heavily micromanaged, personal boundaries/ private life are often not respected."
"145","More transparency and organization. Please respect your employees more."
"146","Business managers are not great"
"147","Micromanagement, lots of commitment"
"148","There are regular major reorganisations which result in people's job responsibilities and reporting lines changing. This is frustrating since you never know what you're doing to be doing six months from now - it might be a completely different job from the one you were hired for.  This is apparently ""The Bloomberg Way"" but it seems to me that doing things ""The Bloomberg Way"" is an excuse for poor management... decisions to get implemented without recourse for employees. 

There are way too many management levels and the people that make decisions don't know the right ones to make. 

The salary bands are invisible to employees (if they even have them - salaries seem to be completely arbitrary here) and negotiating pay rises is almost impossible since pay rise is already decided when you get to review period. If you're an internal employee who has moved around, don't expect to be paid anywhere near your colleagues who have come in from external.

It's really difficult to move into a department unless you already know someone there - it's who you know, not what you know. 

People with more tenure get preferential treatment for some reason, even if they are toxic.

Working hours are ridiculous - such an outdated way of working. There's only so many productive hours in a day and making people stay in an office from 8am to 6pm does not increase those hours."
"149","You need to give employees on the ground more say in decisions, and pay people what they are worth without them having to fight for it - it's so simple"
"150","Navigating career progression is further complicated by Bloomberg’s lack of hierarchy so it seems to be more about who you know"
"151","working hours not very flexible"
"152","Management in some departments need improvement"
"153","Management in ETO need to treat staff like grownups and trust them to do their job"
"154","Some micromanagement occurs, management support of team has changed negatively, used to be better."
"155","Listen to team members more, have them help you, especially those with tenor."
"156","Micro-managerial Culture, no remote work, CRM is internally developed and cumbersome"
"157","Management needs to adopt traditional Saas lexicon and sales proceedures"
"158","flexibility to work remotely"
"159","poor bonus - could be as small as £2k per year"
"160","Too much work, no proper training"
"161","Glass ceiling and relocation is not easy"
"162","May be hard to move up."
"163","Poor work life balance. Very little opportunity to move up"
"164","Small supply chain and feel disconnected from the rest of the organisation"
"165","Too much artificial and unnecessary pressure to meet sales targets"
"166","Too much artificial and unnecessary pressure to meet sales targets"
"167","The benefits and pay are not worth  the stress.  Bloomberg Media had the most toxic environment I've ever experienced in  a workplace. This is mostly due to the leadership. There are too many people in management and team lead positions, who have ZERO leadership skills, and no business acting as role models.  Would NOT recommend."
"168","Chefia pouco presente
Todas as decisões tem que ser tomadas por eles
Salario muito baixo"
"169","The department is not at the headquarters."
"170","Similar roles in the headquarter in Princeton had greater and more exciting opportunities working with R&D and product manager."
"171","Very limited opportunities to move up - management is mostly made up of entrenched ""lifers""

Unusual compensation structure for sales - if you are used to doubling your salary with your commission, you will probably take a pay cut.

The flagship product has so saturated the market that the company now relies on growth through the selling of ""ancillary"" products.  Some of those products are successful but if you... are trying to sell one that isn't, it's an uphill climb.  That said, there are lots of opportunities to move to other products within Bloomberg."
"172","It's hard to give advice to such an incredibly successful company."
"173","Could not think of one"
"174","1) Limited growth opportunities.
2) Organization doesn't actively fire non-performers."
"175","Office Politics, no flexible working hours"
"176","Like any big companies, you need to be clear in the company's goals and directions in short and long terms, and adopt yourself to the changes quickly."
"177","Flat hierarchy and limited senior roles"
"178","Nepotistic culture, no transparency. The company steals client data and monitors clients behaviors. A bad manager can do what he likes and the company will cover him irrespective of your complaints."
"179","Create a culture of transparency and accountability.  Company should fire abusive managers and not cover them up. Empower employees to get rid of bad managers who have been there for years."
"180","Limited salary increases  in the future"
"181","Not really a finance role. Just assiting people in finance."
"182","You will learn a lot about Bloomberg's legacy technologies - knowledge that won't be very useful anywhere else you go. The management lets people they deem to be useful get away with a lot of bullying they shouldn't be allowed to do. It's hard to advance."
"183","If you are unlucky and end up on the wrong team, it can be extremely micro managed. Because everyone in the company can view your calendar, see what time you badged in and out, this is used extensively by managers, so basically for people with family and kids, can be a proper nightmare"
"184","Give more flexibility to people, just because we can't work 8 to 6, doesn't mean we are not working hard. Because you are telling employee off for being late for 10min in the morning, you lose the heart of the employee, who works every evening to catchup."
"185","Nothing much to complain really"
"186","The working hours could be long depending on which group you are in."
"187","It is hard to work with open source projects. Open office. A bit outdated software stack."
"188","not a lot of transparency into compensation decisions 
not a very creative work environment 
operations side of the company is heavily undervalued"
"189","I loved it and hoped to stay,  but my position was eliminated. But I guess something some may say is a con, is that it's an open environment. Not a single office, which I know as a general rule many people don't like. But everyone gets used to it."
"190","longer than usual working hours"
"191","The computer engineers do not work that hard. If your manager does not like you, it is tough to get the resources to effectively finish your project. My primary manager was replaced due to my manager's performance issues. The new manager did not like the team so he was a little bit hostile."
"192","Make it easier to move to another department if company and division strategy changes."
"193","Bad management of the support departments."
"194","Very poor management; managers in news almost always have very poor people skills; zero respect for work-life balance; limited opportunities for progression outside of the role you were hired in; eventually you start to feel like just a cog in a giant machine that can be replaced at any time."
"195","Manage the managers in the news department. Team leaders and senior editors seem to be able to do whatever they want with little to know consequence. Instead of hiring outside people give opportunities to internal candidates."
"196","Not very challenging  most of the times. Unexperienced teams"
"197","It's a big company, so growth is slow and generally limited."
"198","Global Data is a joke and a revolving door for college grads. They make you go through a fairly lengthy interview process, but the full-time role is a joke. Trust me when I say that you're not doing anything finance related. You're in a back-office role doing manual data entry which can be automated at any time. In fact, Bloomberg is pushing for automation so I wouldn't be surprised to see Global Data dissolved.... Also it really matters which team you land on. No matter what, STAY AWAY from fixed income. Specifically the mortgages team and to some extent bonds. You'll be going through all the same issues as everyone else in Global Data but with A LOT more work than your non-fixed income colleagues. Besides Global Data being a joke, be prepared to face A LOT of politics. There's politics all over the place. Since there's so many fresh college grads, it feels like college with college drama. ""Senior leaders"" are outdated. Some have been with the company for several decades simply because of their connections. In fact, since there's so many people for so few TL spots, the only way to move up is to be friends with management. You get ""unlimited sick days"" but no one takes them because there's a stigma. If you do end up taking one, if it's Friday or Monday, be ready to face judgement when you're back. Work from home is also so so hard to get. It's pretty basic these for companies to offer this, but the company doesn't want to set a standard of working from home daily. Thus, managers are encouraged to not let their teams work from home. As for career prospects after, there's very little. Poor at best. Think about it, you're not doing finance so no banks want you. Since you're doing data entry all day, you're not developing technical or finance skills. Also you're working with Bloomberg systems which isn't applicable to other companies. If you were working with SAP, Qlik, Tableau then that would actually be useful but you're not. Lastly, the location sucks. You're not in Princeton, you're in freaking- Skillman, New Jersey. Never heard of it? Exactly."
"199","Get new middle management (all Skillman Product Managers and most TLs)"
"200","long hours, can be a bit boring"
"201","too much politics in every day work life"
"202","change incentives to reduce politics"
"203","Your experience varies from manager to manager. 
Promotion path isn't clear since company has ""flat"" structure."
"204","Make it more transparent for employees to address issues with direct management."
"205","bad tech, bad management, bad growth"
"206","It can be stressful at times."
"207","Leadership in transition so the future is uncertain"
"208","Lot of bureaucracy in the firm"
