Employer's Name,Review Link,Job Title,City/Town Name,State Name,Country Name,Interview Date,Interview Difficulty,Interview Length (no. of days),Process,Interview Outcome,Overall Experience,Why Decline,Negotiation Phase,Interview Question 1,Interview Question 2,Interview Question 3,Interview Question 4,Interview Question 5,Employer Response
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW194056.htm,Editor,Denver,Colorado,US,3/21/2009,Difficult,5,"I thought the interview process was great. It started with a phone interview, that was really a get-to-know me and them session. They told me about what they did, what the magazines consisted of and what my general duties would be. Then they asked if I would be interested in coming to the office to see the facility and meet the sr. managing editor. I scheduled that, and met with him, we talked about me most of the time and how I could apply my current skills to this job. They walked me through the publications I would be in charge of and gave me a tour of the building. Three days later I got a phone call from the news director in NYC, who tested me on a few things over the phone and asked me how I felt about my ability to do the job well. I knew shortly after that call that I would be sent an offer. But, they went out of their way to make me feel welcome and I felt they sincerely wanted to know about me -- not just have another body to fill a seat.",Accepted Offer,Positive, , ,Unexpected: Why are you leaving your current position?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW318631.htm,Editor, , , ,11/5/2009,Average,45,"Took forever, made constant trips back to NYC, only to have the job given to a friend of the person I would have been working for. Even went into NYC (90 minutes commute) to arrive once and get told that the person I was supposed to interview with wouldn't be able to meet with me, so I would need to reschedule for another day. Which I did (because I was in the top three for the position).",No Offer,Negative, , , , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW3131420.htm,Editor,Washington,District of Columbia,US,10/3/2013,Easy,14,Submitted clips and resume. Interviewed with senior editors in New York and Washington.,Accepted Offer,Positive, ,I was able to get moving costs from Boston to Washington covered.,Tell us about a mistake you made on a story and how you handled it., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW12837942.htm,Product Consultant,Centennial,Colorado,US,11/30/2016,Difficult,5,Very Intensive for the level of position. Phone interview with 3rd party HR representative is a formality with standard canned questions. There were multiple in person interviews. Your knowledge of the financial service industry is important. You will be sent to a 3rd party offsite (somewhat sketchy small strip mall office) to confirm you are a US citizen.,Accepted Offer,Positive, , ,Q:  What would you do if you have multiple High Priority Issues going on at once that you are not sure how to solve?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1613517.htm,Project Manager,Houston,Texas,US,6/17/2012,Average,5,"Excellent, fast, good information provided about the job, Mgmt. knowledgeable and experienced. HR informative and timely with updates.",Accepted Offer,Positive, ,"Went through head hunter, negotiations not directly with company. At point were with company, was given impression of more potential for increase than available by company standards. Negotiate base pay on front end, don't count on bonuses.",Typical questions on experience and how it relates to the position., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW317446.htm,Project Manager,New York,New York State,US,11/3/2009,Average,90,the whole process was very long and between the initial phone interview and the 1:1 it took them a very long time. When I was finally called in for the face-to-face they said they had already filled the position. Not too sure why they called me in at all... Well the hiring manager mentioned she had just started looking for someone. After the one hour long interview she said she was going to see if she can find someone else to interview me ( so that I meet with less people on the second interview) and then she came back and said no one was available.,No Offer,Negative, , , , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW6677410.htm,Project Manager,New York,New York State,US,5/22/2015,Average,21,"Initial phone screen with HR which was very thorough in that they asked about commuting (can you get here from there) and if I was ""in process"" for any other job at any other company. The second interview was with the business unit manager, which I could see I wasn't connecting with and at one point seemed argumentative. I knew I was sunk when he cut the interview short to go to a meeting, and said someone will be in touch. What bothers me most is I never heard from them, not even the beige e-mail stating ""thanks, but no thanks.""",No Offer,Negative, , ,Why do you want to leave your present job?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW15119509.htm,Senior Financial Analyst,Hightstown,New Jersey,US,5/18/2017,Very Easy,1,This is a dual location position where the job is split between Central NJ and NYC. I went in for an interview with the M&A Manager and Corporate Controller for the I/C Senior Financial Analyst.,No Offer,Negative, , ,The first person was pleasant enough but I barely could get a word in and the interview took longer than expected. Met the second person who seemed disinterested immediately.  It was so awkward as I could tell she just wanted to get back to work. I had to actually ask her if she wanted to know anything additional or go over my resume. I feel like I was judged before I had a chance to speak and did not feel like I had a fair chance from the beginning.  Their loss., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW11292304.htm,Senior Financial Analyst, , , ,7/19/2016,Average,30,"mostly behavioural type and technical accounting focusing on past job performance, the value you added and challenges you came across and how it was handled. Interview with four individual most whcih worked for the company for more than 10 years and very well knowledgeable.",Accepted Offer,Positive, , ,Tell me about yourself, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW6771056.htm,Senior Human Resources Manager,New York,New York State,US,6/2/2015,Average,15,Quick and efficient; they had an interviewing team that represented both HR and business lines; interviewers were on time and efficient; logistics were well coordinated; feedback was provided at the end of each interivew,Accepted Offer,Positive, , ,Pretty standard questions but with more depth - tried to understand my motivation, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW3997516.htm,Director,Washington,District of Columbia,US,4/3/2014,Average,45,Straight forward process with HR initial interviews and hiring manager(s) conducts follow up.,Accepted Offer,Neutral, , , , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW274803.htm,Process and Documentation Coordinator,Burr Ridge,Illinois,US,8/25/2009,Very Easy,2,Stay professional.,Declined Offer,Positive,I live 300 miles away. They would not negotiate salary or relocation benefits., ,Why do you want to work for McGraw-Hill?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW2682896.htm,Financial Analyst, , , ,5/27/2013, , ,"I got hired as an intern, so I didn't have to go through the full rounds of interviews. Typically you meet with HR, then 2 to 3 people interview you from the team.",Accepted Offer, , , ,NA - mostly fit questions., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW22742035.htm,Financial Analyst,New York,New York State,US,10/1/2018,Average, ,When I interviewed with them it was for a contract position and they were welcoming and informative as to what they were looking for and expecting. They guided you for success.,Accepted Offer,Positive, , ,"They concentrated the questions regarding your knowledge of finance, accounting, and systems.", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW9743706.htm,Credit Analyst,New York,New York State,US,2/29/2016,Average,3,"Went through their first round of phone interviews, it was about an hour long. Two people interviewed me the first person asked behavioral questions while the second person steered more towards technical questions. The interview was rather straight forward but they were very friendly.",No Offer,Positive, , ,What is Capital Expenditure?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW20936427.htm,Data Analyst, , , ,6/7/2018, , ,"Was contacted by recruiter saying I was found in their internal system and was asked to set up a time. I set up a time to interview and then the recruiter never got back to me. My best guess is that the position was filled, which is why I wasn't contacted back. However, it would have been common courtesy for the recruiter to let me know instead of leaving me hanging. Left a poor impression on me regarding S&P's reputation.",No Offer,Negative, , , , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW2424757.htm,Customer Support Representative, , , ,3/4/2013, , ,Short and your are a temp to perm for a long time until everyone else quits.,Accepted Offer, , , ,Name a time you had to improvise to help someone., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW7143598.htm,Research,Los Angeles,California,US,7/7/2015,Average,10,Was contacted for a 5-10 min. phone interview in order for the company to gain a general knowledge of who I was. Then a 30 min. phone interview with a superior. Was then asked to come in for a formal interview with 3 executives.,Declined Offer,Positive, , ,"What was one hardship that you faced in a previous position, and how did you overcome it? ", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW21763338.htm,Research Assistant,Dallas,Texas,US,8/1/2018,Average,8,4 back to back 30 min sessions talking about role Managers will go into depth of asset classes as much as you want them to. Be prepared to answer any simple capital markets questions such as calculating bonds or how to calculate something.,Declined Offer,Neutral, , ,How do you calculate NAV, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW19145975.htm,Consultant,New York,New York State,US,2/8/2018,Difficult,180,"Although the title will initially be consultant this will be an executive managing director position or potentially global head after 1-2 yrs. Initially, it will be to conduct research/due dil. to present to board for a new division & if approved managing/directing to add momentum and educate market place/create new strategic partnerships.",Accepted Offer,Positive, , ,How would I create a commercial road map and go about conducting a market analysis?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW589460.htm,Communications,New York,New York State,US,8/1/2010,Average,21,"It was fairly straightforward. I found the exchanges with the recruiter to be very pleasant and informative. The 1:1 with the hiring manager was a great conversation. However, the company HR manager was fairly reserved and not necessarily a great ambassador for the company. The interview felt less like an interrogation based on qualifications than maybe what someone might feel interviewing for a private club. I would say the culture is extremely conservative.",No Offer,Neutral, , ,Where did you learn your management style?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW5037919.htm,Director IT, , , ,9/24/2014,Average,7,"The interview process was considerately done; I received an email 2 business days before the proposed date and time and was asked to confirm my availability. The first phone interview was performed by the executive recruiter - they were polite and sociable which help to alleviate some of the potential stress. The recruiter studied my resume and knew it well so there were no questions like, 'tell me about yourself' - the questions were future-oriented, i.e: 'What is to you for your next position?' and 'How do you envision your role?' After about 20 minutes of a fairly free-formed discussion, the interviewer explained their background and the general requirements for the position. I asked a few questions and the interviewer confirmed that I was a candidate for the next interview round. The second phone interview was scheduled, and confirmed, 2 days later with a C-level executive manager; I was asked to spend about 15 minutes of uninterrupted time discussing: 1) my 'elevator pitch', 2) what is it that I like to do? 3) what am I proud of? and 4 ) a particular challenge. Subsequently, the executive manager explained who they were, their high-level goals for the organization and the goals and objectives of the open position. I asked a few questions and we ended the interview. The next day, I sent a 'thank you' email in the early AM and by midday the company confirmed that I would was not going to continue on to the next round of onsite interviews.",No Offer,Positive, , ,"The interviewers use the technique of 'free-form' and uninterrupted discussions to not only see how well you can articulate your abilities but they are also trying to assess if you will be good fit into, what appears to be, a very close-knit and small organization.  ", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW6287207.htm,Client Representative II,Denver,Colorado,US,4/8/2015,Average,21,30 Minute screening call with their recruiter that asked some technical knowledge and experience questions regarding the stock markets. Then as in-person interview with hiring manager and one of his peers. They had a list of customer service related questions and also tested my skills on the computer including an Excel case study.,No Offer,Positive, , ,Show me on the computer where to delete cookies., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW21922742.htm,Product Manager, , , ,8/11/2018,Average, ,"Video conference interview with the product team leader. 1hr. Described existing team, recent acquisitions and corporate culture. Discussed ideas for enhancements to desktop and mobile application products to accelerate active usage for high growth target segments.",No Offer,Positive, , ,Describe new features and AI that could be added to the mobile application to grow usage and potential audience?  , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW9145509.htm,Business Analyst,New York,New York State,US,1/11/2016,Difficult,30,"Applied through school. First round was tech interview on campus, asking to design an application to show different statistics, then asked questions about the design (how do you know it was good, what makes the design better than others ect.ect.) also asked about workflows. They then had an interview in New York, where I meet with 3 different people on the BA team. One of them grilled and critisized my application, one of them asked to describe a different app that I enjoyed using and why i liked it, one of them was just a general conversation to see if i was a good fit for the company.",No Offer,Positive, , ,What makes a good Design? , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW11411516.htm,Business Analyst,New York,New York State,US,7/31/2016, ,12,"3 rounds of the interview process. S&P Global came to my career fair where I handed my resume. I was called for an in-person interview that consisted of UI design and research, data analysis and testing related questions. The next interview was more of a personality test followed by a technical round of interview.",Accepted Offer,Positive, , ,"Draw a workflow chart given the requirements
Write SQL statements
Create test plans", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW12619034.htm,Business Intelligence Analyst,Bedford,Massachusetts,US,11/9/2016,Average,21,"First I went through a routine phone screening. The second part of the Interview processes consisted of an interview with the business intelligence team manager. Finally, in the last phase of the interview process, I met with two sr. level Business Intelligence Analysts and followed up with the hiring manager.",Accepted Offer,Positive, , ,Q: Why do you feel you are qualified for this job?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW9745191.htm,Manager, , , ,2/29/2016,Average, ,"I was contacted by a recruiter months after submitting my resume for the position. In fact, I didn't even remember the position and had to do some research to find the job again. The first interview was over the phone. The second was at the office with two members of the team. My biggest complaint is the lack of feedback. After following up I was told that I would hear something back with regards to the position. I never did. I was told that I would know the status by the end of the week. That has came and gone. For such a big company I would have figured that they would give some kind of feedback regardless if you have received the job or not. Minus that everything else was fine.",No Offer,Negative, , ,Tell me how you would fit into this position?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW8416416.htm,Manager, , , ,10/24/2015,Average,30,"Not to lengthy, Essay test was given which made no sense, took too long to complete the process and the negotiation and offer roll out. HR was very slow. background check too very long time.",Accepted Offer,Neutral, , ,Whats your career aspiration, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW8055210.htm,Manager, , , ,9/23/2015,Average, ,Easy process and role explained for very clear though the time taken was too long. Management was slow in making decision but once selected it went very smooth. Onboarding process was well organised.,Accepted Offer,Neutral, , ,Tell me about yourself, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW10391651.htm,Copy Editor,New York,New York State,US,4/25/2016,Average,30,"I applied for the job online and received an email about two weeks later to schedule a short phone interview. That interview consisted mostly of screening questions about where I lived and if I would need visa sponsorship. Then I set up an in-person interview the following week. I met with two editorial managers for the interview, which lasted between 20-30 minutes. I heard back from the company regarding the position about a week and a half later.",No Offer,Neutral, , ,General questions about experience. Have you ever had issues with editing a certain writer? What do you know about us? What experience do you have with content management systems? , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW23738877.htm,ESG Analyst,New York,New York State,US,12/6/2018,Easy,21,"Three rounds of phone calls. The first with HR specialist, the second with the hiring manager, and the third an interview with a hiring panel. Other questions were about the possibility of relocating and knowledge of the company's main businesses.",No Offer,Positive, , ,General questions about skills- how your skills match with the job description and professional interest - how does the position align with your future plans and interests., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW18642973.htm,Talent Acquisition Coordinator,Charlottesville,Virginia,US,1/9/2018,Very Easy,26,They said they were looking to fill the position quick. They seemed really interested in hiring me and said they would follow up the week after the interview either way but I haven’t heard a thing. My status is in “in process”. I took time out of my busy schedule and accommodated them for all of these interviews and I get radio silence in return. Shame on this company. Don’t rush me to interview and ghost on me.,No Offer,Negative, , ,Tell me about yourself.,Tell me about your organizational skills., , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW506872.htm,"Associate Director, Creative Services",New York,New York State,US,5/22/2010,Very Difficult,60,"It took a long time - four interviews with four different people. A lot of hard questions were asked, as this particular division did not trust its employees and so screened very carefully. One of the reasons why it took so long is because there was a lot of reorganization going on, and that impacted who I would be working under. In retrospect, it took too long, and was a sign that something was amiss in this department. I've learned since to go with my gut regarding how I feel about the interview process, because it often mirrors actually working there.",Accepted Offer,Neutral, ,Done on the phone with a McGraw-Hill recruiter.,Who is your toughest critic? , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1408585.htm,Publishing Representative,Chicago,Illinois,US,3/25/2012,Average,30,"Initial call from recruiter along with a length phone screen, periodic touch bases in between. Two more interviews",No Offer,Neutral, , ,Tell me about yourself, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW19055259.htm,Technology Development Program, , , ,2/2/2018,Easy, ,"Process was one round consisting of two half hour video conference calls each with a different manager. Both the interviewers were pleasant and overall I was very satisfied with the interview process. The interview questions were mostly behavioral based with only technical questions, but no coding. The day after the interview, the recruiter contacted me with an offer, which I accepted.",Accepted Offer,Positive, , ,"Standard behavioral questions i.e: what do you know about the company, why S&P, etc. ",Difference between a class and object,Method overloading vs. overriding, , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1713733.htm,Intervention Consultant,Columbus,Ohio,US,7/10/2012,Very Easy,1,"Best interview every, interview by recruiter and them background check",Accepted Offer,Positive, ,Salary on years of expereince,"
Interview was very layed back", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW20993332.htm,Full Stack Developer,New York,New York State,US,6/11/2018,Average,14,The first round was a non technical phone interview. The second round was a video call followed by coding and theory questions online. The overall process took 2 and half weeks.,Accepted Offer,Neutral, , ,Basic OOPS concepts and detecting the error questions, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW2117771.htm,Senior Linux Systems Engineer,New York,New York State,US,11/7/2012,Very Easy,6,"Somewhat straight-forward, nothing out of the ordinary. I would say interview was relatively easy.",Accepted Offer,Positive, ,"I told them my minimum requirement and was offered exactly the same, since it was 20% raise for me, I took the offer", , , , , , 
