Employer's Name,Review Link,Job Title,City/Town Name,State Name,Country Name,Interview Date,Interview Difficulty,Interview Length (no. of days),Process,Interview Outcome,Overall Experience,Why Decline,Negotiation Phase,Interview Question 1,Interview Question 2,Interview Question 3,Interview Question 4,Interview Question 5,Employer Response
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW679002.htm,Analyst,Chicago,Illinois,US,10/11/2010,Average,1,"Interviewed with a handful of people from the office. Went over resume, discussed the company and its role in the financial services industry, etc.",No Offer,Positive, , ,How do you feel about the role of credit rating agencies in the financial services industry?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW8369421.htm,Analyst, , , ,10/20/2015,Very Difficult, ,"I applied online and was given the opportunity to have a phone interview with two people in San Francisco. The interview was almost entirely technical, and the questions were things that I did not know off the top of my head. They said I should hear back in November for a possible invite to their Super Day.",No Offer,Negative, , ,"What ratios would you look at for profitability, efficiency, leverage, and liquidity?
Tell me about the Eurozone Crisis?
What is the most important ratio when rating a company?", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW22937614.htm,Intern, , , ,10/13/2018,Easy, ,They asked me questions about what they thought about what the world was doing when we thought that it was about that. More words about interviews wow at least 30 words is long.,No Offer,Neutral, , ,Why do you want to work here?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW3327567.htm,Intern, , , ,11/18/2013,Average, ,"First a phone call with HR, then an interview with my manager and then an interview with 2 members of the team I worked with. It was a good experience. Everyone I spoke with was nice and there were no shocking questions.",Accepted Offer,Positive, , ,Tell me about a time you had to make a very difficult decision. , , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW5524564.htm,Intern, , , ,12/11/2014,Easy,35,"Two phones calls with employees in S&P ratings department. Behavioral oriented interview with some questions about the general economy. Everything was expected, walk me through your resume, why do you want to work here?",Accepted Offer, , , ,How do you foresee the equity market?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW1480420.htm,Intern,New York,New York State,US,5/1/2012,Average,14,"Initial communications just through a connection with a recruiter. They use Kelly Services to hire all their temporary employees like interns. I was only to have a phone interview and a 1:1 interview in person, but ended up getting the offer without the 1:1 but everyone else had to. I'm not sure why.",Accepted Offer,Positive, , ,Why do you want to intern with our company?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW1153500.htm,Intern,New York,New York State,US,10/13/2011,Easy,7,Got a call from HR then scheduled an interview with the managers. Talked with 2 people and the interview lasted 1 hr. The questions were all general behavioral questions and some regarding your skills set.,Accepted Offer,Neutral, ,did not negotiate,What is the one point you want to highlight on your resume and why?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW2190048.htm,Intern,New York,New York State,US,12/7/2012,Average,30,There was a brief phone interview with an HR representative and then an interview with a managing director and director (at the same time). The second interview had little technical questions but was pretty general: why do you want to work here? Who is the president of S&P?,Accepted Offer,Positive, , ,Can you explain to me how to securitize a product?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW1641799.htm,Intern,New York,New York State,US,6/24/2012,Easy,14,"Applied online. Got email that I was selected for a phone interview. First interviewed with HR, then with the Managing Director I work under. Both were less than 30 min and not too technical. Very basic finance questions to confirm I had interest and knowledge.",Accepted Offer,Positive, , ,What career do you foresee yourself pursuing?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW847653.htm,Senior Software Engineer,New York,New York State,US,3/10/2011,Average,60,"Very long process. Applied online through their website. Heard from HR several weeks later. Had a phone interview with the hiring manager, and than invited to onsite to interview with several members of the team. Most of the non-technical questions were fairly straightforward. The technical questions tended to test your memorization of random, esoteric facts about the Java API or syntax, rather than problem solving or design skills.",No Offer,Neutral, , ,Regular Expression syntax questions., , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW614240.htm,Senior Software Engineer,New York,New York State,US,8/17/2010,Average,6,Spoke to HR first about the job. Was called in for a face to face interview after speaking with a few different people over a couple of days i was hired,Accepted Offer,Neutral, , ,Experience with Informatica, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW214681.htm,Linux Administrator,Bethesda,Maryland,US,4/29/2009,Difficult,14,"Was asked questions about developing rpms for RedHat, what is the network configuration tool (neat), how would I address customer service issues. How do you search for information in Linux (man - k + topic). Review basic Linux and know a little about the company.",No Offer,Positive, , ,How do you build a RPM for Linux and what is the main file to do so,What is the Linux network support tool, , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW1331211.htm,Senior Applications Developer,New York,New York State,US,2/10/2012,Average,3,"I interviewed with S&P for a Sr. Application Developer position. For the most part, it was a negative, but also important experience. It was important because it was an experience like no other, and that in itself provided a valuable experience that I can take with me and learn from. I interviewed with 5 total people: recruiter, hiring manager, teammate 1, teammate 2, and hiring manager's boss. Of these 5 people, it was the recruiter and hiring manager whom I liked (and I think also liked me). The teammates 1 and 2 I thought did not respect my experience what-so-ever. They drilled me with irrelevant technical, pointed questions that only someone who spends their fridays and saturday nights at home would know. They expected rote memorization in my answers. That is something, I am proud to say, I do not endorse. Moreover, they didn't let me talk about my experiences and what I've done in my career. They kept drilling me with technical questions. The hiring manager's boss (the last guy I interviewed with), just seemed like a jerk. He's probably the one who gave the orders for the nature of the interview. Also, they gave me a 50+ question technical exam. This exam you cannot do well unless you do significant preparation on beforehand. I think conducting such an exam, once again, indicates they do not respect your experience and believe that using such metrics indicate someone's intelligence and ability level. They will use the exam as a bargaining tool at the end of the interview. It's kinda deceptive. In the end, even if I got a job offer from S&P, I would have declined it. I took the interview in the first place more as a primer for other interviews I had at different firms. No point in working for these kinds of people.",No Offer,Negative, , ,Name the 9 implicit variables in JSP., , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW3645355.htm,Senior Business Analyst, , , ,2/5/2014, , ,"3 rounds of interview, Technical, Functional and Analytical",No Offer, , , ,Derive Funcation spec from 5 page of code, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW7478342.htm,Summer,New York,New York State,US,8/6/2015,Easy,21,"I had a video conference a month after applying for the job. After passing that, I had two 30 minutes phone interview which was arranged accordingly. It was on the same day back to back and I was given three different time slots to choose from so pretty flexible",Accepted Offer,Positive, , ,What qualities make me stand out, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW10065729.htm,Summer,New York,New York State,US,3/28/2016,Average,14,"Three steps: pre-selection, video recording, two successive phone calls. The first step is pretty quick, you'll know if you're selected in less than 2-4 days. The video recording is up to you, you have to record yourself whenever you can within 2 weeks. The successive phone calls are made by the London Office for the EMEA region, about background, expectations from the internship, basic financial economics & accounting questions, a few personality questions and one ""weird"" question.",No Offer,Neutral, , ,Can you compare the economies of US and North Korea, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW2438298.htm,Summer Intern,New York,New York State,US,3/7/2013, , ,"Applied online, send CV and Cover Letter, as usual. Received a call from HR and had an interview with her for about an hour. She was mainly asking soft skill questions, though in the end asked something about Monte-Carlo simulations. After that I was referred to the managing director for a second interview. He asked few questions on Monte Carlo simulations and Error testing.",Declined Offer,Positive, , ,What is the largest number you might ever need in your life to compute something?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW675833.htm,Finance,New York,New York State,US,10/7/2010,Average,2,The people were very professional and polite.,Declined Offer,Neutral, , ,What are your strengths or weaknesses.,If you were a tree what kind of tree would you be?, , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW267584.htm,Sales Director,New York,New York State,US,8/11/2009,Average,2,"One guy, one lady, one hundred questions, roughly. The guy, forty or so, kept tapping the tip of his ballpoint pen against his front left tooth. It made sort of a metronome for the interview, like I was practicing for something. And the practicing paid off. Not only did I get a second interview, but also a job.",Accepted Offer,Neutral, , ,"Let's say the power went out in the entire building, and you're the ranking employee on the flor (you're working on the 41st floor, and the elevator won't budge). What do you do next?", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW691628.htm,Software Developer,New York,New York State,US,10/22/2010,Average,2,"Interviewing at this company was unpleasant for me. The problem lies mainly in their methodology in identifying talent, which is totally 1-dimensional, or at least for this particular group. They want 1-dimensional people. The interviewers I had a problem with. They had no interpersonal skills and they were mean. I never got the feeling they ever wanted to get to know me. They asked a ton of impractical and obscure technical questions. They never gave me the opportunity to talk about what I did or my experience, and instead bombarded me with irrelevant technical questions that would never be applicable in the real world. The interviewer always tried to make me double guess my answer, even if it was correct. If I said something he disagreed with or believed to be incorrect, he would pounce on it and interrupt me without letting me finish my thought. He was very argumentive and there was no respect or professionalism. Not to mention, they made me take a lengthy, irrelevant examination right before interview and they will become very judgemental over you based off of how you do. Then, they will use that against you as a bargaining chip later on. I did not receive an offer, but even if I did, I would have rejected it immediately. I have read many management books and have worked with the brightest minds in corporate America. I can recognize good management when I see it. This is Bad management, bad people. S&P has very high turnover rate too. Not many people stay in their seats for much longer than 2 years. To be fair, the recruiter I worked with was very kind, helpful and professional.",No Offer,Negative, , , , , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW20907319.htm,Specialist, , , ,6/5/2018,Easy,14,"The process was broken from start to finish. The recruiter called me totally out of the blue, instead of emailing me with my availability. We had a 20 minute conversation, and then he told me his coordinator would reach out to schedule another call, with the manager. No mention of when, but the coordinator emailed set it up for a few days later. That day at the scheduled time, 30 minutes went by with nothing, so I went back to my desk and started working again. Then 5 minutes later the manager called. I swooped back into a conference room to take the call, which was 15 minutes of the manager talking about herself, and not asking a single question about me or my experience. She then said she had to hop on another call, and hung up. Obviously at this point I didn't think I would get the job. So another few days go by, and I get ANOTHER note from the coordinator asking for my availability for ANOTHER phone call, but no mention of who with. I again shared some availability in the coming days, and heard nothing--no confirmation, no additional info. The next day my phone rings and I pick up, and lo and behold the VP of the department is on the line. I had to ask who it was, because I was completely unprepared as I hadn't heard any kind of confirmation. The VP at least was a sharp guy and was a nice conversation, once it got off the ground. Then they brought me in for an onsite, which seemed a bit of a formality.",Accepted Offer,Negative, , ,Are you comfortable joining a company that is constantly changing? , , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW5906456.htm,Quantitative Analyst,New York,New York State,US,2/12/2015,Easy,1,"1 round OCR interview, most about resume, some programming questions. Really easy. The position requires a lot of programming experience in python or matlab and VBA. They will ask about some basic concepts for programming and some VBA code. Be prepared with VBA, because some may not really be familiar with that.",Accepted Offer,Neutral, , ,"Resume Question, some programming", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW584369.htm,Quantitative Analyst,New York,New York State,US,7/28/2010,Very Difficult,3,"I skipped part being interviewed by the HR. I was interviewed by the manager of quant team directly. He was a very nice guy and has deep and profound knowledge within the field, which i found on his linked profile. I walked him through my resume. He asked hard technical questions, which i guess is closely related to the day to day job. He told me that he has 3 members on his team including him self and needs some one who can start the job right away. I guess this is the major reason i didn't get the job because all the projects i have done are not related to their day to day practice.",No Offer,Positive, , ,"What would you do if the stock, whose price you simulated/forcasted, default tomorrow?", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW15090296.htm,Ratings Analyst, , , ,5/16/2017,Easy, ,Applied online and heard back several months later they would like to set up a time for interviews. There were three sets of panel interviews that was conducted with video conferencing.,Accepted Offer,Positive, , ,General questions to gauge interest in learning the field of finance. The interview felt more conversation based., , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW13686279.htm,Ratings Analyst,Chicago,Illinois,US,2/8/2017,Average,21,"Two to three hours of interviewing with several employees in the division discussing basic resume points, current state of the industry, and a case study at the end. Save time at the end for questions.",Accepted Offer,Positive, , ,Walk me through your resume, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW22060771.htm,Ratings Analyst, , , ,8/20/2018, , ,"Rather smooth and straightforward phone screening process that had not taken more than 15-20. Typical screening questions with a very detailed history of the company, the role you have applied for and its significance.",Accepted Offer,Positive, , ,What made you apply for this positon?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW3524372.htm,Ratings Analyst, , , ,1/12/2014, , ,3 rounds,Declined Offer, , , ,"C++, Matlab, Pricing algorithms, financial products", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW5467192.htm,Ratings Analyst, , , ,12/2/2014,Average, ,I got an interview with this firm though different recruiters. They asked me a lot about credit ratings and financial statements. This internship seemed to be geared very much towards an accounting major. They saw my background is equities more as a deterrent than an asset when it came to working with debt.,No Offer, , , ,"How do you use financial statements to rate credit?
", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW5260235.htm,Ratings Analyst, , , ,10/27/2014, , ,"Applied through college career site, and heard back in 2 weeks. Had an on-campus interview that lasted 30 minutes. The interviewer was very nice, and we mainly talked about why I was interested in S&P and went into more detail about the rotational program. Also went over my resume, and how it related to the job position. Overall, it was a very relaxed interview, and I'm waiting to hear back.",No Offer, , , ,Why finance?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW2727662.htm,Ratings Associate, , , ,6/11/2013,Average,10,"3 rounds--1 phone screen w/ recruiter, one in person with group coverage head, then 3rd round super day involving write up of a case study and 4 individual interviews",Accepted Offer, , , ,"No brain teasers.   Be prepared to answer questions about how  you would analyze a credit (i.e. cash flow metrics, balance sheet leverage, etc.)", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW2846352.htm,Research Intern, , , ,7/22/2013,Average,20,I was interviewed by two senior analysts. They asked me to talk about my school projects and asked questions about them. Then they asked me some technical questions about data analysis including regression.,Accepted Offer, , , ,What kind of problem you must consider when you do time series regression?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW1291201.htm,Human Resources,New York,New York State,US,1/19/2012,Average,14,"I had applied online and within 2 days, received a phone call which turned into a very brief phone screen. It was being conducted by a coordinator, she sounded a bit green and was nervous with the questions. I met the minimum qualification and was invited for an onsite first round with the recruiter and senior director. The interview went well, pretty standard questions (ie. going through the resume, ""why are you looking to leave?"") and the recruiter was pleasant. She gave an overview of what the department is about and what she believes the position will be accountable for. However since this position reports to her senior, she could not confirm what the job entails to 100%. I was disappointed that at last minute my interview with the sr. director was canceled and will need to be rescheduled. Things happen, what can you do. Another 2 days passed, I was rescheduled to return to meet with the sr. director. She was a bit all over the place, understanding the fast paced culture - assuming that's the ""norm"". Our interview was short, exactly 30mins. She asked a few questions and went into details of the job expectations, the organizational alignment. We ended the interview and she did confirm there are 2 other individuals she has to interview as part of the internal recruiting process. It was odd, since most companies would have completed the internal interviewing prior to going external. She mentioned they'll have a decision in the next week or so. I did the standard 'thank you letters' and reiterated my interest - - however after 4 weeks have passed, didn't hear back from the company, no e-mail, no rejection, not even a ""thanks but no thanks"" note, safe to assume it's filled. Oddly enough, ran into the recruiter at a job fair - she remembers me and awkwardly advised me the job was filled by an internal. My experience with this company was fair, while I enjoyed networking however would have liked to get some type of feedback (positive or negative).",No Offer,Neutral, , ,"You have a progressive resume (as in you've done this already and seems to be moving to other challenges), why would you return to just one functional area?","You've been out of this industry for a few years, how can you ensure there's no gap? ", , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW933684.htm,Programmer,New York,New York State,US,5/11/2011,Difficult,7,"The HR contacted me and called me in for an on-site interview. I spoke with the HR person for 30 minutes, then took a 1 hours analytical and programming written test, followed by 2 45-minute interviews with 2 managers",No Offer,Neutral, , ,Describe a time when you had difficulty and how you overcame it.,Knapsack problem, , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW3984517.htm,Programmer/Analyst,New York,New York State,US,4/1/2014,Average,3,"A single face-to-face interview to ask questions about databases and Java-related technologies and problem solving for various Java and J2EE questions. Also, certain career related questions were asked like - what kind of certifications are you interested in and which are the latest technologies (like Java, JQuery) have you been learning outside of your work to advance your career.",Accepted Offer,Positive, , ,Create a heapsort search algorithm., , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW2621480.htm,Director,New York,New York State,US,5/5/2013,Easy,60,"I went through several rounds of interviews. The hiring process seemed to have a lot of red tape. The people I met with often didn't know where I was in the process, but were generally helpful in trying to get me on board.",Accepted Offer,Neutral, ,They quoted me a salary and bonus potential.  I didn't really negotiate as this was my only job offer.,The people interviewing me kept to general questions that weren't too difficult., , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW2618371.htm,Financial Analyst,New York,New York State,US,5/3/2013,Difficult,40,"Interviews were held after 5pm in order for management to see if you were willing to work late. Culture is: ""Live to Work"", not ""Work to Live"". If you have children, a family, or expect a life outside the office - do not apply here.",Accepted Offer,Negative, ,Internal promotion.  Salary was a set percentage.  Not much flexibility.,"If you have a pulse, and a brain, a personality that they can tolerate and are willing to work long, long hours - you are hired.", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW665168.htm,Financial Analyst,New York,New York State,US,9/28/2010,Average,14,"Engaged in an interview for a lateral move between groups. As a current employee, the process was remakably easy, and the process took roughly two weeks from beginning to offer. A series of 1:1 interviews was conducted, and the final encounter with the HR representative included the offering docs. I refused the original offer and countered with my own, but the salary flexibility for the availalbe position was nill.",Declined Offer,Neutral, , ,Why are manhole covers round?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW7752554.htm,Senior Analyst,Chicago,Illinois,US,8/27/2015,Average,30,#NAME?,Accepted Offer,Positive, , ,walk through your resume, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW7177869.htm,Coordinator, , , ,7/10/2015,Easy,60,"Phone interview, and then met team lead and VP for on-site. Everyone I've spoke to was very easy to talk with. Especially the hr is super helpful during the entire interview process.",Accepted Offer,Positive, , ,What do you like to do in your spare time? Why S&P? , , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW6136320.htm,Credit Analyst,New York,New York State,US,3/17/2015,Average,42,"6 weeks, phone call with HR then phone call with someone in Analytics. I applied through employee referral, and they got back to me after 2 days. Hiring process is extremely disorganized- even my interviewer told me so.",Declined Offer,Negative, , ,"Walk me through your resume, why do you want to work here, why do credit ratings interest you", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW7043315.htm,Credit Analyst, , , ,6/27/2015,Average, ,"Consisted of a telephone interview with HR, two 30 minutes interviews with Managers followed by three 30 minutes interviews with Senior Managers in their London office. Second round interviews were more technical. Overall very pleasant experience. Extremely professional HR that would answer any questions almost immediately.",Accepted Offer,Positive, , ,Q: What caused the recent financial crisis?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW8350749.htm,Credit Analyst, , , ,10/19/2015,Difficult, ,"Had two 30 minute phone interviews. After looking at other Glassdoor interviews I assumed the phone interviews specifically would be behavioral. I was pretty shocked when both interviews had majority of technical questions. Examples of questions were ""Walk me through all the financial statements."" ""List all the profitibility, liquidity, and capital market ratios."" Definitely know your accounting. The last question I listed below. Second interviewer was also pretty rude, seemed like she didn't really care about the interview at all. She clearly was reading off a scipt the entire time and also seemed like she wanted to end the interview as quickly as possible.",Declined Offer,Negative, , ,List the economic differences between the US and North Korea., , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW8350263.htm,Credit Analyst, , , ,10/19/2015,Easy,12,"Easy going, had two phone interviews and got an offer. The process was not difficult at all and HR is very kind. They called me letting me know the details about a week or two after my interview.",Declined Offer,Positive, , ,Tell me about yourself, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW10874099.htm,Credit Analyst,New York,New York State,US,6/9/2016,Difficult,90,"Two 30 minute phone interviews. Behavioral questions followed by technicals. Study your ratios and be up to date on current financial news both domestic and international. No superday, got an email saying I was hired.",Accepted Offer,Positive, , ,Tell us about yourself, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW8653046.htm,Credit Analyst,New York,New York State,US,11/15/2015,Very Easy,14,"Was given two phone interviews and one in person interview. It was all behavioral questions which made it very easy to attain an offer. I started off as an intern and got a full time offer afterwards, very convenient process.",Accepted Offer,Positive, , ,Tell me about yourself?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW22957555.htm,Credit Analyst,New York,New York State,US,10/15/2018,Average,14,"Hiring process went well. Be sure to have stories ready for behavioral questions such as tell me about a time you had to work with a difficult employee, etc.",Accepted Offer,Positive, , ,Why S&P?,Walk me through your resume,Tell me about yourself, , , 
