,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
14,"Good opportunity to learn a lot about various asset classes, but only if you are a self-starter. If you like stability and don't mind the cubicle lifestyle, this may be a good place for you. You can phone it in here and probably get by. Pay is average, with less upside than the street but more job security.",1,"Good opportunity to learn a lot about various asset classes, but only if you are a self-starter. If you like stability and don't mind the cubicle lifestyle, this may be a good place for you. You can phone it in here and probably get by. Pay is average, with less upside than the street but more job security.",good opportunity to learn a lot about various asset classes but only if you are a self starter if you like stability and don t mind the cubicle lifestyle this may be a good place for you you can phone it in here and probably get by pay is average with less upside than the street but more job security ,place
15,There is a reasonable work life balance here. If you enjoy a very well-defined job where you can follow a precise set of steps in order to complete the required work as an analyst then that can be considered a plus,1,There is a reasonable work life balance here. If you enjoy a very well-defined job where you can follow a precise set of steps in order to complete the required work as an analyst then that can be considered a plus,there is a reasonable work life balance here if you enjoy a very well defined job where you can follow a precise set of steps in order to complete the required work as an analyst then that can be considered a plus,"work, balance"
16,"It's doing reasonably well currently in this recession. There's a lot of resources for learning and growing a career, pay is good.",2,"It's doing reasonably well currently in this recession. There's a lot of resources for learning and growing a career, pay is good.",it s doing reasonably well currently in this recession there s a lot of resources for learning and growing a career pay is good ,pay
17,"Laid back atmosphere if you like that environment. The salary is not great, but decent. If you are new to IT, you will definitely learn some new things. Promotions based on hard work.",4,"Laid back atmosphere if you like that environment. The salary is not great, but decent. If you are new to IT, you will definitely learn some new things. Promotions based on hard work.",laid back atmosphere if you like that environment the salary is not great but decent if you are new to it you will definitely learn some new things promotions based on hard work ,salary
18,Moody's has a laid back academic culture where work life balance is encouraged. Flexibility in work schedule is a big plus,3,Moody's has a laid back academic culture where work life balance is encouraged. Flexibility in work schedule is a big plus,moody s has a laid back academic culture where work life balance is encouraged flexibility in work schedule is a big plus,"culture, work, balance"
19,Formal debt/credit training and education especially if you have no prior knowledge/experience of debt/credit analysis. Professional development continues this theme by requiring all analysts to complete a certain number (dependent upon seniority level) of required classes/hours per year.,4,Formal debt/credit training and education especially if you have no prior knowledge/experience of debt/credit analysis. Professional development continues this theme by requiring all analysts to complete a certain number (dependent upon seniority level) of required classes/hours per year.,formal debt credit training and education especially if you have no prior knowledge experience of debt credit analysis professional development continues this theme by requiring all analysts to complete a certain number dependent upon seniority level of required classes hours per year ,
20,The people are generally great to work with. The work is interesting and you can learn lots if you have the right manager.,3,The people are generally great to work with. The work is interesting and you can learn lots if you have the right manager.,the people are generally great to work with the work is interesting and you can learn lots if you have the right manager ,"great, work, people"
21,- Stock options - promotion opportunities - senior management - benefits - employees - state-of-the-art building - bonus opportunities - vast organization,3,- Stock options - promotion opportunities - senior management - benefits - employees - state-of-the-art building - bonus opportunities - vast organization, stock options promotion opportunities senior management benefits employees state of the art building bonus opportunities vast organization,"options, senior, management, benefits"
22,You get good exposure to issuers and their management. Some good lead analysts who help junior analysts develop their fundamental credit skills.,3,You get good exposure to issuers and their management. Some good lead analysts who help junior analysts develop their fundamental credit skills.,you get good exposure to issuers and their management some good lead analysts who help junior analysts develop their fundamental credit skills ,
23,"Good balance between personal and business life, though may depend on resposibilities No unneeded pressure, good place to retire There is some space for professional growth or even career change They pay for training courses",4,"Good balance between personal and business life, though may depend on resposibilities No unneeded pressure, good place to retire There is some space for professional growth or even career change They pay for training courses",good balance between personal and business life though may depend on resposibilities no unneeded pressure good place to retire there is some space for professional growth or even career change they pay for training courses,"balance, place, pay"
24,"Moody's is a great place to gain experience and build on your skills, the company is reputable enough to impress recruiters reviewing your resume; and all positions come with free on demand training courses for certain areas of your position.",1,"Moody's is a great place to gain experience and build on your skills, the company is reputable enough to impress recruiters reviewing your resume; and all positions come with free on demand training courses for certain areas of your position.",moody s is a great place to gain experience and build on your skills the company is reputable enough to impress recruiters reviewing your resume and all positions come with free on demand training courses for certain areas of your position ,"great, free, place, company"
25,Very relaxed environment--sometimes too laid back. Can get boring at times during slow stretches. Great work-life balance. never feel like you're stuck in the office for too long.,1,Very relaxed environment--sometimes too laid back. Can get boring at times during slow stretches. Great work-life balance. never feel like you're stuck in the office for too long.,very relaxed environment sometimes too laid back can get boring at times during slow stretches great work life balance never feel like you re stuck in the office for too long ,
26,"Good People, good benefits and compensation",2,"Good People, good benefits and compensation",good people good benefits and compensation,"compensation, benefits"
27,Moody's is a great place to learn and the knpowledgel that is obtaind from working here can be a valuable asset for other companies,4,Moody's is a great place to learn and the knpowledgel that is obtaind from working here can be a valuable asset for other companies,moody s is a great place to learn and the knpowledgel that is obtaind from working here can be a valuable asset for other companies,"place, great, working"
28,My direct manager made my time at Moody's definitely more valuable. Due to her mentoring I was exposed to different aspects of the company and my role in the department. Salary was average. Senior Management accessible.,3,My direct manager made my time at Moody's definitely more valuable. Due to her mentoring I was exposed to different aspects of the company and my role in the department. Salary was average. Senior Management accessible.,my direct manager made my time at moody s definitely more valuable due to her mentoring i was exposed to different aspects of the company and my role in the department salary was average senior management accessible ,company
29,- Good work/life balance - People are nice to work with - Senior management is accessible - Pretty flat structure,4,- Good work/life balance - People are nice to work with - Senior management is accessible - Pretty flat structure, good work life balance people are nice to work with senior management is accessible pretty flat structure,"management, work, balance"
30,The work/ life balance is good compared to other companies.,3,The work/ life balance is good compared to other companies.,the work life balance is good compared to other companies ,balance
31,"Great people, intellectually rewarding, supports independence of thought and unbiased opinion, decent work-life balance, much improved senior management, more strategic direction, good focus on customer service and ""getting the message out"".",3,"Great people, intellectually rewarding, supports independence of thought and unbiased opinion, decent work-life balance, much improved senior management, more strategic direction, good focus on customer service and ""getting the message out"".",great people intellectually rewarding supports independence of thought and unbiased opinion decent work life balance much improved senior management more strategic direction good focus on customer service and getting the message out ,senior
32,"work and life balance, very comfortable work environment. management always open to feedback and suggestions. Reputable company from which one can learn a lot.",3,"work and life balance, very comfortable work environment. management always open to feedback and suggestions. Reputable company from which one can learn a lot.",work and life balance very comfortable work environment management always open to feedback and suggestions reputable company from which one can learn a lot ,"work, management, company"
33,- Great work life balance - Good benefits - Opportunity to meet senior executives of covered companies if you are in the ratings side - Good name to have in resume - Access to a sea of research materials and models if you want to self-learn,4,- Great work life balance - Good benefits - Opportunity to meet senior executives of covered companies if you are in the ratings side - Good name to have in resume - Access to a sea of research materials and models if you want to self-learn, great work life balance good benefits opportunity to meet senior executives of covered companies if you are in the ratings side good name to have in resume access to a sea of research materials and models if you want to self learn,"senior, work, balance, benefits"
34,"- Exposure to virtually all asset classes in the debt markets, if you have the initiative to learn; - Access to senior management of companies as an insider; - Work/Life balance is possible (but it may take you longer to get promoted -- if at all -- i",1,"- Exposure to virtually all asset classes in the debt markets, if you have the initiative to learn; - Access to senior management of companies as an insider; - Work/Life balance is possible (but it may take you longer to get promoted -- if at all -- i", exposure to virtually all asset classes in the debt markets if you have the initiative to learn access to senior management of companies as an insider work life balance is possible but it may take you longer to get promoted if at all i,"balance, management, senior"
35,It's not as stressful as working for an IB. Although work is still plentiful and the hours are still long. People are respectful and courteous. Can balance work and life. Good place to learn and develop skills.,1,It's not as stressful as working for an IB. Although work is still plentiful and the hours are still long. People are respectful and courteous. Can balance work and life. Good place to learn and develop skills.,it s not as stressful as working for an ib although work is still plentiful and the hours are still long people are respectful and courteous can balance work and life good place to learn and develop skills ,"balance, place, work, hours, working"
36,"To learn the basic credit skills Some banks like people with rating agency experience Good exposure as you can meet many companies Except peak season, normally most staffs can left before 7-8 pm",2,"To learn the basic credit skills Some banks like people with rating agency experience Good exposure as you can meet many companies Except peak season, normally most staffs can left before - pm",to learn the basic credit skills some banks like people with rating agency experience good exposure as you can meet many companies except peak season normally most staffs can left before pm,people
37,1. Great intellectual environment. 2. Honesty in internal credit decisions 3. Democratic debate on credit ratings that are assigned to issues that are rated.,4,. Great intellectual environment. . Honesty in internal credit decisions . Democratic debate on credit ratings that are assigned to issues that are rated., great intellectual environment honesty in internal credit decisions democratic debate on credit ratings that are assigned to issues that are rated ,
38,"This is a great learning experience, especially for someone at the start of their career. At Moody's, everyone has their chance and you will be given exposure right from the beginning which is not always available in other companies",3,"This is a great learning experience, especially for someone at the start of their career. At Moody's, everyone has their chance and you will be given exposure right from the beginning which is not always available in other companies",this is a great learning experience especially for someone at the start of their career at moody s everyone has their chance and you will be given exposure right from the beginning which is not always available in other companies,great
39,"Great people, benefits and work/life balance",4,"Great people, benefits and work/life balance",great people benefits and work life balance,"balance, benefits"
40,"Pre-reorganization, compensation/bonuses/stock options were real perks for the hard working folks who got them. Benefits packages available were generous and flexible, including HMOs, POS, etc. 401K plan with matching employer contributions. Compensation in the form of extra 401K matches and bonuses were proportional to individual and corporate performance. Most coworkers had no plans to leave the company. ... Tenure of most of the employees I worked with was 10+ years, some lifers. Severences packages were good to generous.",3,"Pre-reorganization, compensation/bonuses/stock options were real perks for the hard working folks who got them. Benefits packages available were generous and flexible, including HMOs, POS, etc. K plan with matching employer contributions. Compensation in the form of extra K matches and bonuses were proportional to individual and corporate performance. Most coworkers had no plans to leave the company. ... Tenure of most of the employees I worked with was + years, some lifers. Severences packages were good to generous.",pre reorganization compensation bonuses stock options were real perks for the hard working folks who got them benefits packages available were generous and flexible including hmos pos etc k plan with matching employer contributions compensation in the form of extra k matches and bonuses were proportional to individual and corporate performance most coworkers had no plans to leave the company tenure of most of the employees i worked with was years some lifers severences packages were good to generous ,"options, working"
41,"Good/great benefits Good place to learn If you work on a team that reports into a strong manager (competent, advocates for his/her employees) you will have a good work experience.",3,"Good/great benefits Good place to learn If you work on a team that reports into a strong manager (competent, advocates for his/her employees) you will have a good work experience.",good great benefits good place to learn if you work on a team that reports into a strong manager competent advocates for his her employees you will have a good work experience ,"work, place, benefits"
42,"- Friendly and knowledgable coworkers - Get to work with bankers, lawyers, and senior managment of various companies - Very good work life balance - Work receives high visibility in the credit markets",3,"- Friendly and knowledgable coworkers - Get to work with bankers, lawyers, and senior managment of various companies - Very good work life balance - Work receives high visibility in the credit markets", friendly and knowledgable coworkers get to work with bankers lawyers and senior managment of various companies very good work life balance work receives high visibility in the credit markets,"senior, work, balance"
43,Terrific opportunity to get training and get expertise on fundamental credit analysis and other important communication and relationship building skills as part of the credit rating process. The collaborative environment and collegial/cooperative environment is one of the best reasons to work here.,4,Terrific opportunity to get training and get expertise on fundamental credit analysis and other important communication and relationship building skills as part of the credit rating process. The collaborative environment and collegial/cooperative environment is one of the best reasons to work here.,terrific opportunity to get training and get expertise on fundamental credit analysis and other important communication and relationship building skills as part of the credit rating process the collaborative environment and collegial cooperative environment is one of the best reasons to work here ,"work, environment"
44,The salary is ok. The work hour is flexible. No overtime usually. No much pressure. Most of coworkers are friendly,1,The salary is ok. The work hour is flexible. No overtime usually. No much pressure. Most of coworkers are friendly,the salary is ok the work hour is flexible no overtime usually no much pressure most of coworkers are friendly,"work, salary, friendly"
45,"Pre-reorganization, compensation/bonuses/stock options were real perks for the hard working folks who got them. Benefits packages available were generous and flexible, including HMOs, POS, etc. 401K plan with matching employer contributions.",1,"Pre-reorganization, compensation/bonuses/stock options were real perks for the hard working folks who got them. Benefits packages available were generous and flexible, including HMOs, POS, etc. K plan with matching employer contributions.",pre reorganization compensation bonuses stock options were real perks for the hard working folks who got them benefits packages available were generous and flexible including hmos pos etc k plan with matching employer contributions ,"options, working"
46,"Collegial atmosphere among analysts; mentoring of junior analysts generally good but depends upon the competencies of senior analyst; analytic work environment leans toward professional academic with very good coverage and rigor in fundamental credit analytics training program. Analytic work load is generally split with Associates doing first the number crunching, moving up to the heavy lifting on fact checking,... and if track record is good to providing the bones of written analysis, along with input to rating decisioning committees.",2,"Collegial atmosphere among analysts; mentoring of junior analysts generally good but depends upon the competencies of senior analyst; analytic work environment leans toward professional academic with very good coverage and rigor in fundamental credit analytics training program. Analytic work load is generally split with Associates doing first the number crunching, moving up to the heavy lifting on fact checking,... and if track record is good to providing the bones of written analysis, along with input to rating decisioning committees.",collegial atmosphere among analysts mentoring of junior analysts generally good but depends upon the competencies of senior analyst analytic work environment leans toward professional academic with very good coverage and rigor in fundamental credit analytics training program analytic work load is generally split with associates doing first the number crunching moving up to the heavy lifting on fact checking and if track record is good to providing the bones of written analysis along with input to rating decisioning committees ,"senior, work, environment"
47,"Big Brand would be the reason why you want to work there, plus very Good People around, also, there working hour is reasonable",4,"Big Brand would be the reason why you want to work there, plus very Good People around, also, there working hour is reasonable",big brand would be the reason why you want to work there plus very good people around also there working hour is reasonable,"work, working"
48,-Collegial environment -Senior analysts happy to help out juniors -Academic approach to credit analysis -Exposure to lots of different aspects of the business if you just ask for it,3,-Collegial environment -Senior analysts happy to help out juniors -Academic approach to credit analysis -Exposure to lots of different aspects of the business if you just ask for it, collegial environment senior analysts happy to help out juniors academic approach to credit analysis exposure to lots of different aspects of the business if you just ask for it,environment
49,Benefits are good. Used to be great place to work - not anymore...,4,Benefits are good. Used to be great place to work - not anymore...,benefits are good used to be great place to work not anymore ,"work, place, great"
50,Great place to learn and grow,3,Great place to learn and grow,great place to learn and grow,place
51,"Good training, interesting credits, lots of exposure to credit analysis",3,"Good training, interesting credits, lots of exposure to credit analysis",good training interesting credits lots of exposure to credit analysis,
52,Moody's fosters a very collegial environment,3,Moody's fosters a very collegial environment,moody s fosters a very collegial environment,environment
53,Very intelligent peers with a somewhat academic environment in which to debate credit issues. Highly conducive to producing high quality credit opinions when we have the right calibre people.,4,Very intelligent peers with a somewhat academic environment in which to debate credit issues. Highly conducive to producing high quality credit opinions when we have the right calibre people.,very intelligent peers with a somewhat academic environment in which to debate credit issues highly conducive to producing high quality credit opinions when we have the right calibre people ,environment
54,Training in credit is top notch in the industry.,1,Training in credit is top notch in the industry.,training in credit is top notch in the industry ,
55,good quality of training; good work-life balance: 9-6 are the usual hours; nice colleagues: a multicultural environment with smart people around.,1,good quality of training; good work-life balance: - are the usual hours; nice colleagues: a multicultural environment with smart people around.,good quality of training good work life balance are the usual hours nice colleagues a multicultural environment with smart people around ,"smart, environment, people"
56,a good place for starters and ready-to-retire,2,a good place for starters and ready-to-retire,a good place for starters and ready to retire,place
57,"relax, casual working environment. good benefit.",4,"relax, casual working environment. good benefit.",relax casual working environment good benefit ,working
58,great way to learn about credit,3,great way to learn about credit,great way to learn about credit,great
59,"Moody's has excellent work environment with a very reasonable work life balance. There is more co-operation than competitive environment. The company is growing with sufficient scope for moving up. Most of the positions and promotions are filled based on meritocracy, and not based on favoritism.",4,"Moody's has excellent work environment with a very reasonable work life balance. There is more co-operation than competitive environment. The company is growing with sufficient scope for moving up. Most of the positions and promotions are filled based on meritocracy, and not based on favoritism.",moody s has excellent work environment with a very reasonable work life balance there is more co operation than competitive environment the company is growing with sufficient scope for moving up most of the positions and promotions are filled based on meritocracy and not based on favoritism ,"work, environment, company"
60,Work and life balance..friendly colleagues,3,Work and life balance..friendly colleagues,work and life balance friendly colleagues,
61,Good Work/ Life Balance Alot of responsability early in one's career Job Security Higher Base Pay Nice offices non-cut-throat environment,3,Good Work/ Life Balance Alot of responsability early in one's career Job Security Higher Base Pay Nice offices non-cut-throat environment,good work life balance alot of responsability early in one s career job security higher base pay nice offices non cut throat environment,environment
62,- Good work life balance - Most people work only until 5 - Vacation days are easily approved - Good benefits,3,- Good work life balance - Most people work only until - Vacation days are easily approved - Good benefits, good work life balance most people work only until vacation days are easily approved good benefits,"work, balance, benefits, people"
63,There are Good Opportunity at Moody's.,4,There are Good Opportunity at Moody's.,there are good opportunity at moody s ,
64,Great learning opportunity from very knowledgable people,1,Great learning opportunity from very knowledgable people,great learning opportunity from very knowledgable people,people
65,"Lot's of free time, almost everyone leaves at 5pm, you can take as long as you want rating companies, a really chill place to work if you don't want to be particularly challenged.",1,"Lot's of free time, almost everyone leaves at pm, you can take as long as you want rating companies, a really chill place to work if you don't want to be particularly challenged.",lot s of free time almost everyone leaves at pm you can take as long as you want rating companies a really chill place to work if you don t want to be particularly challenged ,"work, free, place"
66,"Structure is very flat, was able to talk to a lot of people from associate analysts up to senior management Received encouraging messages from management Horizontal movement is easy You learn as much as you want, or as little as you want - internship experience is defined by individual candidates, not groups or managers",2,"Structure is very flat, was able to talk to a lot of people from associate analysts up to senior management Received encouraging messages from management Horizontal movement is easy You learn as much as you want, or as little as you want - internship experience is defined by individual candidates, not groups or managers",structure is very flat was able to talk to a lot of people from associate analysts up to senior management received encouraging messages from management horizontal movement is easy you learn as much as you want or as little as you want internship experience is defined by individual candidates not groups or managers,"senior, management, people"
67,"Moodys is very involved in the community and has a good work life balance. Although resistant to change, at least you know they ways are consistant.",4,"Moodys is very involved in the community and has a good work life balance. Although resistant to change, at least you know they ways are consistant.",moodys is very involved in the community and has a good work life balance although resistant to change at least you know they ways are consistant ,work
68,"Moody's highly supports employees to advance their careers. Moody's is very collaborative, team oriented culture.",3,"Moody's highly supports employees to advance their careers. Moody's is very collaborative, team oriented culture.",moody s highly supports employees to advance their careers moody s is very collaborative team oriented culture ,
69,"Good work atmosphere, fun colleagues",4,"Good work atmosphere, fun colleagues",good work atmosphere fun colleagues,work
70,Provides equal opportunity and transparent management to employee relationship.,3,Provides equal opportunity and transparent management to employee relationship.,provides equal opportunity and transparent management to employee relationship ,management
71,Good colleagues and relatively stable employment,3,Good colleagues and relatively stable employment,good colleagues and relatively stable employment,
72,"International presence, access to senior management, access to regulators, international opportunities",3,"International presence, access to senior management, access to regulators, international opportunities",international presence access to senior management access to regulators international opportunities,senior
73,Nice work environment. Work life balance pretty good overall.,4,Nice work environment. Work life balance pretty good overall.,nice work environment work life balance pretty good overall ,"work, balance"
74,"Your experience in highly dependent on the competence of the senior analysts you work with on a daily basis. In general, most analysts are extremely knowledgeable and you can learn a great deal from them.",1,"Your experience in highly dependent on the competence of the senior analysts you work with on a daily basis. In general, most analysts are extremely knowledgeable and you can learn a great deal from them.",your experience in highly dependent on the competence of the senior analysts you work with on a daily basis in general most analysts are extremely knowledgeable and you can learn a great deal from them ,"senior, work, great"
75,"Good work-life balance, friendly environment, smart people",1,"Good work-life balance, friendly environment, smart people",good work life balance friendly environment smart people,"smart, friendly, people"
76,I am surrounded by smart and intelligent people.,2,I am surrounded by smart and intelligent people.,i am surrounded by smart and intelligent people ,smart
77,- Good work like balance - If you are efficient you can leave at a reasonable time - Pretty standard hours for a finance firm for Business Analysts (9-5) - Pay is ok. - The building is very modern and clean. - Slow-paced environment (if you like,4,- Good work like balance - If you are efficient you can leave at a reasonable time - Pretty standard hours for a finance firm for Business Analysts (-) - Pay is ok. - The building is very modern and clean. - Slow-paced environment (if you like, good work like balance if you are efficient you can leave at a reasonable time pretty standard hours for a finance firm for business analysts pay is ok the building is very modern and clean slow paced environment if you like,"environment, work, balance, hours"
78,The envrironment is respectful and pleasant.,3,The envrironment is respectful and pleasant.,the envrironment is respectful and pleasant ,
79,"Very intellectual, excellent learning opportunity, analytically rigorous, breadth and depth of experience, good work life balance for senior analysts asdf",4,"Very intellectual, excellent learning opportunity, analytically rigorous, breadth and depth of experience, good work life balance for senior analysts asdf",very intellectual excellent learning opportunity analytically rigorous breadth and depth of experience good work life balance for senior analysts asdf,"senior, work, balance"
80,Describe some of the best reasons to work at Moody's - Good location.,3,Describe some of the best reasons to work at Moody's - Good location.,describe some of the best reasons to work at moody s good location ,work
81,job interest life balance good formation diverse team,3,job interest life balance good formation diverse team,job interest life balance good formation diverse team,balance
82,Depth of credit knowledge and deep domain knowledge,3,Depth of credit knowledge and deep domain knowledge,depth of credit knowledge and deep domain knowledge,
83,They have created a good brand for themselves and is a recognised name in the industry. Clients are also well known,4,They have created a good brand for themselves and is a recognised name in the industry. Clients are also well known,they have created a good brand for themselves and is a recognised name in the industry clients are also well known,
84,"Some excellent managers, low-pressure work atmosphere, high-profile clients, reputable brand name, great benefits packages, large company with many groups and job functions so moving around is possible.",1,"Some excellent managers, low-pressure work atmosphere, high-profile clients, reputable brand name, great benefits packages, large company with many groups and job functions so moving around is possible.",some excellent managers low pressure work atmosphere high profile clients reputable brand name great benefits packages large company with many groups and job functions so moving around is possible ,"great, company, work, benefits"
85,"good benefits, is a stable company",1,"good benefits, is a stable company",good benefits is a stable company,company
86,1. Part of Moody's Group 2. Best work in Investment Banking research/analytics 3. Salary hikes in every six months,2,. Part of Moody's Group . Best work in Investment Banking research/analytics . Salary hikes in every six months, part of moody s group best work in investment banking research analytics salary hikes in every six months,work
87,Good learning Very good brand Rapi career advancement,4,Good learning Very good brand Rapi career advancement,good learning very good brand rapi career advancement,
88,you get ample opportunities to work and enhance your career prospects if you have a good relationship with your seniors,3,you get ample opportunities to work and enhance your career prospects if you have a good relationship with your seniors,you get ample opportunities to work and enhance your career prospects if you have a good relationship with your seniors,work
89,"Different from a sales type of job, you don't have much pressure to pursue a market share or profit. Workflow in general is controllable.",4,"Different from a sales type of job, you don't have much pressure to pursue a market share or profit. Workflow in general is controllable.",different from a sales type of job you don t have much pressure to pursue a market share or profit workflow in general is controllable ,pressure
90,Great Co-Workers and very helpful,3,Great Co-Workers and very helpful,great co workers and very helpful,
91,Lot of learning and very supportive managers,3,Lot of learning and very supportive managers,lot of learning and very supportive managers,
92,Some departments at Copal offer extensive training opportunities. While some are not too great.,3,Some departments at Copal offer extensive training opportunities. While some are not too great.,some departments at copal offer extensive training opportunities while some are not too great ,
93,Knowledge gaining Knowledge gaining Knowledge gaining,4,Knowledge gaining Knowledge gaining Knowledge gaining,knowledge gaining knowledge gaining knowledge gaining,
94,Lot many things to learn and really very good appraisals...,1,Lot many things to learn and really very good appraisals...,lot many things to learn and really very good appraisals ,
95,"good work life balance fold the most part, co workers are good to work with, junior people are relatively bright",1,"good work life balance fold the most part, co workers are good to work with, junior people are relatively bright",good work life balance fold the most part co workers are good to work with junior people are relatively bright,"work, balance, people"
