,cons_page1
15,"Where do I start.  Getting a promotion means you get a higher title,  but not more or different responsibilites/ tasks.  Worked long hours, on the weekend, on call without compensation.   No matter how much effort, time, and work put forth, the pressure would not be lightened?? The type of pressure was destructive, anti-growth, and often filled with anger.  Management has a ""what have you've done for me lately... attitude"" towards IT.   You could be a supreme tech.  It doesn't mean squat here - just that your a good door mat or should become one if you want to remain employed.  Shoot first ask questions later mentality with issues, even after proof was found that the wrong person was accused of  ""dropping the ball"".  If one of their ""own"" made a mistake no matter how big, they called it an honest mistake. but God forbid if it was anyone else does, then you can count on seeing that on your perfomance evaluation.   They company offered training but no training was allowed for the group and their were no growth opportunites.   No motivation to take initiative by colleagues past what is minimally expected by management.  Being skilled/smart, having seniorty is not valued.   Extreme nepotism/favoritism.  It was without a doubt the case here - If you were a certain ethnicity, not only did you get top salary, but you had the most opportunities / leeway / and pretty much got away with a lot of things.  Like ""extra"" vacation time then what is allotted."
16,"Put methods in place that will hold senior management accountable of the sub-groups they manage.  Have a third party administer a survey to be taken by employees of those managers that  evaluate the ""performance of managers""."
17,"Compensation is not competitive.   When you get a promotion, do not expect any change in scope of responsibilities or adjustment in compensation.   Lot's of double standards for promotion guidelines."
18,Management should really try and standardize promotion guidelines.   They are beginning to lose meaning to a lot of people.   Also should look more closely at compensation bands.   Lot's of inequality in pay within the same department.
19,"Recognizing the inherent need for a rating agency to adhere to regulatory compliance, there is excessive bureaucracy and processes even for a large organization. Negative connotations associated with the name given recent credit market developments. Definite lack of promotional prospects."
20,"To perpetually manage to the bottom line and be overly sensitive to shareholder demands especially when you have an inverted pyramid structure means that the company will suffer in the long-term. This is already evident in the lack of qualified applicants interested in associating themselves with the brand. Given the state of the job markets, this speaks volumes."
21,The company has recently gotten a lot of bad publicity with the ratings of structured securities. It will likely take time for the company to regain momentum.
22,Grow Moody's Analytics
23,"-Compensation is not very high compared to other firms in finance.
-The teams within the company need to work together."
24,They are doing a great job with the townhall meetings and letting people know that hard work is appreciated by management.
25,"No means of growth beyond your current job description in support functions. Do not expect to come in and transfer to another role/department.
Moody's brand value has taken a hit over the past couple years. Will take some time to earn back the respect of the financial community.

Team concept is overshawdowed by individual interests."
26,Expand the Growth/Development program. Encourage  job cross training
27,"Career possibilities especially after the recent crisis are fairly limited, and the company is in a stationary state. No retention policy, promotions by seniority in the job, and salary discrepancy between the senior employees that progressed in their carreers before the crisis and the one that joined around 2007."
28,A lean structure would probably better palce the comapny towards the challenges of a new financial environment. A restructuring is needed in orther to be ready to capture future market possibilities. This would also allow to incentivize the remaining employees that are now generally affected by a lack of motivation from the economic point of view but also from the professional one because they feel that we have no... clear direction to take.
29,"-Very low pay compared to other financial firms
-Known for having incompetent, untalented employees 
-Unfairness in promotions
-Too political
-Too much power given to managers - if you have a bad manager, it is a dead end job"
30,"Don't promote people based on favoritism
Do promote and recognize employees who may be members of groups that may not be part of business lines"
31,"Performance review and promotion process remains opaque and inconsistent despite continuing enhancement
Below average pay relative to other financial services firms
Poor work/life balance
In the downturn, Moody's has shown little employee loyalty negating the stability/lower pay trade-off"
32,"If you want to retain high quality employees and your future senior management, implement a true pay-for-performance culture with clear, consistent and measurable goals for entry-level to senior level employees.  Address inherent conflicts of interest head-on."
33,"Compensation is not great even in good years compared to the rest of the financial services industry.  As with any other company, politics can play a part in career advancement."
34,"Need to take more steps to re-establish Moody's reputation on the main street as well as Wall Street, and need to take steps to ensure Corporate rating group which has performed consistently well does not continue to be tarnished because of Structured Finance group."
35,"lack of direction during and after the crisis 
performance evaluation and promotions opaque at best 
negative culture based on sycophancy"
36,do a thorough strategic review of the company
37,"Pay is one of the first big downers
Morale low after several rounds of layoffs (but understandable as company slipped to $1b in revenues from $2b)
Promotion track somewhat uncharted for junior people - 'high yield team' created for this purpose but generally viewed as a place where you do not want to find yourself given the many additional layers of work for same amount of pay and no additional... visibility/recognition
Mentor program during infancy stage - no structure during 1st year running (but potential is there)"
38,Listen AND implement things for your junior people more (support staff SA + AA level) since we do a boat load of grunt work. Do not make us feel like we are easily replacable.
39,"Knee jerk reactions to market conditions internally; slow response externally
Poor compensation structure means that the best analysts often leave
Opportunity to advance are made more readily available to those who have key relationships and not necessarily the best workers
High often unattainable stardards"
40,Pay staff instead of stockholders to maintain if you want to keep high quality staff because turnover can burn out the senior staff members who are consistently in training mode.
41,Work-life balance is difficult to achieve.  The more you do the more is expected.
42,Get in touch with the views of the employees more rather than just paying them lip service.  Be more visible and listen.
43,"- very stressful environment
- little leverage vs. an incompetent superior (hr not helpful)
- lack of diversity in senior or mid-level positions"
44,"- enact a 360 review process to ensure transparency
- focus on integrity and ensure employees are empowered at all levels"
45,Pay is lacking compared to the work you do. Management is very stingy when it comes to handing out pay raises and bonuses.
46,Focus on career development and talent retention.  If you could identify and nurture your top Associates you'd have a bright class of future lead credit analysts.
47,"It's difficult to get appropriate compensation as your title and/or responsibilities grow - must fight
Luck of pressure may mean less chances for growth or need for self-education, but it depends on position"
48,"Frequent changes in management or directions don't promote morale.
Keep eye on proper rewarding of hard-working talents or you lose them."
49,"Promotions are very hard to come by and are often awarded based on popularity rather than the person actually deserving it.  It seems you build all of the experience and skills that you need to progress, but have to fight for a promotion."
50,A documented promotion policy for non-officer titles should be available to employees so that they are more aware of what is expected in order to progress to the next level.
51,"not very exciting. don't promote talent from within. it's a great place to work if you're a seasoned veteran: you get great hours, geat pay, and it's not too stressful. however, if you're a recent grad i would steer clear. they tend to use entry level analysts and associates without any intention of promoting them."
52,learn to incubate talent. moody's loses a lot of smart talented people to buy-side firms and banks because they refuse to offer any sort of professional advancement path. the pay could also be better.
53,"Very manual work, not as automated as one would think"
54,keep up the good work
55,Very hard to get promoted. The work life balance is poor. Pay is very low compared to other similar industries.
56,Increase compensation and value your employees and turn over will decrease
57,"Lack of promotion availabilities.
Preferntial treatment  of certain employees when it came to promoting.
Lack of growth opportunities."
58,Start developing and investing into growth of junior employees. This is the talent that will make Moody's survive despite it's currently troubles.
59,"- Promotion is not really related to perfomance
- Compensation is not great and pay increase rarely happens
- Actual work does not change with the job title
- Not interested in retaining high performers"
60,Senior management should seriously consider staff retension as the high priority agenda as a lot of good analysts are leaving the company having been treated poorly during the crisis. Promotion and compensation issues need to be sorted out as soon as possible.
61,salary is low compared to others.
62,"Work more with the junior talent and accept new ideas from them.
More opportunities to get promoted. Also salary increases are not in line with performance."
63,"The main downside of Moody's is its ongoing lack of sufficient internal investment, in particular the IT infrastructure, its cutting corners when in comes to giving people the right tools to do their job properly. Much of this is down to the company's continued aggressive focus on shareholder value."
64,Bring down operating margins by investing into the sustainability of the company! Revamp IT infratsructure. More focus on development of juniors.
65,compensation is below market average. not good for those who like to work in fast paced environment. the company's name is unfortunately all over the news since hte crisis began.
66,"mistakes from which we learn a lesson and commit to not making again are called ""Experience"". hopefully, the company can learn from past mistakes and pay more attention to surveillance of old ratings, and accuracy on new ones."
67,"- Poor managers are the norm, because the smarter ones already got bigger, better opportunities elsewhere
- Join the company either early on your career or late. Dont join this if you have organic growth in mind within the company
- Promotion policies"
68,#NAME?
69,"- An unusually high number of managers, many of whom seem to be doing duplicate jobs;
- Managers can be poor examples when it comes to work ethic and analysis, which is creating a lot of resentment, particularly because the workload has increased substa"
70,"Given where Moody's stock is trading, forcing the staff to work harder is understandable, but you can't raise expectations for the analysts without raising expectations for the managers.  Many managers simply don't have any credibility, having never worked a weekend (or late night) even at the height of the credit crisis."
71,"Compensation is not competitive among Wall St firms. Because we are not really a Wall St firm.
When I first joined the culture was very old school very laid back. Over the past 6 yrs it has changed into a faster pace, profit driven company.
Most professionals have offices and this makes the atmosphere feel very isolated."
72,Let's stop defending what we did in the market and start leading.
73,"Not paying respect to (junior) staffs
Extremely low salary and bonus
Too many administrative works and internal reports
Too many time-wasting training
Ever-changing procedures
Poor promotion/ career prospect
Incompetence of senior management with most are previously analyst"
74,"Please tell the truth to new hires or those who want to join - don't expect to get promotion anytime soon, you will get promoted in 5 year if you are lucky and know how to please your boss' boss."
75,"1. Management culture is meandering at the moment. 
2. Senior management has not been able to root out a lot of managers who should have been shown the door post crisis. Most of upper management probably does not know the meaning of real work, as they are used to see business running on its own."
76,"1. Fire nearly all of the middle managers, esp. on the structured finance size and especially anyone who has been managing for more than 6-7 years. Remove duplication. Define the performance culture."
77,"from the time i have been here so far, there isn't a lot to say.
Moody's is not the right place for people who don't have enough autonomy, you should go towards the other and show that you are there"
78,"The management is very good and active, they are always in contact with everyone. 
We don't really feel any hierarchy in the company, everyone is friendly and present.
what the company should me doing more is giving more incentives to employees, by giving bonuses, which is what every employee looks for especially in the financial sector"
79,Low compensation and no professional development
80,Develop more programs to promote from within
81,"Some/often long hours.  Usually not enough, or very little in the way of training.  Bonuses were not always fairly distributed, and stock options were more for the chosen few.  The culture of some managers were that they were hands-on micromanagers, protective of their own jobs, and not willing to hire talent greater than their own.  This led to middle management getting top-heavy due to tenure rather than skill set....  As a result, a lot of good people (at and below middle management level) were let go."
82,"The cuture of hard work being duly compensated was what built Moodys into what it WAS - Farming out labor to the lowest bidder gets you what you pay for.  Longer lead times, less dedication by those feeding into your core business, and poor moral resulted.  John Moody would likely be rolling in his grave if he could see what has happened to the company he built."
83,"compensation
difficult to be promoted
need to focus more on employee engagement
Groups that report into inexperienced/weak managers tend to have poor morale.  Unfortunately, Moody's does not focus on developing the interpersonal skills of their managers. There are no consequences for being a poor manager."
84,The company should focus on improving overall employee morale and engagement.
85,"- Poor compensation compared to similar work performed at the i-banks
- Promotions and advancements require a lot of time particularly for junior analysts
- Technology at the firm is below par"
86,"Communication has improved significantly since the onset of the credit crisis and needs to be maintained going forward.  Junior analysts, particularly with graduate-level degress, need to receive clear guidance regarding career advancements."
87,"Compensation is much less than competitors. If you work in a non-NYC office, you need to put in extra effort to ensure that your achievements and efforts are mentioned by those in NY, who are ultimately making the decisions on bonus and promotions. Communication by senior management leaves something to be desired, especially with important things that are related to regulatory and mandatory processes."
88,"Do not assume that employees will take whatever is thrown at them without any increase in compensation, Important changes need to be communicated better on down to analyst ranks, especially when it's a directive from senior management. It often is not the best way to communicate these things by have senior management communicating to one layer of managemnt and then on down to another layer, etc etc. Somewhere down... the line, you will get a team lead or MD who is too busy or may overlook to communicate it to his respective teams, and then you will get the breakdown in communication."
89,The work environment is not very good. Too much levels. Bonus is not dependent on the performance. Boring work now.
90,The managers should be tough sometimes. Make the work environment better. need more motivation. Be fair to employees. Generally it is ok
91,"- Can take many months or even years to go from temporary to permanent employee
- They like to hire lots of temporary employees"
92,"None at the moment really. Overall, it really is a great company to work at due to the corporate culture and environment."
93,Work load is barely manageable with very tight expense control on replacing departing staff.  Top mngt staffed by analysts (natch) and value group think rather than independent thinkers. Easy to see this in Moody's current aimlessness with new normal biz environment.  Mngt lacks varied and mkt-based business experiences to be effect and pro-active in an environment more competitive than an oligopoly.
94,"Recruit new senior management from other than career analysts, i.e., outsiders with non-traditional, forward thinking opinions and experience.  Expand the firm's footprint beyond DCM data and analysis into the broader cap mkts.  Wake up to the new reality of rating structured debt products. Change will be needed at the top three positions.  The board should look at the stock performance and prospects, then finally... get some brass under itself."
95,"Bad Payment for internship or tem staff, no healthcare and benifit, some politics that you have to learn every day."
96,would be much better if they can organize their staff better. the first thing they need to do is that to konw what the people under them are doing and how difficult their work is.
97,"-Salary
-Lack of structured training for recent employees
-Managers can be hands-off"
98,"Provide more encouragement (compensation, training, bonuses) so employee feels like he is valuable to the company."
99,Management has unlimited power. No democracy.
100,If 5 people leave department of 15 within 4 month why don’t you start an investigation?
101,"Slower pace, 9-5 workers, technology bit behind"
102,stop the reorganizations
103,"There is no hustle at Moodys and the compensation and growth opportunities are widely known as a joke - they do not exist and this is widely known on the Street.  This is an old company meaning that you must get on a long line to get true promotions leading to great growth, like 10+ years.  Most of the people here are so comfortable it has eroded many parts of the company.  Also, the IT infrastructure of the company... is beyond a joke.  Ratings analysts run this company and therefore there is an operational and company wide promotions lack of focus."
104,"Pay more, providce incentive for growth, and please find a real CIO!"
105,"Promotions are not based upon merit, but favortism.  Management has no understanding of what their staff does.  The company's overall atmosphere is a big boy's club.  Minorities are very unlikely to ever obtain senior management poistions.  Working longs hours are expected and not rewarded."
106,"Review the performance evaluation process and invest more heavily in your employees, especially the loyal ones."
107,"lack of communication between upper management and the rest of the company
lack of management responses when issues are made known - middle management under pressure to hid/voiced their own opinion
High turnover and low morale
highly intelligent middle managers but not empower to make changes. 
Unwilling to pay or recognize team for their effort"
108,get off your high horse and really listen to middle managers. You hired them because they are capable let them MANAGE. Share and communicate a clear vision of where you are heading. Staff not compensate well.
109,"The pay is sub-par to other rating agencies. Senior analysts tend to stay long-term, and therefore, there is less chance of upward movement unless portfolios of credits get reshuffled around internally."
110,"Junior analysts need to be compensated more in line with fair market value and be rewarded based on their performance for bonus. Due to lower pay, the quality of junior support will always be to a certain degree limited."
111,"~Management either doesn't know what it is managing, or is overwhelmed with duties
~Young graduates with honor degrees are as disposable and McDonald's workers
~Difficult to trust upper management to have your welfare in mind when making deals and decisions
~Upper management avoiding direct communication with junior/new employees"
112,"give clear guidelines for recent grads and younger hires to grow, or at least be able to stay with the company. It is really discouraging to be laid off at 25."
113,People are not very competitive. People are not very knowledgeable and people don't know market very well.
114,Management should hire more talented people. Make the company more competitive place to work.
115,"It is kind of boring. i wished more dynamic atmosphere. given the nature of the job, it could not be that exciting"
116,"very stable, not very fun, i ii i i i i i i i i i i i i i i"
117,"-get boring--you do the same thing every day, even if you try to work on other projects or with other teams
-there is no incentive to work really hard-- everybody moves at the same pace. Great workers promoted six months before incompetent workers."
118,Pay more so your employees will be better respected on the street.
119,Compensation has to increase to retain employees.
120,Continue doing the greate work
121,Pay is not as competitive as other financial companies.
122,"Horrible management that has no rhyme or reason for promotions, bonuses, report writing or assignments"
123,Credit crisis aftermath continues to challenge
124,Keep restoring the confidence in the firm
125,"Garbage-can management style where everything from the most important to the most mundane decisions are done on a consensus basis.  As a result, nothing is ever decided or concluded.  Managers don't take action or responsibility when they ought to do so."
126,"Allow attrition at more senior levels so as to allow new blood to improve management quality at the top.  Also this is one of the few companies in the financial services industry where there is no explicit review of the managers by junior members of the company.  There is little accountability and transparency.  Senior management is very short-sighted.  Also, limit the use of consensus-based approach when taking... strategic decisions - managers MUST decide, not leave it for everyone to have a say and not reach any conclusion."
127,"Management is non transparent, irrational, and inconsistent."
128,Learn to communicate and promote from within!
129,"can become boring due to the repetitive nature of the job
limited client contact
low pay in comparison to pay in other financial institutions"
130,management should be more transparent
131,"It has a very strange HR policy when it comes to firing people, some people are taking advantage of it."
132,"pays are in the medium in bay area comparing to other IT companies.  It's a finance company, don't expect too much about cutting edge technologys.  Too much restrictions in using the internet."
133,no comments
134,limited career advancement; times have changed--too much regulatory requirements
135,"Technology and processes are not the most advanced, and there are many areas that are less efficient compared to many other organizations."
136,"Focus on selecting the right people has been very helpful - continue with this, and make sure that there is good and productive environment with sufficient freedom to make critical decisions."
137,"salary, incompetent managers, low professional development"
138,"Lower Salaries
Slow promotion schedule
non-merit based bonuses
There was very little education compensation
Alot of people coast while working 
plateau in experience level"
139,Invest more in your employees.  we were not incentivized to work harder than our peers due to bulk promotions and non-merit based bonuses.
140,"- Horrible pay
- Lacking transparancy as to how promotions are obtained
- Hard to get in contact with managers"
141,The pay is not so great at all
142,Gi. People ighe lower levels mere respect and more opportunities.
143,Pay is lower than most companies
144,"Among entry level positions, not very well paid. Otherwise, great work-life balance, really respectful and nice people, though somewhat dull work (Data-enty)"
145,"I'd rather not tell people how to run their business. Moody's is doing very well, and I'm happy for them."
146,"Very disorganized HR and programming for interns, may be a function of recruiters being new to their roles
Some people love their jobs there, and others don't --hinders overall productivity in some groups
Receiving feedback depended on group and manager's schedules
Groups are highly separated
Little vertical movement seen for the future, more outside hires come in at higher levels and promotions are hard to get... and occur once a year"
147,"Recruit your interns earlier to get a better, more competent class. Also, it's great that interns are able to talk to senior management and leadership, but middle and entry level employees should get that access too."
148,"People do not adhere to policies and procedures.  They will recognize, reward  and promote only those who the managers like while others that have dedication and high PE ratings year after year will get any recognision or reward."
149,"Address an issue, make a decision and stick to that decision instead of address the same issue on a case by case basis and the outcome shouldnt depend on who you know or who you like better."
150,Expect to work long hours.
151,I think many groups are under staff.
152,"Bad management, unfair/intransparent promotions and hiring"
153,"Pay more attention to people management and less on credit analysis. You're a manager, your job is to manage."
154,Long hours and sometimes stressful
155,"Management positions filled with people with no management skills
Unfair promotions
Lack of transparency"
156,Link BES Survey results to managers' appraisals.  Have managers' senior managers review performance appraisals (you might learn how poorly they manage their staff). Treat junior staff fairly.
157,"Management is a joke, pay is extremely uncompetitive and cost culture trumps any achievements you may have. I would highly recommend looking elsewhere. Even if you're running laps around people, they'll find a way to give you a lower performance rating than you would otherwise garner to prevent giving larger bonus. Not just my experience, but pretty common across the board, globally. You can exceed expectations any... for 5 years and not get promoted, even at junior levels. 

Ok for a year or two out of college, or a place to let your career wind down while getting some level of pay, but that's about it."
158,Don't know where to start.
159,"Political
Hard to get things done. Members of some departments don't like to make an effort for other departments when their involvement is required. 
Too many meetings."
160,Learn to operate more like a smaller company.
161,Compensation is not inline with the workload expected of Associate Analyst.  There is limited opportunity for advancement within the firm because the senior analysts tend to be less active in career movement than other financial firms.  Dealing with compliance and regulatory issues are constant hassles.
162,friendly environment Good work-life balance
163,Senior management leadership training is needed to more fully development management skills.
164,"Embrace the talent, knowledge and experience from all of the new employees hired over the past few years."
165,"- Meetings, meetings, and more endless meetings.
--- 25% of the effort is PLANNING the work that you will do.
--- 15% of the effort is DOING the actual work.
--- 25% of the effort is CHASING DOWN people to review and finally approve of your work.
"
166,"Allow BA's to provide reviews for their stakeholders and managers. Need to instill a culture of responsive feedback with extra discipline on quicker answers and decision making, not take a whole week to get a response from someone or require constant email reminders and messages to effect a response from someone."
167,Relatively low salary; elevators are a pain. Not enough bathrooms.
168,No advice
169,"Lower pay than street comparables, don't get too comfortable, frequent junior attrition to banks, Too many tedious tasks for CYA and regulatory scrutiny"
170,"No career growth. 
Internal politics
Rude
Higher management including HR are least bothered for your concerns
Poor pay rate
Harassment at work place"
171,"Listen to employees concerns. They may or may not be right, and act accordingly.
Will not recommend anyone to join MA for s/w development role."
172,"compensation
slow decision making
slow promotion process"
173,"Laid back, a little too comfortable at an early stage in one's career"
174,"Poor work life balance. No learning, and no knowledge enhancement. Extremely unfavourable leave policy towards employees. High level of politics and sucking up to the management"
175,"Try to improve the culture, with respect to work hours, and leave policy. Do realise that no bright minds will stick around because of the fact that employees are treated as resources rather than human beings."
176,"Highly hierarchical, managers are often hired from outside rather than promoted from within, strict pecking order means responsibilities are limited based on seniority rather than ability, weak company culture--groups are segmented and teams are highly independent."
177,Show junior staff that there are opportunities to be promoted.
178,"low pay, work long hours"
179,nothing
180,"1. Very long working hours
2. Work is of limited variety
3. Cabs are chargeable"
181,Management is very old and experienced. I think they don't need any advise.
182,"Bad work life balance
Very bad work life balance
Extremel bad work life balance"
183,improve the infra and support services
184,your growth depends on how your relationship is with your seniors
185,there should be a 360 degree review for senior management people as well.
186,Heavy regulation need to comply. Sometimes work hour is crazy.
187,Set up more incentives to encourage.
188,More room needed to grow
189,Good Job
190,At times there are long working hours
191,n/a
192,Long working hours and high pressure
193,Time Consuming Time Consuming Time Consuming
194,Nil
195,No social life at all
196,No comments
197,"no upward career progression at Moodys, middle management very average, no particular guidance from mid-senior mgmt, focus of senior management on everything but Credit"
198,"cut the red tape, focus more on the credit, cut the admin work and outsource IT and back office jobs to make the process more efficient."
199,"Limited upside in terms of promotion (no one leaves as people are comfortable). Therefore, management are dinosaurs and lack adaptive thinking and innovation. Tends to create a reactionary atmosphere. There is A LOT of fat to be cut i.e. many people coast, numerous positions that perform the same job functions, impact compensation. Compensation literally sucks (+40-50% margins are you kidding me? and that money is... spent on worthless acquisitions)."
200,Please leave for the greater good of the institution. Your services and value add are outdated and dragging down the firm.
201,too much politics in executive management
202,"Food, Cab Service, IT Services"
203,"The occasional bad apple is tolerated and sometimes spoils the whole bunch.  There are unethical people just as everywhere who only care about hearing their own voice, and advancing their own careers."
204,"Encourage ethical, collaborative and more behavior that adds business value. Those 3 things all go hand in hand."
205,"Work Life balance
Rest All good"
206,Nothing
207,Very Bad work culture at work
208,Change the policies
209,"Senior Management (too old in its way and doesnt understand the changing environment), Long working hours, no work-life balance, unsympathetic TLs, no learning after a few years"
210,"No point, they wouldn't heed"
211,Work/life balance sometimes goes for a toss due to long working hours
212,"Management always try to keep you more in office
They doesn't care about your work life balance
HR people never react to the employees problems
Higher authorities even count how many breaks you have taken in a day"
213,Please try to listen and understand to the employees' problems and give some mental space to the employees
214,"Long Working Hours.
Cab facilities.
Repetitive work."
215,"The main downside of Moody's is its ongoing lack of sufficient internal investment, in particular the IT infrastructure, its cutting corners when in comes to giving people the right tools to do their job properly."
216,"Low starting level package, offer to freshers is way below market
Obviously, stretched office hours is a biggest bane of working in Copal"
217,"Diversify your work, bring down the stretch"
218,People form comfort zone here and make monetary benefits their shield of protection
219,although they listen to what middle level management wants to say yet try an act upon them
220,Senior management is not up front
221,limited growth opportunities and continued professional training
222,create more opportunities for professional development
223,some departments did the overlapped job. let me feel slightly confused.
224,"Senior analysts have been around forever and aren't going anywhere, leading to stale thinking in some cases. Nearly impossible to be promoted from AA1 to Analyst, especially in FIG and CFG, where managers work you to death and keep changing goalposts. Stay away from FIG. Seriously."
225,"Clean house with some of the group managing directors and other senior people, especially who directly led to the crisis.  Try to care about the career trajectory of the junior analysts/ workhorses."
226,"Somewhat low energy / enthusiasm environment
Bureaucracy
Questionable IT system
As an intern, possible to slip through the cracks and get forgotten"
227,"Energize the culture
Solve ethical issues in the issuer pays business model"
228,Career growth opportunities were limited; work was slightly tedious
229,Keep it up!
230,"Operating Environment:  The office layout (at least at Headquarters - 7 WTC in NYC) does not facilitate interaction.  People call each other on the phone in neighboring offices rather than meet with them face to face.  Does not feel like a collaborative, innovative youthful company so be aware of this is you are coming from management consulting or technology.  The internal technology (mobile devices, data systems,... workflow systems, personal computers, remote work technologies etc.) are all probably 10 years behind.  I was surprised when I started at how antiquated the technology was.  There does not appear to be a lot of appetite for updating technologies so the outlook going forward remains negative. 

Culture: Moody's seems to have a very conservative business culture.  Decisions can take a long time to get made and can result in ""analysis paralysis"".  The firm feels and looks older from the design of the office to the people filling them, not a great place for a recent entrant from a top tier program looking to develop. Very limited training and development offerings.  There do not seem to be a lot of team building events. 

Overall this experience has not met up to expectations compared to previous top 25 best places to work firms."
231,"Enhance workplace technologies
Learn why all the top firms have embraced mobility technologies
Tear down the walls and the bureaucracies that reinforce them
Create a robust training and professional development program for all levels (AA - MD)
Attract youth and try to retain them
Continue your success at creating an inclusive environment
Work on making the firm more ""fun"" within the confines of a financially... successful company"
232,Sometimes lack of motivation from other colleagues
233,"Money, regulation, could become stuck"
234,Need to foster relationships
235,LOW LOW LOW LOW pay
236,"try to start investing in your people, just try"
237,"Pathetic compensation
Long working hours
Very poor management support"
238,treat employees like humans and not machines
239,Compensation could be better reflected on performance
240,More clarity
241,Not so much room for promotion
242,"Limited career opportunities, limited number of possible employers outside Rating Agencies after being in the company for too many years"
243,High level of Bureaucracy accross the firm
244,You have to stay on your current position for many years before you have promotion.
245,"- The rating outcomes are often ""capped"" by senior management before the analysts present their case. 
- Senior managers are not go getters and do not recognize/reward that attribute.
- Employees are put in a box and there is no scope to develop other"
246,"- The old boys club model seems to have survived at Moody's. 
- Provide a developmental career path for analysts to be promoted.
- Management at the group level do not keep analysts informed.
- Promote from within for the higher paying jobs."
247,"BORING! Bizarro World promotion policy. Poor pay. You'll probably go brain dead here. Given all the regulatory changes, agency employees' time has become mostly about administrative CYA rather than focused more on in depth analysis."
248,Hard to balance work life
249,"But that increased salary will take you to the loss........................ that depends on individuals thinking, those who work only for money welcome to copal and those who wants to improve skills then please don't come to copal.
No festivals off
only two saturdays off
long working hours daily aprrox 12 hours
kills personal/social life
take you away from your family 
The only friend on copal emplyees is... Alcohol 
only upper management is happy
for language people its really hell i don't know why they don't think about it"
250,"Kindly improve your management skills, learn from other industries and please don't run for money always"
251,"long working hours
working condition not good"
252,"Bonuses are relatively small. Some regular tasks are more cumbersome due to increased regulation. Processes vary across departments and across groups, which creates inefficiencies and makes some tasks more difficult than they need to be. It seems that sometimes projects are created just for the sake of it, when time could be better spent on core business like ratings and research."
253,Horrible IT infrastructure. Really poor reliance on external consultants
254,Keep up the pace of change
255,management needs to be improved
256,Pay is not great especially as working hours can be demanding and job has high responsibility
257,"Only assets are people, start paying them fairly"
258,"poor work-life balance and work culture, they go for a toss"
259,Should work towards maintaining good work culture
260,the technology isn't that good
261,invest in technology
262,"the pay is extremely low
for associate analysts your development depends greatly on your analyst
promotions are hard to come by, and you need to be working at the next level for some time before even being considered
lots of people just coast and it hurts morale (along with below market pay)
hard work does not mean more pay or promotion it merely puts you in the conversation
at the lower levels if you stay too... long, you will get stuck here
management is very unclear about promotion process (will mislead you to keep you chasing the carrot)
associate analysts get stuck doing a lot of legwork due to increased regulation
lots of senior people who collect big checks just coasting, noticed by younger hard workers
very little turnover at the senior levels
very poor technology"
263,"work on retaining talent at the younger levels
improve technology
think about trimming the fat on the upper levels"
264,"The technology is a little out of date and this can cause delays in getting things done, however they are starting to improve this now."
265,No work life balance anymore
